        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V)
 2.44836000e+00,        +7.071067811865e+00,        +1.375056079681e+01,        +8.485574322758e-04
 2.44836491e+00,        +7.071067811865e+00,        +1.375044883457e+01,        +8.256380323220e-04
 2.44836981e+00,        +7.071067811865e+00,        +1.375033666142e+01,        +8.028635158949e-04
 2.44837472e+00,        +7.071067811865e+00,        +1.375022427738e+01,        +7.802344155403e-04
 2.44837963e+00,        +7.071067811865e+00,        +1.375011168246e+01,        +7.577512646247e-04
 2.44838453e+00,        +7.071067811865e+00,        +1.374999887670e+01,        +7.354145972999e-04
 2.44838944e+00,        +7.071067811865e+00,        +1.374988586011e+01,        +7.132249485436e-04
 2.44839435e+00,        +7.071067811865e+00,        +1.374977263271e+01,        +6.911828541466e-04
 2.44839925e+00,        +7.071067811865e+00,        +1.374965919453e+01,        +6.692888507207e-04
 2.44840416e+00,        +7.071067811865e+00,        +1.374954554559e+01,        +6.475434756675e-04
 2.44840907e+00,        +7.071067811865e+00,        +1.374943168591e+01,        +6.259472671992e-04
 2.44841397e+00,        +7.071067811865e+00,        +1.374931761553e+01,        +6.045007643452e-04
 2.44841888e+00,        +7.071067811865e+00,        +1.374920333447e+01,        +5.832045069556e-04
 2.44842379e+00,        +7.071067811865e+00,        +1.374908884276e+01,        +5.620590356713e-04
 2.44842869e+00,        +7.071067811865e+00,        +1.374897414042e+01,        +5.410648919336e-04
 2.44843360e+00,        +7.071067811865e+00,        +1.374885922750e+01,        +5.202226180078e-04
 2.44843851e+00,        +7.071067811865e+00,        +1.374874410402e+01,        +4.995327569506e-04
 2.44844341e+00,        +7.071067811865e+00,        +1.374862877001e+01,        +4.789958526364e-04
 2.44844832e+00,        +7.071067811865e+00,        +1.374851322551e+01,        +4.586124497376e-04
 2.44845323e+00,        +7.071067811865e+00,        +1.374839747055e+01,        +4.383830937209e-04
 2.44845813e+00,        +7.071067811865e+00,        +1.374828150517e+01,        +4.183083308701e-04
 2.44846304e+00,        +7.071067811865e+00,        +1.374816532941e+01,        +3.983887082637e-04
 2.44846795e+00,        +7.071067811865e+00,        +1.374804894331e+01,        +3.786247737751e-04
 2.44847285e+00,        +7.071067811865e+00,        +1.374793234690e+01,        +3.590170760807e-04
 2.44847776e+00,        +7.071067811865e+00,        +1.374781554022e+01,        +3.395661646733e-04
 2.44848267e+00,        +7.071067811865e+00,        +1.374769852333e+01,        +3.202725898165e-04
 2.44848757e+00,        +7.071067811865e+00,        +1.374758129625e+01,        +3.011369025833e-04
 2.44849248e+00,        +7.071067811865e+00,        +1.374746385904e+01,        +2.821596548562e-04
 2.44849739e+00,        +7.071067811865e+00,        +1.374734621174e+01,        +2.633413992866e-04
 2.44850229e+00,        +7.071067811865e+00,        +1.374722835439e+01,        +2.446826893386e-04
 2.44850720e+00,        +7.071067811865e+00,        +1.374711028704e+01,        +2.261840792716e-04
 2.44851211e+00,        +7.071067811865e+00,        +1.374699200975e+01,        +2.078461241229e-04
 2.44851702e+00,        +7.071067811865e+00,        +1.374687352256e+01,        +1.896693797390e-04
 2.44852192e+00,        +7.071067811865e+00,        +1.374675482552e+01,        +1.716544027403e-04
 2.44852683e+00,        +7.071067811865e+00,        +1.374663591868e+01,        +1.538017505584e-04
 2.44853174e+00,        +7.071067811865e+00,        +1.374651680210e+01,        +1.361119813920e-04
 2.44853664e+00,        +7.071067811865e+00,        +1.374639747584e+01,        +1.185856542281e-04
 2.44854155e+00,        +7.071067811865e+00,        +1.374627793994e+01,        +1.012233288547e-04
 2.44854646e+00,        +7.071067811865e+00,        +1.374615819446e+01,        +8.402556584537e-05
 2.44855136e+00,        +7.071067811865e+00,        +1.374603823947e+01,        +6.699292654763e-05
 2.44855627e+00,        +7.071067811865e+00,        +1.374591807501e+01,        +5.012597309553e-05
 2.44856118e+00,        +7.071067811865e+00,        +1.374579770116e+01,        +3.342526840020e-05
 2.44856608e+00,        +7.071067811865e+00,        +1.374567711797e+01,        +1.689137616400e-05
 2.44857099e+00,        +7.071067811865e+00,        +1.374555632550e+01,        +5.248608624606e-07
 2.44857590e+00,        +7.071067811865e+00,        +1.374543532383e+01,        -1.567371223338e-05
 2.44858080e+00,        +7.071067811865e+00,        +1.374531411300e+01,        -3.170377710787e-05
 2.44858571e+00,        +7.071067811865e+00,        +1.374519269310e+01,        -4.756476695245e-05
 2.44859062e+00,        +7.071067811865e+00,        +1.374507106418e+01,        -6.325611415357e-05
 2.44859552e+00,        +7.071067811865e+00,        +1.374494922632e+01,        -7.877725039021e-05
 2.44860043e+00,        +7.071067811865e+00,        +1.374482717959e+01,        -9.412760649513e-05
 2.44860534e+00,        +7.071067811865e+00,        +1.374470492405e+01,        -1.093066125936e-04
 2.44861024e+00,        +7.071067811865e+00,        +1.374458245978e+01,        -1.243136979880e-04
 2.44861515e+00,        +7.071067811865e+00,        +1.374445978686e+01,        -1.391482912563e-04
 2.44862006e+00,        +7.071067811865e+00,        +1.374433690535e+01,        -1.538098201733e-04
 2.44862496e+00,        +7.071067811865e+00,        +1.374421381534e+01,        -1.682977117646e-04
