        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],              E_elec[2] (J),                  p_elec[2],               E_mag[2] (J),                   p_mag[2],              E_elec[3] (J),                  p_elec[3],               E_mag[3] (J),                   p_mag[3],              E_elec[4] (J),                  p_elec[4],               E_mag[4] (J),                   p_mag[4],              E_elec[5] (J),                  p_elec[5],               E_mag[5] (J),                   p_mag[5],              E_elec[6] (J),                  p_elec[6],               E_mag[6] (J),                   p_mag[6]
 2.30000000e+00,        +4.101870617625e-11,        +4.435728845485e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.883071133576e-15,        +1.921823447991e-04,        +8.577536726832e-14,        +1.933737842331e-03,        +2.870610116872e-11,        +6.998295130368e-01,        +3.278563171534e-11,        +7.391261471879e-01,        +4.559191014918e-12,        +1.111490692887e-01,        +3.751050469392e-12,        +8.456446730755e-02,        +1.596415765383e-12,        +3.891921306644e-02,        +1.784565442088e-12,        +4.023161704089e-02,        +1.452650851657e-12,        +3.541435084313e-02,        +1.728590261493e-12,        +3.896970084752e-02,        +4.612914568050e-12,        +1.124588022896e-01,        +3.777246376828e-12,        +8.515503333061e-02
 2.30020000e+00,        +4.108483210758e-11,        +4.441574347333e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.926911018111e-15,        +1.929400854640e-04,        +8.621927884971e-14,        +1.941187338257e-03,        +2.871510424842e-11,        +6.989222731453e-01,        +3.279185461147e-11,        +7.382934979161e-01,        +4.579710694222e-12,        +1.114696217385e-01,        +3.766877138953e-12,        +8.480950321624e-02,        +1.604448260306e-12,        +3.905208267871e-02,        +1.793651049021e-12,        +4.038322695415e-02,        +1.459720571991e-12,        +3.552942770141e-02,        +1.737278414902e-12,        +3.911402307033e-02,        +4.633858306264e-12,        +1.127875682717e-01,        +3.793253971684e-12,        +8.540336545219e-02
 2.30040000e+00,        +4.115149962374e-11,        +4.447473098927e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.971132907975e-15,        +1.937021246092e-04,        +8.666698568319e-14,        +1.948679255735e-03,        +2.872416261710e-11,        +6.980101060648e-01,        +3.279816491388e-11,        +7.374561730747e-01,        +4.600398599764e-12,        +1.117917607335e-01,        +3.782833642835e-12,        +8.505579592482e-02,        +1.612555858712e-12,        +3.918583462221e-02,        +1.802819539583e-12,        +4.053581661952e-02,        +1.466855279101e-12,        +3.564524482734e-02,        +1.746045392443e-12,        +3.925926820926e-02,        +4.654975221139e-12,        +1.131179972468e-01,        +3.809393407602e-12,        +8.565298368013e-02
 2.30060000e+00,        +4.121871453483e-11,        +4.453425672892e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +8.015741082629e-15,        +1.944684877510e-04,        +8.711852969119e-14,        +1.956213847274e-03,        +2.873327680516e-11,        +6.970929862669e-01,        +3.280456351175e-11,        +7.366141465306e-01,        +4.621256517170e-12,        +1.121154933947e-01,        +3.798921359202e-12,        +8.530335158225e-02,        +1.620739422511e-12,        +3.932047471158e-02,        +1.812071850735e-12,        +4.068939247745e-02,        +1.474055697501e-12,        +3.576180660015e-02,        +1.754892075748e-12,        +3.940544211684e-02,        +4.676267166334e-12,        +1.134500971005e-01,        +3.825666088736e-12,        +8.590389443396e-02
 2.30080000e+00,        +4.128648273013e-11,        +4.459432649690e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +8.060739880972e-15,        +1.952392005311e-04,        +8.757395337423e-14,        +1.963791366606e-03,        +2.874244734968e-11,        +6.961708881224e-01,        +3.281105130612e-11,        +7.357673920335e-01,        +4.642286256146e-12,        +1.124408268559e-01,        +3.815141684845e-12,        +8.555217635386e-02,        +1.628999826014e-12,        +3.945600880225e-02,        +1.821408932707e-12,        +4.084396101000e-02,        +1.481322561800e-12,        +3.587911742163e-02,        +1.763819358796e-12,        +3.955255067970e-02,        +4.697736020754e-12,        +1.137838757412e-01,        +3.842073438294e-12,        +8.615610415287e-02
 2.30100000e+00,        +4.135481017943e-11,        +4.465494617746e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +8.106133702325e-15,        +1.960142887164e-04,        +8.803329982045e-14,        +1.971412068679e-03,        +2.875167479444e-11,        +6.952437859027e-01,        +3.281762921000e-11,        +7.349158832167e-01,        +4.663489650874e-12,        +1.127677682630e-01,        +3.831496035486e-12,        +8.580227642105e-02,        +1.637337956146e-12,        +3.959244279062e-02,        +1.830831749226e-12,        +4.099952874089e-02,        +1.488656616862e-12,        +3.599718171606e-02,        +1.772828148115e-12,        +3.970059981866e-02,        +4.719383688959e-12,        +1.141193410992e-01,        +3.858616898851e-12,        +8.640961929540e-02
 2.30120000e+00,        +4.142370293436e-11,        +4.471612173581e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +8.151927007429e-15,        +1.967937781986e-04,        +8.849661271525e-14,        +1.979076209652e-03,        +2.876095969008e-11,        +6.943116537808e-01,        +3.282429814866e-11,        +7.340595935978e-01,        +4.684868560401e-12,        +1.130963247739e-01,        +3.847985846081e-12,        +8.605365798080e-02,        +1.645754712663e-12,        +3.972978261435e-02,        +1.840341277742e-12,        +4.115610223567e-02,        +1.496058617978e-12,        +3.611600393013e-02,        +1.781919362994e-12,        +3.984959548868e-02,        +4.741212101580e-12,        +1.144565011267e-01,        +3.875297932663e-12,        +8.666444633903e-02
 2.30140000e+00,        +4.149316712968e-11,        +4.477785921943e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +8.198124319465e-15,        +1.975776949936e-04,        +8.896393635118e-14,        +1.986784046893e-03,        +2.877030259420e-11,        +6.933744658315e-01,        +3.283105905973e-11,        +7.331984965795e-01,        +4.706424869044e-12,        +1.134265035574e-01,        +3.864612571138e-12,        +8.630632724533e-02,        +1.654251008368e-12,        +3.986803425244e-02,        +1.849938509658e-12,        +4.131368810180e-02,        +1.503529331037e-12,        +3.623558853289e-02,        +1.791093935693e-12,        +3.999954367885e-02,        +4.763223215748e-12,        +1.147953637972e-01,        +3.892118021988e-12,        +8.692059177985e-02
 2.30160000e+00,        +4.156320898466e-11,        +4.484016475943e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +8.244730225096e-15,        +1.983660652415e-04,        +8.943531563800e-14,        +1.994535838970e-03,        +2.877970407144e-11,        +6.924321960333e-01,        +3.283791289348e-11,        +7.323325654501e-01,        +4.728160486802e-12,        +1.137583117932e-01,        +3.881377685026e-12,        +8.656029044163e-02,        +1.662827769336e-12,        +4.000720372554e-02,        +1.859624450567e-12,        +4.147229298875e-02,        +1.511069532702e-12,        +3.635594001559e-02,        +1.800352811657e-12,        +4.015045041241e-02,        +4.785419015529e-12,        +1.151359371047e-01,        +3.909078669412e-12,        +8.717806213213e-02
 2.30180000e+00,        +4.163383480449e-11,        +4.490304457192e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +8.291749375523e-15,        +1.991589152059e-04,        +8.991079611292e-14,        +2.002331845648e-03,        +2.878916469362e-11,        +6.914848182688e-01,        +3.284486061296e-11,        +7.314617733850e-01,        +4.750077349768e-12,        +1.140917566704e-01,        +3.898282682311e-12,        +8.681555381099e-02,        +1.671485935144e-12,        +4.014729709606e-02,        +1.869400120492e-12,        +4.163192358811e-02,        +1.518680010584e-12,        +3.647706289165e-02,        +1.809696949742e-12,        +4.030232174665e-02,        +4.807801512364e-12,        +1.154782290640e-01,        +3.926181398185e-12,        +8.743686392793e-02
