        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V)
 2.44500000e+00,        +7.071067811865e+00,        +1.381044364061e+01,        +1.972079415363e-01
 2.44502000e+00,        +7.071067811865e+00,        +1.381086917992e+01,        +1.971599235975e-01
 2.44504000e+00,        +7.071067811865e+00,        +1.381129353474e+01,        +1.971108255860e-01
 2.44506000e+00,        +7.071067811865e+00,        +1.381171670418e+01,        +1.970606546097e-01
 2.44508000e+00,        +7.071067811865e+00,        +1.381213868735e+01,        +1.970094177548e-01
 2.44510000e+00,        +7.071067811865e+00,        +1.381255948344e+01,        +1.969571220855e-01
 2.44512000e+00,        +7.071067811865e+00,        +1.381297909163e+01,        +1.969037746443e-01
 2.44514000e+00,        +7.071067811865e+00,        +1.381339751115e+01,        +1.968493824518e-01
 2.44516000e+00,        +7.071067811865e+00,        +1.381381474125e+01,        +1.967939525068e-01
 2.44518000e+00,        +7.071067811865e+00,        +1.381423078120e+01,        +1.967374917860e-01
 2.44520000e+00,        +7.071067811865e+00,        +1.381464563032e+01,        +1.966800072443e-01
 2.44522000e+00,        +7.071067811865e+00,        +1.381505928794e+01,        +1.966215058149e-01
 2.44524000e+00,        +7.071067811865e+00,        +1.381547175343e+01,        +1.965619944087e-01
 2.44526000e+00,        +7.071067811865e+00,        +1.381588302617e+01,        +1.965014799150e-01
 2.44528000e+00,        +7.071067811865e+00,        +1.381629310560e+01,        +1.964399692009e-01
 2.44530000e+00,        +7.071067811865e+00,        +1.381670199114e+01,        +1.963774691119e-01
 2.44532000e+00,        +7.071067811865e+00,        +1.381710968227e+01,        +1.963139864711e-01
 2.44534000e+00,        +7.071067811865e+00,        +1.381751617850e+01,        +1.962495280801e-01
 2.44536000e+00,        +7.071067811865e+00,        +1.381792147935e+01,        +1.961841007183e-01
 2.44538000e+00,        +7.071067811865e+00,        +1.381832558437e+01,        +1.961177111433e-01
 2.44540000e+00,        +7.071067811865e+00,        +1.381872849313e+01,        +1.960503660907e-01
 2.44542000e+00,        +7.071067811865e+00,        +1.381913020524e+01,        +1.959820722741e-01
 2.44544000e+00,        +7.071067811865e+00,        +1.381953072033e+01,        +1.959128363853e-01
 2.44546000e+00,        +7.071067811865e+00,        +1.381993003805e+01,        +1.958426650942e-01
 2.44548000e+00,        +7.071067811865e+00,        +1.382032815807e+01,        +1.957715650487e-01
 2.44550000e+00,        +7.071067811865e+00,        +1.382072508011e+01,        +1.956995428750e-01
 2.44552000e+00,        +7.071067811865e+00,        +1.382112080387e+01,        +1.956266051772e-01
 2.44554000e+00,        +7.071067811865e+00,        +1.382151532913e+01,        +1.955527585376e-01
 2.44556000e+00,        +7.071067811865e+00,        +1.382190865564e+01,        +1.954780095169e-01
 2.44558000e+00,        +7.071067811865e+00,        +1.382230078321e+01,        +1.954023646535e-01
 2.44560000e+00,        +7.071067811865e+00,        +1.382269171166e+01,        +1.953258304645e-01
 2.44562000e+00,        +7.071067811865e+00,        +1.382308144084e+01,        +1.952484134448e-01
 2.44564000e+00,        +7.071067811865e+00,        +1.382346997061e+01,        +1.951701200679e-01
 2.44566000e+00,        +7.071067811865e+00,        +1.382385730086e+01,        +1.950909567853e-01
