        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A)
 2.44500000e+00,        +1.414213562373e-01,        +2.714242487307e-01,        +3.422016256445e-03
 2.44502000e+00,        +1.414213562373e-01,        +2.714404812745e-01,        +3.440591487192e-03
 2.44504000e+00,        +1.414213562373e-01,        +2.714567717941e-01,        +3.459062654099e-03
 2.44506000e+00,        +1.414213562373e-01,        +2.714731194853e-01,        +3.477429631594e-03
 2.44508000e+00,        +1.414213562373e-01,        +2.714895235457e-01,        +3.495692301314e-03
 2.44510000e+00,        +1.414213562373e-01,        +2.715059831742e-01,        +3.513850552056e-03
 2.44512000e+00,        +1.414213562373e-01,        +2.715224975715e-01,        +3.531904279729e-03
 2.44514000e+00,        +1.414213562373e-01,        +2.715390659400e-01,        +3.549853387315e-03
 2.44516000e+00,        +1.414213562373e-01,        +2.715556874840e-01,        +3.567697784814e-03
 2.44518000e+00,        +1.414213562373e-01,        +2.715723614094e-01,        +3.585437389199e-03
 2.44520000e+00,        +1.414213562373e-01,        +2.715890869243e-01,        +3.603072124370e-03
 2.44522000e+00,        +1.414213562373e-01,        +2.716058632386e-01,        +3.620601921100e-03
 2.44524000e+00,        +1.414213562373e-01,        +2.716226895644e-01,        +3.638026716990e-03
 2.44526000e+00,        +1.414213562373e-01,        +2.716395651158e-01,        +3.655346456416e-03
 2.44528000e+00,        +1.414213562373e-01,        +2.716564891091e-01,        +3.672561090480e-03
 2.44530000e+00,        +1.414213562373e-01,        +2.716734607628e-01,        +3.689670576957e-03
 2.44532000e+00,        +1.414213562373e-01,        +2.716904792979e-01,        +3.706674880247e-03
 2.44534000e+00,        +1.414213562373e-01,        +2.717075439375e-01,        +3.723573971319e-03
 2.44536000e+00,        +1.414213562373e-01,        +2.717246539072e-01,        +3.740367827658e-03
 2.44538000e+00,        +1.414213562373e-01,        +2.717418084352e-01,        +3.757056433216e-03
 2.44540000e+00,        +1.414213562373e-01,        +2.717590067519e-01,        +3.773639778357e-03
 2.44542000e+00,        +1.414213562373e-01,        +2.717762480908e-01,        +3.790117859800e-03
 2.44544000e+00,        +1.414213562373e-01,        +2.717935316875e-01,        +3.806490680568e-03
 2.44546000e+00,        +1.414213562373e-01,        +2.718108567805e-01,        +3.822758249932e-03
 2.44548000e+00,        +1.414213562373e-01,        +2.718282226113e-01,        +3.838920583360e-03
 2.44550000e+00,        +1.414213562373e-01,        +2.718456284237e-01,        +3.854977702451e-03
 2.44552000e+00,        +1.414213562373e-01,        +2.718630734648e-01,        +3.870929634893e-03
 2.44554000e+00,        +1.414213562373e-01,        +2.718805569842e-01,        +3.886776414398e-03
 2.44556000e+00,        +1.414213562373e-01,        +2.718980782348e-01,        +3.902518080646e-03
 2.44558000e+00,        +1.414213562373e-01,        +2.719156364722e-01,        +3.918154679232e-03
 2.44560000e+00,        +1.414213562373e-01,        +2.719332309552e-01,        +3.933686261609e-03
 2.44562000e+00,        +1.414213562373e-01,        +2.719508609456e-01,        +3.949112885026e-03
 2.44564000e+00,        +1.414213562373e-01,        +2.719685257083e-01,        +3.964434612478e-03
 2.44566000e+00,        +1.414213562373e-01,        +2.719862245116e-01,        +3.979651512639e-03
 2.44568000e+00,        +1.414213562373e-01,        +2.720039566266e-01,        +3.994763659815e-03
 2.44570000e+00,        +1.414213562373e-01,        +2.720217213281e-01,        +4.009771133877e-03
 2.44572000e+00,        +1.414213562373e-01,        +2.720395178938e-01,        +4.024674020207e-03
 2.44574000e+00,        +1.414213562373e-01,        +2.720573456049e-01,        +4.039472409640e-03
 2.44576000e+00,        +1.414213562373e-01,        +2.720752037462e-01,        +4.054166398405e-03
 2.44578000e+00,        +1.414213562373e-01,        +2.720930916054e-01,        +4.068756088061e-03
 2.44580000e+00,        +1.414213562373e-01,        +2.721110084741e-01,        +4.083241585449e-03
 2.44582000e+00,        +1.414213562373e-01,        +2.721289536472e-01,        +4.097623002624e-03
 2.44584000e+00,        +1.414213562373e-01,        +2.721469264232e-01,        +4.111900456800e-03
 2.44586000e+00,        +1.414213562373e-01,        +2.721649261039e-01,        +4.126074070288e-03
 2.44588000e+00,        +1.414213562373e-01,        +2.721829519950e-01,        +4.140143970441e-03
 2.44590000e+00,        +1.414213562373e-01,        +2.722010034056e-01,        +4.154110289593e-03
 2.44592000e+00,        +1.414213562373e-01,        +2.722190796487e-01,        +4.167973164996e-03
 2.44594000e+00,        +1.414213562373e-01,        +2.722371800407e-01,        +4.181732738768e-03
 2.44596000e+00,        +1.414213562373e-01,        +2.722553039019e-01,        +4.195389157828e-03
 2.44598000e+00,        +1.414213562373e-01,        +2.722734505563e-01,        +4.208942573837e-03
 2.44600000e+00,        +1.414213562373e-01,        +2.722916193315e-01,        +4.222393143141e-03
 2.44602000e+00,        +1.414213562373e-01,        +2.723098095592e-01,        +4.235741026711e-03
 2.44604000e+00,        +1.414213562373e-01,        +2.723280205746e-01,        +4.248986390085e-03
 2.44606000e+00,        +1.414213562373e-01,        +2.723462517171e-01,        +4.262129403303e-03
 2.44608000e+00,        +1.414213562373e-01,        +2.723645023297e-01,        +4.275170240856e-03
 2.44610000e+00,        +1.414213562373e-01,        +2.723827717594e-01,        +4.288109081620e-03
 2.44612000e+00,        +1.414213562373e-01,        +2.724010593571e-01,        +4.300946108800e-03
 2.44614000e+00,        +1.414213562373e-01,        +2.724193644776e-01,        +4.313681509872e-03
 2.44616000e+00,        +1.414213562373e-01,        +2.724376864798e-01,        +4.326315476521e-03
 2.44618000e+00,        +1.414213562373e-01,        +2.724560247264e-01,        +4.338848204585e-03
 2.44620000e+00,        +1.414213562373e-01,        +2.724743785843e-01,        +4.351279893994e-03
 2.44622000e+00,        +1.414213562373e-01,        +2.724927474243e-01,        +4.363610748714e-03
 2.44624000e+00,        +1.414213562373e-01,        +2.725111306212e-01,        +4.375840976687e-03
 2.44626000e+00,        +1.414213562373e-01,        +2.725295275541e-01,        +4.387970789770e-03
 2.44628000e+00,        +1.414213562373e-01,        +2.725479376059e-01,        +4.400000403683e-03
 2.44630000e+00,        +1.414213562373e-01,        +2.725663601637e-01,        +4.411930037946e-03
 2.44632000e+00,        +1.414213562373e-01,        +2.725847946187e-01,        +4.423759915823e-03
 2.44634000e+00,        +1.414213562373e-01,        +2.726032403663e-01,        +4.435490264263e-03
 2.44636000e+00,        +1.414213562373e-01,        +2.726216968060e-01,        +4.447121313844e-03
 2.44638000e+00,        +1.414213562373e-01,        +2.726401633413e-01,        +4.458653298718e-03
 2.44640000e+00,        +1.414213562373e-01,        +2.726586393801e-01,        +4.470086456546e-03
 2.44642000e+00,        +1.414213562373e-01,        +2.726771243343e-01,        +4.481421028450e-03
 2.44644000e+00,        +1.414213562373e-01,        +2.726956176201e-01,        +4.492657258952e-03
 2.44646000e+00,        +1.414213562373e-01,        +2.727141186578e-01,        +4.503795395916e-03
 2.44648000e+00,        +1.414213562373e-01,        +2.727326268721e-01,        +4.514835690498e-03
 2.44650000e+00,        +1.414213562373e-01,        +2.727511416915e-01,        +4.525778397081e-03
 2.44652000e+00,        +1.414213562373e-01,        +2.727696625492e-01,        +4.536623773229e-03
 2.44654000e+00,        +1.414213562373e-01,        +2.727881888824e-01,        +4.547372079622e-03
 2.44656000e+00,        +1.414213562373e-01,        +2.728067201324e-01,        +4.558023580009e-03
 2.44658000e+00,        +1.414213562373e-01,        +2.728252557451e-01,        +4.568578541148e-03
 2.44660000e+00,        +1.414213562373e-01,        +2.728437951704e-01,        +4.579037232754e-03
 2.44662000e+00,        +1.414213562373e-01,        +2.728623378624e-01,        +4.589399927443e-03
 2.44664000e+00,        +1.414213562373e-01,        +2.728808832796e-01,        +4.599666900678e-03
 2.44666000e+00,        +1.414213562373e-01,        +2.728994308848e-01,        +4.609838430716e-03
 2.44668000e+00,        +1.414213562373e-01,        +2.729179801449e-01,        +4.619914798554e-03
 2.44670000e+00,        +1.414213562373e-01,        +2.729365305312e-01,        +4.629896287875e-03
 2.44672000e+00,        +1.414213562373e-01,        +2.729550815192e-01,        +4.639783184997e-03
 2.44674000e+00,        +1.414213562373e-01,        +2.729736325887e-01,        +4.649575778821e-03
 2.44676000e+00,        +1.414213562373e-01,        +2.729921832238e-01,        +4.659274360773e-03
 2.44678000e+00,        +1.414213562373e-01,        +2.730107329128e-01,        +4.668879224760e-03
 2.44680000e+00,        +1.414213562373e-01,        +2.730292811483e-01,        +4.678390667112e-03
 2.44682000e+00,        +1.414213562373e-01,        +2.730478274271e-01,        +4.687808986535e-03
 2.44684000e+00,        +1.414213562373e-01,        +2.730663712506e-01,        +4.697134484058e-03
 2.44686000e+00,        +1.414213562373e-01,        +2.730849121239e-01,        +4.706367462981e-03
 2.44688000e+00,        +1.414213562373e-01,        +2.731034495569e-01,        +4.715508228830e-03
 2.44690000e+00,        +1.414213562373e-01,        +2.731219830635e-01,        +4.724557089299e-03
 2.44692000e+00,        +1.414213562373e-01,        +2.731405121618e-01,        +4.733514354210e-03
 2.44694000e+00,        +1.414213562373e-01,        +2.731590363743e-01,        +4.742380335455e-03
