        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.)
 2.30000000e+00,        -7.970162961429e-03,        +2.904551449249e+00
 2.30020000e+00,        -7.990369995656e-03,        +2.898846378951e+00
 2.30040000e+00,        -8.010733500681e-03,        +2.893135809836e+00
 2.30060000e+00,        -8.031254925133e-03,        +2.887419698663e+00
 2.30080000e+00,        -8.051935735088e-03,        +2.881698001794e+00
 2.30100000e+00,        -8.072777414557e-03,        +2.875970675192e+00
 2.30120000e+00,        -8.093781465574e-03,        +2.870237674411e+00
 2.30140000e+00,        -8.114949408443e-03,        +2.864498954598e+00
 2.30160000e+00,        -8.136282782145e-03,        +2.858754470482e+00
 2.30180000e+00,        -8.157783144517e-03,        +2.853004176372e+00
 2.30200000e+00,        -8.179452072510e-03,        +2.847248026153e+00
 2.30220000e+00,        -8.201291162520e-03,        +2.841485973277e+00
 2.30240000e+00,        -8.223302030627e-03,        +2.835717970762e+00
 2.30260000e+00,        -8.245486312942e-03,        +2.829943971183e+00
 2.30280000e+00,        -8.267845665842e-03,        +2.824163926670e+00
 2.30300000e+00,        -8.290381766309e-03,        +2.818377788900e+00
 2.30320000e+00,        -8.313096312213e-03,        +2.812585509091e+00
 2.30340000e+00,        -8.335991022614e-03,        +2.806787038001e+00
 2.30360000e+00,        -8.359067638133e-03,        +2.800982325917e+00
 2.30380000e+00,        -8.382327921216e-03,        +2.795171322650e+00
 2.30400000e+00,        -8.405773656483e-03,        +2.789353977534e+00
 2.30420000e+00,        -8.429406651026e-03,        +2.783530239413e+00
 2.30440000e+00,        -8.453228734859e-03,        +2.777700056641e+00
 2.30460000e+00,        -8.477241761043e-03,        +2.771863377071e+00
 2.30480000e+00,        -8.501447606346e-03,        +2.766020148052e+00
 2.30500000e+00,        -8.525848171294e-03,        +2.760170316423e+00
 2.30520000e+00,        -8.550445380710e-03,        +2.754313828503e+00
 2.30540000e+00,        -8.575241184045e-03,        +2.748450630089e+00
 2.30560000e+00,        -8.600237555771e-03,        +2.742580666445e+00
 2.30580000e+00,        -8.625436495723e-03,        +2.736703882301e+00
 2.30600000e+00,        -8.650840029494e-03,        +2.730820221838e+00
 2.30620000e+00,        -8.676450208874e-03,        +2.724929628690e+00
 2.30640000e+00,        -8.702269112216e-03,        +2.719032045931e+00
 2.30660000e+00,        -8.728298844870e-03,        +2.713127416070e+00
 2.30680000e+00,        -8.754541539541e-03,        +2.707215681043e+00
 2.30700000e+00,        -8.780999356842e-03,        +2.701296782207e+00
 2.30720000e+00,        -8.807674485568e-03,        +2.695370660331e+00
 2.30740000e+00,        -8.834569143267e-03,        +2.689437255590e+00
 2.30760000e+00,        -8.861685576664e-03,        +2.683496507556e+00
 2.30780000e+00,        -8.889026062020e-03,        +2.677548355190e+00
 2.30800000e+00,        -8.916592905731e-03,        +2.671592736837e+00
 2.30820000e+00,        -8.944388444757e-03,        +2.665629590213e+00
 2.30840000e+00,        -8.972415047084e-03,        +2.659658852401e+00
 2.30860000e+00,        -9.000675112181e-03,        +2.653680459843e+00
 2.30880000e+00,        -9.029171071648e-03,        +2.647694348326e+00
 2.30900000e+00,        -9.057905389533e-03,        +2.641700452982e+00
 2.30920000e+00,        -9.086880563047e-03,        +2.635698708270e+00
 2.30940000e+00,        -9.116099122897e-03,        +2.629689047976e+00
 2.30960000e+00,        -9.145563634021e-03,        +2.623671405197e+00
 2.30980000e+00,        -9.175276695978e-03,        +2.617645712338e+00
 2.31000000e+00,        -9.205240943642e-03,        +2.611611901095e+00
 2.31020000e+00,        -9.235459047651e-03,        +2.605569902456e+00
 2.31040000e+00,        -9.265933715081e-03,        +2.599519646680e+00
 2.31060000e+00,        -9.296667690044e-03,        +2.593461063298e+00
 2.31080000e+00,        -9.327663754159e-03,        +2.587394081094e+00
 2.31100000e+00,        -9.358924727387e-03,        +2.581318628103e+00
 2.31120000e+00,        -9.390453468492e-03,        +2.575234631594e+00
 2.31140000e+00,        -9.422252875676e-03,        +2.569142018064e+00
 2.31160000e+00,        -9.454325887376e-03,        +2.563040713227e+00
 2.31180000e+00,        -9.486675482812e-03,        +2.556930642002e+00
 2.31200000e+00,        -9.519304682707e-03,        +2.550811728502e+00
 2.31220000e+00,        -9.552216549951e-03,        +2.544683896024e+00
 2.31240000e+00,        -9.585414190315e-03,        +2.538547067038e+00
 2.31260000e+00,        -9.618900753215e-03,        +2.532401163177e+00
 2.31280000e+00,        -9.652679432405e-03,        +2.526246105219e+00
 2.31300000e+00,        -9.686753466738e-03,        +2.520081813086e+00
 2.31320000e+00,        -9.721126140880e-03,        +2.513908205820e+00
 2.31340000e+00,        -9.755800786205e-03,        +2.507725201582e+00
 2.31360000e+00,        -9.790780781467e-03,        +2.501532717630e+00
 2.31380000e+00,        -9.826069553675e-03,        +2.495330670316e+00
 2.31400000e+00,        -9.861670578878e-03,        +2.489118975063e+00
 2.31420000e+00,        -9.897587383094e-03,        +2.482897546360e+00
 2.31440000e+00,        -9.933823543047e-03,        +2.476666297748e+00
 2.31460000e+00,        -9.970382687138e-03,        +2.470425141800e+00
 2.31480000e+00,        -1.000726849627e-02,        +2.464173990117e+00
 2.31500000e+00,        -1.004448470482e-02,        +2.457912753305e+00
 2.31520000e+00,        -1.008203510158e-02,        +2.451641340968e+00
 2.31540000e+00,        -1.011992353062e-02,        +2.445359661690e+00
 2.31560000e+00,        -1.015815389230e-02,        +2.439067623021e+00
 2.31580000e+00,        -1.019673014434e-02,        +2.432765131462e+00
 2.31600000e+00,        -1.023565630269e-02,        +2.426452092452e+00
 2.31620000e+00,        -1.027493644268e-02,        +2.420128410350e+00
 2.31640000e+00,        -1.031457469997e-02,        +2.413793988419e+00
 2.31660000e+00,        -1.035457527174e-02,        +2.407448728814e+00
 2.31680000e+00,        -1.039494241765e-02,        +2.401092532562e+00
 2.31700000e+00,        -1.043568046105e-02,        +2.394725299547e+00
 2.31720000e+00,        -1.047679379019e-02,        +2.388346928494e+00
 2.31740000e+00,        -1.051828685913e-02,        +2.381957316950e+00
 2.31760000e+00,        -1.056016418926e-02,        +2.375556361271e+00
 2.31780000e+00,        -1.060243037024e-02,        +2.369143956596e+00
 2.31800000e+00,        -1.064509006141e-02,        +2.362719996841e+00
 2.31820000e+00,        -1.068814799303e-02,        +2.356284374668e+00
 2.31840000e+00,        -1.073160896748e-02,        +2.349836981478e+00
 2.31860000e+00,        -1.077547786069e-02,        +2.343377707383e+00
 2.31880000e+00,        -1.081975962346e-02,        +2.336906441192e+00
 2.31900000e+00,        -1.086445928283e-02,        +2.330423070390e+00
 2.31920000e+00,        -1.090958194346e-02,        +2.323927481118e+00
 2.31940000e+00,        -1.095513278914e-02,        +2.317419558154e+00
 2.31960000e+00,        -1.100111708422e-02,        +2.310899184889e+00
 2.31980000e+00,        -1.104754017508e-02,        +2.304366243310e+00
 2.32000000e+00,        -1.109440749179e-02,        +2.297820613975e+00
 2.32020000e+00,        -1.114172454950e-02,        +2.291262175996e+00
 2.32040000e+00,        -1.118949695020e-02,        +2.284690807010e+00
 2.32060000e+00,        -1.123773038429e-02,        +2.278106383164e+00
 2.32080000e+00,        -1.128643063223e-02,        +2.271508779086e+00
 2.32100000e+00,        -1.133560356633e-02,        +2.264897867865e+00
 2.32120000e+00,        -1.138525515246e-02,        +2.258273521024e+00
