        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],              E_elec[2] (J),                  p_elec[2],               E_mag[2] (J),                   p_mag[2],              E_elec[3] (J),                  p_elec[3],               E_mag[3] (J),                   p_mag[3],              E_elec[4] (J),                  p_elec[4],               E_mag[4] (J),                   p_mag[4],              E_elec[5] (J),                  p_elec[5],               E_mag[5] (J),                   p_mag[5],              E_elec[6] (J),                  p_elec[6],               E_mag[6] (J),                   p_mag[6]
 2.40000000e+00,        +4.566068306260e-11,        +4.750507787381e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.168722855521e-16,        +4.749650487156e-06,        +4.230989308986e-14,        +8.906393796944e-04,        +3.029089340385e-11,        +6.633911578221e-01,        +3.215759601876e-11,        +6.769296559029e-01,        +4.056213686381e-12,        +8.883383721659e-02,        +3.805130076961e-12,        +8.009943878145e-02,        +3.526289717294e-12,        +7.722814204201e-02,        +3.331988987496e-12,        +7.013963846868e-02,        +3.545569310477e-12,        +7.765037823934e-02,        +3.348312493972e-12,        +7.048325450316e-02,        +4.057261247338e-12,        +8.885677951370e-02,        +3.808541250319e-12,        +8.017124528110e-02
 2.40002500e+00,        +4.567872322777e-11,        +4.752212846489e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.170899046774e-16,        +4.752538804443e-06,        +4.236187732809e-14,        +8.914137202289e-04,        +3.029511640935e-11,        +6.632216110396e-01,        +3.216070557588e-11,        +6.767522123855e-01,        +4.059484216240e-12,        +8.887035208925e-02,        +3.808164453434e-12,        +8.013455155417e-02,        +3.529807145862e-12,        +7.727464553379e-02,        +3.335262930916e-12,        +7.018336591090e-02,        +3.549097414401e-12,        +7.769694868012e-02,        +3.351600628157e-12,        +7.052715727229e-02,        +4.060531236785e-12,        +8.889327349493e-02,        +3.811572310863e-12,        +8.020626251365e-02
 2.40005000e+00,        +4.569679724135e-11,        +4.753921255825e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.173080119923e-16,        +4.755432002042e-06,        +4.241396303664e-14,        +8.921890110121e-04,        +3.029934664764e-11,        +6.630518652677e-01,        +3.216382189233e-11,        +6.765745615353e-01,        +4.062761428622e-12,        +8.890691851257e-02,        +3.811205000237e-12,        +8.016971243616e-02,        +3.533330968093e-12,        +7.732119495009e-02,        +3.338542815523e-12,        +7.022713746956e-02,        +3.552631936211e-12,        +7.774356520978e-02,        +3.354894721665e-12,        +7.057110417119e-02,        +4.063807903894e-12,        +8.892981891993e-02,        +3.814609540767e-12,        +8.024132785314e-02
 2.40007500e+00,        +4.571490518509e-11,        +4.755633023496e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.175266082205e-16,        +4.758330075054e-06,        +4.246615046026e-14,        +8.929652530052e-04,        +3.030358413598e-11,        +6.628819203122e-01,        +3.216694498406e-11,        +6.763967031336e-01,        +4.066045339046e-12,        +8.894353652454e-02,        +3.814251731812e-12,        +8.020492146823e-02,        +3.536861200149e-12,        +7.736779034823e-02,        +3.341828656316e-12,        +7.027095320024e-02,        +3.556172892084e-12,        +7.779022788489e-02,        +3.358194789526e-12,        +7.061509525514e-02,        +4.067091264191e-12,        +8.896641582707e-02,        +3.817652954474e-12,        +8.027644134047e-02
 2.40010000e+00,        +4.573304714100e-11,        +4.757348157632e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.177456940895e-16,        +4.761233018613e-06,        +4.251843984447e-14,        +8.937424471712e-04,        +3.030782889172e-11,        +6.627117759784e-01,        +3.217007486703e-11,        +6.762186369611e-01,        +4.069335963079e-12,        +8.898020616323e-02,        +3.817304662648e-12,        +8.024017869124e-02,        +3.540397858241e-12,        +7.741443178553e-02,        +3.345120468343e-12,        +7.031481315860e-02,        +3.559720298249e-12,        +7.783693676203e-02,        +3.361500846821e-12,        +7.065913057947e-02,        +4.070381333256e-12,        +8.900306425475e-02,        +3.820702566477e-12,        +8.031160301664e-02
 2.40012500e+00,        +4.575122319137e-11,        +4.759066666393e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.179652703317e-16,        +4.764140827884e-06,        +4.257083143563e-14,        +8.945205944739e-04,        +3.031208093224e-11,        +6.625414320716e-01,        +3.217321155731e-11,        +6.760403627986e-01,        +4.072633316344e-12,        +8.901692746681e-02,        +3.820363807284e-12,        +8.027548414613e-02,        +3.543940958634e-12,        +7.746111931937e-02,        +3.348418266699e-12,        +7.035871740029e-02,        +3.563274170986e-12,        +7.788369189782e-02,        +3.364812908677e-12,        +7.070321019955e-02,        +4.073678126719e-12,        +8.903976424146e-02,        +3.823758391313e-12,        +8.034681292268e-02
 2.40015000e+00,        +4.576943341876e-11,        +4.760788557965e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.181853376834e-16,        +4.767053498066e-06,        +4.262332548087e-14,        +8.952996958784e-04,        +3.031634027499e-11,        +6.623708883966e-01,        +3.217635507098e-11,        +6.758618804263e-01,        +4.075937414515e-12,        +8.905370047348e-02,        +3.823429180307e-12,        +8.031083787391e-02,        +3.547490517642e-12,        +7.750785300716e-02,        +3.351722066528e-12,        +7.040266598105e-02,        +3.566834526625e-12,        +7.793049334894e-02,        +3.368130990267e-12,        +7.074733417077e-02,        +4.076981660263e-12,        +8.907651582580e-02,        +3.826820443571e-12,        +8.038207109973e-02
 2.40017500e+00,        +4.578767790596e-11,        +4.762513840557e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.184058968854e-16,        +4.769971024388e-06,        +4.267592222816e-14,        +8.960797523513e-04,        +3.032060693747e-11,        +6.622001447583e-01,        +3.217950542419e-11,        +6.756831896245e-01,        +4.079248273317e-12,        +8.909052522156e-02,        +3.826500796351e-12,        +8.034623991568e-02,        +3.551046551630e-12,        +7.755463290633e-02,        +3.355031883019e-12,        +7.044665895662e-02,        +3.570401381550e-12,        +7.797734117208e-02,        +3.371455106815e-12,        +7.079150254858e-02,        +4.080291949627e-12,        +8.911331904638e-02,        +3.829888737889e-12,        +8.041737758898e-02
 2.40020000e+00,        +4.580595673607e-11,        +4.764242522409e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.186269486831e-16,        +4.772893402115e-06,        +4.272862192628e-14,        +8.968607648603e-04,        +3.032488093724e-11,        +6.620292009611e-01,        +3.218266263312e-11,        +6.755042901730e-01,        +4.082565908532e-12,        +8.912740174941e-02,        +3.829578670103e-12,        +8.038169031258e-02,        +3.554609077016e-12,        +7.760145907437e-02,        +3.358347731413e-12,        +7.049069638281e-02,        +3.573974752195e-12,        +7.802423542397e-02,        +3.374785273591e-12,        +7.083571538848e-02,        +4.083609010597e-12,        +8.915017394194e-02,        +3.832963288952e-12,        +8.045273243171e-02
 2.40022500e+00,        +4.582426999243e-11,        +4.765974611786e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.188484938260e-16,        +4.775820626539e-06,        +4.278142482482e-14,        +8.976427343742e-04,        +3.032916229189e-11,        +6.618580568093e-01,        +3.218582671403e-11,        +6.753251818514e-01,        +4.085890335990e-12,        +8.916433009549e-02,        +3.832662816296e-12,        +8.041718910583e-02,        +3.558178110269e-12,        +7.764833156877e-02,        +3.361669626995e-12,        +7.053477831547e-02,        +3.577554655046e-12,        +7.807117616138e-02,        +3.378121505915e-12,        +7.087997274598e-02,        +4.086932859018e-12,        +8.918708055126e-02,        +3.836044111496e-12,        +8.048813566924e-02
 2.40025000e+00,        +4.584261775867e-11,        +4.767710116978e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.190705330679e-16,        +4.778752692988e-06,        +4.283433117418e-14,        +8.984256618632e-04,        +3.033345101911e-11,        +6.616867121069e-01,        +3.218899768322e-11,        +6.751458644391e-01,        +4.089221571579e-12,        +8.920131029833e-02,        +3.835753249713e-12,        +8.045273633675e-02,        +3.561753667910e-12,        +7.769525044709e-02,        +3.364997585102e-12,        +7.057890481048e-02,        +3.581141106640e-12,        +7.811816344111e-02,        +3.381463819153e-12,        +7.092427467667e-02,        +4.090263510783e-12,        +8.922403891321e-02,        +3.839131220306e-12,        +8.052358734299e-02
 2.40027500e+00,        +4.586100011868e-11,        +4.769449046305e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.192930671672e-16,        +4.781689596820e-06,        +4.288734122562e-14,        +8.992095482988e-04,        +3.033774713661e-11,        +6.615151666580e-01,        +3.219217555704e-11,        +6.749663377152e-01,        +4.092559631237e-12,        +8.923834239652e-02,        +3.838849985188e-12,        +8.048833204668e-02,        +3.565335766512e-12,        +7.774221576690e-02,        +3.368331621117e-12,        +7.062307592376e-02,        +3.584734123568e-12,        +7.816519731999e-02,        +3.384812228723e-12,        +7.096862123615e-02,        +4.093600981843e-12,        +8.926104906673e-02,        +3.842224630216e-12,        +8.055908749444e-02
 2.40030000e+00,        +4.587941715661e-11,        +4.771191408112e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.195160968868e-16,        +4.784631333424e-06,        +4.294045523119e-14,        +8.999943946535e-04,        +3.034205066216e-11,        +6.613434202659e-01,        +3.219536035189e-11,        +6.747866014587e-01,        +4.095904530958e-12,        +8.927542642873e-02,        +3.841953037602e-12,        +8.052397627709e-02,        +3.568924422701e-12,        +7.778922758582e-02,        +3.371671750474e-12,        +7.066729171128e-02,        +3.588333722474e-12,        +7.821227785489e-02,        +3.388166750090e-12,        +7.101301248007e-02,        +4.096945288199e-12,        +8.929811105084e-02,        +3.845324356110e-12,        +8.059463616513e-02
 2.40032500e+00,        +4.589786895691e-11,        +4.772937210770e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.197396229936e-16,        +4.787577898221e-06,        +4.299367344379e-14,        +9.007802019012e-04,        +3.034636161361e-11,        +6.611714727343e-01,        +3.219855208422e-11,        +6.746066554482e-01,        +4.099256286789e-12,        +8.931256243371e-02,        +3.845062421890e-12,        +8.055966906946e-02,        +3.572519653153e-12,        +7.783628596148e-02,        +3.375017988654e-12,        +7.071155222906e-02,        +3.591939920051e-12,        +7.825940510272e-02,        +3.391527398768e-12,        +7.105744846411e-02,        +4.100296445908e-12,        +8.933522490460e-02,        +3.848430412922e-12,        +8.063023339669e-02
 2.40035000e+00,        +4.591635560428e-11,        +4.774686462681e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.199636462592e-16,        +4.790529286664e-06,        +4.304699611714e-14,        +9.015669710169e-04,        +3.035068000883e-11,        +6.609993238662e-01,        +3.220175077055e-11,        +6.744264994620e-01,        +4.102614914829e-12,        +8.934975045028e-02,        +3.848178153033e-12,        +8.059541046538e-02,        +3.576121474600e-12,        +7.788339095157e-02,        +3.378370351188e-12,        +7.075585753312e-02,        +3.595552733048e-12,        +7.830657912042e-02,        +3.394894190319e-12,        +7.110192924402e-02,        +4.103654471079e-12,        +8.937239066718e-02,        +3.851542815636e-12,        +8.066587923080e-02
 2.40037500e+00,        +4.593487718371e-11,        +4.776439172270e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.201881674596e-16,        +4.793485494237e-06,        +4.310042350581e-14,        +9.023547029769e-04,        +3.035500586578e-11,        +6.608269734646e-01,        +3.220495642743e-11,        +6.742461332785e-01,        +4.105980431235e-12,        +8.938699051734e-02,        +3.851300246064e-12,        +8.063120050650e-02,        +3.579729903825e-12,        +7.793054261379e-02,        +3.381728853656e-12,        +7.080020767958e-02,        +3.599172178267e-12,        +7.835379996496e-02,        +3.398267140358e-12,        +7.114645487556e-02,        +4.107019379879e-12,        +8.940960837782e-02,        +3.854661579286e-12,        +8.070157370923e-02
 2.40040000e+00,        +4.595343378045e-11,        +4.778195347993e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.204131873753e-16,        +4.796446516453e-06,        +4.315395586519e-14,        +9.031433987586e-04,        +3.035933920246e-11,        +6.606544213324e-01,        +3.220816907148e-11,        +6.740655566754e-01,        +4.109352852216e-12,        +8.942428267384e-02,        +3.854428716068e-12,        +8.066703923454e-02,        +3.583344957664e-12,        +7.797774100590e-02,        +3.385093511688e-12,        +7.084460272455e-02,        +3.602798272562e-12,        +7.840106769333e-02,        +3.401646264546e-12,        +7.119102541454e-02,        +4.110391188524e-12,        +8.944687807580e-02,        +3.857786718958e-12,        +8.073731687381e-02
 2.40042500e+00,        +4.597202548004e-11,        +4.779954998330e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.206387067910e-16,        +4.799412348860e-06,        +4.320759345152e-14,        +9.039330593409e-04,        +3.036368003692e-11,        +6.604816672719e-01,        +3.221138871937e-11,        +6.738847694304e-01,        +4.112732194037e-12,        +8.946162695882e-02,        +3.857563578178e-12,        +8.070292669128e-02,        +3.586966653007e-12,        +7.802498618567e-02,        +3.388464340964e-12,        +7.088904272421e-02,        +3.606431032841e-12,        +7.844838236259e-02,        +3.405031578595e-12,        +7.123564091681e-02,        +4.113769913289e-12,        +8.948419980050e-02,        +3.860918249787e-12,        +8.077310876642e-02
 2.40045000e+00,        +4.599065236828e-11,        +4.781718131792e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.208647264960e-16,        +4.802382987033e-06,        +4.326133652190e-14,        +9.047236857034e-04,        +3.036802838729e-11,        +6.603087110856e-01,        +3.221461538782e-11,        +6.737037713210e-01,        +4.116118473015e-12,        +8.949902341141e-02,        +3.860704847580e-12,        +8.073886291858e-02,        +3.590595006798e-12,        +7.807227821091e-02,        +3.391841357213e-12,        +7.093352773477e-02,        +3.610070476064e-12,        +7.849574402980e-02,        +3.408423098269e-12,        +7.128030143826e-02,        +4.117155570503e-12,        +8.952157359138e-02,        +3.864056186959e-12,        +8.080894942905e-02
 2.40047500e+00,        +4.600931453128e-11,        +4.783484756915e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.210912472841e-16,        +4.805358426580e-06,        +4.331518533425e-14,        +9.055152788275e-04,        +3.037238427173e-11,        +6.601355525756e-01,        +3.221784909360e-11,        +6.735225621244e-01,        +4.119511705526e-12,        +8.953647207077e-02,        +3.863852539510e-12,        +8.077484795838e-02,        +3.594230036033e-12,        +7.811961713947e-02,        +3.395224576214e-12,        +7.097805781248e-02,        +3.613716619249e-12,        +7.854315275208e-02,        +3.411820839379e-12,        +7.132500703482e-02,        +4.120548176547e-12,        +8.955899948793e-02,        +3.867200545712e-12,        +8.084483890373e-02
 2.40050000e+00,        +4.602801205541e-11,        +4.785254882265e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.213182699534e-16,        +4.808338663139e-06,        +4.336914014736e-14,        +9.063078396952e-04,        +3.037674770849e-11,        +6.599621915438e-01,        +3.222108985354e-11,        +6.733411416174e-01,        +4.122911907998e-12,        +8.957397297617e-02,        +3.867006669255e-12,        +8.081088185266e-02,        +3.597871757764e-12,        +7.816700302922e-02,        +3.398614013798e-12,        +7.102263301363e-02,        +3.617369479464e-12,        +7.859060858655e-02,        +3.415224817789e-12,        +7.136975776247e-02,        +4.123947747862e-12,        +8.959647752976e-02,        +3.870351341335e-12,        +8.088077723256e-02
 2.40052500e+00,        +4.604674502730e-11,        +4.787028516433e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.215457953067e-16,        +4.811323692378e-06,        +4.342320122087e-14,        +9.071013692902e-04,        +3.038111871584e-11,        +6.597886277918e-01,        +3.222433768453e-11,        +6.731595095770e-01,        +4.126319096916e-12,        +8.961152616693e-02,        +3.870167252154e-12,        +8.084696464348e-02,        +3.601520189095e-12,        +7.821443593808e-02,        +3.402009685843e-12,        +7.106725339456e-02,        +3.621029073832e-12,        +7.863811159040e-02,        +3.418635049411e-12,        +7.141455367720e-02,        +4.127354300940e-12,        +8.963400775652e-02,        +3.873508589166e-12,        +8.091676445772e-02
 2.40055000e+00,        +4.606551353391e-11,        +4.788805668041e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.217738241512e-16,        +4.814313509995e-06,        +4.347736881528e-14,        +9.078958685969e-04,        +3.038549731214e-11,        +6.596148611211e-01,        +3.222759260350e-11,        +6.729776657794e-01,        +4.129733288821e-12,        +8.964913168245e-02,        +3.873334303597e-12,        +8.088309637299e-02,        +3.605175347185e-12,        +7.826191592398e-02,        +3.405411608282e-12,        +7.111191901162e-02,        +3.624695419531e-12,        +7.868566182082e-02,        +3.422051550210e-12,        +7.145939483507e-02,        +4.130767852330e-12,        +8.967159020793e-02,        +3.876672304599e-12,        +8.095280062146e-02
 2.40057500e+00,        +4.608431766243e-11,        +4.790586345738e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.220023572984e-16,        +4.817308111721e-06,        +4.353164319195e-14,        +9.086913386014e-04,        +3.038988351579e-11,        +6.594408913330e-01,        +3.223085462743e-11,        +6.727956100009e-01,        +4.133154500308e-12,        +8.968678956220e-02,        +3.876507839027e-12,        +8.091927708338e-02,        +3.608837249249e-12,        +7.830944304490e-02,        +3.408819797095e-12,        +7.115662992125e-02,        +3.628368533796e-12,        +7.873325933506e-02,        +3.425474336200e-12,        +7.150428129215e-02,        +4.134188418639e-12,        +8.970922492380e-02,        +3.879842503075e-12,        +8.098888576607e-02
 2.40060000e+00,        +4.610315750038e-11,        +4.792370558201e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.222313955645e-16,        +4.820307493313e-06,        +4.358602461308e-14,        +9.094877802906e-04,        +3.039427734525e-11,        +6.592667182285e-01,        +3.223412377338e-11,        +6.726133420176e-01,        +4.136582748031e-12,        +8.972449984572e-02,        +3.879687873937e-12,        +8.095550681693e-02,        +3.612505912555e-12,        +7.835701735885e-02,        +3.412234268316e-12,        +7.120138617988e-02,        +3.632048433912e-12,        +7.878090419038e-02,        +3.428903423449e-12,        +7.154921310459e-02,        +4.137616016527e-12,        +8.974691194399e-02,        +3.883019200091e-12,        +8.102501993396e-02
 2.40062500e+00,        +4.612203313554e-11,        +4.794158314135e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.224609397703e-16,        +4.823311650562e-06,        +4.364051334178e-14,        +9.102851946527e-04,        +3.039867881905e-11,        +6.590923416085e-01,        +3.223740005845e-11,        +6.724308616052e-01,        +4.140018048696e-12,        +8.976226257262e-02,        +3.882874423874e-12,        +8.099178561596e-02,        +3.616181354427e-12,        +7.840463892386e-02,        +3.415655038028e-12,        +7.124618784401e-02,        +3.635735137223e-12,        +7.882859644409e-02,        +3.432338828073e-12,        +7.159419032853e-02,        +4.141050662712e-12,        +8.978465130845e-02,        +3.886202411195e-12,        +8.106120316755e-02
 2.40065000e+00,        +4.614094465598e-11,        +4.795949622274e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.226909907408e-16,        +4.826320579285e-06,        +4.369510964200e-14,        +9.110835826771e-04,        +3.040308795577e-11,        +6.589177612735e-01,        +3.224068349980e-11,        +6.722481685392e-01,        +4.143460419069e-12,        +8.980007778259e-02,        +3.886067504437e-12,        +8.102811352290e-02,        +3.619863592242e-12,        +7.845230779801e-02,        +3.419082122366e-12,        +7.129103497016e-02,        +3.639428661126e-12,        +7.887633615352e-02,        +3.435780566242e-12,        +7.163921302019e-02,        +4.144492373967e-12,        +8.982244305718e-02,        +3.889392151985e-12,        +8.109743550937e-02
 2.40067500e+00,        +4.615989215006e-11,        +4.797744491380e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.229215493059e-16,        +4.829334275333e-06,        +4.374981377857e-14,        +9.118829453542e-04,        +3.040750477404e-11,        +6.587429770241e-01,        +3.224397411462e-11,        +6.720652625948e-01,        +4.146909875972e-12,        +8.983794551537e-02,        +3.889267131277e-12,        +8.106449058020e-02,        +3.623552643435e-12,        +7.850002403940e-02,        +3.422515537519e-12,        +7.133592761491e-02,        +3.643129023076e-12,        +7.892412337605e-02,        +3.439228654176e-12,        +7.168428123580e-02,        +4.147941167122e-12,        +8.986028723027e-02,        +3.892588438115e-12,        +8.113371700200e-02
 2.40070000e+00,        +4.617887570642e-11,        +4.799542930244e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.231526162998e-16,        +4.832352734582e-06,        +4.380462601718e-14,        +9.126832836759e-04,        +3.041192929257e-11,        +6.585679886604e-01,        +3.224727192020e-11,        +6.718821435473e-01,        +4.150366436283e-12,        +8.987586581080e-02,        +3.892473320097e-12,        +8.110091683041e-02,        +3.627248525497e-12,        +7.854778770616e-02,        +3.425955299724e-12,        +7.138086583486e-02,        +3.646836240582e-12,        +7.897195816906e-02,        +3.442683108148e-12,        +7.172939503164e-02,        +4.151397059066e-12,        +8.989818386786e-02,        +3.895791285289e-12,        +8.117004768809e-02
 2.40072500e+00,        +4.619789541399e-11,        +4.801344947686e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.233841925614e-16,        +4.835375952942e-06,        +4.385954662445e-14,        +9.134845986349e-04,        +3.041636153013e-11,        +6.583927959825e-01,        +3.225057693384e-11,        +6.716988111713e-01,        +4.153830116938e-12,        +8.991383870875e-02,        +3.895686086655e-12,        +8.113739231614e-02,        +3.630951255971e-12,        +7.859559885646e-02,        +3.429401425273e-12,        +7.142584968667e-02,        +3.650550331207e-12,        +7.901984059000e-02,        +3.446143944483e-12,        +7.177455446404e-02,        +4.154860066742e-12,        +8.993613301016e-02,        +3.899000709266e-12,        +8.120642761035e-02
