        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A)
 2.40000000e+00,        +1.414213562373e-01,        +2.827593501204e-01,        +3.956328197508e-03
 2.40002500e+00,        +1.414213562373e-01,        +2.827594018709e-01,        +3.954258738545e-03
 2.40005000e+00,        +1.414213562373e-01,        +2.827594536003e-01,        +3.952188498603e-03
 2.40007500e+00,        +1.414213562373e-01,        +2.827595053086e-01,        +3.950117476181e-03
 2.40010000e+00,        +1.414213562373e-01,        +2.827595569958e-01,        +3.948045669779e-03
 2.40012500e+00,        +1.414213562373e-01,        +2.827596086618e-01,        +3.945973077891e-03
 2.40015000e+00,        +1.414213562373e-01,        +2.827596603067e-01,        +3.943899699008e-03
 2.40017500e+00,        +1.414213562373e-01,        +2.827597119303e-01,        +3.941825531617e-03
 2.40020000e+00,        +1.414213562373e-01,        +2.827597635327e-01,        +3.939750574203e-03
 2.40022500e+00,        +1.414213562373e-01,        +2.827598151139e-01,        +3.937674825245e-03
 2.40025000e+00,        +1.414213562373e-01,        +2.827598666738e-01,        +3.935598283220e-03
 2.40027500e+00,        +1.414213562373e-01,        +2.827599182124e-01,        +3.933520946599e-03
 2.40030000e+00,        +1.414213562373e-01,        +2.827599697296e-01,        +3.931442813852e-03
 2.40032500e+00,        +1.414213562373e-01,        +2.827600212255e-01,        +3.929363883445e-03
 2.40035000e+00,        +1.414213562373e-01,        +2.827600727001e-01,        +3.927284153838e-03
 2.40037500e+00,        +1.414213562373e-01,        +2.827601241532e-01,        +3.925203623489e-03
 2.40040000e+00,        +1.414213562373e-01,        +2.827601755849e-01,        +3.923122290853e-03
 2.40042500e+00,        +1.414213562373e-01,        +2.827602269952e-01,        +3.921040154378e-03
 2.40045000e+00,        +1.414213562373e-01,        +2.827602783840e-01,        +3.918957212512e-03
 2.40047500e+00,        +1.414213562373e-01,        +2.827603297512e-01,        +3.916873463697e-03
 2.40050000e+00,        +1.414213562373e-01,        +2.827603810970e-01,        +3.914788906371e-03
 2.40052500e+00,        +1.414213562373e-01,        +2.827604324212e-01,        +3.912703538971e-03
 2.40055000e+00,        +1.414213562373e-01,        +2.827604837238e-01,        +3.910617359925e-03
 2.40057500e+00,        +1.414213562373e-01,        +2.827605350049e-01,        +3.908530367663e-03
 2.40060000e+00,        +1.414213562373e-01,        +2.827605862643e-01,        +3.906442560606e-03
 2.40062500e+00,        +1.414213562373e-01,        +2.827606375020e-01,        +3.904353937175e-03
 2.40065000e+00,        +1.414213562373e-01,        +2.827606887181e-01,        +3.902264495785e-03
 2.40067500e+00,        +1.414213562373e-01,        +2.827607399124e-01,        +3.900174234848e-03
 2.40070000e+00,        +1.414213562373e-01,        +2.827607910850e-01,        +3.898083152771e-03
 2.40072500e+00,        +1.414213562373e-01,        +2.827608422359e-01,        +3.895991247959e-03
 2.40075000e+00,        +1.414213562373e-01,        +2.827608933650e-01,        +3.893898518810e-03
 2.40077500e+00,        +1.414213562373e-01,        +2.827609444722e-01,        +3.891804963722e-03
 2.40080000e+00,        +1.414213562373e-01,        +2.827609955576e-01,        +3.889710581085e-03
 2.40082500e+00,        +1.414213562373e-01,        +2.827610466212e-01,        +3.887615369288e-03
 2.40085000e+00,        +1.414213562373e-01,        +2.827610976628e-01,        +3.885519326715e-03
 2.40087500e+00,        +1.414213562373e-01,        +2.827611486826e-01,        +3.883422451746e-03
 2.40090000e+00,        +1.414213562373e-01,        +2.827611996804e-01,        +3.881324742756e-03
 2.40092500e+00,        +1.414213562373e-01,        +2.827612506562e-01,        +3.879226198118e-03
 2.40095000e+00,        +1.414213562373e-01,        +2.827613016100e-01,        +3.877126816199e-03
 2.40097500e+00,        +1.414213562373e-01,        +2.827613525418e-01,        +3.875026595363e-03
 2.40100000e+00,        +1.414213562373e-01,        +2.827614034515e-01,        +3.872925533970e-03
 2.40102500e+00,        +1.414213562373e-01,        +2.827614543391e-01,        +3.870823630376e-03
 2.40105000e+00,        +1.414213562373e-01,        +2.827615052047e-01,        +3.868720882932e-03
 2.40107500e+00,        +1.414213562373e-01,        +2.827615560480e-01,        +3.866617289985e-03
 2.40110000e+00,        +1.414213562373e-01,        +2.827616068693e-01,        +3.864512849879e-03
 2.40112500e+00,        +1.414213562373e-01,        +2.827616576683e-01,        +3.862407560953e-03
 2.40115000e+00,        +1.414213562373e-01,        +2.827617084450e-01,        +3.860301421542e-03
 2.40117500e+00,        +1.414213562373e-01,        +2.827617591996e-01,        +3.858194429977e-03
 2.40120000e+00,        +1.414213562373e-01,        +2.827618099318e-01,        +3.856086584584e-03
 2.40122500e+00,        +1.414213562373e-01,        +2.827618606418e-01,        +3.853977883686e-03
 2.40125000e+00,        +1.414213562373e-01,        +2.827619113293e-01,        +3.851868325601e-03
 2.40127500e+00,        +1.414213562373e-01,        +2.827619619946e-01,        +3.849757908643e-03
 2.40130000e+00,        +1.414213562373e-01,        +2.827620126374e-01,        +3.847646631122e-03
 2.40132500e+00,        +1.414213562373e-01,        +2.827620632578e-01,        +3.845534491343e-03
 2.40135000e+00,        +1.414213562373e-01,        +2.827621138557e-01,        +3.843421487609e-03
 2.40137500e+00,        +1.414213562373e-01,        +2.827621644311e-01,        +3.841307618215e-03
 2.40140000e+00,        +1.414213562373e-01,        +2.827622149841e-01,        +3.839192881454e-03
 2.40142500e+00,        +1.414213562373e-01,        +2.827622655144e-01,        +3.837077275615e-03
 2.40145000e+00,        +1.414213562373e-01,        +2.827623160222e-01,        +3.834960798981e-03
 2.40147500e+00,        +1.414213562373e-01,        +2.827623665074e-01,        +3.832843449834e-03
 2.40150000e+00,        +1.414213562373e-01,        +2.827624169700e-01,        +3.830725226447e-03
 2.40152500e+00,        +1.414213562373e-01,        +2.827624674099e-01,        +3.828606127093e-03
 2.40155000e+00,        +1.414213562373e-01,        +2.827625178270e-01,        +3.826486150037e-03
