        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.)
 2.40000000e+00,        -1.719919165132e-03,        +1.603402768036e+00
 2.40002500e+00,        -1.720297586856e-03,        +1.602563918084e+00
 2.40005000e+00,        -1.720676782524e-03,        +1.601724751950e+00
 2.40007500e+00,        -1.721056754090e-03,        +1.600885269028e+00
 2.40010000e+00,        -1.721437503449e-03,        +1.600045468709e+00
 2.40012500e+00,        -1.721819032527e-03,        +1.599205350384e+00
 2.40015000e+00,        -1.722201343266e-03,        +1.598364913440e+00
 2.40017500e+00,        -1.722584437622e-03,        +1.597524157264e+00
 2.40020000e+00,        -1.722968317518e-03,        +1.596683081243e+00
 2.40022500e+00,        -1.723352984937e-03,        +1.595841684761e+00
 2.40025000e+00,        -1.723738441816e-03,        +1.594999967200e+00
 2.40027500e+00,        -1.724124690113e-03,        +1.594157927941e+00
 2.40030000e+00,        -1.724511731824e-03,        +1.593315566364e+00
 2.40032500e+00,        -1.724899568933e-03,        +1.592472881847e+00
 2.40035000e+00,        -1.725288203421e-03,        +1.591629873766e+00
 2.40037500e+00,        -1.725677637262e-03,        +1.590786541497e+00
 2.40040000e+00,        -1.726067872493e-03,        +1.589942884414e+00
 2.40042500e+00,        -1.726458911089e-03,        +1.589098901887e+00
 2.40045000e+00,        -1.726850755073e-03,        +1.588254593289e+00
 2.40047500e+00,        -1.727243406462e-03,        +1.587409957987e+00
 2.40050000e+00,        -1.727636867315e-03,        +1.586564995348e+00
 2.40052500e+00,        -1.728031139616e-03,        +1.585719704740e+00
 2.40055000e+00,        -1.728426225425e-03,        +1.584874085526e+00
 2.40057500e+00,        -1.728822126803e-03,        +1.584028137069e+00
 2.40060000e+00,        -1.729218845803e-03,        +1.583181858729e+00
 2.40062500e+00,        -1.729616384458e-03,        +1.582335249868e+00
 2.40065000e+00,        -1.730014744858e-03,        +1.581488309842e+00
 2.40067500e+00,        -1.730413929083e-03,        +1.580641038008e+00
 2.40070000e+00,        -1.730813939210e-03,        +1.579793433721e+00
 2.40072500e+00,        -1.731214777316e-03,        +1.578945496333e+00
 2.40075000e+00,        -1.731616445504e-03,        +1.578097225198e+00
 2.40077500e+00,        -1.732018945883e-03,        +1.577248619665e+00
 2.40080000e+00,        -1.732422280536e-03,        +1.576399679081e+00
 2.40082500e+00,        -1.732826451632e-03,        +1.575550402795e+00
 2.40085000e+00,        -1.733231461249e-03,        +1.574700790151e+00
 2.40087500e+00,        -1.733637311521e-03,        +1.573850840493e+00
 2.40090000e+00,        -1.734044004603e-03,        +1.573000553163e+00
 2.40092500e+00,        -1.734451542658e-03,        +1.572149927501e+00
 2.40095000e+00,        -1.734859927782e-03,        +1.571298962846e+00
 2.40097500e+00,        -1.735269162183e-03,        +1.570447658535e+00
 2.40100000e+00,        -1.735679248008e-03,        +1.569596013903e+00
 2.40102500e+00,        -1.736090187440e-03,        +1.568744028284e+00
 2.40105000e+00,        -1.736501982639e-03,        +1.567891701010e+00
 2.40107500e+00,        -1.736914635842e-03,        +1.567039031412e+00
 2.40110000e+00,        -1.737328149191e-03,        +1.566186018818e+00
 2.40112500e+00,        -1.737742524912e-03,        +1.565332662555e+00
 2.40115000e+00,        -1.738157765225e-03,        +1.564478961949e+00
 2.40117500e+00,        -1.738573872323e-03,        +1.563624916323e+00
 2.40120000e+00,        -1.738990848449e-03,        +1.562770524999e+00
 2.40122500e+00,        -1.739408695856e-03,        +1.561915787298e+00
 2.40125000e+00,        -1.739827416750e-03,        +1.561060702539e+00
 2.40127500e+00,        -1.740247013381e-03,        +1.560205270037e+00
 2.40130000e+00,        -1.740667488036e-03,        +1.559349489109e+00
 2.40132500e+00,        -1.741088842940e-03,        +1.558493359068e+00
 2.40135000e+00,        -1.741511080383e-03,        +1.557636879224e+00
 2.40137500e+00,        -1.741934202655e-03,        +1.556780048890e+00
 2.40140000e+00,        -1.742358212038e-03,        +1.555922867371e+00
 2.40142500e+00,        -1.742783110797e-03,        +1.555065333977e+00
 2.40145000e+00,        -1.743208901269e-03,        +1.554207448009e+00
 2.40147500e+00,        -1.743635585758e-03,        +1.553349208773e+00
 2.40150000e+00,        -1.744063166571e-03,        +1.552490615569e+00
 2.40152500e+00,        -1.744491646013e-03,        +1.551631667696e+00
 2.40155000e+00,        -1.744921026455e-03,        +1.550772364453e+00
 2.40157500e+00,        -1.745351310229e-03,        +1.549912705134e+00
 2.40160000e+00,        -1.745782499662e-03,        +1.549052689035e+00
 2.40162500e+00,        -1.746214597148e-03,        +1.548192315447e+00
 2.40165000e+00,        -1.746647605024e-03,        +1.547331583662e+00
 2.40167500e+00,        -1.747081525664e-03,        +1.546470492967e+00
 2.40170000e+00,        -1.747516361451e-03,        +1.545609042650e+00
 2.40172500e+00,        -1.747952114782e-03,        +1.544747231996e+00
 2.40175000e+00,        -1.748388788055e-03,        +1.543885060288e+00
 2.40177500e+00,        -1.748826383674e-03,        +1.543022526807e+00
 2.40180000e+00,        -1.749264904041e-03,        +1.542159630833e+00
 2.40182500e+00,        -1.749704351581e-03,        +1.541296371644e+00
 2.40185000e+00,        -1.750144728724e-03,        +1.540432748517e+00
 2.40187500e+00,        -1.750586037932e-03,        +1.539568760724e+00
 2.40190000e+00,        -1.751028281622e-03,        +1.538704407538e+00
 2.40192500e+00,        -1.751471462255e-03,        +1.537839688229e+00
 2.40195000e+00,        -1.751915582308e-03,        +1.536974602067e+00
 2.40197500e+00,        -1.752360644215e-03,        +1.536109148316e+00
 2.40200000e+00,        -1.752806650501e-03,        +1.535243326244e+00
 2.40202500e+00,        -1.753253603634e-03,        +1.534377135111e+00
 2.40205000e+00,        -1.753701506106e-03,        +1.533510574179e+00
 2.40207500e+00,        -1.754150360449e-03,        +1.532643642707e+00
 2.40210000e+00,        -1.754600169143e-03,        +1.531776339953e+00
 2.40212500e+00,        -1.755050934729e-03,        +1.530908665170e+00
 2.40215000e+00,        -1.755502659742e-03,        +1.530040617614e+00
 2.40217500e+00,        -1.755955346702e-03,        +1.529172196534e+00
 2.40220000e+00,        -1.756408998156e-03,        +1.528303401180e+00
 2.40222500e+00,        -1.756863616710e-03,        +1.527434230801e+00
 2.40225000e+00,        -1.757319204863e-03,        +1.526564684641e+00
 2.40227500e+00,        -1.757775765243e-03,        +1.525694761943e+00
 2.40230000e+00,        -1.758233300403e-03,        +1.524824461951e+00
 2.40232500e+00,        -1.758691812946e-03,        +1.523953783902e+00
 2.40235000e+00,        -1.759151305477e-03,        +1.523082727035e+00
 2.40237500e+00,        -1.759611780589e-03,        +1.522211290586e+00
 2.40240000e+00,        -1.760073240932e-03,        +1.521339473788e+00
 2.40242500e+00,        -1.760535689100e-03,        +1.520467275873e+00
 2.40245000e+00,        -1.760999127753e-03,        +1.519594696071e+00
 2.40247500e+00,        -1.761463559531e-03,        +1.518721733609e+00
 2.40250000e+00,        -1.761928987097e-03,        +1.517848387713e+00
 2.40252500e+00,        -1.762395413098e-03,        +1.516974657607e+00
 2.40255000e+00,        -1.762862840209e-03,        +1.516100542512e+00
 2.40257500e+00,        -1.763331271153e-03,        +1.515226041647e+00
 2.40260000e+00,        -1.763800708567e-03,        +1.514351154232e+00
 2.40262500e+00,        -1.764271155177e-03,        +1.513475879480e+00
 2.40265000e+00,        -1.764742613696e-03,        +1.512600216605e+00
 2.40267500e+00,        -1.765215086848e-03,        +1.511724164820e+00
 2.40270000e+00,        -1.765688577361e-03,        +1.510847723332e+00
 2.40272500e+00,        -1.766163087949e-03,        +1.509970891350e+00
 2.40275000e+00,        -1.766638621420e-03,        +1.509093668078e+00
 2.40277500e+00,        -1.767115180458e-03,        +1.508216052719e+00
 2.40280000e+00,        -1.767592767881e-03,        +1.507338044475e+00
 2.40282500e+00,        -1.768071386445e-03,        +1.506459642545e+00
 2.40285000e+00,        -1.768551038941e-03,        +1.505580846124e+00
 2.40287500e+00,        -1.769031728184e-03,        +1.504701654408e+00
 2.40290000e+00,        -1.769513456943e-03,        +1.503822066589e+00
 2.40292500e+00,        -1.769996228071e-03,        +1.502942081858e+00
 2.40295000e+00,        -1.770480044369e-03,        +1.502061699402e+00
 2.40297500e+00,        -1.770964908701e-03,        +1.501180918408e+00
 2.40300000e+00,        -1.771450823872e-03,        +1.500299738060e+00
 2.40302500e+00,        -1.771937792767e-03,        +1.499418157539e+00
 2.40305000e+00,        -1.772425818245e-03,        +1.498536176026e+00
 2.40307500e+00,        -1.772914903185e-03,        +1.497653792696e+00
 2.40310000e+00,        -1.773405050453e-03,        +1.496771006727e+00
 2.40312500e+00,        -1.773896262960e-03,        +1.495887817289e+00
 2.40315000e+00,        -1.774388543617e-03,        +1.495004223556e+00
 2.40317500e+00,        -1.774881895325e-03,        +1.494120224694e+00
 2.40320000e+00,        -1.775376321029e-03,        +1.493235819870e+00
 2.40322500e+00,        -1.775871823657e-03,        +1.492351008250e+00
 2.40325000e+00,        -1.776368406141e-03,        +1.491465788993e+00
 2.40327500e+00,        -1.776866071444e-03,        +1.490580161261e+00
 2.40330000e+00,        -1.777364822538e-03,        +1.489694124210e+00
 2.40332500e+00,        -1.777864662410e-03,        +1.488807676996e+00
 2.40335000e+00,        -1.778365594032e-03,        +1.487920818772e+00
 2.40337500e+00,        -1.778867620385e-03,        +1.487033548688e+00
 2.40340000e+00,        -1.779370744550e-03,        +1.486145865893e+00
 2.40342500e+00,        -1.779874969460e-03,        +1.485257769532e+00
 2.40345000e+00,        -1.780380298195e-03,        +1.484369258750e+00
 2.40347500e+00,        -1.780886733791e-03,        +1.483480332688e+00
 2.40350000e+00,        -1.781394279267e-03,        +1.482590990486e+00
 2.40352500e+00,        -1.781902937730e-03,        +1.481701231279e+00
 2.40355000e+00,        -1.782412712228e-03,        +1.480811054203e+00
 2.40357500e+00,        -1.782923605845e-03,        +1.479920458390e+00
 2.40360000e+00,        -1.783435621673e-03,        +1.479029442969e+00
 2.40362500e+00,        -1.783948762824e-03,        +1.478138007068e+00
 2.40365000e+00,        -1.784463032428e-03,        +1.477246149813e+00
 2.40367500e+00,        -1.784978433571e-03,        +1.476353870326e+00
 2.40370000e+00,        -1.785494969451e-03,        +1.475461167727e+00
 2.40372500e+00,        -1.786012643158e-03,        +1.474568041134e+00
 2.40375000e+00,        -1.786531457892e-03,        +1.473674489664e+00
 2.40377500e+00,        -1.787051416819e-03,        +1.472780512429e+00
 2.40380000e+00,        -1.787572523106e-03,        +1.471886108539e+00
