        f (GHz),           Re{E_x[1]} (V/m),           Im{E_x[1]} (V/m),           Re{E_y[1]} (V/m),           Im{E_y[1]} (V/m),           Re{E_z[1]} (V/m),           Im{E_z[1]} (V/m),           Re{E_x[2]} (V/m),           Im{E_x[2]} (V/m),           Re{E_y[2]} (V/m),           Im{E_y[2]} (V/m),           Re{E_z[2]} (V/m),           Im{E_z[2]} (V/m),           Re{E_x[3]} (V/m),           Im{E_x[3]} (V/m),           Re{E_y[3]} (V/m),           Im{E_y[3]} (V/m),           Re{E_z[3]} (V/m),           Im{E_z[3]} (V/m),           Re{E_x[4]} (V/m),           Im{E_x[4]} (V/m),           Re{E_y[4]} (V/m),           Im{E_y[4]} (V/m),           Re{E_z[4]} (V/m),           Im{E_z[4]} (V/m),           Re{E_x[5]} (V/m),           Im{E_x[5]} (V/m),           Re{E_y[5]} (V/m),           Im{E_y[5]} (V/m),           Re{E_z[5]} (V/m),           Im{E_z[5]} (V/m),           Re{E_x[6]} (V/m),           Im{E_x[6]} (V/m),           Re{E_y[6]} (V/m),           Im{E_y[6]} (V/m),           Re{E_z[6]} (V/m),           Im{E_z[6]} (V/m),           Re{E_x[7]} (V/m),           Im{E_x[7]} (V/m),           Re{E_y[7]} (V/m),           Im{E_y[7]} (V/m),           Re{E_z[7]} (V/m),           Im{E_z[7]} (V/m),           Re{E_x[8]} (V/m),           Im{E_x[8]} (V/m),           Re{E_y[8]} (V/m),           Im{E_y[8]} (V/m),           Re{E_z[8]} (V/m),           Im{E_z[8]} (V/m)
 2.40000000e+00,        +1.877362103512e+00,        -3.657778257347e-02,        -6.552921684781e-01,        +4.301233435125e-02,        -2.886827358537e-02,        +4.649430817313e-04,        +2.252477623768e+00,        -5.194574957018e-02,        +3.546351947256e+00,        +5.515924360874e-02,        -2.073464620408e-02,        -3.483606296947e-03,        +2.505483035340e+00,        +2.112314099125e-01,        +6.511937158973e+00,        -4.253257721372e-02,        -1.725340499516e-02,        +2.843193804517e-03,        +2.792803291358e+00,        +1.805675926214e-01,        +1.008085644861e+01,        -7.845670682610e-02,        -1.147040614636e-02,        +3.355360292994e-03,        +3.158646249087e+00,        +1.833463855290e-01,        +1.504532666638e+01,        -8.340694100777e-02,        -1.632969045454e-03,        +5.070919440093e-03,        +3.399646541752e+00,        +1.900223584852e-01,        +1.854786522239e+01,        -7.033918103555e-02,        +2.704570284306e-03,        +6.326120645567e-03,        +3.596372436465e+00,        +1.992971744814e-01,        +2.195042020006e+01,        -4.910684564747e-02,        +1.267157076928e-02,        +7.464002171721e-03,        -2.084077285310e+00,        -2.168998220474e-02,        +5.823094163455e+01,        +4.302428729237e-01,        +2.889813980690e-02,        +2.628429039427e-03
 2.40002500e+00,        +1.878789389302e+00,        -3.662170508813e-02,        -6.565033819715e-01,        +4.305520013136e-02,        -2.885796187435e-02,        +4.660367846461e-04,        +2.253857190952e+00,        -5.199189732356e-02,        +3.547926753829e+00,        +5.515864442635e-02,        -2.071906092335e-02,        -3.485381634798e-03,        +2.506825043251e+00,        +2.113367561895e-01,        +6.515455915220e+00,        -4.265091265775e-02,        -1.723530367331e-02,        +2.845535812460e-03,        +2.794100133050e+00,        +1.806421609219e-01,        +1.008672358994e+01,        -7.864546497810e-02,        -1.144907226084e-02,        +3.357832332902e-03,        +3.159865434987e+00,        +1.834072775266e-01,        +1.505444654689e+01,        -8.365560474043e-02,        -1.607255049812e-03,        +5.074167640174e-03,        +3.400803234951e+00,        +1.900763848737e-01,        +1.855927931309e+01,        -7.061709745606e-02,        +2.733521931540e-03,        +6.329992004916e-03,        +3.597448029968e+00,        +1.993467526599e-01,        +2.196406774195e+01,        -4.940625801533e-02,        +1.270537548723e-02,        +7.468293216404e-03,        -2.087473278802e+00,        -2.172371149759e-02,        +5.827272187406e+01,        +4.298977531859e-01,        +2.883996552439e-02,        +2.630099803392e-03
 2.40005000e+00,        +1.880214819853e+00,        -3.666565108383e-02,        -6.577106555361e-01,        +4.309807489670e-02,        -2.884769046905e-02,        +4.671289620163e-04,        +2.255234894198e+00,        -5.203806719035e-02,        +3.549508983221e+00,        +5.515796922359e-02,        -2.070351957208e-02,        -3.487154862637e-03,        +2.508165248270e+00,        +2.114418751260e-01,        +6.518984501740e+00,        -4.276926885994e-02,        -1.721724989284e-02,        +2.847874346542e-03,        +2.795395176679e+00,        +1.807165380146e-01,        +1.009260348851e+01,        -7.883426284774e-02,        -1.142779047803e-02,        +3.360300617428e-03,        +3.161082846608e+00,        +1.834679907988e-01,        +1.506358325381e+01,        -8.390436663234e-02,        -1.581596852197e-03,        +5.077410738201e-03,        +3.401958178585e+00,        +1.901302375708e-01,        +1.857071309981e+01,        -7.089515412957e-02,        +2.762414500494e-03,        +6.333857409622e-03,        +3.598521887121e+00,        +1.993961604571e-01,        +2.197773778531e+01,        -4.970584433055e-02,        +1.273911911945e-02,        +7.472577574423e-03,        -2.090869492029e+00,        -2.175739926512e-02,        +5.831455827796e+01,        +4.295518296034e-01,        +2.878170819913e-02,        +2.631769610001e-03
 2.40007500e+00,        +1.881638398245e+00,        -3.670962046685e-02,        -6.589139915512e-01,        +4.314095842209e-02,        -2.883745928155e-02,        +4.682196186087e-04,        +2.256610736552e+00,        -5.208425907929e-02,        +3.551098639607e+00,        +5.515721754963e-02,        -2.068802205052e-02,        -3.488925981572e-03,        +2.509503653333e+00,        +2.115467671376e-01,        +6.522522927327e+00,        -4.288764660978e-02,        -1.719924355169e-02,        +2.850209414748e-03,        +2.796688425161e+00,        +1.807907242547e-01,        +1.009849615865e+01,        -7.902310148421e-02,        -1.140656068997e-02,        +3.362765155176e-03,        +3.162298486805e+00,        +1.835285256779e-01,        +1.507273680916e+01,        -8.415322801256e-02,        -1.555994338024e-03,        +5.080648744792e-03,        +3.403111375452e+00,        +1.901839168980e-01,        +1.858216660996e+01,        -7.117335255342e-02,        +2.791248111117e-03,        +6.337716871916e-03,        +3.599594010627e+00,        +1.994453981887e-01,        +2.199143036281e+01,        -5.000560623914e-02,        +1.277280179465e-02,        +7.476855259205e-03,        -2.094265924281e+00,        -2.179104544650e-02,        +5.835645094565e+01,        +4.292050991956e-01,        +2.872336764318e-02,        +2.633438466111e-03
 2.40010000e+00,        +1.883060127554e+00,        -3.675361314392e-02,        -6.601133923787e-01,        +4.318385048286e-02,        -2.882726822411e-02,        +4.693087591918e-04,        +2.257984721057e+00,        -5.213047289960e-02,        +3.552695727198e+00,        +5.515638895344e-02,        -2.067256825918e-02,        -3.490694992696e-03,        +2.510840261370e+00,        +2.116514326389e-01,        +6.526071200822e+00,        -4.300604669706e-02,        -1.718128454800e-02,        +2.852541025054e-03,        +2.797979881409e+00,        +1.808647199964e-01,        +1.010440161478e+01,        -7.921198193739e-02,        -1.138538278894e-02,        +3.365225954741e-03,        +3.163512358424e+00,        +1.835888824948e-01,        +1.508190723504e+01,        -8.440219021146e-02,        -1.530447392981e-03,        +5.083881670550e-03,        +3.404262828343e+00,        +1.902374231754e-01,        +1.859363987106e+01,        -7.145169422670e-02,        +2.820022883090e-03,        +6.341570404012e-03,        +3.600664403179e+00,        +1.994944661696e-01,        +2.200514550727e+01,        -5.030554538928e-02,        +1.280642364123e-02,        +7.481126284155e-03,        -2.097662574847e+00,        -2.182464998083e-02,        +5.839839997681e+01,        +4.288575589736e-01,        +2.866494366820e-02,        +2.635106378585e-03
 2.40012500e+00,        +1.884480010847e+00,        -3.679762902231e-02,        -6.613088603635e-01,        +4.322675085485e-02,        -2.881711720921e-02,        +4.703963885081e-04,        +2.259356850746e+00,        -5.217670856098e-02,        +3.554300250237e+00,        +5.515548298383e-02,        -2.065715809878e-02,        -3.492461897114e-03,        +2.512175075304e+00,        +2.117558720428e-01,        +6.529629331107e+00,        -4.312446991172e-02,        -1.716337278019e-02,        +2.854869185402e-03,        +2.799269548323e+00,        +1.809385255927e-01,        +1.011031987134e+01,        -7.940090525766e-02,        -1.136425666752e-02,        +3.367683024680e-03,        +3.164724464305e+00,        +1.836490615796e-01,        +1.509109455362e+01,        -8.465125456056e-02,        -1.504955903031e-03,        +5.087109526034e-03,        +3.405412540039e+00,        +1.902907567221e-01,        +1.860513291073e+01,        -7.173018065011e-02,        +2.848738935779e-03,        +6.345418018074e-03,        +3.601733067465e+00,        +1.995433647132e-01,        +2.201888325158e+01,        -5.060566343114e-02,        +1.283998478731e-02,        +7.485390662624e-03,        -2.101059443016e+00,        -2.185821280738e-02,        +5.844040547139e+01,        +4.285092059409e-01,        +2.860643608548e-02,        +2.636773354293e-03
 2.40015000e+00,        +1.885898051180e+00,        -3.684166800942e-02,        -6.625003978326e-01,        +4.326965931387e-02,        -2.880700614958e-02,        +4.714825112897e-04,        +2.260727128643e+00,        -5.222296597329e-02,        +3.555912213004e+00,        +5.515449918878e-02,        -2.064179147029e-02,        -3.494226695928e-03,        +2.513508098048e+00,        +2.118600857613e-01,        +6.533197327113e+00,        -4.324291704454e-02,        -1.714550814692e-02,        +2.857193903714e-03,        +2.800557428800e+00,        +1.810121413955e-01,        +1.011625094286e+01,        -7.958987249666e-02,        -1.134318221852e-02,        +3.370136373530e-03,        +3.165934807279e+00,        +1.837090632615e-01,        +1.510029878715e+01,        -8.490042239336e-02,        -1.479519754429e-03,        +5.090332321778e-03,        +3.406560513316e+00,        +1.903439178566e-01,        +1.861664575666e+01,        -7.200881332680e-02,        +2.877396388262e-03,        +6.349259726235e-03,        +3.602800006165e+00,        +1.995920941324e-01,        +2.203264362874e+01,        -5.090596201782e-02,        +1.287348536069e-02,        +7.489648407931e-03,        -2.104456528077e+00,        -2.189173386524e-02,        +5.848246752960e+01,        +4.281600370911e-01,        +2.854784470590e-02,        +2.638439400114e-03
 2.40017500e+00,        +1.887314251606e+00,        -3.688573001335e-02,        -6.636880070962e-01,        +4.331257563658e-02,        -2.879693495810e-02,        +4.725671322486e-04,        +2.262095557765e+00,        -5.226924504708e-02,        +3.557531619809e+00,        +5.515343711648e-02,        -2.062646827488e-02,        -3.495989390245e-03,        +2.514839332512e+00,        +2.119640742051e-01,        +6.536775197816e+00,        -4.336138888616e-02,        -1.712769054707e-02,        +2.859515187882e-03,        +2.801843525727e+00,        +1.810855677557e-01,        +1.012219484391e+01,        -7.977888470625e-02,        -1.132215933503e-02,        +3.372586009796e-03,        +3.167143390169e+00,        +1.837688878683e-01,        +1.510951995795e+01,        -8.514969504416e-02,        -1.454138833687e-03,        +5.093550068274e-03,        +3.407706750941e+00,        +1.903969068958e-01,        +1.862817843666e+01,        -7.228759376118e-02,        +2.905995359339e-03,        +6.353095540589e-03,        +3.603865221950e+00,        +1.996406547389e-01,        +2.204642667188e+01,        -5.120644280400e-02,        +1.290692548889e-02,        +7.493899533347e-03,        -2.107853829315e+00,        -2.192521309364e-02,        +5.852458625191e+01,        +4.278100494108e-01,        +2.848916933995e-02,        +2.640104522932e-03
 2.40020000e+00,        +1.888728615167e+00,        -3.692981494252e-02,        -6.648716904467e-01,        +4.335549959986e-02,        -2.878690354792e-02,        +4.736502560884e-04,        +2.263462141121e+00,        -5.231554569320e-02,        +3.559158475000e+00,        +5.515229631461e-02,        -2.061118841396e-02,        -3.497749981169e-03,        +2.516168781592e+00,        +2.120678377834e-01,        +6.540362952236e+00,        -4.347988622773e-02,        -1.710991987980e-02,        +2.861833045780e-03,        +2.803127841983e+00,        +1.811588050229e-01,        +1.012815158914e+01,        -7.996794293920e-02,        -1.130118791041e-02,        +3.375031941962e-03,        +3.168350215794e+00,        +1.838285357269e-01,        +1.511875808843e+01,        -8.539907384883e-02,        -1.428813027617e-03,        +5.096762775991e-03,        +3.408851255675e+00,        +1.904497241560e-01,        +1.863973097861e+01,        -7.256652345969e-02,        +2.934535967507e-03,        +6.356925473194e-03,        +3.604928717486e+00,        +1.996890468433e-01,        +2.206023241421e+01,        -5.150710744686e-02,        +1.294030529911e-02,        +7.498144052109e-03,        -2.111251346019e+00,        -2.195865043184e-02,        +5.856676173908e+01,        +4.274592398777e-01,        +2.843040979771e-02,        +2.641768729641e-03
 2.40022500e+00,        +1.890141144898e+00,        -3.697392270564e-02,        -6.660514501593e-01,        +4.339843098077e-02,        -2.877691183237e-02,        +4.747318874995e-04,        +2.264826881713e+00,        -5.236186782281e-02,        +3.560792782955e+00,        +5.515107633029e-02,        -2.059595178919e-02,        -3.499508469799e-03,        +2.517496448182e+00,        +2.121713769046e-01,        +6.543960599441e+00,        -4.359840986101e-02,        -1.709219604447e-02,        +2.864147485258e-03,        +2.804410380442e+00,        +1.812318535459e-01,        +1.013412119323e+01,        -8.015704824926e-02,        -1.128026783826e-02,        +3.377474178489e-03,        +3.169555286960e+00,        +1.838880071634e-01,        +1.512801320109e+01,        -8.564856014497e-02,        -1.403542223290e-03,        +5.099970455365e-03,        +3.409994030270e+00,        +1.905023699522e-01,        +1.865130341048e+01,        -7.284560393096e-02,        +2.963018330973e-03,        +6.360749536078e-03,        +3.605990495430e+00,        +1.997372707553e-01,        +2.207406088905e+01,        -5.180795760622e-02,        +1.297362491829e-02,        +7.502381977416e-03,        -2.114649077473e+00,        -2.199204581895e-02,        +5.860899409211e+01,        +4.271076054605e-01,        +2.837156588888e-02,        +2.643432027138e-03
