        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],              E_elec[2] (J),                  p_elec[2],               E_mag[2] (J),                   p_mag[2],              E_elec[3] (J),                  p_elec[3],               E_mag[3] (J),                   p_mag[3],              E_elec[4] (J),                  p_elec[4],               E_mag[4] (J),                   p_mag[4],              E_elec[5] (J),                  p_elec[5],               E_mag[5] (J),                   p_mag[5],              E_elec[6] (J),                  p_elec[6],               E_mag[6] (J),                   p_mag[6]
 2.40000000e+00,        +5.218096816291e-09,        +5.257620656504e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +2.415882196256e-12,        +4.629814818141e-04,        +1.796433359073e-11,        +3.416818132079e-03,        +1.961922697320e-09,        +3.759843418763e-01,        +1.720854259518e-09,        +3.273066605498e-01,        +3.986424407424e-10,        +7.639613728473e-02,        +6.195761797191e-10,        +1.178434543300e-01,        +1.029992727658e-09,        +1.973885813009e-01,        +8.883465575107e-10,        +1.689636083599e-01,        +1.076236115022e-09,        +2.062506988491e-01,        +1.006861301871e-09,        +1.915051251606e-01,        +7.030630037801e-10,        +1.347355230331e-01,        +8.701013154245e-10,        +1.654933614026e-01
 2.40002500e+00,        +5.207596724045e-09,        +5.247207838650e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +2.409192236243e-12,        +4.626303386972e-04,        +1.791737737045e-11,        +3.414649833092e-03,        +1.958506140014e-09,        +3.760863683954e-01,        +1.718355049253e-09,        +3.274798906565e-01,        +3.978722961867e-10,        +7.640228636553e-02,        +6.181507845328e-10,        +1.178056603704e-01,        +1.027377287124e-09,        +1.972843408515e-01,        +8.861206687971e-10,        +1.688747036605e-01,        +1.073986944490e-09,        +2.062346609006e-01,        +1.004779347136e-09,        +1.914883835427e-01,        +7.017473288368e-10,        +1.347545453350e-01,        +8.682739086409e-10,        +1.654735118829e-01
 2.40005000e+00,        +5.197133080622e-09,        +5.236831182397e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +2.402526198213e-12,        +4.622791375444e-04,        +1.787058969843e-11,        +3.412481532439e-03,        +1.955100764856e-09,        +3.761883204696e-01,        +1.715863756543e-09,        +3.276530590314e-01,        +3.971051146279e-10,        +7.640849454261e-02,        +6.167307308177e-10,        +1.177679228788e-01,        +1.024771223915e-09,        +1.971801006473e-01,        +8.839026928661e-10,        +1.687857908877e-01,        +1.071745738691e-09,        +2.062186444074e-01,        +1.002704786757e-09,        +1.914716651793e-01,        +7.004361356785e-10,        +1.347735616566e-01,        +8.664527934426e-10,        +1.654536423391e-01
 2.40007500e+00,        +5.186705742508e-09,        +5.226490545267e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +2.395883982953e-12,        +4.619278790616e-04,        +1.782396988580e-11,        +3.410313236278e-03,        +1.951706528824e-09,        +3.762901976159e-01,        +1.713380351742e-09,        +3.278261649768e-01,        +3.963408841827e-10,        +7.641476186600e-02,        +6.153159965699e-10,        +1.177302419742e-01,        +1.022174499478e-09,        +1.970758609074e-01,        +8.816925975585e-10,        +1.686968702846e-01,        +1.069512466565e-09,        +2.062026495546e-01,        +1.000637591695e-09,        +1.914549702191e-01,        +6.991294073029e-10,        +1.347925720122e-01,        +8.646379454379e-10,        +1.654337529073e-01
 2.40010000e+00,        +5.176314566761e-09,        +5.216185785351e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +2.389265491667e-12,        +4.615765639533e-04,        +1.777751724655e-11,        +3.408144950756e-03,        +1.948323389058e-09,        +3.763919993520e-01,        +1.710904805311e-09,        +3.279992077959e-01,        +3.955795930172e-10,        +7.642108838542e-02,        +6.139065598790e-10,        +1.176926177751e-01,        +1.019587075424e-09,        +1.969716218506e-01,        +8.794903508487e-10,        +1.686079420941e-01,        +1.067287097176e-09,        +2.061866765265e-01,        +9.985777330260e-10,        +1.914382988103e-01,        +6.978271267735e-10,        +1.348115764166e-01,        +8.628293403303e-10,        +1.654138437234e-01
 2.40012500e+00,        +5.165959411010e-09,        +5.205916761306e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +2.382670625974e-12,        +4.612251929227e-04,        +1.773123109751e-11,        +3.405976682013e-03,        +1.944951302864e-09,        +3.764937251962e-01,        +1.708437087819e-09,        +3.281721867929e-01,        +3.948212293468e-10,        +7.642747415036e-02,        +6.125023989282e-10,        +1.176550503997e-01,        +1.017008913525e-09,        +1.968673836960e-01,        +8.772959208447e-10,        +1.685190065591e-01,        +1.065069599707e-09,        +2.061707255069e-01,        +9.965251819423e-10,        +1.914216511008e-01,        +6.965292772196e-10,        +1.348305748851e-01,        +8.610269539186e-10,        +1.653939149236e-01
 2.40015000e+00,        +5.155640133452e-09,        +5.195683332354e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +2.376099287910e-12,        +4.608737666722e-04,        +1.768511075837e-11,        +3.403808436177e-03,        +1.941590227706e-09,        +3.765953746672e-01,        +1.705977169943e-09,        +3.283451012728e-01,        +3.940657814363e-10,        +7.643391921003e-02,        +6.111034919941e-10,        +1.176175399661e-01,        +1.014439975718e-09,        +1.967631466625e-01,        +8.751092757871e-10,        +1.684300639221e-01,        +1.062859943462e-09,        +2.061547966790e-01,        +9.944799097497e-10,        +1.914050272381e-01,        +6.952358418360e-10,        +1.348495674330e-01,        +8.592307620966e-10,        +1.653739666438e-01
 2.40017500e+00,        +5.145356592851e-09,        +5.185485358282e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +2.369551379924e-12,        +4.605222859026e-04,        +1.763915555168e-11,        +3.401640219369e-03,        +1.938240121216e-09,        +3.766969472842e-01,        +1.703525022467e-09,        +3.285179505418e-01,        +3.933132375995e-10,        +7.644042361340e-02,        +6.097098174461e-10,        +1.175800865916e-01,        +1.011880224098e-09,        +1.966589109692e-01,        +8.729303840493e-10,        +1.683411144253e-01,        +1.060658097864e-09,        +2.061388902253e-01,        +9.924418878686e-10,        +1.913884273694e-01,        +6.939468038832e-10,        +1.348685540760e-01,        +8.574407408528e-10,        +1.653539990202e-01
 2.40020000e+00,        +5.135108648537e-09,        +5.175322699438e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +2.363026804875e-12,        +4.601707513136e-04,        +1.759336480281e-11,        +3.399472037698e-03,        +1.934900941182e-09,        +3.767984425672e-01,        +1.701080616282e-09,        +3.286907339067e-01,        +3.925635861994e-10,        +7.644698740916e-02,        +6.083213537464e-10,        +1.175426903935e-01,        +1.009329620926e-09,        +1.965546768351e-01,        +8.707592141366e-10,        +1.682521583110e-01,        +1.058464032457e-09,        +2.061230063279e-01,        +9.904110878341e-10,        +1.913718516416e-01,        +6.926621466866e-10,        +1.348875348302e-01,        +8.556568662703e-10,        +1.653340121889e-01
 2.40022500e+00,        +5.124896160406e-09,        +5.165195216732e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +2.356525466034e-12,        +4.598191636038e-04,        +1.754773783994e-11,        +3.397303897265e-03,        +1.931572645558e-09,        +3.768998600364e-01,        +1.698643922387e-09,        +3.288634506755e-01,        +3.918168156477e-10,        +7.645361064578e-02,        +6.069380794495e-10,        +1.175053514886e-01,        +1.006788128621e-09,        +1.964504444790e-01,        +8.685957346863e-10,        +1.681631958212e-01,        +1.056277716905e-09,        +2.061071451683e-01,        +9.883874812949e-10,        +1.913553002011e-01,        +6.913818536370e-10,        +1.349065097120e-01,        +8.538791145267e-10,        +1.653140062859e-01
