        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.)
 2.40000000e+00,        -7.680834387623e-02,        +1.424028256381e+02
 2.40002500e+00,        -7.669515853911e-02,        +1.423078035558e+02
 2.40005000e+00,        -7.658231752052e-02,        +1.422129722536e+02
 2.40007500e+00,        -7.646981952970e-02,        +1.421183310649e+02
 2.40010000e+00,        -7.635766328054e-02,        +1.420238793258e+02
 2.40012500e+00,        -7.624584749151e-02,        +1.419296163748e+02
 2.40015000e+00,        -7.613437088577e-02,        +1.418355415534e+02
 2.40017500e+00,        -7.602323219103e-02,        +1.417416542054e+02
 2.40020000e+00,        -7.591243013968e-02,        +1.416479536773e+02
 2.40022500e+00,        -7.580196346866e-02,        +1.415544393184e+02
 2.40025000e+00,        -7.569183091954e-02,        +1.414611104804e+02
 2.40027500e+00,        -7.558203123846e-02,        +1.413679665175e+02
 2.40030000e+00,        -7.547256317617e-02,        +1.412750067866e+02
 2.40032500e+00,        -7.536342548795e-02,        +1.411822306473e+02
 2.40035000e+00,        -7.525461693369e-02,        +1.410896374613e+02
 2.40037500e+00,        -7.514613627783e-02,        +1.409972265933e+02
 2.40040000e+00,        -7.503798228934e-02,        +1.409049974103e+02
 2.40042500e+00,        -7.493015374176e-02,        +1.408129492819e+02
 2.40045000e+00,        -7.482264941314e-02,        +1.407210815801e+02
 2.40047500e+00,        -7.471546808607e-02,        +1.406293936795e+02
 2.40050000e+00,        -7.460860854765e-02,        +1.405378849571e+02
 2.40052500e+00,        -7.450206958951e-02,        +1.404465547925e+02
 2.40055000e+00,        -7.439585000775e-02,        +1.403554025675e+02
 2.40057500e+00,        -7.428994860299e-02,        +1.402644276668e+02
 2.40060000e+00,        -7.418436418029e-02,        +1.401736294770e+02
 2.40062500e+00,        -7.407909554922e-02,        +1.400830073876e+02
 2.40065000e+00,        -7.397414152380e-02,        +1.399925607903e+02
 2.40067500e+00,        -7.386950092249e-02,        +1.399022890792e+02
 2.40070000e+00,        -7.376517256822e-02,        +1.398121916509e+02
 2.40072500e+00,        -7.366115528834e-02,        +1.397222679043e+02
 2.40075000e+00,        -7.355744791461e-02,        +1.396325172408e+02
 2.40077500e+00,        -7.345404928322e-02,        +1.395429390640e+02
 2.40080000e+00,        -7.335095823476e-02,        +1.394535327799e+02
 2.40082500e+00,        -7.324817361422e-02,        +1.393642977971e+02
 2.40085000e+00,        -7.314569427096e-02,        +1.392752335263e+02
 2.40087500e+00,        -7.304351905872e-02,        +1.391863393805e+02
 2.40090000e+00,        -7.294164683559e-02,        +1.390976147752e+02
 2.40092500e+00,        -7.284007646405e-02,        +1.390090591281e+02
 2.40095000e+00,        -7.273880681086e-02,        +1.389206718592e+02
 2.40097500e+00,        -7.263783674717e-02,        +1.388324523908e+02
 2.40100000e+00,        -7.253716514841e-02,        +1.387444001476e+02
 2.40102500e+00,        -7.243679089433e-02,        +1.386565145565e+02
 2.40105000e+00,        -7.233671286900e-02,        +1.385687950465e+02
 2.40107500e+00,        -7.223692996073e-02,        +1.384812410491e+02
 2.40110000e+00,        -7.213744106214e-02,        +1.383938519980e+02
 2.40112500e+00,        -7.203824507011e-02,        +1.383066273290e+02
 2.40115000e+00,        -7.193934088575e-02,        +1.382195664802e+02
 2.40117500e+00,        -7.184072741446e-02,        +1.381326688919e+02
 2.40120000e+00,        -7.174240356582e-02,        +1.380459340068e+02
 2.40122500e+00,        -7.164436825365e-02,        +1.379593612695e+02
