        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V)
 2.40000000e+00,        +7.071067811865e+00,        +1.517845535363e+00,        +4.276120599270e+00
 2.40002500e+00,        +7.071067811865e+00,        +1.524872621860e+00,        +4.285380288085e+00
 2.40005000e+00,        +7.071067811865e+00,        +1.531901066780e+00,        +4.294609816412e+00
 2.40007500e+00,        +7.071067811865e+00,        +1.538930807485e+00,        +4.303809292781e+00
 2.40010000e+00,        +7.071067811865e+00,        +1.545961781945e+00,        +4.312978825346e+00
 2.40012500e+00,        +7.071067811865e+00,        +1.552993928732e+00,        +4.322118521879e+00
 2.40015000e+00,        +7.071067811865e+00,        +1.560027187009e+00,        +4.331228489779e+00
 2.40017500e+00,        +7.071067811865e+00,        +1.567061496533e+00,        +4.340308836063e+00
 2.40020000e+00,        +7.071067811865e+00,        +1.574096797647e+00,        +4.349359667373e+00
 2.40022500e+00,        +7.071067811865e+00,        +1.581133031271e+00,        +4.358381089974e+00
 2.40025000e+00,        +7.071067811865e+00,        +1.588170138905e+00,        +4.367373209756e+00
 2.40027500e+00,        +7.071067811865e+00,        +1.595208062618e+00,        +4.376336132231e+00
 2.40030000e+00,        +7.071067811865e+00,        +1.602246745045e+00,        +4.385269962538e+00
 2.40032500e+00,        +7.071067811865e+00,        +1.609286129383e+00,        +4.394174805439e+00
 2.40035000e+00,        +7.071067811865e+00,        +1.616326159387e+00,        +4.403050765324e+00
 2.40037500e+00,        +7.071067811865e+00,        +1.623366779362e+00,        +4.411897946208e+00
 2.40040000e+00,        +7.071067811865e+00,        +1.630407934164e+00,        +4.420716451734e+00
 2.40042500e+00,        +7.071067811865e+00,        +1.637449569187e+00,        +4.429506385170e+00
 2.40045000e+00,        +7.071067811865e+00,        +1.644491630369e+00,        +4.438267849415e+00
 2.40047500e+00,        +7.071067811865e+00,        +1.651534064178e+00,        +4.447000946995e+00
 2.40050000e+00,        +7.071067811865e+00,        +1.658576817614e+00,        +4.455705780065e+00
 2.40052500e+00,        +7.071067811865e+00,        +1.665619838199e+00,        +4.464382450410e+00
 2.40055000e+00,        +7.071067811865e+00,        +1.672663073980e+00,        +4.473031059445e+00
 2.40057500e+00,        +7.071067811865e+00,        +1.679706473516e+00,        +4.481651708218e+00
 2.40060000e+00,        +7.071067811865e+00,        +1.686749985881e+00,        +4.490244497405e+00
 2.40062500e+00,        +7.071067811865e+00,        +1.693793560654e+00,        +4.498809527318e+00
 2.40065000e+00,        +7.071067811865e+00,        +1.700837147921e+00,        +4.507346897900e+00
 2.40067500e+00,        +7.071067811865e+00,        +1.707880698264e+00,        +4.515856708728e+00
 2.40070000e+00,        +7.071067811865e+00,        +1.714924162761e+00,        +4.524339059014e+00
 2.40072500e+00,        +7.071067811865e+00,        +1.721967492981e+00,        +4.532794047603e+00
 2.40075000e+00,        +7.071067811865e+00,        +1.729010640980e+00,        +4.541221772979e+00
 2.40077500e+00,        +7.071067811865e+00,        +1.736053559296e+00,        +4.549622333260e+00
 2.40080000e+00,        +7.071067811865e+00,        +1.743096200945e+00,        +4.557995826201e+00
 2.40082500e+00,        +7.071067811865e+00,        +1.750138519419e+00,        +4.566342349197e+00
 2.40085000e+00,        +7.071067811865e+00,        +1.757180468679e+00,        +4.574661999280e+00
 2.40087500e+00,        +7.071067811865e+00,        +1.764222003154e+00,        +4.582954873122e+00
 2.40090000e+00,        +7.071067811865e+00,        +1.771263077734e+00,        +4.591221067036e+00
 2.40092500e+00,        +7.071067811865e+00,        +1.778303647768e+00,        +4.599460676974e+00
 2.40095000e+00,        +7.071067811865e+00,        +1.785343669062e+00,        +4.607673798532e+00
 2.40097500e+00,        +7.071067811865e+00,        +1.792383097869e+00,        +4.615860526947e+00
 2.40100000e+00,        +7.071067811865e+00,        +1.799421890894e+00,        +4.624020957100e+00
 2.40102500e+00,        +7.071067811865e+00,        +1.806460005280e+00,        +4.632155183516e+00
 2.40105000e+00,        +7.071067811865e+00,        +1.813497398615e+00,        +4.640263300365e+00
 2.40107500e+00,        +7.071067811865e+00,        +1.820534028918e+00,        +4.648345401463e+00
 2.40110000e+00,        +7.071067811865e+00,        +1.827569854644e+00,        +4.656401580273e+00
 2.40112500e+00,        +7.071067811865e+00,        +1.834604834675e+00,        +4.664431929905e+00
 2.40115000e+00,        +7.071067811865e+00,        +1.841638928317e+00,        +4.672436543117e+00
 2.40117500e+00,        +7.071067811865e+00,        +1.848672095299e+00,        +4.680415512317e+00
 2.40120000e+00,        +7.071067811865e+00,        +1.855704295768e+00,        +4.688368929562e+00
 2.40122500e+00,        +7.071067811865e+00,        +1.862735490284e+00,        +4.696296886561e+00
 2.40125000e+00,        +7.071067811865e+00,        +1.869765639817e+00,        +4.704199474675e+00
 2.40127500e+00,        +7.071067811865e+00,        +1.876794705746e+00,        +4.712076784915e+00
 2.40130000e+00,        +7.071067811865e+00,        +1.883822649853e+00,        +4.719928907950e+00
 2.40132500e+00,        +7.071067811865e+00,        +1.890849434320e+00,        +4.727755934100e+00
 2.40135000e+00,        +7.071067811865e+00,        +1.897875021727e+00,        +4.735557953340e+00
 2.40137500e+00,        +7.071067811865e+00,        +1.904899375047e+00,        +4.743335055305e+00
 2.40140000e+00,        +7.071067811865e+00,        +1.911922457642e+00,        +4.751087329284e+00
 2.40142500e+00,        +7.071067811865e+00,        +1.918944233264e+00,        +4.758814864223e+00
 2.40145000e+00,        +7.071067811865e+00,        +1.925964666044e+00,        +4.766517748732e+00
 2.40147500e+00,        +7.071067811865e+00,        +1.932983720498e+00,        +4.774196071074e+00
 2.40150000e+00,        +7.071067811865e+00,        +1.940001361516e+00,        +4.781849919179e+00
 2.40152500e+00,        +7.071067811865e+00,        +1.947017554363e+00,        +4.789479380636e+00
 2.40155000e+00,        +7.071067811865e+00,        +1.954032264675e+00,        +4.797084542696e+00
 2.40157500e+00,        +7.071067811865e+00,        +1.961045458455e+00,        +4.804665492275e+00
 2.40160000e+00,        +7.071067811865e+00,        +1.968057102071e+00,        +4.812222315953e+00
 2.40162500e+00,        +7.071067811865e+00,        +1.975067162251e+00,        +4.819755099975e+00
 2.40165000e+00,        +7.071067811865e+00,        +1.982075606083e+00,        +4.827263930255e+00
 2.40167500e+00,        +7.071067811865e+00,        +1.989082401009e+00,        +4.834748892371e+00
 2.40170000e+00,        +7.071067811865e+00,        +1.996087514823e+00,        +4.842210071572e+00
 2.40172500e+00,        +7.071067811865e+00,        +2.003090915669e+00,        +4.849647552774e+00
 2.40175000e+00,        +7.071067811865e+00,        +2.010092572036e+00,        +4.857061420565e+00
 2.40177500e+00,        +7.071067811865e+00,        +2.017092452758e+00,        +4.864451759204e+00
 2.40180000e+00,        +7.071067811865e+00,        +2.024090527007e+00,        +4.871818652623e+00
 2.40182500e+00,        +7.071067811865e+00,        +2.031086764293e+00,        +4.879162184425e+00
 2.40185000e+00,        +7.071067811865e+00,        +2.038081134463e+00,        +4.886482437889e+00
 2.40187500e+00,        +7.071067811865e+00,        +2.045073607691e+00,        +4.893779495969e+00
 2.40190000e+00,        +7.071067811865e+00,        +2.052064154483e+00,        +4.901053441294e+00
 2.40192500e+00,        +7.071067811865e+00,        +2.059052745670e+00,        +4.908304356173e+00
 2.40195000e+00,        +7.071067811865e+00,        +2.066039352407e+00,        +4.915532322589e+00
 2.40197500e+00,        +7.071067811865e+00,        +2.073023946168e+00,        +4.922737422208e+00
 2.40200000e+00,        +7.071067811865e+00,        +2.080006498744e+00,        +4.929919736375e+00
 2.40202500e+00,        +7.071067811865e+00,        +2.086986982244e+00,        +4.937079346113e+00
 2.40205000e+00,        +7.071067811865e+00,        +2.093965369087e+00,        +4.944216332132e+00
 2.40207500e+00,        +7.071067811865e+00,        +2.100941632000e+00,        +4.951330774822e+00
 2.40210000e+00,        +7.071067811865e+00,        +2.107915744020e+00,        +4.958422754258e+00
 2.40212500e+00,        +7.071067811865e+00,        +2.114887678487e+00,        +4.965492350201e+00
 2.40215000e+00,        +7.071067811865e+00,        +2.121857409041e+00,        +4.972539642096e+00
 2.40217500e+00,        +7.071067811865e+00,        +2.128824909624e+00,        +4.979564709077e+00
 2.40220000e+00,        +7.071067811865e+00,        +2.135790154472e+00,        +4.986567629965e+00
 2.40222500e+00,        +7.071067811865e+00,        +2.142753118116e+00,        +4.993548483271e+00
 2.40225000e+00,        +7.071067811865e+00,        +2.149713775377e+00,        +5.000507347196e+00
 2.40227500e+00,        +7.071067811865e+00,        +2.156672101367e+00,        +5.007444299632e+00
 2.40230000e+00,        +7.071067811865e+00,        +2.163628071483e+00,        +5.014359418162e+00
 2.40232500e+00,        +7.071067811865e+00,        +2.170581661406e+00,        +5.021252780065e+00
 2.40235000e+00,        +7.071067811865e+00,        +2.177532847099e+00,        +5.028124462312e+00
 2.40237500e+00,        +7.071067811865e+00,        +2.184481604802e+00,        +5.034974541569e+00
 2.40240000e+00,        +7.071067811865e+00,        +2.191427911035e+00,        +5.041803094200e+00
 2.40242500e+00,        +7.071067811865e+00,        +2.198371742590e+00,        +5.048610196265e+00
 2.40245000e+00,        +7.071067811865e+00,        +2.205313076530e+00,        +5.055395923521e+00
 2.40247500e+00,        +7.071067811865e+00,        +2.212251890189e+00,        +5.062160351428e+00
 2.40250000e+00,        +7.071067811865e+00,        +2.219188161169e+00,        +5.068903555143e+00
 2.40252500e+00,        +7.071067811865e+00,        +2.226121867335e+00,        +5.075625609525e+00
 2.40255000e+00,        +7.071067811865e+00,        +2.233052986816e+00,        +5.082326589137e+00
 2.40257500e+00,        +7.071067811865e+00,        +2.239981497999e+00,        +5.089006568243e+00
 2.40260000e+00,        +7.071067811865e+00,        +2.246907379533e+00,        +5.095665620812e+00
 2.40262500e+00,        +7.071067811865e+00,        +2.253830610318e+00,        +5.102303820520e+00
 2.40265000e+00,        +7.071067811865e+00,        +2.260751169511e+00,        +5.108921240748e+00
 2.40267500e+00,        +7.071067811865e+00,        +2.267669036521e+00,        +5.115517954584e+00
 2.40270000e+00,        +7.071067811865e+00,        +2.274584191003e+00,        +5.122094034825e+00
 2.40272500e+00,        +7.071067811865e+00,        +2.281496612861e+00,        +5.128649553978e+00
 2.40275000e+00,        +7.071067811865e+00,        +2.288406282244e+00,        +5.135184584259e+00
 2.40277500e+00,        +7.071067811865e+00,        +2.295313179543e+00,        +5.141699197598e+00
 2.40280000e+00,        +7.071067811865e+00,        +2.302217285392e+00,        +5.148193465635e+00
 2.40282500e+00,        +7.071067811865e+00,        +2.309118580659e+00,        +5.154667459725e+00
 2.40285000e+00,        +7.071067811865e+00,        +2.316017046454e+00,        +5.161121250936e+00
 2.40287500e+00,        +7.071067811865e+00,        +2.322912664117e+00,        +5.167554910054e+00
 2.40290000e+00,        +7.071067811865e+00,        +2.329805415223e+00,        +5.173968507578e+00
 2.40292500e+00,        +7.071067811865e+00,        +2.336695281577e+00,        +5.180362113729e+00
 2.40295000e+00,        +7.071067811865e+00,        +2.343582245211e+00,        +5.186735798442e+00
 2.40297500e+00,        +7.071067811865e+00,        +2.350466288385e+00,        +5.193089631376e+00
 2.40300000e+00,        +7.071067811865e+00,        +2.357347393584e+00,        +5.199423681907e+00
 2.40302500e+00,        +7.071067811865e+00,        +2.364225543513e+00,        +5.205738019135e+00
 2.40305000e+00,        +7.071067811865e+00,        +2.371100721100e+00,        +5.212032711880e+00
 2.40307500e+00,        +7.071067811865e+00,        +2.377972909490e+00,        +5.218307828689e+00
 2.40310000e+00,        +7.071067811865e+00,        +2.384842092047e+00,        +5.224563437831e+00
 2.40312500e+00,        +7.071067811865e+00,        +2.391708252346e+00,        +5.230799607302e+00
 2.40315000e+00,        +7.071067811865e+00,        +2.398571374178e+00,        +5.237016404824e+00
 2.40317500e+00,        +7.071067811865e+00,        +2.405431441546e+00,        +5.243213897847e+00
 2.40320000e+00,        +7.071067811865e+00,        +2.412288438658e+00,        +5.249392153550e+00
 2.40322500e+00,        +7.071067811865e+00,        +2.419142349934e+00,        +5.255551238840e+00
 2.40325000e+00,        +7.071067811865e+00,        +2.425993159998e+00,        +5.261691220357e+00
 2.40327500e+00,        +7.071067811865e+00,        +2.432840853676e+00,        +5.267812164470e+00
 2.40330000e+00,        +7.071067811865e+00,        +2.439685415998e+00,        +5.273914137284e+00
 2.40332500e+00,        +7.071067811865e+00,        +2.446526832195e+00,        +5.279997204634e+00
 2.40335000e+00,        +7.071067811865e+00,        +2.453365087695e+00,        +5.286061432093e+00
 2.40337500e+00,        +7.071067811865e+00,        +2.460200168122e+00,        +5.292106884966e+00
 2.40340000e+00,        +7.071067811865e+00,        +2.467032059298e+00,        +5.298133628298e+00
 2.40342500e+00,        +7.071067811865e+00,        +2.473860747235e+00,        +5.304141726870e+00
 2.40345000e+00,        +7.071067811865e+00,        +2.480686218140e+00,        +5.310131245202e+00
 2.40347500e+00,        +7.071067811865e+00,        +2.487508458408e+00,        +5.316102247552e+00
 2.40350000e+00,        +7.071067811865e+00,        +2.494327454622e+00,        +5.322054797922e+00
 2.40352500e+00,        +7.071067811865e+00,        +2.501143193552e+00,        +5.327988960052e+00
 2.40355000e+00,        +7.071067811865e+00,        +2.507955662154e+00,        +5.333904797426e+00
 2.40357500e+00,        +7.071067811865e+00,        +2.514764847567e+00,        +5.339802373273e+00
 2.40360000e+00,        +7.071067811865e+00,        +2.521570737111e+00,        +5.345681750563e+00
 2.40362500e+00,        +7.071067811865e+00,        +2.528373318287e+00,        +5.351542992014e+00
 2.40365000e+00,        +7.071067811865e+00,        +2.535172578775e+00,        +5.357386160090e+00
 2.40367500e+00,        +7.071067811865e+00,        +2.541968506430e+00,        +5.363211317002e+00
 2.40370000e+00,        +7.071067811865e+00,        +2.548761089285e+00,        +5.369018524710e+00
 2.40372500e+00,        +7.071067811865e+00,        +2.555550315545e+00,        +5.374807844922e+00
 2.40375000e+00,        +7.071067811865e+00,        +2.562336173590e+00,        +5.380579339099e+00
 2.40377500e+00,        +7.071067811865e+00,        +2.569118651966e+00,        +5.386333068449e+00
 2.40380000e+00,        +7.071067811865e+00,        +2.575897739395e+00,        +5.392069093936e+00
 2.40382500e+00,        +7.071067811865e+00,        +2.582673424761e+00,        +5.397787476276e+00
