        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.)
 2.30000000e+00,        -6.062731352563e-01,        +1.452738909196e+02
 2.30020000e+00,        -6.090449351314e-01,        +1.450680451095e+02
 2.30040000e+00,        -6.118380158163e-01,        +1.448619173531e+02
 2.30060000e+00,        -6.146526126523e-01,        +1.446555057184e+02
 2.30080000e+00,        -6.174889642614e-01,        +1.444488082493e+02
 2.30100000e+00,        -6.203473126011e-01,        +1.442418229652e+02
 2.30120000e+00,        -6.232279030197e-01,        +1.440345478610e+02
 2.30140000e+00,        -6.261309843134e-01,        +1.438269809064e+02
 2.30160000e+00,        -6.290568087836e-01,        +1.436191200457e+02
 2.30180000e+00,        -6.320056322959e-01,        +1.434109631975e+02
 2.30200000e+00,        -6.349777143405e-01,        +1.432025082545e+02
 2.30220000e+00,        -6.379733180929e-01,        +1.429937530826e+02
 2.30240000e+00,        -6.409927104766e-01,        +1.427846955212e+02
 2.30260000e+00,        -6.440361622265e-01,        +1.425753333825e+02
 2.30280000e+00,        -6.471039479540e-01,        +1.423656644513e+02
 2.30300000e+00,        -6.501963462132e-01,        +1.421556864842e+02
 2.30320000e+00,        -6.533136395680e-01,        +1.419453972099e+02
 2.30340000e+00,        -6.564561146611e-01,        +1.417347943282e+02
 2.30360000e+00,        -6.596240622845e-01,        +1.415238755100e+02
 2.30380000e+00,        -6.628177774504e-01,        +1.413126383968e+02
 2.30400000e+00,        -6.660375594647e-01,        +1.411010806002e+02
 2.30420000e+00,        -6.692837120012e-01,        +1.408891997015e+02
 2.30440000e+00,        -6.725565431779e-01,        +1.406769932516e+02
 2.30460000e+00,        -6.758563656338e-01,        +1.404644587702e+02
 2.30480000e+00,        -6.791834966086e-01,        +1.402515937453e+02
 2.30500000e+00,        -6.825382580232e-01,        +1.400383956334e+02
 2.30520000e+00,        -6.859209765617e-01,        +1.398248618582e+02
 2.30540000e+00,        -6.893319837555e-01,        +1.396109898111e+02
 2.30560000e+00,        -6.927716160692e-01,        +1.393967768497e+02
 2.30580000e+00,        -6.962402149875e-01,        +1.391822202983e+02
 2.30600000e+00,        -6.997381271050e-01,        +1.389673174468e+02
 2.30620000e+00,        -7.032657042167e-01,        +1.387520655505e+02
 2.30640000e+00,        -7.068233034113e-01,        +1.385364618297e+02
 2.30660000e+00,        -7.104112871659e-01,        +1.383205034689e+02
 2.30680000e+00,        -7.140300234429e-01,        +1.381041876165e+02
 2.30700000e+00,        -7.176798857885e-01,        +1.378875113844e+02
 2.30720000e+00,        -7.213612534339e-01,        +1.376704718473e+02
 2.30740000e+00,        -7.250745113982e-01,        +1.374530660422e+02
 2.30760000e+00,        -7.288200505934e-01,        +1.372352909681e+02
 2.30780000e+00,        -7.325982679321e-01,        +1.370171435851e+02
 2.30800000e+00,        -7.364095664366e-01,        +1.367986208141e+02
 2.30820000e+00,        -7.402543553512e-01,        +1.365797195362e+02
 2.30840000e+00,        -7.441330502564e-01,        +1.363604365924e+02
 2.30860000e+00,        -7.480460731855e-01,        +1.361407687823e+02
 2.30880000e+00,        -7.519938527439e-01,        +1.359207128643e+02
 2.30900000e+00,        -7.559768242309e-01,        +1.357002655546e+02
 2.30920000e+00,        -7.599954297640e-01,        +1.354794235268e+02
 2.30940000e+00,        -7.640501184058e-01,        +1.352581834112e+02
 2.30960000e+00,        -7.681413462939e-01,        +1.350365417940e+02
 2.30980000e+00,        -7.722695767735e-01,        +1.348144952172e+02
 2.31000000e+00,        -7.764352805327e-01,        +1.345920401772e+02
 2.31020000e+00,        -7.806389357408e-01,        +1.343691731250e+02
 2.31040000e+00,        -7.848810281898e-01,        +1.341458904650e+02
 2.31060000e+00,        -7.891620514389e-01,        +1.339221885542e+02
 2.31080000e+00,        -7.934825069620e-01,        +1.336980637022e+02
 2.31100000e+00,        -7.978429042986e-01,        +1.334735121698e+02
 2.31120000e+00,        -8.022437612079e-01,        +1.332485301688e+02
 2.31140000e+00,        -8.066856038266e-01,        +1.330231138611e+02
 2.31160000e+00,        -8.111689668297e-01,        +1.327972593577e+02
 2.31180000e+00,        -8.156943935951e-01,        +1.325709627186e+02
 2.31200000e+00,        -8.202624363724e-01,        +1.323442199515e+02
 2.31220000e+00,        -8.248736564542e-01,        +1.321170270114e+02
 2.31240000e+00,        -8.295286243525e-01,        +1.318893797995e+02
 2.31260000e+00,        -8.342279199786e-01,        +1.316612741626e+02
 2.31280000e+00,        -8.389721328267e-01,        +1.314327058926e+02
 2.31300000e+00,        -8.437618621620e-01,        +1.312036707251e+02
 2.31320000e+00,        -8.485977172132e-01,        +1.309741643391e+02
 2.31340000e+00,        -8.534803173689e-01,        +1.307441823557e+02
 2.31360000e+00,        -8.584102923789e-01,        +1.305137203377e+02
 2.31380000e+00,        -8.633882825598e-01,        +1.302827737886e+02
 2.31400000e+00,        -8.684149390057e-01,        +1.300513381516e+02
