        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],              E_elec[2] (J),                  p_elec[2],               E_mag[2] (J),                   p_mag[2],              E_elec[3] (J),                  p_elec[3],               E_mag[3] (J),                   p_mag[3],              E_elec[4] (J),                  p_elec[4],               E_mag[4] (J),                   p_mag[4],              E_elec[5] (J),                  p_elec[5],               E_mag[5] (J),                   p_mag[5],              E_elec[6] (J),                  p_elec[6],               E_mag[6] (J),                   p_mag[6]
 2.30000000e+00,        +1.333260225634e-09,        +1.369692213890e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.663006359101e-13,        +3.497446537028e-04,        +2.872314812669e-12,        +2.097051281698e-03,        +7.869353637303e-10,        +5.902338857788e-01,        +7.801071387034e-10,        +5.695492248496e-01,        +1.191132469715e-10,        +8.933983380091e-02,        +1.512986221962e-10,        +1.104617670028e-01,        +1.386601588744e-10,        +1.040008216014e-01,        +1.256668272081e-10,        +9.174822338458e-02,        +2.110534901837e-10,        +1.582987972835e-01,        +1.904820803585e-10,        +1.390692583537e-01,        +7.150043462698e-11,        +5.362826644961e-02,        +1.024621763784e-10,        +7.480671594639e-02
 2.30020000e+00,        +1.334760246201e-09,        +1.371368219496e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.683731847586e-13,        +3.509043561130e-04,        +2.887335823406e-12,        +2.105441691268e-03,        +7.871714360913e-10,        +5.897474384119e-01,        +7.803081007275e-10,        +5.689996965326e-01,        +1.192768943799e-10,        +8.936203690463e-02,        +1.516061971280e-10,        +1.105510503837e-01,        +1.391202125716e-10,        +1.042286155642e-01,        +1.260518496061e-10,        +9.191685195418e-02,        +2.115979031478e-10,        +1.585287723020e-01,        +1.909250134603e-10,        +1.392222823499e-01,        +7.157059039521e-11,        +5.362055889729e-02,        +1.027042172389e-10,        +7.489178747093e-02
 2.30040000e+00,        +1.336271205640e-09,        +1.373054717865e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.704610640446e-13,        +3.520700454062e-04,        +2.902466807721e-12,        +2.113875557876e-03,        +7.874082149276e-10,        +5.892577880929e-01,        +7.805076535451e-10,        +5.684461393926e-01,        +1.194418347346e-10,        +8.938442602855e-02,        +1.519161889942e-10,        +1.106410305559e-01,        +1.395840375408e-10,        +1.044578652534e-01,        +1.264401913937e-10,        +9.208678266687e-02,        +2.121462873660e-10,        +1.587599032821e-01,        +1.913712301319e-10,        +1.393762591119e-01,        +7.164176078864e-11,        +5.361318906392e-02,        +1.029484466431e-10,        +7.497767226872e-02
 2.30060000e+00,        +1.337793244464e-09,        +1.374751845038e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.725644295345e-13,        +3.532417520347e-04,        +2.917708860277e-12,        +2.122353114715e-03,        +7.876457361400e-10,        +5.887649226812e-01,        +7.807058122640e-10,        +5.678885357250e-01,        +1.196080817249e-10,        +8.940700083509e-02,        +1.522286220399e-10,        +1.107317095731e-01,        +1.400516721038e-10,        +1.046885777630e-01,        +1.268318863519e-10,        +9.225802228211e-02,        +2.126986822225e-10,        +1.589921933772e-01,        +1.918207631869e-10,        +1.395311916687e-01,        +7.171395721195e-11,        +5.360615888049e-02,        +1.031948878418e-10,        +7.506437486464e-02
 2.30080000e+00,        +1.339326505045e-09,        +1.376459738880e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.746834389248e-13,        +3.544195064735e-04,        +2.933063089239e-12,        +2.130874595450e-03,        +7.878840361530e-10,        +5.882688300317e-01,        +7.809025922838e-10,        +5.673268677798e-01,        +1.197756492193e-10,        +8.942976097925e-02,        +1.525435208158e-10,        +1.108230894860e-01,        +1.405231550650e-10,        +1.049207601998e-01,        +1.272269686890e-10,        +9.243057758635e-02,        +2.132551275917e-10,        +1.592256457171e-01,        +1.922736458494e-10,        +1.396870830424e-01,        +7.178719122985e-11,        +5.359947030053e-02,        +1.034435643895e-10,        +7.515189981052e-02
 2.30100000e+00,        +1.340871131639e-09,        +1.378178539105e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.768182518697e-13,        +3.556033392163e-04,        +2.948530616469e-12,        +2.139440234197e-03,        +7.881231519217e-10,        +5.877694979966e-01,        +7.810980093000e-10,        +5.667611177629e-01,        +1.199445512679e-10,        +8.945270610853e-02,        +1.528609101827e-10,        +1.109151723419e-01,        +1.409985257179e-10,        +1.051544196835e-01,        +1.276254730475e-10,        +9.260445539255e-02,        +2.138156638459e-10,        +1.594602634069e-01,        +1.927299117596e-10,        +1.398439362470e-01,        +7.186147456949e-11,        +5.359312530030e-02,        +1.036945001492e-10,        +7.524025168503e-02
 2.30120000e+00,        +1.342427270415e-09,        +1.379908387303e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.789690300095e-13,        +3.567932807722e-04,        +2.964112577719e-12,        +2.148050265505e-03,        +7.883631209397e-10,        +5.872669144272e-01,        +7.812920793081e-10,        +5.661912678385e-01,        +1.201148021054e-10,        +8.947583586278e-02,        +1.531808153157e-10,        +1.110079601843e-01,        +1.414778238522e-10,        +1.053895633455e-01,        +1.280274345098e-10,        +9.277966253979e-02,        +2.143803318621e-10,        +1.596960495266e-01,        +1.931895949800e-10,        +1.400017542886e-01,        +7.193681912303e-11,        +5.358712587891e-02,        +1.039477192965e-10,        +7.532943509359e-02
 2.30140000e+00,        +1.343995069480e-09,        +1.381649426969e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.811359369985e-13,        +3.579893616609e-04,        +2.979810122832e-12,        +2.156704924323e-03,        +7.886039812470e-10,        +5.867610671757e-01,        +7.814848186085e-10,        +5.656173001301e-01,        +1.202864161534e-10,        +8.949914987403e-02,        +1.535032617087e-10,        +1.111014550525e-01,        +1.419610897611e-10,        +1.056261983283e-01,        +1.284328886050e-10,        +9.295620589283e-02,        +2.149491730291e-10,        +1.599330071294e-01,        +1.936527300008e-10,        +1.401605401637e-01,        +7.201323695014e-11,        +5.358147405853e-02,        +1.042032463247e-10,        +7.541945466828e-02
 2.30160000e+00,        +1.345574678908e-09,        +1.383401803527e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.833191385341e-13,        +3.591916124093e-04,        +2.995624415941e-12,        +2.165404445985e-03,        +7.888457714377e-10,        +5.862519440971e-01,        +7.816762438103e-10,        +5.650391967231e-01,        +1.204594080233e-10,        +8.952264776641e-02,        +1.538282751790e-10,        +1.111956589812e-01,        +1.424483642484e-10,        +1.058643317843e-01,        +1.288418713152e-10,        +9.313409234159e-02,        +2.155222292548e-10,        +1.601711392412e-01,        +1.941193517469e-10,        +1.403202968595e-01,        +7.209074028068e-11,        +5.357617188455e-02,        +1.044611060496e-10,        +7.551031506771e-02
 2.30180000e+00,        +1.347166250771e-09,        +1.385165664362e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.855188023862e-13,        +3.604000635471e-04,        +3.011556635674e-12,        +2.174149066177e-03,        +7.890885306682e-10,        +5.857395330509e-01,        +7.818663718362e-10,        +5.644569396659e-01,        +1.206337925193e-10,        +8.954632915597e-02,        +1.541558818720e-10,        +1.112905740000e-01,        +1.429396886360e-10,        +1.061039708754e-01,        +1.292544190821e-10,        +9.331332880069e-02,        +2.160995429739e-10,        +1.604104488591e-01,        +1.945894955833e-10,        +1.404810273527e-01,        +7.216934151729e-11,        +5.357122142573e-02,        +1.047213236137e-10,        +7.560202097695e-02
 2.30200000e+00,        +1.348769939163e-09,        +1.386941158845e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.877350984266e-13,        +3.616147456025e-04,        +3.027607975362e-12,        +2.182939020920e-03,        +7.893322986654e-10,        +5.852238219035e-01,        +7.820552199269e-10,        +5.638705109726e-01,        +1.208095846408e-10,        +8.957019365054e-02,        +1.544861082657e-10,        +1.113862021330e-01,        +1.434351047713e-10,        +1.063451227719e-01,        +1.296705688135e-10,        +9.349392220896e-02,        +2.166811571548e-10,        +1.606509389506e-01,        +1.950631973216e-10,        +1.406427346089e-01,        +7.224905323811e-11,        +5.356662477439e-02,        +1.049839244916e-10,        +7.569457710736e-02
 2.30220000e+00,        +1.350385900235e-09,        +1.388728438364e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.899681986597e-13,        +3.628356890978e-04,        +3.043779643253e-12,        +2.191774546534e-03,        +7.895771157348e-10,        +5.847047985300e-01,        +7.822428056460e-10,        +5.632798926245e-01,        +1.209867995856e-10,        +8.959424084960e-02,        +1.548189811758e-10,        +1.114825453983e-01,        +1.439346550349e-10,        +1.065877946518e-01,        +1.300903578905e-10,        +9.367587952890e-02,        +2.172671153079e-10,        +1.608926124525e-01,        +1.955404932268e-10,        +1.408054215821e-01,        +7.232988819949e-11,        +5.356238404659e-02,        +1.052489344948e-10,        +7.578798819645e-02
 2.30240000e+00,        +1.352014292223e-09,        +1.390527656351e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.922182772531e-13,        +3.640629245448e-04,        +3.060072862719e-12,        +2.200655879617e-03,        +7.898230227694e-10,        +5.841824508162e-01,        +7.824291468844e-10,        +5.626850665721e-01,        +1.211654527524e-10,        +8.961847034413e-02,        +1.551545277600e-10,        +1.115796058074e-01,        +1.444383823484e-10,        +1.068319936995e-01,        +1.305138241742e-10,        +9.385920774609e-02,        +2.178574614928e-10,        +1.611354722698e-01,        +1.960214200231e-10,        +1.409690912135e-01,        +7.241185933886e-11,        +5.355850138226e-02,        +1.055163797768e-10,        +7.588225900780e-02
 2.30260000e+00,        +1.353655275476e-09,        +1.392338968317e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.944855105684e-13,        +3.652964824405e-04,        +3.076488872484e-12,        +2.209583257016e-03,        +7.900700612579e-10,        +5.836567666610e-01,        +7.826142618655e-10,        +5.620860147379e-01,        +1.213455597444e-10,        +8.964288171648e-02,        +1.554927755236e-10,        +1.116773853651e-01,        +1.449463301820e-10,        +1.070777271052e-01,        +1.309410060125e-10,        +9.404391386872e-02,        +2.184522403265e-10,        +1.613795212741e-01,        +1.965060149010e-10,        +1.411337464314e-01,        +7.249497977746e-11,        +5.355497894541e-02,        +1.057862868380e-10,        +7.597739433084e-02
 2.30280000e+00,        +1.355309012491e-09,        +1.394162531876e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.967700771936e-13,        +3.665363932618e-04,        +3.093028926835e-12,        +2.218556915795e-03,        +7.903182732938e-10,        +5.831277339781e-01,        +7.827981691500e-10,        +5.614827190176e-01,        +1.215271363716e-10,        +8.966747454018e-02,        +1.558337523240e-10,        +1.117758860686e-01,        +1.454585425628e-10,        +1.073250020639e-01,        +1.313719422476e-10,        +9.423000492693e-02,        +2.190514969912e-10,        +1.616247623032e-01,        +1.969943155237e-10,        +1.412993901498e-01,        +7.257926282333e-11,        +5.355181892426e-02,        +1.060586825313e-10,        +7.607339898071e-02
 2.30300000e+00,        +1.356975667941e-09,        +1.395998506779e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.990721579746e-13,        +3.677826874611e-04,        +3.109694295855e-12,        +2.227577093209e-03,        +7.905677015841e-10,        +5.825953406988e-01,        +7.829808876407e-10,        +5.608751612832e-01,        +1.217101986544e-10,        +8.969224837983e-02,        +1.561774863762e-10,        +1.118751099072e-01,        +1.459750640829e-10,        +1.075738257742e-01,        +1.318066722231e-10,        +9.441748797223e-02,        +2.196552772427e-10,        +1.618711981594e-01,        +1.974863600343e-10,        +1.414660252682e-01,        +7.266472197418e-11,        +5.354902353145e-02,        +1.063335940671e-10,        +7.617027779811e-02
 2.30320000e+00,        +1.358655408711e-09,        +1.397847054947e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +5.013919360485e-13,        +3.690353954608e-04,        +3.126486265644e-12,        +2.236644026670e-03,        +7.908183894585e-10,        +5.820595747740e-01,        +7.831624365881e-10,        +5.602633233849e-01,        +1.218947628263e-10,        +8.971720279094e-02,        +1.565240062573e-10,        +1.119750588617e-01,        +1.464959399075e-10,        +1.078242054374e-01,        +1.322452357911e-10,        +9.460637007688e-02,        +2.202636274183e-10,        +1.621188316082e-01,        +1.979821870622e-10,        +1.416336546703e-01,        +7.275137092044e-11,        +5.354659500416e-02,        +1.066110490187e-10,        +7.626803564910e-02
