        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A)
 2.30000000e+00,        +1.414213562373e-01,        +3.260685104438e-02,        +7.505199167123e-02
 2.30020000e+00,        +1.414213562373e-01,        +3.290968682120e-02,        +7.541818877156e-02
 2.30040000e+00,        +1.414213562373e-01,        +3.321436043157e-02,        +7.578353481981e-02
 2.30060000e+00,        +1.414213562373e-01,        +3.352087566258e-02,        +7.614802044109e-02
 2.30080000e+00,        +1.414213562373e-01,        +3.382923632358e-02,        +7.651163618765e-02
 2.30100000e+00,        +1.414213562373e-01,        +3.413944624644e-02,        +7.687437253778e-02
 2.30120000e+00,        +1.414213562373e-01,        +3.445150928585e-02,        +7.723621989457e-02
 2.30140000e+00,        +1.414213562373e-01,        +3.476542931960e-02,        +7.759716858470e-02
 2.30160000e+00,        +1.414213562373e-01,        +3.508121024881e-02,        +7.795720885724e-02
 2.30180000e+00,        +1.414213562373e-01,        +3.539885599821e-02,        +7.831633088236e-02
 2.30200000e+00,        +1.414213562373e-01,        +3.571837051642e-02,        +7.867452475004e-02
 2.30220000e+00,        +1.414213562373e-01,        +3.603975777621e-02,        +7.903178046879e-02
 2.30240000e+00,        +1.414213562373e-01,        +3.636302177474e-02,        +7.938808796426e-02
 2.30260000e+00,        +1.414213562373e-01,        +3.668816653381e-02,        +7.974343707794e-02
 2.30280000e+00,        +1.414213562373e-01,        +3.701519610016e-02,        +8.009781756571e-02
 2.30300000e+00,        +1.414213562373e-01,        +3.734411454568e-02,        +8.045121909648e-02
 2.30320000e+00,        +1.414213562373e-01,        +3.767492596765e-02,        +8.080363125069e-02
 2.30340000e+00,        +1.414213562373e-01,        +3.800763448901e-02,        +8.115504351888e-02
 2.30360000e+00,        +1.414213562373e-01,        +3.834224425859e-02,        +8.150544530014e-02
 2.30380000e+00,        +1.414213562373e-01,        +3.867875945132e-02,        +8.185482590065e-02
 2.30400000e+00,        +1.414213562373e-01,        +3.901718426850e-02,        +8.220317453204e-02
 2.30420000e+00,        +1.414213562373e-01,        +3.935752293797e-02,        +8.255048030983e-02
 2.30440000e+00,        +1.414213562373e-01,        +3.969977971439e-02,        +8.289673225183e-02
 2.30460000e+00,        +1.414213562373e-01,        +4.004395887940e-02,        +8.324191927643e-02
 2.30480000e+00,        +1.414213562373e-01,        +4.039006474187e-02,        +8.358603020098e-02
 2.30500000e+00,        +1.414213562373e-01,        +4.073810163804e-02,        +8.392905373999e-02
 2.30520000e+00,        +1.414213562373e-01,        +4.108807393179e-02,        +8.427097850343e-02
 2.30540000e+00,        +1.414213562373e-01,        +4.143998601477e-02,        +8.461179299493e-02
 2.30560000e+00,        +1.414213562373e-01,        +4.179384230659e-02,        +8.495148560994e-02
 2.30580000e+00,        +1.414213562373e-01,        +4.214964725501e-02,        +8.529004463389e-02
 2.30600000e+00,        +1.414213562373e-01,        +4.250740533608e-02,        +8.562745824026e-02
 2.30620000e+00,        +1.414213562373e-01,        +4.286712105430e-02,        +8.596371448868e-02
 2.30640000e+00,        +1.414213562373e-01,        +4.322879894279e-02,        +8.629880132294e-02
 2.30660000e+00,        +1.414213562373e-01,        +4.359244356336e-02,        +8.663270656899e-02
 2.30680000e+00,        +1.414213562373e-01,        +4.395805950672e-02,        +8.696541793287e-02
 2.30700000e+00,        +1.414213562373e-01,        +4.432565139252e-02,        +8.729692299864e-02
 2.30720000e+00,        +1.414213562373e-01,        +4.469522386950e-02,        +8.762720922623e-02
 2.30740000e+00,        +1.414213562373e-01,        +4.506678161555e-02,        +8.795626394929e-02
 2.30760000e+00,        +1.414213562373e-01,        +4.544032933780e-02,        +8.828407437296e-02
 2.30780000e+00,        +1.414213562373e-01,        +4.581587177271e-02,        +8.861062757160e-02
 2.30800000e+00,        +1.414213562373e-01,        +4.619341368607e-02,        +8.893591048652e-02
 2.30820000e+00,        +1.414213562373e-01,        +4.657295987308e-02,        +8.925990992359e-02
 2.30840000e+00,        +1.414213562373e-01,        +4.695451515837e-02,        +8.958261255088e-02
 2.30860000e+00,        +1.414213562373e-01,        +4.733808439597e-02,        +8.990400489620e-02
 2.30880000e+00,        +1.414213562373e-01,        +4.772367246936e-02,        +9.022407334464e-02
 2.30900000e+00,        +1.414213562373e-01,        +4.811128429140e-02,        +9.054280413597e-02
 2.30920000e+00,        +1.414213562373e-01,        +4.850092480429e-02,        +9.086018336213e-02
 2.30940000e+00,        +1.414213562373e-01,        +4.889259897954e-02,        +9.117619696455e-02
 2.30960000e+00,        +1.414213562373e-01,        +4.928631181785e-02,        +9.149083073146e-02
 2.30980000e+00,        +1.414213562373e-01,        +4.968206834904e-02,        +9.180407029516e-02
 2.31000000e+00,        +1.414213562373e-01,        +5.007987363191e-02,        +9.211590112924e-02
 2.31020000e+00,        +1.414213562373e-01,        +5.047973275411e-02,        +9.242630854569e-02
 2.31040000e+00,        +1.414213562373e-01,        +5.088165083196e-02,        +9.273527769205e-02
 2.31060000e+00,        +1.414213562373e-01,        +5.128563301028e-02,        +9.304279354839e-02
 2.31080000e+00,        +1.414213562373e-01,        +5.169168446215e-02,        +9.334884092435e-02
 2.31100000e+00,        +1.414213562373e-01,        +5.209981038869e-02,        +9.365340445601e-02
 2.31120000e+00,        +1.414213562373e-01,        +5.251001601880e-02,        +9.395646860281e-02
 2.31140000e+00,        +1.414213562373e-01,        +5.292230660884e-02,        +9.425801764428e-02
 2.31160000e+00,        +1.414213562373e-01,        +5.333668744232e-02,        +9.455803567684e-02
 2.31180000e+00,        +1.414213562373e-01,        +5.375316382956e-02,        +9.485650661047e-02
 2.31200000e+00,        +1.414213562373e-01,        +5.417174110729e-02,        +9.515341416529e-02
 2.31220000e+00,        +1.414213562373e-01,        +5.459242463823e-02,        +9.544874186812e-02
 2.31240000e+00,        +1.414213562373e-01,        +5.501521981065e-02,        +9.574247304897e-02
 2.31260000e+00,        +1.414213562373e-01,        +5.544013203789e-02,        +9.603459083747e-02
 2.31280000e+00,        +1.414213562373e-01,        +5.586716675782e-02,        +9.632507815914e-02
 2.31300000e+00,        +1.414213562373e-01,        +5.629632943229e-02,        +9.661391773174e-02
 2.31320000e+00,        +1.414213562373e-01,        +5.672762554653e-02,        +9.690109206143e-02
 2.31340000e+00,        +1.414213562373e-01,        +5.716106060850e-02,        +9.718658343891e-02
 2.31360000e+00,        +1.414213562373e-01,        +5.759664014821e-02,        +9.747037393544e-02
 2.31380000e+00,        +1.414213562373e-01,        +5.803436971703e-02,        +9.775244539884e-02
 2.31400000e+00,        +1.414213562373e-01,        +5.847425488683e-02,        +9.803277944942e-02
 2.31420000e+00,        +1.414213562373e-01,        +5.891630124926e-02,        +9.831135747572e-02
 2.31440000e+00,        +1.414213562373e-01,        +5.936051441479e-02,        +9.858816063030e-02
 2.31460000e+00,        +1.414213562373e-01,        +5.980690001185e-02,        +9.886316982539e-02
 2.31480000e+00,        +1.414213562373e-01,        +6.025546368582e-02,        +9.913636572845e-02
 2.31500000e+00,        +1.414213562373e-01,        +6.070621109802e-02,        +9.940772875767e-02
 2.31520000e+00,        +1.414213562373e-01,        +6.115914792460e-02,        +9.967723907737e-02
 2.31540000e+00,        +1.414213562373e-01,        +6.161427985539e-02,        +9.994487659328e-02
 2.31560000e+00,        +1.414213562373e-01,        +6.207161259273e-02,        +1.002106209478e-01
 2.31580000e+00,        +1.414213562373e-01,        +6.253115185013e-02,        +1.004744515152e-01
 2.31600000e+00,        +1.414213562373e-01,        +6.299290335098e-02,        +1.007363473964e-01
 2.31620000e+00,        +1.414213562373e-01,        +6.345687282711e-02,        +1.009962874144e-01
 2.31640000e+00,        +1.414213562373e-01,        +6.392306601734e-02,        +1.012542501084e-01
 2.31660000e+00,        +1.414213562373e-01,        +6.439148866587e-02,        +1.015102137294e-01
 2.31680000e+00,        +1.414213562373e-01,        +6.486214652068e-02,        +1.017641562341e-01
 2.31700000e+00,        +1.414213562373e-01,        +6.533504533182e-02,        +1.020160552801e-01
 2.31720000e+00,        +1.414213562373e-01,        +6.581019084958e-02,        +1.022658882197e-01
 2.31740000e+00,        +1.414213562373e-01,        +6.628758882266e-02,        +1.025136320948e-01
 2.31760000e+00,        +1.414213562373e-01,        +6.676724499612e-02,        +1.027592636309e-01
 2.31780000e+00,        +1.414213562373e-01,        +6.724916510938e-02,        +1.030027592312e-01
 2.31800000e+00,        +1.414213562373e-01,        +6.773335489401e-02,        +1.032440949705e-01
 2.31820000e+00,        +1.414213562373e-01,        +6.821982007152e-02,        +1.034832465896e-01
 2.31840000e+00,        +1.414213562373e-01,        +6.870856635094e-02,        +1.037201894886e-01
 2.31860000e+00,        +1.414213562373e-01,        +6.919959942637e-02,        +1.039548987206e-01
 2.31880000e+00,        +1.414213562373e-01,        +6.969292497441e-02,        +1.041873489857e-01
 2.31900000e+00,        +1.414213562373e-01,        +7.018854865146e-02,        +1.044175146240e-01
 2.31920000e+00,        +1.414213562373e-01,        +7.068647609086e-02,        +1.046453696091e-01
 2.31940000e+00,        +1.414213562373e-01,        +7.118671290002e-02,        +1.048708875413e-01
 2.31960000e+00,        +1.414213562373e-01,        +7.168926465730e-02,        +1.050940416406e-01
 2.31980000e+00,        +1.414213562373e-01,        +7.219413690881e-02,        +1.053148047399e-01
 2.32000000e+00,        +1.414213562373e-01,        +7.270133516512e-02,        +1.055331492775e-01
 2.32020000e+00,        +1.414213562373e-01,        +7.321086489773e-02,        +1.057490472899e-01
 2.32040000e+00,        +1.414213562373e-01,        +7.372273153545e-02,        +1.059624704044e-01
 2.32060000e+00,        +1.414213562373e-01,        +7.423694046066e-02,        +1.061733898318e-01
 2.32080000e+00,        +1.414213562373e-01,        +7.475349700534e-02,        +1.063817763581e-01
 2.32100000e+00,        +1.414213562373e-01,        +7.527240644697e-02,        +1.065876003372e-01
 2.32120000e+00,        +1.414213562373e-01,        +7.579367400425e-02,        +1.067908316824e-01
 2.32140000e+00,        +1.414213562373e-01,        +7.631730483272e-02,        +1.069914398591e-01
 2.32160000e+00,        +1.414213562373e-01,        +7.684330402006e-02,        +1.071893938756e-01
 2.32180000e+00,        +1.414213562373e-01,        +7.737167658128e-02,        +1.073846622752e-01
 2.32200000e+00,        +1.414213562373e-01,        +7.790242745379e-02,        +1.075772131277e-01
 2.32220000e+00,        +1.414213562373e-01,        +7.843556149210e-02,        +1.077670140205e-01
 2.32240000e+00,        +1.414213562373e-01,        +7.897108346243e-02,        +1.079540320498e-01
 2.32260000e+00,        +1.414213562373e-01,        +7.950899803712e-02,        +1.081382338116e-01
 2.32280000e+00,        +1.414213562373e-01,        +8.004930978869e-02,        +1.083195853928e-01
 2.32300000e+00,        +1.414213562373e-01,        +8.059202318384e-02,        +1.084980523614e-01
 2.32320000e+00,        +1.414213562373e-01,        +8.113714257706e-02,        +1.086735997574e-01
 2.32340000e+00,        +1.414213562373e-01,        +8.168467220406e-02,        +1.088461920832e-01
 2.32360000e+00,        +1.414213562373e-01,        +8.223461617497e-02,        +1.090157932938e-01
 2.32380000e+00,        +1.414213562373e-01,        +8.278697846723e-02,        +1.091823667867e-01
 2.32400000e+00,        +1.414213562373e-01,        +8.334176291818e-02,        +1.093458753919e-01
 2.32420000e+00,        +1.414213562373e-01,        +8.389897321747e-02,        +1.095062813618e-01
 2.32440000e+00,        +1.414213562373e-01,        +8.445861289905e-02,        +1.096635463607e-01
 2.32460000e+00,        +1.414213562373e-01,        +8.502068533295e-02,        +1.098176314543e-01
 2.32480000e+00,        +1.414213562373e-01,        +8.558519371670e-02,        +1.099684970986e-01
 2.32500000e+00,        +1.414213562373e-01,        +8.615214106644e-02,        +1.101161031297e-01
 2.32520000e+00,        +1.414213562373e-01,        +8.672153020768e-02,        +1.102604087520e-01
 2.32540000e+00,        +1.414213562373e-01,        +8.729336376572e-02,        +1.104013725277e-01
 2.32560000e+00,        +1.414213562373e-01,        +8.786764415574e-02,        +1.105389523648e-01
 2.32580000e+00,        +1.414213562373e-01,        +8.844437357245e-02,        +1.106731055059e-01
 2.32600000e+00,        +1.414213562373e-01,        +8.902355397940e-02,        +1.108037885164e-01
 2.32620000e+00,        +1.414213562373e-01,        +8.960518709791e-02,        +1.109309572729e-01
 2.32640000e+00,        +1.414213562373e-01,        +9.018927439552e-02,        +1.110545669506e-01
 2.32660000e+00,        +1.414213562373e-01,        +9.077581707411e-02,        +1.111745720116e-01
 2.32680000e+00,        +1.414213562373e-01,        +9.136481605748e-02,        +1.112909261924e-01
 2.32700000e+00,        +1.414213562373e-01,        +9.195627197854e-02,        +1.114035824915e-01
 2.32720000e+00,        +1.414213562373e-01,        +9.255018516601e-02,        +1.115124931565e-01
 2.32740000e+00,        +1.414213562373e-01,        +9.314655563063e-02,        +1.116176096717e-01
 2.32760000e+00,        +1.414213562373e-01,        +9.374538305089e-02,        +1.117188827445e-01
 2.32780000e+00,        +1.414213562373e-01,        +9.434666675819e-02,        +1.118162622931e-01
 2.32800000e+00,        +1.414213562373e-01,        +9.495040572154e-02,        +1.119096974327e-01
 2.32820000e+00,        +1.414213562373e-01,        +9.555659853160e-02,        +1.119991364621e-01
 2.32840000e+00,        +1.414213562373e-01,        +9.616524338426e-02,        +1.120845268506e-01
 2.32860000e+00,        +1.414213562373e-01,        +9.677633806359e-02,        +1.121658152239e-01
 2.32880000e+00,        +1.414213562373e-01,        +9.738987992408e-02,        +1.122429473507e-01
 2.32900000e+00,        +1.414213562373e-01,        +9.800586587245e-02,        +1.123158681283e-01
 2.32920000e+00,        +1.414213562373e-01,        +9.862429234858e-02,        +1.123845215692e-01
 2.32940000e+00,        +1.414213562373e-01,        +9.924515530597e-02,        +1.124488507865e-01
 2.32960000e+00,        +1.414213562373e-01,        +9.986845019137e-02,        +1.125087979798e-01
 2.32980000e+00,        +1.414213562373e-01,        +1.004941719237e-01,        +1.125643044210e-01
 2.33000000e+00,        +1.414213562373e-01,        +1.011223148725e-01,        +1.126153104398e-01
 2.33020000e+00,        +1.414213562373e-01,        +1.017528728348e-01,        +1.126617554093e-01
 2.33040000e+00,        +1.414213562373e-01,        +1.023858390126e-01,        +1.127035777312e-01
 2.33060000e+00,        +1.414213562373e-01,        +1.030212059880e-01,        +1.127407148217e-01
 2.33080000e+00,        +1.414213562373e-01,        +1.036589656988e-01,        +1.127731030961e-01
 2.33100000e+00,        +1.414213562373e-01,        +1.042991094119e-01,        +1.128006779551e-01
 2.33120000e+00,        +1.414213562373e-01,        +1.049416276975e-01,        +1.128233737692e-01
 2.33140000e+00,        +1.414213562373e-01,        +1.055865104007e-01,        +1.128411238647e-01
 2.33160000e+00,        +1.414213562373e-01,        +1.062337466130e-01,        +1.128538605085e-01
 2.33180000e+00,        +1.414213562373e-01,        +1.068833246430e-01,        +1.128615148937e-01
 2.33200000e+00,        +1.414213562373e-01,        +1.075352319855e-01,        +1.128640171253e-01
 2.33220000e+00,        +1.414213562373e-01,        +1.081894552902e-01,        +1.128612962049e-01
 2.33240000e+00,        +1.414213562373e-01,        +1.088459803285e-01,        +1.128532800171e-01
 2.33260000e+00,        +1.414213562373e-01,        +1.095047919600e-01,        +1.128398953145e-01
 2.33280000e+00,        +1.414213562373e-01,        +1.101658740976e-01,        +1.128210677041e-01
 2.33300000e+00,        +1.414213562373e-01,        +1.108292096712e-01,        +1.127967216325e-01
 2.33320000e+00,        +1.414213562373e-01,        +1.114947805904e-01,        +1.127667803730e-01
 2.33340000e+00,        +1.414213562373e-01,        +1.121625677062e-01,        +1.127311660109e-01
 2.33360000e+00,        +1.414213562373e-01,        +1.128325507707e-01,        +1.126897994310e-01
 2.33380000e+00,        +1.414213562373e-01,        +1.135047083965e-01,        +1.126426003040e-01
 2.33400000e+00,        +1.414213562373e-01,        +1.141790180137e-01,        +1.125894870736e-01
 2.33420000e+00,        +1.414213562373e-01,        +1.148554558265e-01,        +1.125303769443e-01
 2.33440000e+00,        +1.414213562373e-01,        +1.155339967676e-01,        +1.124651858692e-01
 2.33460000e+00,        +1.414213562373e-01,        +1.162146144514e-01,        +1.123938285381e-01
 2.33480000e+00,        +1.414213562373e-01,        +1.168972811262e-01,        +1.123162183667e-01
 2.33500000e+00,        +1.414213562373e-01,        +1.175819676238e-01,        +1.122322674852e-01
 2.33520000e+00,        +1.414213562373e-01,        +1.182686433087e-01,        +1.121418867290e-01
 2.33540000e+00,        +1.414213562373e-01,        +1.189572760247e-01,        +1.120449856283e-01
 2.33560000e+00,        +1.414213562373e-01,        +1.196478320406e-01,        +1.119414723998e-01
 2.33580000e+00,        +1.414213562373e-01,        +1.203402759935e-01,        +1.118312539382e-01
