        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A)
 2.40000000e+00,        +1.414213562373e-01,        +9.184501448015e-02,        +1.317551070594e-01
 2.40002500e+00,        +1.414213562373e-01,        +9.193004278952e-02,        +1.317873566197e-01
 2.40005000e+00,        +1.414213562373e-01,        +9.201506277295e-02,        +1.318195400297e-01
 2.40007500e+00,        +1.414213562373e-01,        +9.210007447321e-02,        +1.318516573706e-01
 2.40010000e+00,        +1.414213562373e-01,        +9.218507793317e-02,        +1.318837087234e-01
 2.40012500e+00,        +1.414213562373e-01,        +9.227007319577e-02,        +1.319156941686e-01
 2.40015000e+00,        +1.414213562373e-01,        +9.235506030404e-02,        +1.319476137865e-01
 2.40017500e+00,        +1.414213562373e-01,        +9.244003930108e-02,        +1.319794676574e-01
 2.40020000e+00,        +1.414213562373e-01,        +9.252501023010e-02,        +1.320112558611e-01
 2.40022500e+00,        +1.414213562373e-01,        +9.260997313435e-02,        +1.320429784772e-01
 2.40025000e+00,        +1.414213562373e-01,        +9.269492805717e-02,        +1.320746355849e-01
 2.40027500e+00,        +1.414213562373e-01,        +9.277987504201e-02,        +1.321062272635e-01
 2.40030000e+00,        +1.414213562373e-01,        +9.286481413236e-02,        +1.321377535916e-01
 2.40032500e+00,        +1.414213562373e-01,        +9.294974537182e-02,        +1.321692146480e-01
 2.40035000e+00,        +1.414213562373e-01,        +9.303466880405e-02,        +1.322006105108e-01
 2.40037500e+00,        +1.414213562373e-01,        +9.311958447281e-02,        +1.322319412581e-01
 2.40040000e+00,        +1.414213562373e-01,        +9.320449242192e-02,        +1.322632069677e-01
 2.40042500e+00,        +1.414213562373e-01,        +9.328939269530e-02,        +1.322944077172e-01
 2.40045000e+00,        +1.414213562373e-01,        +9.337428533692e-02,        +1.323255435838e-01
 2.40047500e+00,        +1.414213562373e-01,        +9.345917039088e-02,        +1.323566146446e-01
 2.40050000e+00,        +1.414213562373e-01,        +9.354404790131e-02,        +1.323876209763e-01
 2.40052500e+00,        +1.414213562373e-01,        +9.362891791244e-02,        +1.324185626554e-01
 2.40055000e+00,        +1.414213562373e-01,        +9.371378046860e-02,        +1.324494397583e-01
 2.40057500e+00,        +1.414213562373e-01,        +9.379863561417e-02,        +1.324802523608e-01
 2.40060000e+00,        +1.414213562373e-01,        +9.388348339362e-02,        +1.325110005389e-01
 2.40062500e+00,        +1.414213562373e-01,        +9.396832385150e-02,        +1.325416843679e-01
 2.40065000e+00,        +1.414213562373e-01,        +9.405315703246e-02,        +1.325723039231e-01
 2.40067500e+00,        +1.414213562373e-01,        +9.413798298120e-02,        +1.326028592796e-01
 2.40070000e+00,        +1.414213562373e-01,        +9.422280174252e-02,        +1.326333505121e-01
 2.40072500e+00,        +1.414213562373e-01,        +9.430761336130e-02,        +1.326637776951e-01
 2.40075000e+00,        +1.414213562373e-01,        +9.439241788248e-02,        +1.326941409028e-01
 2.40077500e+00,        +1.414213562373e-01,        +9.447721535111e-02,        +1.327244402092e-01
 2.40080000e+00,        +1.414213562373e-01,        +9.456200581230e-02,        +1.327546756882e-01
 2.40082500e+00,        +1.414213562373e-01,        +9.464678931126e-02,        +1.327848474131e-01
 2.40085000e+00,        +1.414213562373e-01,        +9.473156589325e-02,        +1.328149554573e-01
 2.40087500e+00,        +1.414213562373e-01,        +9.481633560365e-02,        +1.328449998938e-01
 2.40090000e+00,        +1.414213562373e-01,        +9.490109848788e-02,        +1.328749807952e-01
 2.40092500e+00,        +1.414213562373e-01,        +9.498585459147e-02,        +1.329048982343e-01
 2.40095000e+00,        +1.414213562373e-01,        +9.507060396003e-02,        +1.329347522831e-01
 2.40097500e+00,        +1.414213562373e-01,        +9.515534663922e-02,        +1.329645430137e-01
 2.40100000e+00,        +1.414213562373e-01,        +9.524008267483e-02,        +1.329942704979e-01
 2.40102500e+00,        +1.414213562373e-01,        +9.532481211269e-02,        +1.330239348072e-01
 2.40105000e+00,        +1.414213562373e-01,        +9.540953499873e-02,        +1.330535360129e-01
 2.40107500e+00,        +1.414213562373e-01,        +9.549425137896e-02,        +1.330830741861e-01
 2.40110000e+00,        +1.414213562373e-01,        +9.557896129945e-02,        +1.331125493975e-01
 2.40112500e+00,        +1.414213562373e-01,        +9.566366480640e-02,        +1.331419617177e-01
 2.40115000e+00,        +1.414213562373e-01,        +9.574836194604e-02,        +1.331713112170e-01
 2.40117500e+00,        +1.414213562373e-01,        +9.583305276470e-02,        +1.332005979654e-01
 2.40120000e+00,        +1.414213562373e-01,        +9.591773730881e-02,        +1.332298220328e-01
 2.40122500e+00,        +1.414213562373e-01,        +9.600241562485e-02,        +1.332589834888e-01
 2.40125000e+00,        +1.414213562373e-01,        +9.608708775941e-02,        +1.332880824026e-01
 2.40127500e+00,        +1.414213562373e-01,        +9.617175375914e-02,        +1.333171188435e-01
 2.40130000e+00,        +1.414213562373e-01,        +9.625641367077e-02,        +1.333460928801e-01
 2.40132500e+00,        +1.414213562373e-01,        +9.634106754115e-02,        +1.333750045813e-01
 2.40135000e+00,        +1.414213562373e-01,        +9.642571541716e-02,        +1.334038540152e-01
 2.40137500e+00,        +1.414213562373e-01,        +9.651035734579e-02,        +1.334326412501e-01
 2.40140000e+00,        +1.414213562373e-01,        +9.659499337411e-02,        +1.334613663539e-01
 2.40142500e+00,        +1.414213562373e-01,        +9.667962354927e-02,        +1.334900293942e-01
 2.40145000e+00,        +1.414213562373e-01,        +9.676424791851e-02,        +1.335186304383e-01
 2.40147500e+00,        +1.414213562373e-01,        +9.684886652913e-02,        +1.335471695536e-01
 2.40150000e+00,        +1.414213562373e-01,        +9.693347942853e-02,        +1.335756468069e-01
 2.40152500e+00,        +1.414213562373e-01,        +9.701808666420e-02,        +1.336040622649e-01
 2.40155000e+00,        +1.414213562373e-01,        +9.710268828368e-02,        +1.336324159941e-01
 2.40157500e+00,        +1.414213562373e-01,        +9.718728433464e-02,        +1.336607080608e-01
 2.40160000e+00,        +1.414213562373e-01,        +9.727187486478e-02,        +1.336889385308e-01
