        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V)
 2.40000000e+00,        +7.071067811865e+00,        +4.592250724007e+00,        +6.587755352968e+00
 2.40002500e+00,        +7.071067811865e+00,        +4.596502139476e+00,        +6.589367830983e+00
 2.40005000e+00,        +7.071067811865e+00,        +4.600753138648e+00,        +6.590977001485e+00
 2.40007500e+00,        +7.071067811865e+00,        +4.605003723661e+00,        +6.592582868532e+00
 2.40010000e+00,        +7.071067811865e+00,        +4.609253896658e+00,        +6.594185436169e+00
 2.40012500e+00,        +7.071067811865e+00,        +4.613503659788e+00,        +6.595784708428e+00
 2.40015000e+00,        +7.071067811865e+00,        +4.617753015202e+00,        +6.597380689326e+00
 2.40017500e+00,        +7.071067811865e+00,        +4.622001965054e+00,        +6.598973382871e+00
 2.40020000e+00,        +7.071067811865e+00,        +4.626250511505e+00,        +6.600562793055e+00
 2.40022500e+00,        +7.071067811865e+00,        +4.630498656717e+00,        +6.602148923858e+00
 2.40025000e+00,        +7.071067811865e+00,        +4.634746402859e+00,        +6.603731779246e+00
 2.40027500e+00,        +7.071067811865e+00,        +4.638993752100e+00,        +6.605311363174e+00
 2.40030000e+00,        +7.071067811865e+00,        +4.643240706618e+00,        +6.606887679581e+00
 2.40032500e+00,        +7.071067811865e+00,        +4.647487268591e+00,        +6.608460732398e+00
 2.40035000e+00,        +7.071067811865e+00,        +4.651733440203e+00,        +6.610030525538e+00
 2.40037500e+00,        +7.071067811865e+00,        +4.655979223641e+00,        +6.611597062904e+00
 2.40040000e+00,        +7.071067811865e+00,        +4.660224621096e+00,        +6.613160348386e+00
 2.40042500e+00,        +7.071067811865e+00,        +4.664469634765e+00,        +6.614720385860e+00
 2.40045000e+00,        +7.071067811865e+00,        +4.668714266846e+00,        +6.616277179191e+00
 2.40047500e+00,        +7.071067811865e+00,        +4.672958519544e+00,        +6.617830732229e+00
 2.40050000e+00,        +7.071067811865e+00,        +4.677202395065e+00,        +6.619381048814e+00
 2.40052500e+00,        +7.071067811865e+00,        +4.681445895622e+00,        +6.620928132771e+00
 2.40055000e+00,        +7.071067811865e+00,        +4.685689023430e+00,        +6.622471987913e+00
 2.40057500e+00,        +7.071067811865e+00,        +4.689931780708e+00,        +6.624012618041e+00
 2.40060000e+00,        +7.071067811865e+00,        +4.694174169681e+00,        +6.625550026943e+00
 2.40062500e+00,        +7.071067811865e+00,        +4.698416192575e+00,        +6.627084218394e+00
 2.40065000e+00,        +7.071067811865e+00,        +4.702657851623e+00,        +6.628615196157e+00
 2.40067500e+00,        +7.071067811865e+00,        +4.706899149060e+00,        +6.630142963982e+00
 2.40070000e+00,        +7.071067811865e+00,        +4.711140087126e+00,        +6.631667525606e+00
 2.40072500e+00,        +7.071067811865e+00,        +4.715380668065e+00,        +6.633188884754e+00
 2.40075000e+00,        +7.071067811865e+00,        +4.719620894124e+00,        +6.634707045139e+00
 2.40077500e+00,        +7.071067811865e+00,        +4.723860767556e+00,        +6.636222010462e+00
 2.40080000e+00,        +7.071067811865e+00,        +4.728100290615e+00,        +6.637733784409e+00
 2.40082500e+00,        +7.071067811865e+00,        +4.732339465563e+00,        +6.639242370656e+00
 2.40085000e+00,        +7.071067811865e+00,        +4.736578294663e+00,        +6.640747772866e+00
 2.40087500e+00,        +7.071067811865e+00,        +4.740816780182e+00,        +6.642249994689e+00
 2.40090000e+00,        +7.071067811865e+00,        +4.745054924394e+00,        +6.643749039762e+00
 2.40092500e+00,        +7.071067811865e+00,        +4.749292729574e+00,        +6.645244911713e+00
 2.40095000e+00,        +7.071067811865e+00,        +4.753530198001e+00,        +6.646737614153e+00
 2.40097500e+00,        +7.071067811865e+00,        +4.757767331961e+00,        +6.648227150684e+00
 2.40100000e+00,        +7.071067811865e+00,        +4.762004133742e+00,        +6.649713524894e+00
 2.40102500e+00,        +7.071067811865e+00,        +4.766240605635e+00,        +6.651196740360e+00
 2.40105000e+00,        +7.071067811865e+00,        +4.770476749937e+00,        +6.652676800647e+00
 2.40107500e+00,        +7.071067811865e+00,        +4.774712568948e+00,        +6.654153709305e+00
 2.40110000e+00,        +7.071067811865e+00,        +4.778948064973e+00,        +6.655627469876e+00
 2.40112500e+00,        +7.071067811865e+00,        +4.783183240320e+00,        +6.657098085885e+00
 2.40115000e+00,        +7.071067811865e+00,        +4.787418097302e+00,        +6.658565560849e+00
 2.40117500e+00,        +7.071067811865e+00,        +4.791652638235e+00,        +6.660029898271e+00
 2.40120000e+00,        +7.071067811865e+00,        +4.795886865440e+00,        +6.661491101641e+00
 2.40122500e+00,        +7.071067811865e+00,        +4.800120781243e+00,        +6.662949174439e+00
 2.40125000e+00,        +7.071067811865e+00,        +4.804354387970e+00,        +6.664404120132e+00
 2.40127500e+00,        +7.071067811865e+00,        +4.808587687957e+00,        +6.665855942174e+00
 2.40130000e+00,        +7.071067811865e+00,        +4.812820683539e+00,        +6.667304644007e+00
 2.40132500e+00,        +7.071067811865e+00,        +4.817053377057e+00,        +6.668750229064e+00
 2.40135000e+00,        +7.071067811865e+00,        +4.821285770858e+00,        +6.670192700761e+00
 2.40137500e+00,        +7.071067811865e+00,        +4.825517867289e+00,        +6.671632062507e+00
 2.40140000e+00,        +7.071067811865e+00,        +4.829749668706e+00,        +6.673068317695e+00
 2.40142500e+00,        +7.071067811865e+00,        +4.833981177464e+00,        +6.674501469708e+00
 2.40145000e+00,        +7.071067811865e+00,        +4.838212395925e+00,        +6.675931521917e+00
 2.40147500e+00,        +7.071067811865e+00,        +4.842443326456e+00,        +6.677358477680e+00
 2.40150000e+00,        +7.071067811865e+00,        +4.846673971427e+00,        +6.678782340345e+00
 2.40152500e+00,        +7.071067811865e+00,        +4.850904333210e+00,        +6.680203113246e+00
 2.40155000e+00,        +7.071067811865e+00,        +4.855134414184e+00,        +6.681620799707e+00
 2.40157500e+00,        +7.071067811865e+00,        +4.859364216732e+00,        +6.683035403039e+00
 2.40160000e+00,        +7.071067811865e+00,        +4.863593743239e+00,        +6.684446926540e+00
 2.40162500e+00,        +7.071067811865e+00,        +4.867822996097e+00,        +6.685855373500e+00
 2.40165000e+00,        +7.071067811865e+00,        +4.872051977699e+00,        +6.687260747192e+00
 2.40167500e+00,        +7.071067811865e+00,        +4.876280690444e+00,        +6.688663050883e+00
 2.40170000e+00,        +7.071067811865e+00,        +4.880509136736e+00,        +6.690062287822e+00
 2.40172500e+00,        +7.071067811865e+00,        +4.884737318981e+00,        +6.691458461252e+00
 2.40175000e+00,        +7.071067811865e+00,        +4.888965239591e+00,        +6.692851574401e+00
 2.40177500e+00,        +7.071067811865e+00,        +4.893192900981e+00,        +6.694241630485e+00
 2.40180000e+00,        +7.071067811865e+00,        +4.897420305570e+00,        +6.695628632710e+00
 2.40182500e+00,        +7.071067811865e+00,        +4.901647455783e+00,        +6.697012584269e+00
 2.40185000e+00,        +7.071067811865e+00,        +4.905874354046e+00,        +6.698393488345e+00
 2.40187500e+00,        +7.071067811865e+00,        +4.910101002793e+00,        +6.699771348107e+00
 2.40190000e+00,        +7.071067811865e+00,        +4.914327404460e+00,        +6.701146166714e+00
 2.40192500e+00,        +7.071067811865e+00,        +4.918553561486e+00,        +6.702517947314e+00
 2.40195000e+00,        +7.071067811865e+00,        +4.922779476317e+00,        +6.703886693040e+00
 2.40197500e+00,        +7.071067811865e+00,        +4.927005151401e+00,        +6.705252407018e+00
 2.40200000e+00,        +7.071067811865e+00,        +4.931230589192e+00,        +6.706615092359e+00
 2.40202500e+00,        +7.071067811865e+00,        +4.935455792147e+00,        +6.707974752164e+00
 2.40205000e+00,        +7.071067811865e+00,        +4.939680762727e+00,        +6.709331389521e+00
 2.40207500e+00,        +7.071067811865e+00,        +4.943905503398e+00,        +6.710685007509e+00
 2.40210000e+00,        +7.071067811865e+00,        +4.948130016631e+00,        +6.712035609194e+00
 2.40212500e+00,        +7.071067811865e+00,        +4.952354304898e+00,        +6.713383197629e+00
 2.40215000e+00,        +7.071067811865e+00,        +4.956578370680e+00,        +6.714727775858e+00
