        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.)
 2.30000000e+00,        -2.275664111658e+00,        +1.356162382818e+02
 2.30020000e+00,        -2.291968839953e+00,        +1.353746593827e+02
 2.30040000e+00,        -2.308446112959e+00,        +1.351327395863e+02
 2.30060000e+00,        -2.325098283292e+00,        +1.348904804147e+02
 2.30080000e+00,        -2.341927741187e+00,        +1.346478834996e+02
 2.30100000e+00,        -2.358936915156e+00,        +1.344049505861e+02
 2.30120000e+00,        -2.376128272667e+00,        +1.341616835373e+02
 2.30140000e+00,        -2.393504320829e+00,        +1.339180843377e+02
 2.30160000e+00,        -2.411067607094e+00,        +1.336741550984e+02
 2.30180000e+00,        -2.428820719967e+00,        +1.334298980608e+02
 2.30200000e+00,        -2.446766289736e+00,        +1.331853156017e+02
 2.30220000e+00,        -2.464906989205e+00,        +1.329404102380e+02
 2.30240000e+00,        -2.483245534451e+00,        +1.326951846313e+02
 2.30260000e+00,        -2.501784685586e+00,        +1.324496415935e+02
 2.30280000e+00,        -2.520527247540e+00,        +1.322037840918e+02
 2.30300000e+00,        -2.539476070849e+00,        +1.319576152540e+02
 2.30320000e+00,        -2.558634052466e+00,        +1.317111383746e+02
 2.30340000e+00,        -2.578004136582e+00,        +1.314643569199e+02
 2.30360000e+00,        -2.597589315463e+00,        +1.312172745349e+02
 2.30380000e+00,        -2.617392630297e+00,        +1.309698950489e+02
 2.30400000e+00,        -2.637417172064e+00,        +1.307222224818e+02
 2.30420000e+00,        -2.657666082416e+00,        +1.304742610514e+02
 2.30440000e+00,        -2.678142554572e+00,        +1.302260151798e+02
 2.30460000e+00,        -2.698849834231e+00,        +1.299774895006e+02
 2.30480000e+00,        -2.719791220499e+00,        +1.297286888661e+02
 2.30500000e+00,        -2.740970066834e+00,        +1.294796183553e+02
 2.30520000e+00,        -2.762389782002e+00,        +1.292302832814e+02
 2.30540000e+00,        -2.784053831057e+00,        +1.289806892000e+02
 2.30560000e+00,        -2.805965736332e+00,        +1.287308419177e+02
 2.30580000e+00,        -2.828129078445e+00,        +1.284807475002e+02
 2.30600000e+00,        -2.850547497331e+00,        +1.282304122823e+02
 2.30620000e+00,        -2.873224693279e+00,        +1.279798428763e+02
 2.30640000e+00,        -2.896164427992e+00,        +1.277290461818e+02
 2.30660000e+00,        -2.919370525667e+00,        +1.274780293962e+02
 2.30680000e+00,        -2.942846874089e+00,        +1.272268000242e+02
 2.30700000e+00,        -2.966597425739e+00,        +1.269753658892e+02
 2.30720000e+00,        -2.990626198926e+00,        +1.267237351437e+02
