        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V)
 2.30000000e+00,        +7.071067811865e+00,        +3.205397765978e+00,        +3.816558117329e+00
 2.30020000e+00,        +7.071067811865e+00,        +3.228935308175e+00,        +3.825638295895e+00
 2.30040000e+00,        +7.071067811865e+00,        +3.252567274611e+00,        +3.834547171259e+00
 2.30060000e+00,        +7.071067811865e+00,        +3.276292863828e+00,        +3.843282856315e+00
 2.30080000e+00,        +7.071067811865e+00,        +3.300111247932e+00,        +3.851843449873e+00
 2.30100000e+00,        +7.071067811865e+00,        +3.324021572011e+00,        +3.860227036743e+00
 2.30120000e+00,        +7.071067811865e+00,        +3.348022953547e+00,        +3.868431687830e+00
 2.30140000e+00,        +7.071067811865e+00,        +3.372114481816e+00,        +3.876455460239e+00
 2.30160000e+00,        +7.071067811865e+00,        +3.396295217273e+00,        +3.884296397395e+00
 2.30180000e+00,        +7.071067811865e+00,        +3.420564190936e+00,        +3.891952529165e+00
 2.30200000e+00,        +7.071067811865e+00,        +3.444920403752e+00,        +3.899421872006e+00
 2.30220000e+00,        +7.071067811865e+00,        +3.469362825960e+00,        +3.906702429108e+00
 2.30240000e+00,        +7.071067811865e+00,        +3.493890396432e+00,        +3.913792190567e+00
 2.30260000e+00,        +7.071067811865e+00,        +3.518502022022e+00,        +3.920689133556e+00
 2.30280000e+00,        +7.071067811865e+00,        +3.543196576884e+00,        +3.927391222519e+00
 2.30300000e+00,        +7.071067811865e+00,        +3.567972901799e+00,        +3.933896409378e+00
 2.30320000e+00,        +7.071067811865e+00,        +3.592829803476e+00,        +3.940202633751e+00
 2.30340000e+00,        +7.071067811865e+00,        +3.617766053857e+00,        +3.946307823185e+00
 2.30360000e+00,        +7.071067811865e+00,        +3.642780389399e+00,        +3.952209893411e+00
 2.30380000e+00,        +7.071067811865e+00,        +3.667871510354e+00,        +3.957906748609e+00
 2.30400000e+00,        +7.071067811865e+00,        +3.693038080040e+00,        +3.963396281690e+00
 2.30420000e+00,        +7.071067811865e+00,        +3.718278724093e+00,        +3.968676374600e+00
 2.30440000e+00,        +7.071067811865e+00,        +3.743592029724e+00,        +3.973744898635e+00
 2.30460000e+00,        +7.071067811865e+00,        +3.768976544949e+00,        +3.978599714784e+00
 2.30480000e+00,        +7.071067811865e+00,        +3.794430777826e+00,        +3.983238674077e+00
 2.30500000e+00,        +7.071067811865e+00,        +3.819953195672e+00,        +3.987659617970e+00
 2.30520000e+00,        +7.071067811865e+00,        +3.845542224272e+00,        +3.991860378736e+00
 2.30540000e+00,        +7.071067811865e+00,        +3.871196247087e+00,        +3.995838779883e+00
 2.30560000e+00,        +7.071067811865e+00,        +3.896913604441e+00,        +3.999592636596e+00
 2.30580000e+00,        +7.071067811865e+00,        +3.922692592711e+00,        +4.003119756194e+00
 2.30600000e+00,        +7.071067811865e+00,        +3.948531463500e+00,        +4.006417938618e+00
 2.30620000e+00,        +7.071067811865e+00,        +3.974428422808e+00,        +4.009484976938e+00
 2.30640000e+00,        +7.071067811865e+00,        +4.000381630194e+00,        +4.012318657886e+00
 2.30660000e+00,        +7.071067811865e+00,        +4.026389197925e+00,        +4.014916762411e+00
 2.30680000e+00,        +7.071067811865e+00,        +4.052449190129e+00,        +4.017277066269e+00
 2.30700000e+00,        +7.071067811865e+00,        +4.078559621929e+00,        +4.019397340625e+00
 2.30720000e+00,        +7.071067811865e+00,        +4.104718458583e+00,        +4.021275352698e+00
 2.30740000e+00,        +7.071067811865e+00,        +4.130923614606e+00,        +4.022908866419e+00
 2.30760000e+00,        +7.071067811865e+00,        +4.157172952895e+00,        +4.024295643135e+00
 2.30780000e+00,        +7.071067811865e+00,        +4.183464283849e+00,        +4.025433442325e+00
 2.30800000e+00,        +7.071067811865e+00,        +4.209795364481e+00,        +4.026320022359e+00
 2.30820000e+00,        +7.071067811865e+00,        +4.236163897525e+00,        +4.026953141283e+00
 2.30840000e+00,        +7.071067811865e+00,        +4.262567530546e+00,        +4.027330557637e+00
 2.30860000e+00,        +7.071067811865e+00,        +4.289003855043e+00,        +4.027450031308e+00
 2.30880000e+00,        +7.071067811865e+00,        +4.315470405551e+00,        +4.027309324410e+00
 2.30900000e+00,        +7.071067811865e+00,        +4.341964658741e+00,        +4.026906202209e+00
 2.30920000e+00,        +7.071067811865e+00,        +4.368484032521e+00,        +4.026238434075e+00
 2.30940000e+00,        +7.071067811865e+00,        +4.395025885138e+00,        +4.025303794471e+00
 2.30960000e+00,        +7.071067811865e+00,        +4.421587514277e+00,        +4.024100063984e+00
 2.30980000e+00,        +7.071067811865e+00,        +4.448166156167e+00,        +4.022625030392e+00
 2.31000000e+00,        +7.071067811865e+00,        +4.474758984688e+00,        +4.020876489764e+00
 2.31020000e+00,        +7.071067811865e+00,        +4.501363110480e+00,        +4.018852247606e+00
