        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],              E_elec[2] (J),                  p_elec[2],               E_mag[2] (J),                   p_mag[2],              E_elec[3] (J),                  p_elec[3],               E_mag[3] (J),                   p_mag[3],              E_elec[4] (J),                  p_elec[4],               E_mag[4] (J),                   p_mag[4],              E_elec[5] (J),                  p_elec[5],               E_mag[5] (J),                   p_mag[5],              E_elec[6] (J),                  p_elec[6],               E_mag[6] (J),                   p_mag[6]
 2.30000000e+00,        +1.582751027016e-09,        +1.619957851169e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +9.846254633951e-13,        +6.220975040220e-04,        +8.496504715892e-12,        +5.244892458010e-03,        +8.148978571693e-10,        +5.148616827660e-01,        +7.592594166081e-10,        +4.686908465304e-01,        +1.449038392023e-10,        +9.155188449031e-02,        +2.021701626990e-10,        +1.247996437396e-01,        +2.054834128079e-10,        +1.298267442576e-01,        +1.882054188939e-10,        +1.161792072294e-01,        +3.065591570484e-10,        +1.936875426492e-01,        +2.619125820498e-10,        +1.616786398861e-01,        +8.828554435013e-11,        +5.577980544202e-02,        +1.550684456531e-10,        +9.572375326999e-02
 2.30020000e+00,        +1.586116586330e-09,        +1.623408448865e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +9.903036947123e-13,        +6.243574420995e-04,        +8.548633489089e-12,        +5.265854994819e-03,        +8.153510625710e-10,        +5.140549374481e-01,        +7.592752705743e-10,        +4.677043975625e-01,        +1.452975764533e-10,        +9.160586157765e-02,        +2.028693434754e-10,        +1.249650657031e-01,        +2.064860086309e-10,        +1.301833739150e-01,        +1.890908921985e-10,        +1.164777061070e-01,        +3.077300924741e-10,        +1.940148001265e-01,        +2.628189496142e-10,        +1.618932991250e-01,        +8.850226853484e-11,        +5.579808527168e-02,        +1.556971835448e-10,        +9.590758484323e-02
 2.30040000e+00,        +1.589508426364e-09,        +1.626883615662e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +9.960222623543e-13,        +6.266228261733e-04,        +8.601130096474e-12,        +5.286874865339e-03,        +8.158078774186e-10,        +5.132453932849e-01,        +7.592894266973e-10,        +4.667140411199e-01,        +1.456946111023e-10,        +9.166016907230e-02,        +2.035738784445e-10,        +1.251311873109e-01,        +2.074966235677e-10,        +1.305413800432e-01,        +1.899836564387e-10,        +1.167776567480e-01,        +3.089089755824e-10,        +1.943424586236e-01,        +2.637315070877e-10,        +1.621084044051e-01,        +8.872149725584e-11,        +5.581694049827e-02,        +1.563311731147e-10,        +9.609241350135e-02
 2.30060000e+00,        +1.592926762515e-09,        +1.630383548553e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +1.001781402003e-12,        +6.288935722450e-04,        +8.653996614905e-12,        +5.307951385174e-03,        +8.162683673458e-10,        +5.124330801356e-01,        +7.593019151486e-10,        +4.657198091963e-01,        +1.460949690818e-10,        +9.171480605373e-02,        +2.042838019811e-10,        +1.252980025237e-01,        +2.085153114655e-10,        +1.309007522332e-01,        +1.908837616927e-10,        +1.170790528782e-01,        +3.100958475161e-10,        +1.946704988662e-01,        +2.646502867565e-10,        +1.623239433392e-01,        +8.894325413989e-11,        +5.583637379503e-02,        +1.569704523407e-10,        +9.627823617338e-02
 2.30080000e+00,        +1.596371810194e-09,        +1.633908444410e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +1.007581347563e-12,        +6.311695941564e-04,        +8.707235103618e-12,        +5.329083850082e-03,        +8.167325985124e-10,        +5.116180286428e-01,        +7.593127667455e-10,        +4.647217347724e-01,        +1.464986763578e-10,        +9.176977156715e-02,        +2.049991483175e-10,        +1.254655051321e-01,        +2.095421260021e-10,        +1.312614797280e-01,        +1.917912579182e-10,        +1.173818879353e-01,        +3.112907489530e-10,        +1.949989012366e-01,        +2.655753205470e-10,        +1.625399032948e-01,        +8.916756294470e-11,        +5.585638782600e-02,        +1.576150591635e-10,        +9.646504961939e-02
 2.30100000e+00,        +1.599843784757e-09,        +1.637458499915e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +1.013422331032e-12,        +6.334508035647e-04,        +8.760847602989e-12,        +5.350271535703e-03,        +8.172006375987e-10,        +5.108002702420e-01,        +7.593220129603e-10,        +4.637198518312e-01,        +1.469057589220e-10,        +9.182506462304e-02,        +2.057199515274e-10,        +1.256336887549e-01,        +2.105771206630e-10,        +1.316235514176e-01,        +1.927061949327e-10,        +1.176861550645e-01,        +3.124937200766e-10,        +1.953276457702e-01,        +2.665066400041e-10,        +1.627562713912e-01,        +8.939444755546e-11,        +5.587698524519e-02,        +1.582650314735e-10,        +9.665285042751e-02
 2.30120000e+00,        +1.603342901427e-09,        +1.641033911484e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +1.019304582357e-12,        +6.357371099161e-04,        +8.814836133246e-12,        +5.371513697286e-03,        +8.176725517992e-10,        +5.099798371712e-01,        +7.593296859293e-10,        +4.627141953713e-01,        +1.473162427849e-10,        +9.188068419667e-02,        +2.064462455094e-10,        +1.258025468363e-01,        +2.116203487176e-10,        +1.319869558341e-01,        +1.936286223920e-10,        +1.179918471135e-01,        +3.137048005473e-10,        +1.956567121532e-01,        +2.674442762680e-10,        +1.629730344976e-01,        +8.962393198100e-11,        +5.589816869570e-02,        +1.589204070964e-10,        +9.684163501088e-02
 2.30140000e+00,        +1.606869375221e-09,        +1.644634875193e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +1.025228329296e-12,        +6.380284204212e-04,        +8.869202693145e-12,        +5.392809569422e-03,        +8.181484088163e-10,        +5.091567624802e-01,        +7.593358184623e-10,        +4.617048014218e-01,        +1.477301539670e-10,        +9.193662922766e-02,        +2.071780639704e-10,        +1.259720726438e-01,        +2.126718631939e-10,        +1.323516811468e-01,        +1.945585897688e-10,        +1.182989566277e-01,        +3.149240294719e-10,        +1.959860797201e-01,        +2.683882600507e-10,        +1.631901792301e-01,        +8.985604034986e-11,        +5.591994080880e-02,        +1.595812237786e-10,        +9.703139960466e-02
 2.30160000e+00,        +1.610423420871e-09,        +1.648261586699e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +1.031193797264e-12,        +6.403246400294e-04,        +8.923949258600e-12,        +5.414158365767e-03,        +8.186282768532e-10,        +5.083310800399e-01,        +7.593404440511e-10,        +4.606917070559e-01,        +1.481475184907e-10,        +9.199289861952e-02,        +2.079154404076e-10,        +1.261422592660e-01,        +2.137317168535e-10,        +1.327177151571e-01,        +1.954961463300e-10,        +1.186074758446e-01,        +3.161514453725e-10,        +1.963157274510e-01,        +2.693386216117e-10,        +1.634076919496e-01,        +9.009079690610e-11,        +5.594230420305e-02,        +1.602475191721e-10,        +9.722214026294e-02
 2.30180000e+00,        +1.614005252737e-09,        +1.651914241160e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +1.037201209190e-12,        +6.426256714038e-04,        +8.979077781278e-12,        +5.435559278777e-03,        +8.191122246063e-10,        +5.075028245521e-01,        +7.593435968796e-10,        +4.596749504058e-01,        +1.485683623718e-10,        +9.204949123917e-02,        +2.086584080908e-10,        +1.263130996100e-01,        +2.147999621649e-10,        +1.330850452937e-01,        +1.964413411134e-10,        +1.189173966897e-01,        +3.173870861541e-10,        +1.966456339692e-01,        +2.702953907327e-10,        +1.636255587596e-01,        +9.032822600492e-11,        +5.596526148333e-02,        +1.609193308186e-10,        +9.741385285572e-02
