        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A)
 2.30000000e+00,        +1.414213562373e-01,        +6.449467650273e-02,        +7.660174596258e-02
 2.30020000e+00,        +1.414213562373e-01,        +6.496927607212e-02,        +7.678196130455e-02
 2.30040000e+00,        +1.414213562373e-01,        +6.544578517023e-02,        +7.695870594310e-02
 2.30060000e+00,        +1.414213562373e-01,        +6.592418755041e-02,        +7.713194137111e-02
 2.30080000e+00,        +1.414213562373e-01,        +6.640446642388e-02,        +7.730162879066e-02
 2.30100000e+00,        +1.414213562373e-01,        +6.688660444781e-02,        +7.746772911479e-02
 2.30120000e+00,        +1.414213562373e-01,        +6.737058371303e-02,        +7.763020296948e-02
 2.30140000e+00,        +1.414213562373e-01,        +6.785638573166e-02,        +7.778901069578e-02
 2.30160000e+00,        +1.414213562373e-01,        +6.834399142448e-02,        +7.794411235222e-02
 2.30180000e+00,        +1.414213562373e-01,        +6.883338110805e-02,        +7.809546771745e-02
 2.30200000e+00,        +1.414213562373e-01,        +6.932453448169e-02,        +7.824303629312e-02
 2.30220000e+00,        +1.414213562373e-01,        +6.981743061421e-02,        +7.838677730696e-02
 2.30240000e+00,        +1.414213562373e-01,        +7.031204793044e-02,        +7.852664971625e-02
 2.30260000e+00,        +1.414213562373e-01,        +7.080836419754e-02,        +7.866261221142e-02
 2.30280000e+00,        +1.414213562373e-01,        +7.130635651108e-02,        +7.879462322002e-02
 2.30300000e+00,        +1.414213562373e-01,        +7.180600128098e-02,        +7.892264091095e-02
 2.30320000e+00,        +1.414213562373e-01,        +7.230727421714e-02,        +7.904662319904e-02
 2.30340000e+00,        +1.414213562373e-01,        +7.281015031496e-02,        +7.916652774987e-02
 2.30360000e+00,        +1.414213562373e-01,        +7.331460384055e-02,        +7.928231198496e-02
 2.30380000e+00,        +1.414213562373e-01,        +7.382060831582e-02,        +7.939393308731e-02
 2.30400000e+00,        +1.414213562373e-01,        +7.432813650332e-02,        +7.950134800725e-02
 2.30420000e+00,        +1.414213562373e-01,        +7.483716039087e-02,        +7.960451346869e-02
 2.30440000e+00,        +1.414213562373e-01,        +7.534765117603e-02,        +7.970338597573e-02
 2.30460000e+00,        +1.414213562373e-01,        +7.585957925031e-02,        +7.979792181960e-02
 2.30480000e+00,        +1.414213562373e-01,        +7.637291418326e-02,        +7.988807708612e-02
 2.30500000e+00,        +1.414213562373e-01,        +7.688762470629e-02,        +7.997380766346e-02
 2.30520000e+00,        +1.414213562373e-01,        +7.740367869633e-02,        +8.005506925035e-02
 2.30540000e+00,        +1.414213562373e-01,        +7.792104315936e-02,        +8.013181736477e-02
 2.30560000e+00,        +1.414213562373e-01,        +7.843968421362e-02,        +8.020400735307e-02
 2.30580000e+00,        +1.414213562373e-01,        +7.895956707285e-02,        +8.027159439951e-02
 2.30600000e+00,        +1.414213562373e-01,        +7.948065602912e-02,        +8.033453353637e-02
 2.30620000e+00,        +1.414213562373e-01,        +8.000291443572e-02,        +8.039277965447e-02
 2.30640000e+00,        +1.414213562373e-01,        +8.052630468971e-02,        +8.044628751423e-02
 2.30660000e+00,        +1.414213562373e-01,        +8.105078821444e-02,        +8.049501175731e-02
 2.30680000e+00,        +1.414213562373e-01,        +8.157632544189e-02,        +8.053890691868e-02
 2.30700000e+00,        +1.414213562373e-01,        +8.210287579482e-02,        +8.057792743932e-02
 2.30720000e+00,        +1.414213562373e-01,        +8.263039766888e-02,        +8.061202767953e-02
 2.30740000e+00,        +1.414213562373e-01,        +8.315884841454e-02,        +8.064116193270e-02
 2.30760000e+00,        +1.414213562373e-01,        +8.368818431893e-02,        +8.066528443981e-02
 2.30780000e+00,        +1.414213562373e-01,        +8.421836058758e-02,        +8.068434940445e-02
 2.30800000e+00,        +1.414213562373e-01,        +8.474933132608e-02,        +8.069831100861e-02
 2.30820000e+00,        +1.414213562373e-01,        +8.528104952166e-02,        +8.070712342892e-02
