        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V)
 2.30000000e+00,        +7.071067811865e+00,        +1.412657457407e+01,        +3.579784680908e-01
 2.30020000e+00,        +7.071067811865e+00,        +1.412659376968e+01,        +3.572751023851e-01
 2.30040000e+00,        +7.071067811865e+00,        +1.412661280233e+01,        +3.565710528463e-01
 2.30060000e+00,        +7.071067811865e+00,        +1.412663167090e+01,        +3.558663141300e-01
 2.30080000e+00,        +7.071067811865e+00,        +1.412665037428e+01,        +3.551608808425e-01
 2.30100000e+00,        +7.071067811865e+00,        +1.412666891132e+01,        +3.544547475407e-01
 2.30120000e+00,        +7.071067811865e+00,        +1.412668728086e+01,        +3.537479087310e-01
 2.30140000e+00,        +7.071067811865e+00,        +1.412670548175e+01,        +3.530403588695e-01
 2.30160000e+00,        +7.071067811865e+00,        +1.412672351278e+01,        +3.523320923606e-01
 2.30180000e+00,        +7.071067811865e+00,        +1.412674137277e+01,        +3.516231035569e-01
 2.30200000e+00,        +7.071067811865e+00,        +1.412675906050e+01,        +3.509133867583e-01
 2.30220000e+00,        +7.071067811865e+00,        +1.412677657474e+01,        +3.502029362114e-01
 2.30240000e+00,        +7.071067811865e+00,        +1.412679391424e+01,        +3.494917461091e-01
 2.30260000e+00,        +7.071067811865e+00,        +1.412681107773e+01,        +3.487798105895e-01
 2.30280000e+00,        +7.071067811865e+00,        +1.412682806394e+01,        +3.480671237356e-01
 2.30300000e+00,        +7.071067811865e+00,        +1.412684487158e+01,        +3.473536795745e-01
 2.30320000e+00,        +7.071067811865e+00,        +1.412686149933e+01,        +3.466394720769e-01
 2.30340000e+00,        +7.071067811865e+00,        +1.412687794586e+01,        +3.459244951559e-01
 2.30360000e+00,        +7.071067811865e+00,        +1.412689420982e+01,        +3.452087426669e-01
 2.30380000e+00,        +7.071067811865e+00,        +1.412691028986e+01,        +3.444922084065e-01
 2.30400000e+00,        +7.071067811865e+00,        +1.412692618458e+01,        +3.437748861119e-01
 2.30420000e+00,        +7.071067811865e+00,        +1.412694189259e+01,        +3.430567694603e-01
 2.30440000e+00,        +7.071067811865e+00,        +1.412695741246e+01,        +3.423378520678e-01
 2.30460000e+00,        +7.071067811865e+00,        +1.412697274276e+01,        +3.416181274891e-01
 2.30480000e+00,        +7.071067811865e+00,        +1.412698788204e+01,        +3.408975892162e-01
 2.30500000e+00,        +7.071067811865e+00,        +1.412700282881e+01,        +3.401762306782e-01
 2.30520000e+00,        +7.071067811865e+00,        +1.412701758159e+01,        +3.394540452400e-01
 2.30540000e+00,        +7.071067811865e+00,        +1.412703213885e+01,        +3.387310262019e-01
 2.30560000e+00,        +7.071067811865e+00,        +1.412704649905e+01,        +3.380071667986e-01
 2.30580000e+00,        +7.071067811865e+00,        +1.412706066066e+01,        +3.372824601981e-01
 2.30600000e+00,        +7.071067811865e+00,        +1.412707462207e+01,        +3.365568995016e-01
 2.30620000e+00,        +7.071067811865e+00,        +1.412708838171e+01,        +3.358304777418e-01
 2.30640000e+00,        +7.071067811865e+00,        +1.412710193794e+01,        +3.351031878827e-01
 2.30660000e+00,        +7.071067811865e+00,        +1.412711528913e+01,        +3.343750228182e-01
 2.30680000e+00,        +7.071067811865e+00,        +1.412712843361e+01,        +3.336459753716e-01
 2.30700000e+00,        +7.071067811865e+00,        +1.412714136969e+01,        +3.329160382947e-01
 2.30720000e+00,        +7.071067811865e+00,        +1.412715409568e+01,        +3.321852042665e-01
 2.30740000e+00,        +7.071067811865e+00,        +1.412716660982e+01,        +3.314534658925e-01
 2.30760000e+00,        +7.071067811865e+00,        +1.412717891038e+01,        +3.307208157041e-01
 2.30780000e+00,        +7.071067811865e+00,        +1.412719099556e+01,        +3.299872461569e-01
 2.30800000e+00,        +7.071067811865e+00,        +1.412720286357e+01,        +3.292527496304e-01
 2.30820000e+00,        +7.071067811865e+00,        +1.412721451258e+01,        +3.285173184266e-01
 2.30840000e+00,        +7.071067811865e+00,        +1.412722594072e+01,        +3.277809447691e-01
 2.30860000e+00,        +7.071067811865e+00,        +1.412723714613e+01,        +3.270436208023e-01
 2.30880000e+00,        +7.071067811865e+00,        +1.412724812689e+01,        +3.263053385900e-01
 2.30900000e+00,        +7.071067811865e+00,        +1.412725888108e+01,        +3.255660901146e-01
 2.30920000e+00,        +7.071067811865e+00,        +1.412726940673e+01,        +3.248258672759e-01
 2.30940000e+00,        +7.071067811865e+00,        +1.412727970185e+01,        +3.240846618902e-01
 2.30960000e+00,        +7.071067811865e+00,        +1.412728976445e+01,        +3.233424656889e-01
 2.30980000e+00,        +7.071067811865e+00,        +1.412729959246e+01,        +3.225992703176e-01
 2.31000000e+00,        +7.071067811865e+00,        +1.412730918383e+01,        +3.218550673350e-01
 2.31020000e+00,        +7.071067811865e+00,        +1.412731853645e+01,        +3.211098482116e-01
 2.31040000e+00,        +7.071067811865e+00,        +1.412732764820e+01,        +3.203636043284e-01
 2.31060000e+00,        +7.071067811865e+00,        +1.412733651691e+01,        +3.196163269762e-01
 2.31080000e+00,        +7.071067811865e+00,        +1.412734514040e+01,        +3.188680073538e-01
 2.31100000e+00,        +7.071067811865e+00,        +1.412735351644e+01,        +3.181186365672e-01
 2.31120000e+00,        +7.071067811865e+00,        +1.412736164278e+01,        +3.173682056282e-01
 2.31140000e+00,        +7.071067811865e+00,        +1.412736951714e+01,        +3.166167054530e-01
 2.31160000e+00,        +7.071067811865e+00,        +1.412737713720e+01,        +3.158641268610e-01
 2.31180000e+00,        +7.071067811865e+00,        +1.412738450061e+01,        +3.151104605738e-01
 2.31200000e+00,        +7.071067811865e+00,        +1.412739160499e+01,        +3.143556972133e-01
 2.31220000e+00,        +7.071067811865e+00,        +1.412739844791e+01,        +3.135998273006e-01
 2.31240000e+00,        +7.071067811865e+00,        +1.412740502694e+01,        +3.128428412550e-01
 2.31260000e+00,        +7.071067811865e+00,        +1.412741133957e+01,        +3.120847293918e-01
 2.31280000e+00,        +7.071067811865e+00,        +1.412741738328e+01,        +3.113254819217e-01
 2.31300000e+00,        +7.071067811865e+00,        +1.412742315552e+01,        +3.105650889488e-01
 2.31320000e+00,        +7.071067811865e+00,        +1.412742865368e+01,        +3.098035404693e-01
 2.31340000e+00,        +7.071067811865e+00,        +1.412743387513e+01,        +3.090408263700e-01
 2.31360000e+00,        +7.071067811865e+00,        +1.412743881719e+01,        +3.082769364270e-01
 2.31380000e+00,        +7.071067811865e+00,        +1.412744347715e+01,        +3.075118603038e-01
 2.31400000e+00,        +7.071067811865e+00,        +1.412744785226e+01,        +3.067455875499e-01
 2.31420000e+00,        +7.071067811865e+00,        +1.412745193971e+01,        +3.059781075991e-01
 2.31440000e+00,        +7.071067811865e+00,        +1.412745573668e+01,        +3.052094097681e-01
 2.31460000e+00,        +7.071067811865e+00,        +1.412745924028e+01,        +3.044394832548e-01
