        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],              E_elec[2] (J),                  p_elec[2],               E_mag[2] (J),                   p_mag[2],              E_elec[3] (J),                  p_elec[3],               E_mag[3] (J),                   p_mag[3],              E_elec[4] (J),                  p_elec[4],               E_mag[4] (J),                   p_mag[4],              E_elec[5] (J),                  p_elec[5],               E_mag[5] (J),                   p_mag[5],              E_elec[6] (J),                  p_elec[6],               E_mag[6] (J),                   p_mag[6]
 2.30000000e+00,        +1.426931231756e-10,        +1.044753601556e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.549069854008e-14,        +3.188009171550e-04,        +7.024540165409e-13,        +6.723633357133e-03,        +7.918808069551e-11,        +5.549537282051e-01,        +4.530522976168e-11,        +4.336451168409e-01,        +1.920136099308e-11,        +1.345640249913e-01,        +1.577029686799e-11,        +1.509475233634e-01,        +1.232107599300e-11,        +8.634666982405e-02,        +1.286568126030e-11,        +1.231456033378e-01,        +1.285263718550e-11,        +9.007187522055e-02,        +1.307054284357e-11,        +1.251064636111e-01,        +1.855243463465e-11,        +1.300163190893e-01,        +1.532807462702e-11,        +1.467147335428e-01
 2.30020000e+00,        +1.429644542435e-10,        +1.047328671737e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.565052722573e-14,        +3.193138285128e-04,        +7.047677364312e-13,        +6.729193570747e-03,        +7.925959802024e-11,        +5.544007315641e-01,        +4.538054551314e-11,        +4.332980346835e-01,        +1.926143457406e-11,        +1.347288364509e-01,        +1.581588617783e-11,        +1.510116795676e-01,        +1.235980917325e-11,        +8.645372193149e-02,        +1.290716268581e-11,        +1.232388937123e-01,        +1.289171236978e-11,        +9.017424952234e-02,        +1.311211334463e-11,        +1.251957833149e-01,        +1.861198031968e-11,        +1.301860691049e-01,        +1.537331641247e-11,        +1.467859787221e-01
 2.30040000e+00,        +1.432374495305e-10,        +1.049920116576e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.581140461700e-14,        +3.198284021892e-04,        +7.070966916340e-13,        +6.734766583383e-03,        +7.933136724970e-11,        +5.538451536922e-01,        +4.545620435371e-11,        +4.329491704753e-01,        +1.932192690801e-11,        +1.348943797264e-01,        +1.586179090815e-11,        +1.510761691078e-01,        +1.239882229190e-11,        +8.656131711739e-02,        +1.294894738312e-11,        +1.233326914941e-01,        +1.293107305525e-11,        +9.027718028797e-02,        +1.315398895224e-11,        +1.252856169204e-01,        +1.867193894415e-11,        +1.303565443629e-01,        +1.541887070616e-11,        +1.468575605203e-01
 2.30060000e+00,        +1.435121227119e-10,        +1.052528071246e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.597333963124e-14,        +3.203446424072e-04,        +7.094410106560e-13,        +6.740352395698e-03,        +7.940339005691e-11,        +5.532869875832e-01,        +4.553220878143e-11,        +4.325985218384e-01,        +1.938284152321e-11,        +1.350606565978e-01,        +1.590801371027e-11,        +1.511409922915e-01,        +1.243811775466e-11,        +8.666945704394e-02,        +1.299103796087e-11,        +1.234269974909e-01,        +1.297072167147e-11,        +9.038066907778e-02,        +1.319617228257e-11,        +1.253759651936e-01,        +1.873231401447e-11,        +1.305277467888e-01,        +1.546474015010e-11,        +1.469294793421e-01
 2.30080000e+00,        +1.437884876127e-10,        +1.055152672404e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.613634128329e-14,        +3.208625533886e-04,        +7.118008234080e-13,        +6.745951008081e-03,        +7.947566813013e-11,        +5.527262262068e-01,        +4.560856131936e-11,        +4.322460863931e-01,        +1.944418198752e-11,        +1.352276688514e-01,        +1.595455726524e-11,        +1.512061494277e-01,        +1.247769799427e-11,        +8.677814337876e-02,        +1.303343705700e-11,        +1.235218125100e-01,        +1.301066067521e-11,        +9.048471745704e-02,        +1.323866598123e-11,        +1.254668289004e-01,        +1.879310907640e-11,        +1.306996783152e-01,        +1.551092741599e-11,        +1.470017355939e-01
 2.30100000e+00,        +1.440665582097e-10,        +1.057794058216e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.630041868678e-14,        +3.213821393537e-04,        +7.141762612235e-13,        +6.751562420644e-03,        +7.954820317305e-11,        +5.521628625100e-01,        +4.568526451593e-11,        +4.318918617576e-01,        +1.950595190889e-11,        +1.353954182795e-01,        +1.600142428431e-11,        +1.512716408267e-01,        +1.251756547077e-11,        +8.688737779481e-02,        +1.307614733916e-11,        +1.236171373586e-01,        +1.305089255083e-11,        +9.058932699584e-02,        +1.328147272356e-11,        +1.255582088063e-01,        +1.885432771560e-11,        +1.308723408812e-01,        +1.555743520558e-11,        +1.470743296839e-01
 2.30120000e+00,        +1.443463486338e-10,        +1.060452368378e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.646558105542e-14,        +3.219034045211e-04,        +7.165674568773e-13,        +6.757186633225e-03,        +7.962099690498e-11,        +5.515968894161e-01,        +4.576232094518e-11,        +4.315358455485e-01,        +1.956815493591e-11,        +1.355639066808e-01,        +1.604861750927e-11,        +1.513374668004e-01,        +1.255772267193e-11,        +8.699716197037e-02,        +1.311917150509e-11,        +1.237129728435e-01,        +1.309141981067e-11,        +9.069449926911e-02,        +1.332459521513e-11,        +1.256501056763e-01,        +1.891597355809e-11,        +1.310457364327e-01,        +1.560426625108e-11,        +1.471472620213e-01
 2.30140000e+00,        +1.446278731714e-10,        +1.063127744127e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.663183770430e-14,        +3.224263531072e-04,        +7.189745446042e-13,        +6.762823645382e-03,        +7.969405106104e-11,        +5.510282998258e-01,        +4.583973320715e-11,        +4.311780353810e-01,        +1.963079475834e-11,        +1.357331358602e-01,        +1.609613971288e-11,        +1.514036276619e-01,        +1.259817211358e-11,        +8.710749758903e-02,        +1.316251228303e-11,        +1.238093197713e-01,        +1.313224499539e-11,        +9.080023585655e-02,        +1.336803619206e-11,        +1.257425202748e-01,        +1.897805027085e-11,        +1.312198669226e-01,        +1.565142331560e-11,        +1.472205330174e-01
 2.30160000e+00,        +1.449111462668e-10,        +1.065820328272e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.679919805125e-14,        +3.229509893262e-04,        +7.213976601185e-13,        +6.768473456389e-03,        +7.976736739231e-11,        +5.504570866168e-01,        +4.591750392820e-11,        +4.308184288685e-01,        +1.969387510765e-11,        +1.359031076284e-01,        +1.614399369927e-11,        +1.514701237257e-01,        +1.263891634001e-11,        +8.721838633959e-02,        +1.320617243213e-11,        +1.239061789480e-01,        +1.317337067437e-11,        +9.090653834256e-02,        +1.341179842146e-11,        +1.258354533659e-01,        +1.904056156232e-11,        +1.313947343103e-01,        +1.569890919350e-11,        +1.472941430847e-01
 2.30180000e+00,        +1.451961825244e-10,        +1.068530265208e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.696767161818e-14,        +3.234773173895e-04,        +7.238369406334e-13,        +6.774136065232e-03,        +7.984094766607e-11,        +5.498832426442e-01,        +4.599563576129e-11,        +4.304570236235e-01,        +1.975739975759e-11,        +1.360738238023e-01,        +1.619218230440e-11,        +1.515369553080e-01,        +1.267995792432e-11,        +8.732982991611e-02,        +1.325015474284e-11,        +1.240035511794e-01,        +1.321479944605e-11,        +9.101340831624e-02,        +1.345588470186e-11,        +1.259289057128e-01,        +1.910351118299e-11,        +1.315703405617e-01,        +1.574672671087e-11,        +1.473680926372e-01
 2.30200000e+00,        +1.454829967106e-10,        +1.071257700940e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.713726803249e-14,        +3.240053415058e-04,        +7.262925248807e-13,        +6.779811470607e-03,        +7.991479366594e-11,        +5.493067607407e-01,        +4.607413138634e-11,        +4.300938172572e-01,        +1.982137252477e-11,        +1.362452862049e-01,        +1.624070839642e-11,        +1.516041227258e-01,        +1.272129946885e-11,        +8.744183001780e-02,        +1.329446203737e-11,        +1.241014372704e-01,        +1.325653393839e-11,        +9.112084737133e-02,        +1.350029786358e-11,        +1.260228780781e-01,        +1.916690292596e-11,        +1.317466876496e-01,        +1.579487872592e-11,        +1.474423820904e-01
 2.30220000e+00,        +1.457716037560e-10,        +1.074002783104e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.730799702843e-14,        +3.245350658804e-04,        +7.287645531313e-13,        +6.785499670916e-03,        +7.998890719212e-11,        +5.487276337168e-01,        +4.615299351059e-11,        +4.297288073800e-01,        +1.988579726921e-11,        +1.364174966648e-01,        +1.628957487619e-11,        +1.516716262980e-01,        +1.276294360551e-11,        +8.755438834900e-02,        +1.333909717007e-11,        +1.241998380257e-01,        +1.329857680919e-11,        +9.122885710614e-02,        +1.354504076922e-11,        +1.261173712239e-01,        +1.923074062749e-11,        +1.319237775533e-01,        +1.584336812943e-11,        +1.475170118614e-01
 2.30240000e+00,        +1.460620187576e-10,        +1.076765660987e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.747986844854e-14,        +3.250664947151e-04,        +7.312531672151e-13,        +6.791200664265e-03,        +8.006329006154e-11,        +5.481458543607e-01,        +4.623222486893e-11,        +4.293619916014e-01,        +1.995067789491e-11,        +1.365904570169e-01,        +1.633878467762e-11,        +1.517394663444e-01,        +1.280489299624e-11,        +8.766750661916e-02,        +1.338406302790e-11,        +1.242987542492e-01,        +1.334093074653e-11,        +9.133743912352e-02,        +1.359011631404e-11,        +1.262123859112e-01,        +1.929502816760e-11,        +1.321016122585e-01,        +1.589219784516e-11,        +1.475919823687e-01
 2.30260000e+00,        +1.463542569811e-10,        +1.079546485552e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.765289224512e-14,        +3.255996322080e-04,        +7.337585105423e-13,        +6.796914448454e-03,        +8.013794410810e-11,        +5.475614154390e-01,        +4.631182822423e-11,        +4.289933675303e-01,        +2.001601835050e-11,        +1.367641691016e-01,        +1.638834076819e-11,        +1.518076431865e-01,        +1.284715033339e-11,        +8.778118654278e-02,        +1.342936253085e-11,        +1.243981867440e-01,        +1.338359846919e-11,        +9.144659503084e-02,        +1.363552742644e-11,        +1.263079229003e-01,        +1.935976947067e-11,        +1.322801937573e-01,        +1.594137083034e-11,        +1.476672940322e-01
 2.30280000e+00,        +1.466483338630e-10,        +1.082345409457e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.782707848164e-14,        +3.261344825528e-04,        +7.362807281242e-13,        +6.802641020980e-03,        +8.021287118285e-11,        +5.469743096965e-01,        +4.639180636771e-11,        +4.286229327751e-01,        +2.008182262978e-11,        +1.369386347651e-01,        +1.643824614938e-11,        +1.518761571468e-01,        +1.288971834012e-11,        +8.789542983937e-02,        +1.347499863239e-11,        +1.244981363126e-01,        +1.342658272702e-11,        +9.155632643985e-02,        +1.368127706836e-11,        +1.264039829506e-01,        +1.942496850600e-11,        +1.324595240485e-01,        +1.599089007609e-11,        +1.477429472733e-01
 2.30300000e+00,        +1.469442650130e-10,        +1.085162587081e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.800243733429e-14,        +3.266710499390e-04,        +7.388199665946e-13,        +6.808380379033e-03,        +8.028807315421e-11,        +5.463845298565e-01,        +4.647216211931e-11,        +4.282506849439e-01,        +2.014809477238e-11,        +1.371138558596e-01,        +1.648850385714e-11,        +1.519450085492e-01,        +1.293259977082e-11,        +8.801023823341e-02,        +1.352097431994e-11,        +1.245986037567e-01,        +1.346988630140e-11,        +9.166663496674e-02,        +1.372736823581e-11,        +1.265005668204e-01,        +1.949062928847e-11,        +1.326396051370e-01,        +1.604075860789e-11,        +1.478189425148e-01
 2.30320000e+00,        +1.472420662162e-10,        +1.087998174546e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.817897909348e-14,        +3.272093385510e-04,        +7.413763742316e-13,        +6.814132519487e-03,        +8.036355190815e-11,        +5.457920686210e-01,        +4.655289832805e-11,        +4.278766216448e-01,        +2.021483886433e-11,        +1.372898342425e-01,        +1.653911696233e-11,        +1.520141977189e-01,        +1.297579741158e-11,        +8.812561345430e-02,        +1.356729261529e-11,        +1.246995898771e-01,        +1.351351200564e-11,        +9.177752223202e-02,        +1.377380395924e-11,        +1.265976752672e-01,        +1.955675587913e-11,        +1.328204390342e-01,        +1.609097948606e-11,        +1.478952801807e-01
 2.30340000e+00,        +1.475417534356e-10,        +1.090852329738e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.835671416533e-14,        +3.277493525685e-04,        +7.439501009799e-13,        +6.819897438900e-03,        +8.043930934844e-11,        +5.451969186713e-01,        +4.663401787237e-11,        +4.275007404858e-01,        +2.028205903877e-11,        +1.374665717771e-01,        +1.659008857124e-11,        +1.520837249825e-01,        +1.301931408053e-11,        +8.824155723632e-02,        +1.361395657512e-11,        +1.248010954736e-01,        +1.355746268543e-11,        +9.188898986045e-02,        +1.382058730409e-11,        +1.266953090471e-01,        +1.962335238584e-11,        +1.330020277575e-01,        +1.614155580620e-11,        +1.479719606968e-01
 2.30360000e+00,        +1.478433428145e-10,        +1.093725212335e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.853565307330e-14,        +3.282910961653e-04,        +7.465412984729e-13,        +6.825675133510e-03,        +8.051534739682e-11,        +5.445990726675e-01,        +4.671552366057e-11,        +4.271230390752e-01,        +2.034975947650e-11,        +1.376440703322e-01,        +1.664142182603e-11,        +1.521535906674e-01,        +1.306315262838e-11,        +8.835807131857e-02,        +1.366096929143e-11,        +1.249031213449e-01,        +1.360174121928e-11,        +9.200103948104e-02,        +1.386772137120e-11,        +1.267934689152e-01,        +1.969042296390e-11,        +1.331843733310e-01,        +1.619249069973e-11,        +1.480489844900e-01
 2.30380000e+00,        +1.481468506787e-10,        +1.096616983828e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.871580645974e-14,        +3.288345735096e-04,        +7.491501200555e-13,        +6.831465599231e-03,        +8.059166799327e-11,        +5.439985232493e-01,        +4.679741863112e-11,        +4.267435150215e-01,        +2.041794440670e-11,        +1.378223317820e-01,        +1.669311990525e-11,        +1.522237951028e-01,        +1.310731593877e-11,        +8.847515744494e-02,        +1.370833389206e-11,        +1.250056682891e-01,        +1.364635051895e-11,        +9.211367272697e-02,        +1.391520929735e-11,        +1.268921556254e-01,        +1.975797181672e-11,        +1.333674777843e-01,        +1.624378733432e-11,        +1.481263519886e-01
 2.30400000e+00,        +1.484522935395e-10,        +1.099527807548e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.889718508749e-14,        +3.293797887635e-04,        +7.517767208078e-13,        +6.837268831645e-03,        +8.066827309617e-11,        +5.433952630360e-01,        +4.687970575311e-11,        +4.263621659341e-01,        +2.048661810757e-11,        +1.380013580062e-01,        +1.674518602434e-11,        +1.522943386187e-01,        +1.315180692881e-11,        +8.859281736404e-02,        +1.375605354115e-11,        +1.251087371026e-01,        +1.369129352993e-11,        +9.222689123551e-02,        +1.396305425571e-11,        +1.269913699303e-01,        +1.982600319645e-11,        +1.335513431538e-01,        +1.629544891443e-11,        +1.482040636222e-01
