        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A)
 2.30000000e+00,        +1.414213562373e-01,        +2.583935439360e-01,        -7.807137674263e-02
 2.30020000e+00,        +1.414213562373e-01,        +2.583671645832e-01,        -7.810636791079e-02
 2.30040000e+00,        +1.414213562373e-01,        +2.583407085464e-01,        -7.814141840342e-02
 2.30060000e+00,        +1.414213562373e-01,        +2.583141753267e-01,        -7.817652855572e-02
 2.30080000e+00,        +1.414213562373e-01,        +2.582875644206e-01,        -7.821169870520e-02
 2.30100000e+00,        +1.414213562373e-01,        +2.582608753199e-01,        -7.824692919171e-02
 2.30120000e+00,        +1.414213562373e-01,        +2.582341075122e-01,        -7.828222035747e-02
 2.30140000e+00,        +1.414213562373e-01,        +2.582072604801e-01,        -7.831757254705e-02
 2.30160000e+00,        +1.414213562373e-01,        +2.581803337016e-01,        -7.835298610743e-02
 2.30180000e+00,        +1.414213562373e-01,        +2.581533266500e-01,        -7.838846138802e-02
 2.30200000e+00,        +1.414213562373e-01,        +2.581262387937e-01,        -7.842399874065e-02
 2.30220000e+00,        +1.414213562373e-01,        +2.580990695964e-01,        -7.845959851965e-02
 2.30240000e+00,        +1.414213562373e-01,        +2.580718185166e-01,        -7.849526108181e-02
 2.30260000e+00,        +1.414213562373e-01,        +2.580444850081e-01,        -7.853098678645e-02
 2.30280000e+00,        +1.414213562373e-01,        +2.580170685195e-01,        -7.856677599541e-02
 2.30300000e+00,        +1.414213562373e-01,        +2.579895684944e-01,        -7.860262907310e-02
 2.30320000e+00,        +1.414213562373e-01,        +2.579619843710e-01,        -7.863854638651e-02
 2.30340000e+00,        +1.414213562373e-01,        +2.579343155826e-01,        -7.867452830524e-02
 2.30360000e+00,        +1.414213562373e-01,        +2.579065615570e-01,        -7.871057520152e-02
 2.30380000e+00,        +1.414213562373e-01,        +2.578787217167e-01,        -7.874668745023e-02
 2.30400000e+00,        +1.414213562373e-01,        +2.578507954789e-01,        -7.878286542894e-02
 2.30420000e+00,        +1.414213562373e-01,        +2.578227822552e-01,        -7.881910951793e-02
 2.30440000e+00,        +1.414213562373e-01,        +2.577946814517e-01,        -7.885542010020e-02
 2.30460000e+00,        +1.414213562373e-01,        +2.577664924688e-01,        -7.889179756150e-02
 2.30480000e+00,        +1.414213562373e-01,        +2.577382147014e-01,        -7.892824229040e-02
 2.30500000e+00,        +1.414213562373e-01,        +2.577098475386e-01,        -7.896475467823e-02
 2.30520000e+00,        +1.414213562373e-01,        +2.576813903635e-01,        -7.900133511920e-02
 2.30540000e+00,        +1.414213562373e-01,        +2.576528425536e-01,        -7.903798401035e-02
 2.30560000e+00,        +1.414213562373e-01,        +2.576242034803e-01,        -7.907470175163e-02
 2.30580000e+00,        +1.414213562373e-01,        +2.575954725090e-01,        -7.911148874589e-02
 2.30600000e+00,        +1.414213562373e-01,        +2.575666489989e-01,        -7.914834539894e-02
