        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.)
 2.30000000e+00,        -4.855691568154e-02,        -3.372054879578e+01
 2.30020000e+00,        -4.871189616967e-02,        -3.373837280091e+01
 2.30040000e+00,        -4.886794063422e-02,        -3.375623489653e+01
 2.30060000e+00,        -4.902505788664e-02,        -3.377413531953e+01
 2.30080000e+00,        -4.918325683509e-02,        -3.379207430870e+01
 2.30100000e+00,        -4.934254648563e-02,        -3.381005210483e+01
 2.30120000e+00,        -4.950293594360e-02,        -3.382806895066e+01
 2.30140000e+00,        -4.966443441484e-02,        -3.384612509096e+01
 2.30160000e+00,        -4.982705120708e-02,        -3.386422077250e+01
 2.30180000e+00,        -4.999079573120e-02,        -3.388235624413e+01
 2.30200000e+00,        -5.015567750269e-02,        -3.390053175674e+01
 2.30220000e+00,        -5.032170614297e-02,        -3.391874756334e+01
 2.30240000e+00,        -5.048889138079e-02,        -3.393700391904e+01
 2.30260000e+00,        -5.065724305368e-02,        -3.395530108110e+01
 2.30280000e+00,        -5.082677110942e-02,        -3.397363930893e+01
 2.30300000e+00,        -5.099748560750e-02,        -3.399201886415e+01
 2.30320000e+00,        -5.116939672057e-02,        -3.401044001057e+01
 2.30340000e+00,        -5.134251473602e-02,        -3.402890301426e+01
 2.30360000e+00,        -5.151685005753e-02,        -3.404740814354e+01
 2.30380000e+00,        -5.169241320655e-02,        -3.406595566902e+01
 2.30400000e+00,        -5.186921482402e-02,        -3.408454586362e+01
 2.30420000e+00,        -5.204726567190e-02,        -3.410317900261e+01
 2.30440000e+00,        -5.222657663481e-02,        -3.412185536361e+01
 2.30460000e+00,        -5.240715872178e-02,        -3.414057522665e+01
 2.30480000e+00,        -5.258902306786e-02,        -3.415933887417e+01
 2.30500000e+00,        -5.277218093593e-02,        -3.417814659107e+01
 2.30520000e+00,        -5.295664371834e-02,        -3.419699866471e+01
 2.30540000e+00,        -5.314242293889e-02,        -3.421589538496e+01
 2.30560000e+00,        -5.332953025435e-02,        -3.423483704422e+01
 2.30580000e+00,        -5.351797745657e-02,        -3.425382393747e+01
 2.30600000e+00,        -5.370777647422e-02,        -3.427285636226e+01
 2.30620000e+00,        -5.389893937472e-02,        -3.429193461877e+01
 2.30640000e+00,        -5.409147836615e-02,        -3.431105900983e+01
 2.30660000e+00,        -5.428540579923e-02,        -3.433022984094e+01
 2.30680000e+00,        -5.448073416933e-02,        -3.434944742033e+01
 2.30700000e+00,        -5.467747611849e-02,        -3.436871205898e+01
 2.30720000e+00,        -5.487564443745e-02,        -3.438802407063e+01
 2.30740000e+00,        -5.507525206783e-02,        -3.440738377183e+01
 2.30760000e+00,        -5.527631210415e-02,        -3.442679148198e+01
 2.30780000e+00,        -5.547883779609e-02,        -3.444624752336e+01
 2.30800000e+00,        -5.568284255063e-02,        -3.446575222114e+01
 2.30820000e+00,        -5.588833993434e-02,        -3.448530590346e+01
 2.30840000e+00,        -5.609534367564e-02,        -3.450490890141e+01
 2.30860000e+00,        -5.630386766708e-02,        -3.452456154912e+01
 2.30880000e+00,        -5.651392596776e-02,        -3.454426418374e+01
 2.30900000e+00,        -5.672553280569e-02,        -3.456401714554e+01
 2.30920000e+00,        -5.693870258020e-02,        -3.458382077789e+01
 2.30940000e+00,        -5.715344986445e-02,        -3.460367542732e+01
 2.30960000e+00,        -5.736978940801e-02,        -3.462358144356e+01
 2.30980000e+00,        -5.758773613925e-02,        -3.464353917959e+01
 2.31000000e+00,        -5.780730516808e-02,        -3.466354899163e+01
 2.31020000e+00,        -5.802851178867e-02,        -3.468361123927e+01
 2.31040000e+00,        -5.825137148189e-02,        -3.470372628539e+01
 2.31060000e+00,        -5.847589991833e-02,        -3.472389449632e+01
 2.31080000e+00,        -5.870211296094e-02,        -3.474411624180e+01
 2.31100000e+00,        -5.893002666783e-02,        -3.476439189504e+01
 2.31120000e+00,        -5.915965729533e-02,        -3.478472183279e+01
 2.31140000e+00,        -5.939102130074e-02,        -3.480510643536e+01
 2.31160000e+00,        -5.962413534547e-02,        -3.482554608666e+01
 2.31180000e+00,        -5.985901629796e-02,        -3.484604117425e+01
 2.31200000e+00,        -6.009568123681e-02,        -3.486659208940e+01
 2.31220000e+00,        -6.033414745404e-02,        -3.488719922712e+01
 2.31240000e+00,        -6.057443245809e-02,        -3.490786298620e+01
 2.31260000e+00,        -6.081655397728e-02,        -3.492858376926e+01
 2.31280000e+00,        -6.106052996296e-02,        -3.494936198282e+01
 2.31300000e+00,        -6.130637859303e-02,        -3.497019803734e+01
 2.31320000e+00,        -6.155411827529e-02,        -3.499109234723e+01
 2.31340000e+00,        -6.180376765097e-02,        -3.501204533095e+01
 2.31360000e+00,        -6.205534559828e-02,        -3.503305741105e+01
 2.31380000e+00,        -6.230887123604e-02,        -3.505412901419e+01
 2.31400000e+00,        -6.256436392737e-02,        -3.507526057124e+01
 2.31420000e+00,        -6.282184328347e-02,        -3.509645251730e+01
 2.31440000e+00,        -6.308132916741e-02,        -3.511770529176e+01
 2.31460000e+00,        -6.334284169803e-02,        -3.513901933834e+01
 2.31480000e+00,        -6.360640125393e-02,        -3.516039510520e+01
