        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],              E_elec[2] (J),                  p_elec[2],               E_mag[2] (J),                   p_mag[2],              E_elec[3] (J),                  p_elec[3],               E_mag[3] (J),                   p_mag[3],              E_elec[4] (J),                  p_elec[4],               E_mag[4] (J),                   p_mag[4],              E_elec[5] (J),                  p_elec[5],               E_mag[5] (J),                   p_mag[5],              E_elec[6] (J),                  p_elec[6],               E_mag[6] (J),                   p_mag[6]
 2.30000000e+00,        +1.105151746113e-10,        +7.421499386067e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.567701668713e-14,        +2.323392853284e-04,        +3.988198274856e-13,        +5.373844377516e-03,        +7.093100049550e-11,        +6.418213674726e-01,        +3.667541972232e-11,        +4.941780335006e-01,        +1.218130899293e-11,        +1.102229538683e-01,        +1.059548022749e-11,        +1.427673799634e-01,        +7.477713542144e-12,        +6.766232391564e-02,        +7.717422680730e-12,        +1.039873788202e-01,        +8.264953689702e-12,        +7.478569091322e-02,        +8.022096254045e-12,        +1.080926620988e-01,        +1.140395095101e-11,        +1.031890054115e-01,        +1.005629627237e-11,        +1.355022179379e-01
 2.30020000e+00,        +1.106134146798e-10,        +7.430292294352e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.572098001479e-14,        +2.325303860228e-04,        +3.994192700693e-13,        +5.375552592634e-03,        +7.097621825381e-11,        +6.416601319042e-01,        +3.671494453541e-11,        +4.941251714057e-01,        +1.219686529499e-11,        +1.102656972511e-01,        +1.060847492682e-11,        +1.427733190911e-01,        +7.488466323840e-12,        +6.769944084556e-02,        +7.727633841985e-12,        +1.040017476548e-01,        +8.274154809703e-12,        +7.480245351484e-02,        +8.031789908592e-12,        +1.080952079731e-01,        +1.142079551952e-11,        +1.032496424831e-01,        +1.006966296674e-11,        +1.355217610268e-01
 2.30040000e+00,        +1.107121093197e-10,        +7.439129787522e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.576517172454e-14,        +2.327222548903e-04,        +4.000218795018e-13,        +5.377267112247e-03,        +7.102153889352e-11,        +6.414974778273e-01,        +3.675458930704e-11,        +4.940710856893e-01,        +1.221253272375e-11,        +1.103089156082e-01,        +1.062155566570e-11,        +1.427795450419e-01,        +7.499281986500e-12,        +6.773678175389e-02,        +7.737916473799e-12,        +1.040164198611e-01,        +8.283437076440e-12,        +7.481961212139e-02,        +8.041561164058e-12,        +1.080981431127e-01,        +1.143773399892e-11,        +1.033105960062e-01,        +1.008310722196e-11,        +1.355414881842e-01
 2.30060000e+00,        +1.108112604024e-10,        +7.448012047606e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.580959266478e-14,        +2.329148912399e-04,        +4.006276691463e-13,        +5.378987931083e-03,        +7.106696280841e-11,        +6.413334037562e-01,        +3.679435449409e-11,        +4.940157757386e-01,        +1.222831160063e-11,        +1.103526081755e-01,        +1.063472273502e-11,        +1.427860570987e-01,        +7.510160949771e-12,        +6.777434822505e-02,        +7.748270928874e-12,        +1.040313962887e-01,        +8.292800694209e-12,        +7.483716604335e-02,        +8.051410302221e-12,        +1.081014672205e-01,        +1.145476690830e-11,        +1.033718673238e-01,        +1.009662941803e-11,        +1.355614001896e-01
 2.30080000e+00,        +1.109108698160e-10,        +7.456939258281e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.585424369564e-14,        +2.331082944217e-04,        +4.012366524870e-13,        +5.380715043930e-03,        +7.111249039598e-11,        +6.411679081948e-01,        +3.683424055766e-11,        +4.939592409413e-01,        +1.224420225244e-11,        +1.103967742094e-01,        +1.064797642941e-11,        +1.427928545560e-01,        +7.521103634110e-12,        +6.781214182693e-02,        +7.758697562241e-12,        +1.040466777790e-01,        +8.302245872282e-12,        +7.485511461642e-02,        +8.061337608549e-12,        +1.081051800120e-01,        +1.147189476822e-11,        +1.034334577599e-01,        +1.011022993686e-11,        +1.355814978060e-01
 2.30100000e+00,        +1.110109394650e-10,        +7.465911604867e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.589912568889e-14,        +2.333024638266e-04,        +4.018488431293e-13,        +5.382448445644e-03,        +7.115812205749e-11,        +6.410009896360e-01,        +3.687424796307e-11,        +4.939014806849e-01,        +1.226020501147e-11,        +1.104414129865e-01,        +1.066131704726e-11,        +1.427999367191e-01,        +7.532110460848e-12,        +6.785016411128e-02,        +7.769196731295e-12,        +1.040622651657e-01,        +8.311772824876e-12,        +7.487345720100e-02,        +8.071343372199e-12,        +1.081092812154e-01,        +1.148911810085e-11,        +1.034953686206e-01,        +1.012390916229e-11,        +1.356017817796e-01
 2.30120000e+00,        +1.111114712708e-10,        +7.474929274349e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.594423952794e-14,        +2.334973988842e-04,        +4.024642548003e-13,        +5.384188131136e-03,        +7.120385819788e-11,        +6.408326465618e-01,        +3.691437717989e-11,        +4.938424943573e-01,        +1.227632021538e-11,        +1.104865238032e-01,        +1.067474489070e-11,        +1.428073029042e-01,        +7.543181852252e-12,        +6.788841661420e-02,        +7.779768795826e-12,        +1.040781592747e-01,        +8.321381771123e-12,        +7.489219318174e-02,        +8.081427886020e-12,        +1.081137705711e-01,        +1.150643742997e-11,        +1.035576011942e-01,        +1.013766748016e-11,        +1.356222528412e-01
 2.30140000e+00,        +1.112124671717e-10,        +7.483992455375e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.598958610779e-14,        +2.336930990628e-04,        +4.030829013493e-13,        +5.385934095375e-03,        +7.124969922582e-11,        +6.406628774434e-01,        +3.695462868191e-11,        +4.937822813460e-01,        +1.229254820722e-11,        +1.105321059755e-01,        +1.068826026563e-11,        +1.428149524383e-01,        +7.554318231586e-12,        +6.792690085655e-02,        +7.790414118049e-12,        +1.040943609243e-01,        +8.331072935051e-12,        +7.491132196704e-02,        +8.091591446562e-12,        +1.081186478315e-01,        +1.152385328111e-11,        +1.036201567520e-01,        +1.015150527830e-11,        +1.356429117056e-01
 2.30160000e+00,        +1.113139291227e-10,        +7.493101338269e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.603516633493e-14,        +2.338895638678e-04,        +4.037047967483e-13,        +5.387686333381e-03,        +7.129564555370e-11,        +6.404916807409e-01,        +3.699500294715e-11,        +4.937208410382e-01,        +1.230888933544e-11,        +1.105781588382e-01,        +1.070186348169e-11,        +1.428228846583e-01,        +7.565520023172e-12,        +6.796561834439e-02,        +7.801133062637e-12,        +1.041108709260e-01,        +8.340846545551e-12,        +7.493084298869e-02,        +8.101834354073e-12,        +1.081239127609e-01,        +1.154136618158e-11,        +1.036830365484e-01,        +1.016542294661e-11,        +1.356637590725e-01
 2.30180000e+00,        +1.114158590960e-10,        +7.502256115039e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.608098112740e-14,        +2.340867928409e-04,        +4.043299550924e-13,        +5.389444840224e-03,        +7.134169759760e-11,        +6.403190549033e-01,        +3.703550045787e-11,        +4.936581728212e-01,        +1.232534395384e-11,        +1.106246817450e-01,        +1.071555485229e-11,        +1.428310989118e-01,        +7.576787652446e-12,        +6.800457056940e-02,        +7.811925996757e-12,        +1.041276900837e-01,        +8.350702836360e-12,        +7.495075570133e-02,        +8.112156912510e-12,        +1.081295651350e-01,        +1.155897666053e-11,        +1.037462418216e-01,        +1.017942087710e-11,        +1.356847956269e-01
