        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A)
 2.30000000e+00,        +1.414213562373e-01,        +2.612690125250e-01,        -7.415965251805e-02
 2.30020000e+00,        +1.414213562373e-01,        +2.612511747755e-01,        -7.418715293656e-02
 2.30040000e+00,        +1.414213562373e-01,        +2.612333093384e-01,        -7.421467478381e-02
 2.30060000e+00,        +1.414213562373e-01,        +2.612154160966e-01,        -7.424221816850e-02
 2.30080000e+00,        +1.414213562373e-01,        +2.611974949322e-01,        -7.426978319972e-02
 2.30100000e+00,        +1.414213562373e-01,        +2.611795457267e-01,        -7.429736998686e-02
 2.30120000e+00,        +1.414213562373e-01,        +2.611615683610e-01,        -7.432497863970e-02
 2.30140000e+00,        +1.414213562373e-01,        +2.611435627152e-01,        -7.435260926834e-02
 2.30160000e+00,        +1.414213562373e-01,        +2.611255286692e-01,        -7.438026198325e-02
 2.30180000e+00,        +1.414213562373e-01,        +2.611074661016e-01,        -7.440793689528e-02
 2.30200000e+00,        +1.414213562373e-01,        +2.610893748910e-01,        -7.443563411562e-02
 2.30220000e+00,        +1.414213562373e-01,        +2.610712549149e-01,        -7.446335375583e-02
 2.30240000e+00,        +1.414213562373e-01,        +2.610531060503e-01,        -7.449109592785e-02
 2.30260000e+00,        +1.414213562373e-01,        +2.610349281735e-01,        -7.451886074399e-02
 2.30280000e+00,        +1.414213562373e-01,        +2.610167211601e-01,        -7.454664831694e-02
 2.30300000e+00,        +1.414213562373e-01,        +2.609984848852e-01,        -7.457445875976e-02
 2.30320000e+00,        +1.414213562373e-01,        +2.609802192230e-01,        -7.460229218592e-02
 2.30340000e+00,        +1.414213562373e-01,        +2.609619240471e-01,        -7.463014870925e-02
 2.30360000e+00,        +1.414213562373e-01,        +2.609435992304e-01,        -7.465802844399e-02
 2.30380000e+00,        +1.414213562373e-01,        +2.609252446451e-01,        -7.468593150477e-02
 2.30400000e+00,        +1.414213562373e-01,        +2.609068601627e-01,        -7.471385800661e-02
 2.30420000e+00,        +1.414213562373e-01,        +2.608884456540e-01,        -7.474180806496e-02
 2.30440000e+00,        +1.414213562373e-01,        +2.608700009891e-01,        -7.476978179565e-02
 2.30460000e+00,        +1.414213562373e-01,        +2.608515260374e-01,        -7.479777931491e-02
 2.30480000e+00,        +1.414213562373e-01,        +2.608330206674e-01,        -7.482580073942e-02
 2.30500000e+00,        +1.414213562373e-01,        +2.608144847472e-01,        -7.485384618626e-02
 2.30520000e+00,        +1.414213562373e-01,        +2.607959181439e-01,        -7.488191577290e-02
 2.30540000e+00,        +1.414213562373e-01,        +2.607773207238e-01,        -7.491000961729e-02
 2.30560000e+00,        +1.414213562373e-01,        +2.607586923528e-01,        -7.493812783777e-02
 2.30580000e+00,        +1.414213562373e-01,        +2.607400328957e-01,        -7.496627055312e-02
 2.30600000e+00,        +1.414213562373e-01,        +2.607213422167e-01,        -7.499443788255e-02
 2.30620000e+00,        +1.414213562373e-01,        +2.607026201793e-01,        -7.502262994571e-02
 2.30640000e+00,        +1.414213562373e-01,        +2.606838666460e-01,        -7.505084686272e-02
 2.30660000e+00,        +1.414213562373e-01,        +2.606650814787e-01,        -7.507908875409e-02
 2.30680000e+00,        +1.414213562373e-01,        +2.606462645386e-01,        -7.510735574084e-02
 2.30700000e+00,        +1.414213562373e-01,        +2.606274156859e-01,        -7.513564794441e-02
 2.30720000e+00,        +1.414213562373e-01,        +2.606085347801e-01,        -7.516396548669e-02
 2.30740000e+00,        +1.414213562373e-01,        +2.605896216800e-01,        -7.519230849006e-02
 2.30760000e+00,        +1.414213562373e-01,        +2.605706762434e-01,        -7.522067707734e-02
 2.30780000e+00,        +1.414213562373e-01,        +2.605516983274e-01,        -7.524907137184e-02
 2.30800000e+00,        +1.414213562373e-01,        +2.605326877883e-01,        -7.527749149732e-02
 2.30820000e+00,        +1.414213562373e-01,        +2.605136444815e-01,        -7.530593757804e-02
 2.30840000e+00,        +1.414213562373e-01,        +2.604945682617e-01,        -7.533440973872e-02
 2.30860000e+00,        +1.414213562373e-01,        +2.604754589826e-01,        -7.536290810457e-02
 2.30880000e+00,        +1.414213562373e-01,        +2.604563164971e-01,        -7.539143280131e-02
 2.30900000e+00,        +1.414213562373e-01,        +2.604371406574e-01,        -7.541998395512e-02
 2.30920000e+00,        +1.414213562373e-01,        +2.604179313146e-01,        -7.544856169269e-02
 2.30940000e+00,        +1.414213562373e-01,        +2.603986883191e-01,        -7.547716614122e-02
 2.30960000e+00,        +1.414213562373e-01,        +2.603794115205e-01,        -7.550579742841e-02
 2.30980000e+00,        +1.414213562373e-01,        +2.603601007672e-01,        -7.553445568245e-02
 2.31000000e+00,        +1.414213562373e-01,        +2.603407559070e-01,        -7.556314103207e-02
 2.31020000e+00,        +1.414213562373e-01,        +2.603213767868e-01,        -7.559185360649e-02
 2.31040000e+00,        +1.414213562373e-01,        +2.603019632524e-01,        -7.562059353548e-02
 2.31060000e+00,        +1.414213562373e-01,        +2.602825151490e-01,        -7.564936094932e-02
 2.31080000e+00,        +1.414213562373e-01,        +2.602630323206e-01,        -7.567815597881e-02
 2.31100000e+00,        +1.414213562373e-01,        +2.602435146103e-01,        -7.570697875529e-02
 2.31120000e+00,        +1.414213562373e-01,        +2.602239618606e-01,        -7.573582941066e-02
 2.31140000e+00,        +1.414213562373e-01,        +2.602043739126e-01,        -7.576470807732e-02
 2.31160000e+00,        +1.414213562373e-01,        +2.601847506068e-01,        -7.579361488825e-02
 2.31180000e+00,        +1.414213562373e-01,        +2.601650917826e-01,        -7.582254997697e-02
 2.31200000e+00,        +1.414213562373e-01,        +2.601453972785e-01,        -7.585151347755e-02
 2.31220000e+00,        +1.414213562373e-01,        +2.601256669320e-01,        -7.588050552463e-02
 2.31240000e+00,        +1.414213562373e-01,        +2.601059005796e-01,        -7.590952625340e-02
 2.31260000e+00,        +1.414213562373e-01,        +2.600860980568e-01,        -7.593857579962e-02
 2.31280000e+00,        +1.414213562373e-01,        +2.600662591984e-01,        -7.596765429965e-02
 2.31300000e+00,        +1.414213562373e-01,        +2.600463838377e-01,        -7.599676189038e-02
 2.31320000e+00,        +1.414213562373e-01,        +2.600264718074e-01,        -7.602589870932e-02
 2.31340000e+00,        +1.414213562373e-01,        +2.600065229390e-01,        -7.605506489455e-02
 2.31360000e+00,        +1.414213562373e-01,        +2.599865370631e-01,        -7.608426058474e-02
 2.31380000e+00,        +1.414213562373e-01,        +2.599665140091e-01,        -7.611348591916e-02
 2.31400000e+00,        +1.414213562373e-01,        +2.599464536056e-01,        -7.614274103767e-02
 2.31420000e+00,        +1.414213562373e-01,        +2.599263556798e-01,        -7.617202608076e-02
 2.31440000e+00,        +1.414213562373e-01,        +2.599062200582e-01,        -7.620134118949e-02
 2.31460000e+00,        +1.414213562373e-01,        +2.598860465661e-01,        -7.623068650557e-02
 2.31480000e+00,        +1.414213562373e-01,        +2.598658350277e-01,        -7.626006217131e-02
 2.31500000e+00,        +1.414213562373e-01,        +2.598455852661e-01,        -7.628946832965e-02
 2.31520000e+00,        +1.414213562373e-01,        +2.598252971034e-01,        -7.631890512415e-02
 2.31540000e+00,        +1.414213562373e-01,        +2.598049703604e-01,        -7.634837269901e-02
 2.31560000e+00,        +1.414213562373e-01,        +2.597846048572e-01,        -7.637787119907e-02
 2.31580000e+00,        +1.414213562373e-01,        +2.597642004123e-01,        -7.640740076981e-02
 2.31600000e+00,        +1.414213562373e-01,        +2.597437568434e-01,        -7.643696155735e-02
 2.31620000e+00,        +1.414213562373e-01,        +2.597232739670e-01,        -7.646655370848e-02
 2.31640000e+00,        +1.414213562373e-01,        +2.597027515983e-01,        -7.649617737062e-02
 2.31660000e+00,        +1.414213562373e-01,        +2.596821895516e-01,        -7.652583269189e-02
 2.31680000e+00,        +1.414213562373e-01,        +2.596615876398e-01,        -7.655551982105e-02
 2.31700000e+00,        +1.414213562373e-01,        +2.596409456747e-01,        -7.658523890754e-02
 2.31720000e+00,        +1.414213562373e-01,        +2.596202634670e-01,        -7.661499010148e-02
 2.31740000e+00,        +1.414213562373e-01,        +2.595995408261e-01,        -7.664477355368e-02
 2.31760000e+00,        +1.414213562373e-01,        +2.595787775603e-01,        -7.667458941562e-02
 2.31780000e+00,        +1.414213562373e-01,        +2.595579734766e-01,        -7.670443783949e-02
 2.31800000e+00,        +1.414213562373e-01,        +2.595371283808e-01,        -7.673431897818e-02
 2.31820000e+00,        +1.414213562373e-01,        +2.595162420775e-01,        -7.676423298527e-02
 2.31840000e+00,        +1.414213562373e-01,        +2.594953143699e-01,        -7.679418001507e-02
 2.31860000e+00,        +1.414213562373e-01,        +2.594743450603e-01,        -7.682416022258e-02
 2.31880000e+00,        +1.414213562373e-01,        +2.594533339493e-01,        -7.685417376354e-02
 2.31900000e+00,        +1.414213562373e-01,        +2.594322808366e-01,        -7.688422079441e-02
 2.31920000e+00,        +1.414213562373e-01,        +2.594111855203e-01,        -7.691430147239e-02
 2.31940000e+00,        +1.414213562373e-01,        +2.593900477974e-01,        -7.694441595541e-02
 2.31960000e+00,        +1.414213562373e-01,        +2.593688674636e-01,        -7.697456440213e-02
 2.31980000e+00,        +1.414213562373e-01,        +2.593476443131e-01,        -7.700474697198e-02
 2.32000000e+00,        +1.414213562373e-01,        +2.593263781389e-01,        -7.703496382514e-02
 2.32020000e+00,        +1.414213562373e-01,        +2.593050687328e-01,        -7.706521512253e-02
 2.32040000e+00,        +1.414213562373e-01,        +2.592837158849e-01,        -7.709550102587e-02
 2.32060000e+00,        +1.414213562373e-01,        +2.592623193842e-01,        -7.712582169762e-02
