        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.)
 2.30000000e+00,        -2.982643479846e-02,        -3.174850397535e+01
 2.30020000e+00,        -2.986922522621e-02,        -3.176182683237e+01
 2.30040000e+00,        -2.991230141659e-02,        -3.177516315319e+01
 2.30060000e+00,        -2.995566456707e-02,        -3.178851300273e+01
 2.30080000e+00,        -2.999931588619e-02,        -3.180187644617e+01
 2.30100000e+00,        -3.004325659376e-02,        -3.181525354895e+01
 2.30120000e+00,        -3.008748792077e-02,        -3.182864437680e+01
 2.30140000e+00,        -3.013201110953e-02,        -3.184204899571e+01
 2.30160000e+00,        -3.017682741372e-02,        -3.185546747196e+01
 2.30180000e+00,        -3.022193809846e-02,        -3.186889987211e+01
 2.30200000e+00,        -3.026734444035e-02,        -3.188234626299e+01
 2.30220000e+00,        -3.031304772759e-02,        -3.189580671172e+01
 2.30240000e+00,        -3.035904925998e-02,        -3.190928128571e+01
 2.30260000e+00,        -3.040535034904e-02,        -3.192277005266e+01
 2.30280000e+00,        -3.045195231810e-02,        -3.193627308057e+01
 2.30300000e+00,        -3.049885650230e-02,        -3.194979043771e+01
 2.30320000e+00,        -3.054606424875e-02,        -3.196332219268e+01
 2.30340000e+00,        -3.059357691655e-02,        -3.197686841434e+01
 2.30360000e+00,        -3.064139587687e-02,        -3.199042917189e+01
 2.30380000e+00,        -3.068952251305e-02,        -3.200400453481e+01
 2.30400000e+00,        -3.073795822069e-02,        -3.201759457290e+01
 2.30420000e+00,        -3.078670440769e-02,        -3.203119935627e+01
 2.30440000e+00,        -3.083576249436e-02,        -3.204481895532e+01
 2.30460000e+00,        -3.088513391352e-02,        -3.205845344080e+01
 2.30480000e+00,        -3.093482011055e-02,        -3.207210288375e+01
 2.30500000e+00,        -3.098482254350e-02,        -3.208576735554e+01
 2.30520000e+00,        -3.103514268318e-02,        -3.209944692787e+01
 2.30540000e+00,        -3.108578201322e-02,        -3.211314167275e+01
 2.30560000e+00,        -3.113674203020e-02,        -3.212685166253e+01
 2.30580000e+00,        -3.118802424375e-02,        -3.214057696989e+01
 2.30600000e+00,        -3.123963017653e-02,        -3.215431766783e+01
 2.30620000e+00,        -3.129156136454e-02,        -3.216807382971e+01
 2.30640000e+00,        -3.134381935697e-02,        -3.218184552920e+01
 2.30660000e+00,        -3.139640571649e-02,        -3.219563284034e+01
 2.30680000e+00,        -3.144932201927e-02,        -3.220943583751e+01
 2.30700000e+00,        -3.150256985506e-02,        -3.222325459541e+01
 2.30720000e+00,        -3.155615082734e-02,        -3.223708918912e+01
 2.30740000e+00,        -3.161006655337e-02,        -3.225093969407e+01
 2.30760000e+00,        -3.166431866441e-02,        -3.226480618604e+01
 2.30780000e+00,        -3.171890880561e-02,        -3.227868874115e+01
 2.30800000e+00,        -3.177383863635e-02,        -3.229258743593e+01
 2.30820000e+00,        -3.182910983023e-02,        -3.230650234723e+01
 2.30840000e+00,        -3.188472407518e-02,        -3.232043355228e+01
 2.30860000e+00,        -3.194068307359e-02,        -3.233438112870e+01
 2.30880000e+00,        -3.199698854244e-02,        -3.234834515446e+01
 2.30900000e+00,        -3.205364221335e-02,        -3.236232570791e+01
 2.30920000e+00,        -3.211064583281e-02,        -3.237632286781e+01
 2.30940000e+00,        -3.216800116218e-02,        -3.239033671326e+01
 2.30960000e+00,        -3.222570997788e-02,        -3.240436732377e+01
 2.30980000e+00,        -3.228377407148e-02,        -3.241841477924e+01
 2.31000000e+00,        -3.234219524982e-02,        -3.243247915996e+01
 2.31020000e+00,        -3.240097533518e-02,        -3.244656054661e+01
 2.31040000e+00,        -3.246011616531e-02,        -3.246065902028e+01
 2.31060000e+00,        -3.251961959367e-02,        -3.247477466246e+01
 2.31080000e+00,        -3.257948748946e-02,        -3.248890755503e+01
 2.31100000e+00,        -3.263972173781e-02,        -3.250305778030e+01
 2.31120000e+00,        -3.270032423991e-02,        -3.251722542099e+01
