        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +1.303838229216e+00,        +3.076770999243e-05,        +2.118841847345e+04,        +8.492018418246e-13,        +5.233079930192e-09
 2.00e+00,        +1.638107953837e+00,        +3.422391933148e-05,        +2.393220861598e+04,        +4.118494877126e-13,        +2.539057174065e-09
 3.00e+00,        +1.638130558750e+00,        +3.422615524774e-05,        +2.393097540828e+04,        +5.927844865183e-13,        +3.654523793284e-09
 4.00e+00,        +1.840311898633e+00,        +5.237314073930e-05,        +1.756923370835e+04,        +2.877661122138e-13,        +1.774629352863e-09
 5.00e+00,        +2.077611910448e+00,        +3.889784344825e-05,        +2.670600381197e+04,        +1.362341450733e-12,        +8.404872444923e-09
 6.00e+00,        +2.077655126292e+00,        +3.890218026014e-05,        +2.670358207128e+04,        +7.819984357781e-14,        +4.824486268852e-10
 7.00e+00,        +2.104719514569e+00,        +4.332114121842e-05,        +2.429205990215e+04,        +1.097876300230e-12,        +6.773609608470e-09
 8.00e+00,        +2.104774665121e+00,        +4.332654537195e-05,        +2.428966638694e+04,        +9.999250532638e-14,        +6.169276663319e-10
 9.00e+00,        +2.450086321698e+00,        +6.030994073951e-05,        +2.031245838080e+04,        +1.018059482571e-12,        +6.285494541101e-09
 1.00e+01,        +2.450467147403e+00,        +2.781018900412e-05,        +4.405700276250e+04,        +1.840656342406e-13,        +1.136421304852e-09
