        m,         Re{B_x[1]} (Wb/m²),         Im{B_x[1]} (Wb/m²),         Re{B_y[1]} (Wb/m²),         Im{B_y[1]} (Wb/m²),         Re{B_z[1]} (Wb/m²),         Im{B_z[1]} (Wb/m²),         Re{B_x[2]} (Wb/m²),         Im{B_x[2]} (Wb/m²),         Re{B_y[2]} (Wb/m²),         Im{B_y[2]} (Wb/m²),         Re{B_z[2]} (Wb/m²),         Im{B_z[2]} (Wb/m²),         Re{B_x[3]} (Wb/m²),         Im{B_x[3]} (Wb/m²),         Re{B_y[3]} (Wb/m²),         Im{B_y[3]} (Wb/m²),         Re{B_z[3]} (Wb/m²),         Im{B_z[3]} (Wb/m²),         Re{B_x[4]} (Wb/m²),         Im{B_x[4]} (Wb/m²),         Re{B_y[4]} (Wb/m²),         Im{B_y[4]} (Wb/m²),         Re{B_z[4]} (Wb/m²),         Im{B_z[4]} (Wb/m²),         Re{B_x[5]} (Wb/m²),         Im{B_x[5]} (Wb/m²),         Re{B_y[5]} (Wb/m²),         Im{B_y[5]} (Wb/m²),         Re{B_z[5]} (Wb/m²),         Im{B_z[5]} (Wb/m²),         Re{B_x[6]} (Wb/m²),         Im{B_x[6]} (Wb/m²),         Re{B_y[6]} (Wb/m²),         Im{B_y[6]} (Wb/m²),         Re{B_z[6]} (Wb/m²),         Im{B_z[6]} (Wb/m²)
 1.00e+00,        +2.453876304450e-14,        -2.980133993543e-10,        +1.653563525740e-11,        -4.767801464771e-07,        +1.139229435553e-14,        -1.441553661611e-10,        -1.101795560847e-11,        +3.131569066330e-07,        +1.302260218190e-11,        -3.690479268808e-07,        +1.036691746653e-13,        -1.809375179029e-09,        -1.624910457460e-11,        +4.681019684901e-07,        +2.910061211426e-12,        -8.308082034276e-08,        -1.786879807714e-14,        +4.376327593598e-10,        +2.436361985272e-14,        -3.174654300975e-10,        +1.089925745366e-11,        -2.835557451396e-07,        +3.549809619854e-15,        -8.274335389943e-11,        -6.967622141632e-12,        +1.817491639372e-07,        +8.429382912891e-12,        -2.184497626636e-07,        +1.523210546633e-16,        -3.343584629804e-11,        -1.072815064437e-11,        +2.790915357481e-07,        +1.896323497529e-12,        -4.931381065475e-08,        -7.357635886599e-15,        +7.543766137256e-11
 2.00e+00,        -1.218148963576e-13,        +7.782892412560e-10,        +6.095578995477e-14,        -3.390832212352e-10,        -5.881372117225e-11,        +4.987617315944e-07,        +6.127106435113e-13,        -3.583198254192e-09,        -3.358887385845e-13,        +1.115752354417e-09,        -3.840840656283e-11,        +3.262175050407e-07,        +1.495928398637e-13,        -6.375436254461e-10,        -1.289123593261e-13,        +6.524678926613e-10,        +2.399571634447e-12,        -1.387979358263e-08,        +1.300037713499e-13,        -7.620009250481e-10,        -4.593963941284e-14,        +2.600383635642e-10,        -3.421731434746e-11,        +2.806243546631e-07,        -1.330276260381e-13,        +7.957384213833e-10,        -5.612008668459e-14,        +2.327401027951e-10,        -2.130455556529e-11,        +1.774394309856e-07,        -1.719652929827e-14,        +8.433635200658e-11,        +7.259231936954e-15,        -2.125319896018e-11,        +1.511423941433e-12,        -8.420980548039e-09
 3.00e+00,        -3.825687063903e-14,        -5.995332456350e-10,        -2.520228641491e-14,        -8.421320364323e-10,        -9.733547174428e-12,        -1.028958077412e-07,        +1.613832311543e-13,        +2.399313002247e-09,        +1.461093270579e-13,        +5.660931551337e-09,        -4.101690246235e-11,        -4.081149012283e-07,        +5.345871741616e-14,        +8.884986049075e-10,        +5.544043216757e-14,        +1.096065620201e-09,        -5.223603486913e-11,        -5.107819735128e-07,        -2.409216872915e-14,        -1.860951252997e-10,        -2.867096992228e-15,        +5.558710270831e-11,        -5.225340238331e-12,        -5.798620708926e-08,        -1.091593106884e-14,        -1.582147588547e-10,        +1.822410513636e-14,        +4.741708376934e-10,        -2.178102428183e-11,        -2.246145895401e-07,        -1.706495198136e-14,        -2.590989858194e-10,        -1.478160819847e-14,        -2.623348430874e-10,        -2.816455892901e-11,        -2.861840254832e-07
 4.00e+00,        +1.042250809941e-13,        -1.412378940007e-09,        +1.311996348314e-13,        -1.091245058190e-09,        +1.218678692511e-13,        -1.905693844640e-09,        -1.953139989030e-14,        +5.825775772254e-10,        -4.807786050717e-14,        -4.273802892319e-09,        -1.196479736868e-13,        -1.143469017266e-09,        +1.989786528944e-14,        +4.442138285614e-10,        -1.342552869139e-14,        -2.070036515733e-10,        -5.279168117332e-14,        -1.858859549364e-11,        +1.548425738894e-13,        -2.164052838489e-09,        +2.157643104501e-14,        -3.625612424657e-10,        -4.940631693458e-14,        +7.586077031413e-10,        -1.660037457700e-14,        +1.064110495924e-10,        +1.822188697564e-15,        -3.558445933472e-10,        -8.953047440089e-14,        +1.366705491341e-09,        +5.079385009727e-14,        -6.628821517814e-10,        -6.444277900736e-14,        +8.132299943001e-10,        -4.683746256535e-14,        +6.134767741378e-10
 5.00e+00,        -6.877208623888e-11,        +5.044085434997e-07,        +7.204735348001e-12,        +5.969692714274e-10,        -1.126534739640e-14,        +1.959974121782e-10,        -1.388782958904e-11,        +4.318819622504e-07,        -1.625220477804e-11,        +3.591039043236e-07,        -1.241221053003e-12,        +5.977489790884e-09,        +1.614565400369e-11,        +6.173731481857e-08,        +3.282545750974e-11,        +3.532002772276e-07,        +2.151666633035e-13,        -1.546259088684e-09,        -1.021621338682e-10,        +7.033461371942e-07,        +5.076743814586e-11,        +2.973670076244e-07,        +2.638867796171e-13,        -1.484209478906e-09,        -8.267657350522e-11,        +6.718078504612e-07,        +4.266337321510e-11,        +4.219349395315e-07,        -4.895435645788e-14,        +8.674628755831e-10,        -7.182037725460e-11,        +5.506112250230e-07,        +5.847613783545e-11,        +4.176081792395e-07,        -4.626780413556e-14,        +3.925199424506e-10
 6.00e+00,        +7.463628332703e-11,        -2.806394818261e-07,        +1.176527362045e-11,        +2.383872932981e-09,        +1.048168216256e-13,        -1.032568444994e-10,        -1.136758733331e-11,        +8.699640932665e-08,        +1.137224768079e-11,        +6.422934051149e-08,        +1.687202474080e-12,        -5.152468872562e-09,        -2.091951267397e-11,        +7.169300324265e-08,        -7.214464022183e-11,        +4.319198074165e-07,        -1.391470928751e-13,        +1.957920664848e-10,        +1.086075678958e-10,        -3.971435009150e-07,        -9.616043792533e-11,        +5.305254330117e-07,        -2.095758377705e-13,        +6.127611682657e-10,        +7.837360567141e-11,        -2.711041452868e-07,        -9.761037243891e-11,        +5.568901538065e-07,        -3.797444786889e-14,        +3.042952145841e-10,        +7.461174208974e-11,        -2.740474622502e-07,        -1.249861261367e-10,        +6.744131666252e-07,        -7.456684797580e-15,        +5.130873112083e-11
 7.00e+00,        +1.378799433586e-13,        -1.294463666428e-09,        +5.416809794902e-14,        -8.030179015651e-10,        -2.813361933610e-11,        +2.447100260092e-07,        +2.613701510695e-13,        +6.730049891254e-10,        -3.421370267006e-13,        +2.648563386567e-09,        -5.584707532072e-11,        +4.784629847927e-07,        -8.571437911137e-14,        +1.262492942249e-09,        +1.464560343294e-13,        -1.842710217574e-09,        +9.400121827935e-12,        -8.219852726919e-08,        +2.641787526007e-13,        -1.668154643552e-09,        -8.045570294795e-14,        +4.650884616574e-10,        -9.108294963408e-12,        +7.448176959451e-08,        -1.598268035863e-15,        +6.900405267488e-11,        +3.225489474953e-13,        -2.729529843627e-09,        -1.748325388232e-11,        +1.438645207612e-07,        +1.603310027771e-13,        -9.583628342045e-10,        +1.286650050337e-13,        -1.102428118922e-09,        +3.061452490103e-12,        -2.476756930574e-08
 8.00e+00,        +8.608383604846e-14,        -2.157279788440e-09,        -2.201002290600e-14,        +2.853134293246e-10,        -1.503577287229e-12,        -4.292164049561e-07,        -1.158219481911e-13,        -2.225538090125e-09,        +3.885618770967e-13,        +2.393575976277e-09,        +2.407974352131e-12,        +1.678639661921e-07,        +9.076927323749e-15,        -3.112628502882e-11,        +9.789142633735e-14,        -4.938888110169e-10,        +2.369103527177e-12,        +4.805797692587e-07,        +1.661445801602e-14,        -4.635660293059e-10,        +5.560035430331e-14,        +4.959119697332e-10,        +3.890515433535e-13,        -1.355300987835e-07,        +3.478197358049e-14,        +1.316585915293e-09,        +4.855998291860e-14,        +1.053462860106e-09,        +4.250587814625e-13,        +5.099183648252e-08,        +2.018097791922e-14,        -1.731883756030e-10,        +4.935000615300e-14,        +5.356893011040e-10,        -2.743778854921e-13,        +1.502514994903e-07
 9.00e+00,        +1.284546035576e-11,        +8.711637761226e-10,        -8.191471510577e-12,        -7.386828191730e-10,        -2.448730197392e-09,        +3.579800183021e-08,        +4.597745985759e-11,        +7.501884467504e-09,        -5.989929307123e-12,        -1.253962644479e-09,        -2.468735460602e-09,        +2.667415214450e-08,        +7.872692960916e-11,        +5.221150643899e-09,        -1.150648542554e-11,        -1.704310571405e-09,        -2.465203920742e-09,        +2.736764777054e-08,        +4.781851643144e-11,        +1.912112609838e-09,        -6.270538266400e-12,        -3.674630714090e-10,        -6.078296598876e-09,        +8.027767491815e-08,        -2.089435953592e-11,        -2.533221808599e-10,        -1.475916832308e-11,        -1.845022055538e-09,        -6.043162353988e-09,        +8.176129833353e-08,        -2.198149829228e-11,        -6.854669230269e-10,        -8.892734896265e-12,        +5.031449764597e-10,        -6.016722408721e-09,        +8.177124094533e-08
 1.00e+01,        +4.017184456190e-13,        -1.876828812397e-10,        +4.777633518221e-12,        -7.723760963915e-10,        +4.217404844432e-09,        +4.889456903708e-07,        +1.221747408628e-10,        +7.831822802629e-09,        -1.698746238401e-10,        +6.051964523084e-09,        +3.960252008621e-09,        +4.765593174911e-07,        +2.210939409710e-11,        -2.492819728343e-09,        -3.630359852814e-11,        -1.083255899544e-09,        +4.061452973793e-09,        +4.738190055271e-07,        -2.690759843046e-11,        -3.653053563250e-09,        -5.432759657009e-12,        +5.520472098832e-10,        +1.028218405272e-08,        +1.195774056264e-06,        +2.055137507551e-11,        +3.091855876218e-09,        -3.530893662391e-11,        -8.213055874648e-10,        +1.028154943836e-08,        +1.192469062613e-06,        +1.222776118832e-11,        +2.332531553485e-09,        +2.737180291481e-11,        +2.399128775012e-09,        +1.023717331977e-08,        +1.189233393919e-06
