        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13],             E_elec[14] (J),                 p_elec[14],              E_mag[14] (J),                  p_mag[14],             E_elec[15] (J),                 p_elec[15],              E_mag[15] (J),                  p_mag[15],             E_elec[16] (J),                 p_elec[16],              E_mag[16] (J),                  p_mag[16],             E_elec[17] (J),                 p_elec[17],              E_mag[17] (J),                  p_mag[17]
 1.00e+00,        +2.935514708646e-10,        +2.935339222442e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.544102555769e-12,        +2.229286242885e-02,        +4.323081805796e-14,        +1.472770769642e-04,        +6.544102555769e-12,        +2.229286242885e-02,        +4.323081805796e-14,        +1.472770769642e-04,        +3.663588376594e-12,        +1.248022490163e-02,        +5.851522843067e-14,        +1.993474143748e-04,        +5.839480093972e-11,        +1.989252541224e-01,        +5.987021183199e-11,        +2.039635193584e-01,        +5.570111166289e-11,        +1.897490463898e-01,        +5.864700347137e-11,        +1.997963404808e-01,        +5.518713818235e-11,        +1.879981661131e-01,        +5.812207764245e-11,        +1.980080434932e-01,        +5.518817250481e-11,        +1.880016895922e-01,        +5.812323609925e-11,        +1.980119900789e-01,        +5.570223940992e-11,        +1.897528881251e-01,        +5.864811048682e-11,        +1.998001118182e-01,        +3.170317232506e-12,        +1.079986832690e-02,        +2.153666582928e-14,        +7.337027919848e-05
 2.00e+00,        +2.935514708646e-10,        +2.935370718915e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.477536064125e-12,        +1.525298459905e-02,        +1.788929063629e-12,        +6.094388869186e-03,        +4.477536064125e-12,        +1.525298459905e-02,        +1.788929063629e-12,        +6.094388869186e-03,        +2.090650903048e-12,        +7.121922764993e-03,        +1.287584540417e-12,        +4.386446087098e-03,        +3.948904148658e-11,        +1.345216951912e-01,        +6.279553192477e-11,        +2.139270911171e-01,        +7.177170855485e-11,        +2.444944606936e-01,        +5.391248257056e-11,        +1.836649872643e-01,        +5.144144996048e-11,        +1.752382633579e-01,        +5.914292955409e-11,        +2.014836803167e-01,        +5.157546723857e-11,        +1.756948009379e-01,        +5.910617014943e-11,        +2.013584511440e-01,        +7.168203819467e-11,        +2.441889934449e-01,        +5.392747242305e-11,        +1.837160535654e-01,        +1.023578462238e-12,        +3.486879010430e-03,        +1.575971665576e-12,        +5.368901636242e-03
 3.00e+00,        +2.935514708646e-10,        +2.935371360586e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.478257978341e-12,        +1.525544384142e-02,        +1.792639628169e-12,        +6.107028406147e-03,        +4.478257978341e-12,        +1.525544384142e-02,        +1.792639628169e-12,        +6.107028406147e-03,        +2.089681256411e-12,        +7.118619607855e-03,        +1.284034774124e-12,        +4.374352054273e-03,        +7.528620180780e-11,        +2.564667844657e-01,        +5.317984290887e-11,        +1.811690460121e-01,        +4.254538016946e-11,        +1.449332890214e-01,        +6.154310983179e-11,        +2.096603879773e-01,        +6.282681772088e-11,        +2.140231746612e-01,        +5.631516721256e-11,        +1.918502304980e-01,        +6.268081032588e-11,        +2.135257920571e-01,        +5.634430503494e-11,        +1.919494950161e-01,        +4.262394272311e-11,        +1.452009168872e-01,        +6.151517653892e-11,        +2.095652269586e-01,        +1.020378882677e-12,        +3.475979458292e-03,        +1.562860129264e-12,        +5.324233077453e-03
 4.00e+00,        +2.935514708646e-10,        +2.935274824387e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.476273927679e-12,        +8.435569818084e-03,        +3.391388138489e-14,        +1.155390326764e-04,        +2.476273927679e-12,        +8.435569818084e-03,        +3.391388138489e-14,        +1.155390326764e-04,        +1.705644468554e-12,        +5.810376161735e-03,        +5.539962890592e-14,        +1.887374512453e-04,        +6.130072065793e-11,        +2.088244370822e-01,        +6.122559234968e-11,        +2.085855533561e-01,        +5.697549931349e-11,        +1.940903213521e-01,        +5.853840396792e-11,        +1.994307431848e-01,        +5.605352777619e-11,        +1.909495721861e-01,        +5.754384752486e-11,        +1.960424524708e-01,        +5.605787190799e-11,        +1.909643707214e-01,        +5.755011650147e-11,        +1.960638098461e-01,        +5.698434175986e-11,        +1.941204436552e-01,        +5.854747260544e-11,        +1.994616385458e-01,        +1.997591052859e-12,        +6.804909023197e-03,        +3.273597901779e-14,        +1.115261124642e-04
 5.00e+00,        +2.935514708646e-10,        +2.935356844835e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.777351371355e-13,        +6.054649857894e-04,        +4.950531030482e-12,        +1.686517616825e-02,        +1.777351371355e-13,        +6.054649857894e-04,        +4.950531030482e-12,        +1.686517616825e-02,        +2.443074160916e-13,        +8.322472899627e-04,        +2.868960286711e-12,        +9.773804134781e-03,        +1.074176283160e-10,        +3.659243402858e-01,        +7.369723533349e-11,        +2.510673803192e-01,        +2.117407434425e-11,        +7.213070430849e-02,        +4.514354257296e-11,        +1.537923494801e-01,        +7.160938100666e-11,        +2.439414825474e-01,        +5.941942617601e-11,        +2.024265849672e-01,        +7.165934541585e-11,        +2.441116891862e-01,        +5.944579799935e-11,        +2.025164269344e-01,        +2.115901971722e-11,        +7.207941985406e-02,        +4.514069920440e-11,        +1.537826628603e-01,        +1.099795113035e-13,        +3.746515422990e-04,        +2.869491880128e-12,        +9.775615135778e-03
 6.00e+00,        +2.935514708646e-10,        +2.935354169588e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.758449703271e-13,        +5.990260236450e-04,        +5.227343550359e-12,        +1.780822091084e-02,        +1.758449703271e-13,        +5.990260236450e-04,        +5.227343550359e-12,        +1.780822091084e-02,        +2.377608190242e-13,        +8.099459298361e-04,        +2.875553900852e-12,        +9.796275797464e-03,        +1.725329211303e-11,        +5.877433372150e-02,        +4.590220419593e-11,        +1.563770555237e-01,        +9.374746418184e-11,        +3.193561384848e-01,        +6.681012534985e-11,        +2.276049890062e-01,        +4.414366818064e-11,        +1.503779492252e-01,        +5.163363535076e-11,        +1.759025738213e-01,        +4.411609949167e-11,        +1.502840348977e-01,        +5.162997368450e-11,        +1.758900994620e-01,        +9.378873279572e-11,        +3.194967223959e-01,        +6.684060409702e-11,        +2.277088222931e-01,        +8.860831228975e-14,        +3.018493214453e-04,        +2.615976829547e-12,        +8.911963185398e-03
 7.00e+00,        +2.935514708646e-10,        +2.935370705805e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.465100550234e-14,        +2.883685278531e-04,        +2.576814591278e-14,        +8.778498014516e-05,        +8.465100550234e-14,        +2.883685278531e-04,        +2.576814591278e-14,        +8.778498014516e-05,        +9.433429727960e-14,        +3.213552192458e-04,        +3.721528796112e-14,        +1.267822421459e-04,        +5.179076847953e-11,        +1.764282370209e-01,        +6.473055849268e-11,        +2.205191949510e-01,        +5.630611954247e-11,        +1.918100405923e-01,        +5.965920679950e-11,        +2.032424956804e-01,        +6.512045580517e-11,        +2.218365849552e-01,        +5.416657045987e-11,        +1.845305955829e-01,        +6.462904621335e-11,        +2.201625698655e-01,        +5.457821731785e-11,        +1.859329631175e-01,        +5.550651986094e-11,        +1.890861582041e-01,        +6.032005723071e-11,        +2.054938311929e-01,        +1.957566032026e-14,        +6.668561483480e-05,        +1.947684599014e-14,        +6.635225306168e-05
 8.00e+00,        +2.935514708646e-10,        +2.935372638277e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.445612030691e-14,        +2.877046402056e-04,        +2.010509502098e-14,        +6.849247948561e-05,        +8.445612030691e-14,        +2.877046402056e-04,        +2.010509502098e-14,        +6.849247948561e-05,        +9.389723243728e-14,        +3.198663326766e-04,        +3.380179463055e-14,        +1.151533341620e-04,        +6.629042443876e-11,        +2.258221505194e-01,        +5.327845116438e-11,        +1.815048981163e-01,        +6.059764847471e-11,        +2.064293811788e-01,        +5.733391003608e-11,        +1.953207210848e-01,        +5.228058445626e-11,        +1.780968233690e-01,        +6.328714980526e-11,        +2.156017569286e-01,        +5.277059367504e-11,        +1.797660680072e-01,        +6.287696187299e-11,        +2.142043604723e-01,        +6.141459537931e-11,        +2.092123578820e-01,        +5.668976511035e-11,        +1.931262980759e-01,        +1.927108771785e-14,        +6.564807071515e-05,        +1.711894893831e-14,        +5.831950845041e-05
 9.00e+00,        +2.935514708646e-10,        +2.935061665987e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.371285378091e-12,        +4.671362654229e-03,        +3.342530493951e-12,        +1.138828029641e-02,        +1.371285378091e-12,        +4.671362654229e-03,        +3.342530493951e-12,        +1.138828029641e-02,        +7.438447219521e-13,        +2.533949905825e-03,        +2.250311735776e-12,        +7.666999851668e-03,        +9.254841457990e-11,        +3.152715069263e-01,        +1.080096162818e-10,        +3.679977750840e-01,        +6.985999381419e-11,        +2.379820942762e-01,        +5.488217467857e-11,        +1.869881485441e-01,        +2.947406390222e-11,        +1.004050969849e-01,        +3.373037478039e-11,        +1.149222013673e-01,        +2.900620146199e-11,        +9.881129662395e-02,        +3.354704031982e-11,        +1.142975655625e-01,        +7.009505421625e-11,        +2.387828410800e-01,        +5.497948257036e-11,        +1.873196846509e-01,        +4.526127899540e-13,        +1.541851548626e-03,        +2.764635738112e-12,        +9.419344643247e-03
 1.00e+01,        +2.935514708646e-10,        +2.935286909188e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.029108177846e-12,        +6.912273925488e-03,        +4.386070625848e-12,        +1.494256187400e-02,        +2.029108177846e-12,        +6.912273925488e-03,        +4.386070625848e-12,        +1.494256187400e-02,        +1.053167935057e-12,        +3.587677254539e-03,        +2.831224831028e-12,        +9.645479023413e-03,        +1.001161123760e-10,        +3.410513055210e-01,        +7.590956991969e-11,        +2.586103923336e-01,        +2.767995598840e-11,        +9.429336499959e-02,        +4.513571546491e-11,        +1.537693481466e-01,        +6.707713108072e-11,        +2.285021120254e-01,        +5.835403541753e-11,        +1.988018112807e-01,        +6.755833557479e-11,        +2.301413628616e-01,        +5.855154794779e-11,        +1.994747013128e-01,        +2.744314988162e-11,        +9.348667135203e-02,        +4.505195155443e-11,        +1.534839794141e-01,        +5.945098501710e-13,        +2.025232060395e-03,        +3.308575157623e-12,        +1.127172661475e-02
