        m,         Re{B_x[1]} (Wb/m²),         Im{B_x[1]} (Wb/m²),         Re{B_y[1]} (Wb/m²),         Im{B_y[1]} (Wb/m²),         Re{B_z[1]} (Wb/m²),         Im{B_z[1]} (Wb/m²),         Re{B_x[2]} (Wb/m²),         Im{B_x[2]} (Wb/m²),         Re{B_y[2]} (Wb/m²),         Im{B_y[2]} (Wb/m²),         Re{B_z[2]} (Wb/m²),         Im{B_z[2]} (Wb/m²),         Re{B_x[3]} (Wb/m²),         Im{B_x[3]} (Wb/m²),         Re{B_y[3]} (Wb/m²),         Im{B_y[3]} (Wb/m²),         Re{B_z[3]} (Wb/m²),         Im{B_z[3]} (Wb/m²),         Re{B_x[4]} (Wb/m²),         Im{B_x[4]} (Wb/m²),         Re{B_y[4]} (Wb/m²),         Im{B_y[4]} (Wb/m²),         Re{B_z[4]} (Wb/m²),         Im{B_z[4]} (Wb/m²),         Re{B_x[5]} (Wb/m²),         Im{B_x[5]} (Wb/m²),         Re{B_y[5]} (Wb/m²),         Im{B_y[5]} (Wb/m²),         Re{B_z[5]} (Wb/m²),         Im{B_z[5]} (Wb/m²),         Re{B_x[6]} (Wb/m²),         Im{B_x[6]} (Wb/m²),         Re{B_y[6]} (Wb/m²),         Im{B_y[6]} (Wb/m²),         Re{B_z[6]} (Wb/m²),         Im{B_z[6]} (Wb/m²)
 1.00e+00,        -1.238781685345e-12,        +2.557875331819e-09,        +9.299501303492e-11,        -4.731800292615e-07,        +4.413645286032e-13,        +7.035177722803e-10,        -5.967902293180e-11,        +3.031430954596e-07,        +7.177738120255e-11,        -3.628078745745e-07,        -2.133960495429e-13,        +6.530489962900e-10,        -9.048553840636e-11,        +4.622545494229e-07,        +1.571436694935e-11,        -7.745871150978e-08,        -6.464146064529e-13,        +3.831759920875e-10,        +8.425024573264e-14,        -3.433424256380e-09,        +5.521358536545e-11,        -2.735363858519e-07,        +2.628789035254e-13,        -4.339353525236e-11,        -3.573949527229e-11,        +1.761223745280e-07,        +4.232004782571e-11,        -2.081305771337e-07,        -2.934113047633e-16,        -1.320252013842e-10,        -5.439877770480e-11,        +2.706079897742e-07,        +9.542176544805e-12,        -4.408348698612e-08,        -3.439901622465e-13,        +3.273759812434e-10
 2.00e+00,        -2.665625697656e-12,        +6.888721613261e-09,        -5.526430121502e-13,        +2.107733292482e-09,        +1.713668958862e-10,        -4.181677754101e-07,        +7.193345270701e-13,        -3.006742031749e-10,        -9.048990298125e-13,        +2.863620231614e-09,        +2.101041552825e-10,        -5.112968034308e-07,        +4.194110623964e-13,        +6.290355625667e-10,        -1.612679415170e-13,        +1.146878585948e-09,        +1.520067709133e-10,        -3.656194109416e-07,        -7.876702216886e-14,        +5.087069744667e-10,        -1.259145310183e-13,        +5.920353009005e-11,        +9.591900209306e-11,        -2.298508481352e-07,        -5.886830548339e-13,        +1.377448917260e-09,        -5.097034741305e-13,        +1.269671767705e-09,        +1.203322907180e-10,        -2.866739786016e-07,        +8.170881954400e-14,        -2.446194199184e-10,        +2.797600470861e-13,        -2.594789143257e-10,        +8.640107872161e-11,        -2.037677305629e-07
 3.00e+00,        +7.818919150013e-12,        +2.836071053464e-09,        -3.787251230112e-12,        -1.201655650114e-09,        -7.970077734108e-10,        -2.976268166427e-07,        -3.674651510694e-12,        -1.686697748214e-09,        -1.576159101374e-12,        -1.576929249585e-10,        +9.136255674066e-11,        +3.333865268061e-08,        +2.457941234032e-12,        +6.955006804447e-10,        +9.001895311506e-13,        +6.395899804124e-10,        +9.600010642032e-10,        +3.573171129567e-07,        +2.037807647912e-12,        +5.040698039785e-10,        -1.932469994803e-12,        -3.521049689558e-10,        -4.460647379913e-10,        -1.668471044960e-07,        +1.782638483361e-13,        -2.277282158765e-10,        -2.914868187822e-12,        -6.732445603624e-10,        +5.759383331138e-11,        +2.112673032435e-08,        +1.187951399611e-12,        +1.622862384303e-10,        -6.635931414734e-13,        +1.223107311677e-10,        +5.323485671658e-10,        +1.984926343493e-07
 4.00e+00,        -2.376935617557e-14,        -7.943534564147e-09,        +1.525592698564e-12,        +1.580350299823e-09,        +2.070354958101e-13,        -4.955785854966e-09,        -1.642706986454e-12,        -6.860965316562e-10,        +1.278585888187e-12,        +7.512619493843e-09,        -5.721059122887e-13,        +4.608068405753e-09,        -1.034665919372e-12,        -3.800363806996e-09,        -5.178718372308e-13,        +1.490557514336e-08,        +6.369539039908e-13,        -7.407499328852e-10,        +6.606082495560e-13,        -1.378939910417e-08,        -3.274612666747e-13,        +1.582099519247e-08,        -4.245626901562e-13,        +4.979767870957e-10,        -4.688139040101e-14,        -1.030114022741e-08,        -7.608074612302e-13,        +1.964460207457e-08,        -3.210221528465e-13,        +2.207337520009e-09,        +3.426568095072e-13,        -1.257153956849e-08,        -1.361472797737e-12,        +2.125714986321e-08,        +3.549962057517e-13,        +4.981689994145e-10
 5.00e+00,        +6.296391006430e-11,        -3.470566455411e-07,        +1.999249081381e-11,        +2.630753938741e-08,        +1.186414471937e-12,        +1.644880360922e-09,        -1.785258332919e-11,        -3.889403737469e-09,        +1.267909082523e-11,        +6.275373908898e-08,        -5.490643853526e-13,        +1.201183855807e-09,        -2.886066948825e-11,        +4.285925068848e-08,        -6.798690759975e-11,        +3.970650774038e-07,        -1.541343689225e-12,        +6.750849880776e-10,        +9.125416228434e-11,        -4.660795675077e-07,        -8.902354166074e-11,        +4.943100153846e-07,        +2.194620222684e-14,        +4.770412604731e-10,        +6.380506393570e-11,        -3.532769031429e-07,        -9.098256157697e-11,        +5.047273906637e-07,        -5.766373153801e-13,        +1.943473264809e-09,        +6.029896491017e-11,        -3.372313310255e-07,        -1.180651724187e-10,        +6.147356461674e-07,        -1.472583905465e-14,        -3.771647330779e-10
 6.00e+00,        +6.083578887447e-10,        -4.638959990289e-07,        +1.341756244959e-12,        -1.184670295086e-08,        +2.358842072620e-12,        -9.549179682196e-10,        +5.712056996428e-10,        -4.375312274854e-07,        +4.828215190756e-10,        -3.679572503251e-07,        +5.991722712145e-12,        -1.368360327678e-08,        +9.769113937427e-11,        -8.684955188489e-08,        +5.183476916653e-10,        -3.923525866267e-07,        +5.723955183905e-12,        +8.808757618925e-11,        +8.388315942912e-10,        -6.366561181761e-07,        +4.649538622868e-10,        -3.574155808714e-07,        +1.124523073640e-12,        +5.614853260004e-09,        +8.368081467248e-10,        -6.362035073305e-07,        +6.230157578876e-10,        -4.723736703928e-07,        +1.522520545032e-12,        +3.002367725458e-09,        +6.723329598556e-10,        -5.158707630940e-07,        +6.360333294457e-10,        -4.805397726868e-07,        +3.255575612582e-12,        +4.924454487912e-09
 7.00e+00,        +1.061575596877e-11,        +1.742534770503e-08,        +2.512237657281e-12,        +2.946835046754e-10,        +9.565858512666e-11,        -1.370677717521e-07,        +1.427757213679e-11,        +1.074425254302e-08,        +8.973307513319e-12,        +1.166230229311e-08,        +4.136085352932e-10,        -4.983211018082e-07,        +2.216111448615e-12,        +6.608380234542e-09,        +1.285924019682e-11,        +9.940305735288e-09,        +4.898083528029e-11,        -3.032784653718e-08,        +1.348777472209e-11,        +2.262486075684e-08,        +8.522481900728e-12,        +1.092071540034e-08,        +3.205521149146e-11,        -3.962499916687e-08,        +1.700123469687e-11,        +1.797814766228e-08,        +1.023169041194e-11,        +1.622147730635e-08,        +1.285756242096e-10,        -1.477481443886e-07,        +9.928912888063e-12,        +1.867112280719e-08,        +1.055432794730e-11,        +1.741385419081e-08,        +1.748518730323e-11,        -6.846956967000e-09
 8.00e+00,        -3.391452646468e-12,        -1.869554296812e-09,        +9.411054093498e-14,        +2.513458565161e-10,        -3.862562099825e-10,        -4.875548908618e-07,        +5.523511347884e-12,        +5.712407969234e-09,        -3.343373593175e-12,        -3.930767502132e-09,        +6.638410036051e-11,        +5.500455057515e-08,        +5.726255622884e-12,        +6.262729285686e-09,        +9.866326022484e-12,        +9.524336730188e-09,        +3.951882596608e-10,        +4.895905881533e-07,        -5.428441506235e-12,        -4.088285441535e-09,        +6.086484412493e-12,        +4.158722785461e-09,        -1.140750613237e-10,        -1.455161025954e-07,        +1.121047292434e-12,        +3.355300483847e-09,        +6.843215978100e-12,        +5.197187357845e-09,        +2.135762867146e-11,        +1.860024988412e-08,        -2.674428739152e-12,        -1.224027846628e-09,        +6.687919744610e-12,        +4.012355270489e-09,        +1.194392402883e-10,        +1.493348994010e-07
 9.00e+00,        -3.265353896097e-11,        +7.689010727992e-08,        -4.529264186390e-11,        +2.982210004887e-08,        -6.089187282573e-11,        +6.624899767573e-08,        +1.186594529913e-11,        +4.534806165100e-08,        +1.026864646188e-11,        +3.795464577871e-08,        -3.574515630015e-11,        +6.005232525277e-08,        -1.259877745277e-11,        +3.554400711374e-08,        -4.051293525634e-12,        +6.281640740850e-08,        -5.076299178247e-11,        +6.083921993589e-08,        +2.269188288762e-12,        +7.685126929101e-08,        -4.070148844363e-12,        +2.927550550618e-08,        -2.396645674021e-10,        +1.560032487377e-07,        -1.104257818861e-11,        +6.754676301082e-08,        -3.240102096892e-13,        +4.904957369744e-08,        -2.199617048756e-10,        +1.566761099263e-07,        +1.219598443485e-11,        +4.695254776375e-08,        -1.494784717171e-11,        +6.896672189660e-08,        -2.439426773813e-10,        +1.554031015457e-07
 1.00e+01,        -2.708144537060e-12,        +1.595659314076e-08,        -4.741296108499e-12,        -7.095970499349e-10,        -2.864381567456e-11,        -3.509306111119e-08,        -8.786886551940e-12,        -1.249951749743e-08,        -1.890016144091e-12,        +2.036560145773e-08,        -5.015629084207e-12,        +1.248291844671e-08,        -6.766184558945e-12,        -8.987177534382e-09,        -1.552288660925e-11,        -4.445743101437e-09,        +1.204417391361e-11,        +2.040911658692e-08,        +1.373311507013e-12,        +1.988180683917e-08,        -1.810022232964e-11,        -2.736537277950e-08,        -3.246212823725e-11,        -9.593996435971e-09,        -1.383253478071e-13,        +1.423182334545e-08,        -1.854164888573e-11,        -1.654313111722e-08,        -2.009828374104e-11,        +3.796582190369e-09,        +4.044299841611e-12,        +1.939008220517e-08,        -2.544065385086e-11,        -2.714300687825e-08,        -8.685107347298e-12,        +1.368037592667e-08
