        m,           Re{E_x[1]} (V/m),           Im{E_x[1]} (V/m),           Re{E_y[1]} (V/m),           Im{E_y[1]} (V/m),           Re{E_z[1]} (V/m),           Im{E_z[1]} (V/m),           Re{E_x[2]} (V/m),           Im{E_x[2]} (V/m),           Re{E_y[2]} (V/m),           Im{E_y[2]} (V/m),           Re{E_z[2]} (V/m),           Im{E_z[2]} (V/m),           Re{E_x[3]} (V/m),           Im{E_x[3]} (V/m),           Re{E_y[3]} (V/m),           Im{E_y[3]} (V/m),           Re{E_z[3]} (V/m),           Im{E_z[3]} (V/m),           Re{E_x[4]} (V/m),           Im{E_x[4]} (V/m),           Re{E_y[4]} (V/m),           Im{E_y[4]} (V/m),           Re{E_z[4]} (V/m),           Im{E_z[4]} (V/m),           Re{E_x[5]} (V/m),           Im{E_x[5]} (V/m),           Re{E_y[5]} (V/m),           Im{E_y[5]} (V/m),           Re{E_z[5]} (V/m),           Im{E_z[5]} (V/m),           Re{E_x[6]} (V/m),           Im{E_x[6]} (V/m),           Re{E_y[6]} (V/m),           Im{E_y[6]} (V/m),           Re{E_z[6]} (V/m),           Im{E_z[6]} (V/m)
 1.00e+00,        -1.230996202668e+00,        +1.424264493929e-04,        +1.285789798786e+00,        +2.525009634135e-04,        -2.049966194961e+02,        -3.237184279985e-02,        -4.781266980322e-01,        +2.438172494428e-04,        +5.403382222097e-01,        +2.923293624503e-04,        -2.083667693476e+02,        -3.275798247194e-02,        +1.166232791947e+00,        +2.632426438792e-04,        -1.049612274058e+00,        +1.301785577328e-04,        -2.047758210172e+02,        -3.233691870183e-02,        +2.933042640293e-01,        +2.289623334391e-04,        +1.475994251544e+00,        +2.594828982068e-04,        -2.678280020770e+02,        -4.496888870623e-02,        +1.156761453661e+00,        +3.117735006232e-04,        +3.315568790041e-01,        +1.961269232934e-04,        -2.688692159902e+02,        -4.508148562196e-02,        +1.970800054401e+00,        +3.673613566663e-04,        -2.657979434988e-02,        +1.700262739896e-04,        -2.676362855449e+02,        -4.496662322948e-02
 2.00e+00,        -1.664530710186e+02,        -6.719382591182e-02,        +1.808906995956e+02,        +7.167018089210e-02,        -7.474402325310e-01,        -6.630544467190e-04,        -1.275768959068e+02,        -5.156124186147e-02,        +1.832622816529e+02,        +7.223706658639e-02,        -1.051804559529e+00,        -4.029786208215e-04,        -1.240592107704e+02,        -5.016621626659e-02,        +2.219876042164e+02,        +8.789377603011e-02,        -6.537075530829e-01,        +6.136593632329e-05,        -1.769547496681e+02,        -7.328586784732e-02,        +2.309032786068e+02,        +9.402257385137e-02,        -6.466736151018e-03,        -2.158493778739e-04,        -1.665685448495e+02,        -6.909244256115e-02,        +2.314318972796e+02,        +9.410151886546e-02,        +1.091985306068e-01,        +6.681639667762e-05,        -1.651470221020e+02,        -6.856527923097e-02,        +2.427355337394e+02,        +9.872134596074e-02,        -9.226317241630e-02,        +2.030135926973e-04
 3.00e+00,        +2.294769327913e+02,        -6.189971388349e-01,        +1.311469854057e+02,        -3.523139650588e-01,        +1.525828649888e+00,        -4.042638749056e-03,        +2.272311177603e+02,        -6.127187379164e-01,        +1.695577808164e+02,        -4.562874805647e-01,        +1.135754654239e+00,        -3.205251172920e-03,        +1.882587993934e+02,        -5.075130681611e-01,        +1.729973180704e+02,        -4.654630199002e-01,        -3.543002640921e-01,        +9.623280151128e-04,        +2.442171442589e+02,        -6.559319728661e-01,        +1.669239622877e+02,        -4.467949844370e-01,        +2.428514378637e-01,        -5.200149927065e-04,        +2.447365317180e+02,        -6.572620453236e-01,        +1.790403783102e+02,        -4.795474893541e-01,        +7.625267637316e-01,        -1.978963909561e-03,        +2.327165189720e+02,        -6.247597112449e-01,        +1.786990091359e+02,        -4.786662067998e-01,        -4.718180008020e-01,        +1.413879646613e-03
 4.00e+00,        -1.373709252862e+02,        -1.435794692575e-02,        -4.550897569550e-01,        -9.381668196399e-04,        -4.791883174395e+00,        -7.195131487803e-04,        -1.069587314446e+02,        -1.138073266684e-02,        -8.786299614582e+01,        -9.135491888674e-03,        -1.003940783390e+01,        -8.947415734158e-04,        -2.042962829263e+01,        -2.790795460213e-03,        -1.363701470758e+02,        -1.409909080511e-02,        -2.188877573020e+00,        -4.229330490703e-04,        -7.827820851350e+01,        -9.642135975149e-03,        +3.188134782968e+00,        -4.962890912826e-04,        -2.928831523323e+00,        -7.074050866799e-04,        -5.841304280260e+01,        -7.434598691385e-03,        -5.027217002958e+01,        -6.279301668803e-03,        -4.954126007600e+00,        -7.860838288169e-04,        -1.047790604671e+01,        -2.273355731703e-03,        -7.797984922566e+01,        -9.313530384066e-03,        -1.916130531101e+00,        -6.390990833631e-04
 5.00e+00,        +4.360913521722e+00,        +2.012691318149e-04,        +4.011634419727e+00,        +3.537241505392e-05,        -2.424143383216e+02,        -4.935256300632e-02,        +4.373710665295e+00,        +6.860838299786e-04,        +7.840383255850e+00,        +1.356610564295e-03,        -3.074548426133e+02,        -6.165842759101e-02,        +6.624360557597e+00,        +2.676793277287e-04,        +3.731581414689e+00,        +1.188130483760e-04,        -2.138443045506e+02,        -4.410032087675e-02,        +8.997830258431e+00,        -2.342468072627e-04,        +6.843985667647e+00,        -6.302561079640e-05,        -1.741026102205e+02,        -3.743509497900e-02,        +9.752104724315e+00,        +6.803246662950e-05,        +6.270395602306e+00,        +2.678716205761e-05,        -2.183424199877e+02,        -4.663280852792e-02,        +9.618437012526e+00,        -6.702873382919e-05,        +7.170816583188e+00,        -1.163475275154e-04,        -1.540085412813e+02,        -3.359442754456e-02
 6.00e+00,        -5.871434028177e+00,        +1.667050840470e-04,        +2.855204569941e+00,        -9.207063533765e-04,        +1.796564580833e+02,        +2.350619463102e-01,        -4.026453001361e+00,        +8.047588152381e-04,        +9.952695709074e+00,        +3.732252505175e-03,        -2.086204924151e+01,        -2.681227069575e-02,        -1.218668847492e+00,        -1.341312825831e-03,        +8.895138338000e+00,        +3.441264881173e-03,        -2.125141011736e+02,        -2.778898018518e-01,        -3.707748376357e+00,        +5.947881115646e-04,        +2.377953779145e+00,        -1.569828997733e-04,        +1.301343481605e+02,        +1.720830571454e-01,        -3.066122767015e+00,        +7.995865354154e-05,        +3.841624000680e+00,        -1.394718780838e-03,        -1.549549065334e+01,        -2.019754863063e-02,        +2.289845990285e-01,        +7.628455178826e-04,        +4.448702504607e+00,        +5.334774844307e-05,        -1.539263500271e+02,        -2.032589987290e-01
 7.00e+00,        -2.391464715293e+02,        -1.962419073837e-01,        +6.379845707105e+01,        +4.198175231801e-02,        -5.719173477559e+00,        +2.596671018429e-03,        -1.124224229341e+02,        -9.800327779672e-02,        +1.721797512711e+02,        +1.309633799894e-01,        -2.148982994677e-01,        -1.008462340107e-03,        +2.942679221656e+01,        +1.598800310208e-02,        +2.474287387740e+02,        +2.010288644137e-01,        +6.758342085195e+00,        -3.468006150947e-03,        -1.430470365562e+02,        -1.185188768224e-01,        +4.035375494693e+01,        +2.616008314161e-02,        -4.040758358356e+00,        +2.190577279743e-03,        -7.827210197601e+01,        -6.839373873508e-02,        +1.181129471964e+02,        +9.172926996207e-02,        +8.594313211560e-01,        +9.772503253618e-05,        +1.661129412966e+01,        +8.500826894546e-03,        +1.480471374029e+02,        +1.214121187545e-01,        +4.675019698121e+00,        -2.663614227198e-03
 8.00e+00,        +7.007925390099e+01,        -6.719574289927e-02,        +1.958371104079e+02,        -1.569585305244e-01,        -1.491857631547e+00,        +2.811142586259e-03,        +2.035293728773e+02,        -1.706493019103e-01,        +1.440404499000e+02,        -1.099421763563e-01,        +1.903434598314e-01,        +1.583857759683e-03,        +2.021425493624e+02,        -1.639299764767e-01,        -2.162843590653e+01,        +2.856145153524e-02,        +3.544161840759e+00,        -1.280954174396e-03,        +4.146772153385e+01,        -3.915628190488e-02,        +1.348357398623e+02,        -1.065514786296e-01,        -1.506348353134e+00,        +2.389297555630e-03,        +1.238329646154e+02,        -1.026349893402e-01,        +8.325268301660e+01,        -6.168098226644e-02,        -9.489208820748e-01,        +2.131044423995e-03,        +1.401990844173e+02,        -1.117508535810e-01,        -1.524208624547e+01,        +1.894088068844e-02,        -1.201923078400e+00,        +1.945041721057e-03
 9.00e+00,        -4.462610476196e+00,        -3.673312575580e-02,        +1.327342750456e+02,        +4.367235543489e-01,        +3.828001803780e+00,        +6.502373772653e-03,        -1.022446099930e+02,        -3.387922369750e-01,        +1.241230125402e+02,        +4.082911568292e-01,        -1.620652996491e+00,        -4.022900118074e-03,        -1.120781573907e+02,        -3.852835611152e-01,        +2.315843505944e+01,        +1.036200235464e-01,        -5.239854066839e-01,        -1.051611135254e-02,        -7.164163671221e+01,        -3.037113465718e-01,        +1.521597410183e+02,        +5.337094766384e-01,        -2.308025061950e+00,        +1.776739401521e-03,        -1.117223660083e+02,        -4.193959330302e-01,        +1.503564410624e+02,        +5.317035181148e-01,        -5.671305731900e-01,        -4.638205323902e-03,        -1.202746557394e+02,        -4.450185454175e-01,        +1.054158692001e+02,        +4.048732597325e-01,        +3.291284212895e+00,        -8.671388965911e-03
 1.00e+01,        +1.808792072165e+01,        -1.683483163649e-02,        +8.900569819890e+01,        -5.119105812693e-03,        +1.956533165835e+01,        -7.842394845236e-03,        +2.416520023647e+01,        -3.256335508483e-02,        +6.528544457498e+00,        +7.041462229827e-03,        +7.416729978071e+00,        -6.200177745255e-03,        +9.778266657354e+01,        -4.435170497260e-02,        -1.789485344023e+00,        -5.755518364204e-03,        +1.915805815687e+01,        -8.190199688380e-03,        +1.216631076885e+02,        -4.574411800390e-02,        +1.138839977264e+02,        -7.599820621265e-03,        +1.706988302749e+01,        -7.049354015955e-03,        +1.226883417444e+02,        -5.212853799771e-02,        +8.644631961315e+01,        -3.767216226129e-03,        +1.544361451721e+01,        -6.876497946118e-03,        +1.476990497365e+02,        -5.669775302437e-02,        +8.331750669494e+01,        -9.165846988841e-03,        +1.769227239888e+01,        -6.231973891181e-03
