        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13],             E_elec[14] (J),                 p_elec[14],              E_mag[14] (J),                  p_mag[14],             E_elec[15] (J),                 p_elec[15],              E_mag[15] (J),                  p_mag[15],             E_elec[16] (J),                 p_elec[16],              E_mag[16] (J),                  p_mag[16],             E_elec[17] (J),                 p_elec[17],              E_mag[17] (J),                  p_mag[17]
 1.00e+00,        +2.935514708646e-10,        +2.935341246634e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.586312491545e-12,        +2.243665300721e-02,        +4.364308316172e-14,        +1.486814632260e-04,        +6.586312491545e-12,        +2.243665300721e-02,        +4.364308316172e-14,        +1.486814632260e-04,        +3.692331154467e-12,        +1.257813883062e-02,        +5.899272578749e-14,        +2.009739952897e-04,        +5.601097818849e-11,        +1.908046245639e-01,        +5.867984470003e-11,        +1.999080848515e-01,        +5.601573720807e-11,        +1.908208364383e-01,        +5.868368727555e-11,        +1.999211755800e-01,        +5.601533804595e-11,        +1.908194766695e-01,        +5.868371944648e-11,        +1.999212851786e-01,        +5.601429062773e-11,        +1.908159085790e-01,        +5.868294916726e-11,        +1.999186610229e-01,        +5.601115817258e-11,        +1.908052376901e-01,        +5.868004926367e-11,        +1.999087817505e-01,        +3.205324975731e-12,        +1.091912422135e-02,        +2.123900150821e-14,        +7.235615801933e-05
 2.00e+00,        +2.935514708646e-10,        +2.935372421895e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.479899025131e-12,        +1.526103416187e-02,        +1.791838282670e-12,        +6.104296236160e-03,        +4.479899025131e-12,        +1.526103416187e-02,        +1.791838282670e-12,        +6.104296236160e-03,        +2.090995698469e-12,        +7.123097330465e-03,        +1.284756490498e-12,        +4.376809160277e-03,        +4.578963827430e-11,        +1.559850411904e-01,        +6.072281427735e-11,        +2.068657926483e-01,        +7.465433311994e-11,        +2.543142873721e-01,        +5.329336602274e-11,        +1.815557222832e-01,        +4.035006682438e-11,        +1.374548276169e-01,        +6.210731945336e-11,        +2.115824179245e-01,        +6.697046618003e-11,        +2.281387518952e-01,        +5.525432428995e-11,        +1.882361634176e-01,        +5.819389535043e-11,        +1.982408576562e-01,        +5.751728419091e-11,        +1.959454403873e-01,        +1.022176391874e-12,        +3.482102776947e-03,        +1.565539182062e-12,        +5.333357942538e-03
 3.00e+00,        +2.935514708646e-10,        +2.935372447459e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.480485112270e-12,        +1.526303070148e-02,        +1.791741096359e-12,        +6.103965096186e-03,        +4.480485112270e-12,        +1.526303070148e-02,        +1.791741096359e-12,        +6.103965096186e-03,        +2.091258153445e-12,        +7.123991398461e-03,        +1.284899562780e-12,        +4.377296529755e-03,        +6.860966554348e-11,        +2.337227789778e-01,        +5.485163518156e-11,        +1.868643116448e-01,        +3.973894567124e-11,        +1.353730081958e-01,        +6.227896216474e-11,        +2.121671552060e-01,        +7.400961888794e-11,        +2.521180311922e-01,        +5.342456807346e-11,        +1.820026897088e-01,        +4.739659501933e-11,        +1.614592319355e-01,        +6.028619423775e-11,        +2.053783474391e-01,        +5.620261881838e-11,        +1.914574594120e-01,        +5.805323467162e-11,        +1.977712733588e-01,        +1.022283658469e-12,        +3.482468186784e-03,        +1.566009757626e-12,        +5.334961016553e-03
 4.00e+00,        +2.935514708646e-10,        +2.935277598601e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.446946933336e-12,        +8.335665722026e-03,        +3.116072451190e-14,        +1.061593783387e-04,        +2.446946933336e-12,        +8.335665722026e-03,        +3.116072451190e-14,        +1.061593783387e-04,        +1.746236767022e-12,        +5.948656165405e-03,        +5.326324612720e-14,        +1.814589739403e-04,        +5.743620716213e-11,        +1.956597491846e-01,        +5.867196939384e-11,        +1.998855897712e-01,        +5.744624451145e-11,        +1.956939419934e-01,        +5.868282624848e-11,        +1.999225772597e-01,        +5.744125849361e-11,        +1.956769568364e-01,        +5.868332790703e-11,        +1.999242863265e-01,        +5.746220000600e-11,        +1.957482953050e-01,        +5.870135058515e-11,        +1.999856865774e-01,        +5.743776100906e-11,        +1.956650424537e-01,        +5.867647268812e-11,        +1.999009317418e-01,        +2.134615981945e-12,        +7.271692339534e-03,        +2.738906679523e-14,        +9.330997111922e-05
 5.00e+00,        +2.935514708646e-10,        +2.935364409477e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.791008475273e-13,        +6.101173569317e-04,        +5.326560076244e-12,        +1.814616290586e-02,        +1.791008475273e-13,        +6.101173569317e-04,        +5.326560076244e-12,        +1.814616290586e-02,        +2.399253107207e-13,        +8.173193955190e-04,        +2.894236971101e-12,        +9.859889837722e-03,        +3.531003527268e-11,        +1.202856697283e-01,        +4.949837289835e-11,        +1.686276931700e-01,        +9.964858964493e-11,        +3.394586623990e-01,        +6.896106941125e-11,        +2.349318850791e-01,        +1.549987261032e-11,        +5.280120915310e-02,        +4.351512612801e-11,        +1.482443746593e-01,        +8.733802949266e-11,        +2.975220299031e-01,        +6.524499177804e-11,        +2.222722043212e-01,        +5.524798625131e-11,        +1.882054485661e-01,        +5.552723349484e-11,        +1.891664057640e-01,        +8.793143440921e-14,        +2.995434979435e-04,        +2.568850189879e-12,        +8.751384262838e-03
 6.00e+00,        +2.935514708646e-10,        +2.935364464142e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.791678304485e-13,        +6.103455381125e-04,        +5.329371040981e-12,        +1.815573877140e-02,        +1.791678304485e-13,        +6.103455381125e-04,        +5.329371040981e-12,        +1.815573877140e-02,        +2.400042793865e-13,        +8.175884068293e-04,        +2.894978274494e-12,        +9.862415076078e-03,        +8.188898878042e-11,        +2.789595587419e-01,        +6.357811913071e-11,        +2.165936118236e-01,        +1.757264395914e-11,        +5.986222418639e-02,        +4.414407457128e-11,        +1.503870306755e-01,        +1.017228289775e-10,        +3.465246782034e-01,        +6.959171676810e-11,        +2.370803272242e-01,        +2.989665261660e-11,        +1.018446697901e-01,        +4.787215780553e-11,        +1.630876110627e-01,        +6.196321891691e-11,        +2.110812755747e-01,        +5.755795557176e-11,        +1.960845280880e-01,        +8.796550417513e-14,        +2.996595585642e-04,        +2.568073251364e-12,        +8.748737278571e-03
 7.00e+00,        +2.935514708646e-10,        +2.935373095141e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.445805056180e-14,        +2.877112157301e-04,        +1.973897577123e-14,        +6.724520233529e-05,        +8.445805056180e-14,        +2.877112157301e-04,        +1.973897577123e-14,        +6.724520233529e-05,        +9.390769644692e-14,        +3.199019789284e-04,        +3.369085309201e-14,        +1.147753692632e-04,        +5.112617155571e-11,        +1.741642493057e-01,        +6.414221614078e-11,        +2.185146966393e-01,        +5.569422180707e-11,        +1.897255756990e-01,        +6.085826594558e-11,        +2.073271913759e-01,        +6.435229458001e-11,        +2.192197994801e-01,        +5.454770485544e-11,        +1.858288642958e-01,        +6.516230851440e-11,        +2.219791586208e-01,        +5.398162584739e-11,        +1.839003905049e-01,        +5.701883303931e-11,        +1.942379401860e-01,        +5.993698135206e-11,        +2.041886309147e-01,        +1.927562103951e-14,        +6.566351373660e-05,        +1.708554395549e-14,        +5.820569788479e-05
 8.00e+00,        +2.935514708646e-10,        +2.935373090411e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.454622046951e-14,        +2.880115716011e-04,        +1.974562449138e-14,        +6.726785278466e-05,        +8.454622046951e-14,        +2.880115716011e-04,        +1.974562449138e-14,        +6.726785278466e-05,        +9.403370650439e-14,        +3.203312394499e-04,        +3.370373373868e-14,        +1.148192502302e-04,        +6.620105362405e-11,        +2.255177036895e-01,        +5.322618827230e-11,        +1.813268250164e-01,        +6.164705432633e-11,        +2.100042426794e-01,        +5.653733224731e-11,        +1.926069719451e-01,        +5.298814983409e-11,        +1.805071855986e-01,        +6.282972474000e-11,        +2.140434036996e-01,        +5.216090058962e-11,        +1.776891133810e-01,        +6.339058043070e-11,        +2.159540831037e-01,        +6.035640630197e-11,        +2.056075758170e-01,        +5.748294076224e-11,        +1.958283972487e-01,        +1.932626151548e-14,        +6.583602343591e-05,        +1.709323036479e-14,        +5.823188343801e-05
 9.00e+00,        +2.935514708646e-10,        +2.935294633535e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.075436797516e-12,        +7.070095037861e-03,        +4.158346827986e-12,        +1.416671015059e-02,        +2.075436797516e-12,        +7.070095037861e-03,        +4.158346827986e-12,        +1.416671015059e-02,        +1.049432951194e-12,        +3.574953816797e-03,        +2.868625834102e-12,        +9.772871865497e-03,        +8.425854715839e-11,        +2.870315958910e-01,        +6.629095906244e-11,        +2.258409030054e-01,        +5.042014612633e-11,        +1.717591329992e-01,        +5.376567543367e-11,        +1.831696035533e-01,        +4.389562590705e-11,        +1.495329789279e-01,        +5.135482662467e-11,        +1.749562924211e-01,        +8.826865180580e-11,        +3.006922484355e-01,        +6.776001529458e-11,        +2.308457029166e-01,        +2.305328748423e-11,        +7.853235215048e-02,        +4.368102772911e-11,        +1.488130943656e-01,        +5.303426340499e-13,        +1.806642741349e-03,        +3.649986546937e-12,        +1.243482172194e-02
 1.00e+01,        +2.935514708646e-10,        +2.935448614554e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.308271417520e-13,        +7.863259586884e-04,        +9.622008860540e-12,        +3.277866562826e-02,        +2.308271417520e-13,        +7.863259586884e-04,        +9.622008860540e-12,        +3.277866562826e-02,        +2.548202364967e-13,        +8.680598184236e-04,        +4.377155897690e-12,        +1.491136951261e-02,        +5.858655718952e-11,        +1.995784828363e-01,        +5.544697459169e-11,        +1.888875666799e-01,        +5.865416318008e-11,        +1.998087865386e-01,        +5.552496621081e-11,        +1.891532556064e-01,        +5.858989561221e-11,        +1.995898553656e-01,        +5.544895752928e-11,        +1.888943218231e-01,        +5.860721268514e-11,        +1.996488469723e-01,        +5.546443247788e-11,        +1.889470393142e-01,        +5.857535871578e-11,        +1.995403345903e-01,        +5.543866654461e-11,        +1.888592642015e-01,        +5.263610357991e-14,        +1.793079197487e-04,        +2.221699342884e-12,        +7.568517234024e-03
