        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +1.289581784208e+00,        +3.810123134218e-05,        +1.692309853702e+04,        +1.689034902563e-12,        +9.143921267985e-09
 2.00e+00,        +1.628097680865e+00,        +3.945760805293e-05,        +2.063097285521e+04,        +1.140164352320e-12,        +6.175750840219e-09
 3.00e+00,        +1.628110398583e+00,        +3.945081868863e-05,        +2.063468456651e+04,        +1.377114908688e-12,        +7.459204214401e-09
 4.00e+00,        +1.797196955064e+00,        +7.258248503415e-05,        +1.238037631037e+04,        +8.825738143025e-13,        +4.781974587727e-09
 5.00e+00,        +2.051466823193e+00,        +5.252594732498e-05,        +1.952812779532e+04,        +1.534275750368e-12,        +8.317365981296e-09
 6.00e+00,        +2.051503011546e+00,        +5.249966044920e-05,        +1.953825029214e+04,        +1.042283102515e-12,        +5.650255961132e-09
 7.00e+00,        +2.090424321509e+00,        +5.042255695413e-05,        +2.072905906000e+04,        +1.760040882682e-12,        +9.542066235193e-09
 8.00e+00,        +2.090484431824e+00,        +5.042569071902e-05,        +2.072836685650e+04,        +9.338572980439e-13,        +5.062910453475e-09
 9.00e+00,        +2.387134936190e+00,        +8.948149450277e-05,        +1.333870735581e+04,        +1.265869727133e-12,        +6.867766327672e-09
 1.00e+01,        +2.450560704767e+00,        +2.758759572317e-05,        +4.441417674656e+04,        +1.535506329071e-12,        +8.331993824136e-09
