        m,           Re{E_x[1]} (V/m),           Im{E_x[1]} (V/m),           Re{E_y[1]} (V/m),           Im{E_y[1]} (V/m),           Re{E_z[1]} (V/m),           Im{E_z[1]} (V/m),           Re{E_x[2]} (V/m),           Im{E_x[2]} (V/m),           Re{E_y[2]} (V/m),           Im{E_y[2]} (V/m),           Re{E_z[2]} (V/m),           Im{E_z[2]} (V/m),           Re{E_x[3]} (V/m),           Im{E_x[3]} (V/m),           Re{E_y[3]} (V/m),           Im{E_y[3]} (V/m),           Re{E_z[3]} (V/m),           Im{E_z[3]} (V/m),           Re{E_x[4]} (V/m),           Im{E_x[4]} (V/m),           Re{E_y[4]} (V/m),           Im{E_y[4]} (V/m),           Re{E_z[4]} (V/m),           Im{E_z[4]} (V/m),           Re{E_x[5]} (V/m),           Im{E_x[5]} (V/m),           Re{E_y[5]} (V/m),           Im{E_y[5]} (V/m),           Re{E_z[5]} (V/m),           Im{E_z[5]} (V/m),           Re{E_x[6]} (V/m),           Im{E_x[6]} (V/m),           Re{E_y[6]} (V/m),           Im{E_y[6]} (V/m),           Re{E_z[6]} (V/m),           Im{E_z[6]} (V/m)
 1.00e+00,        +3.374667105689e-01,        +1.665990937966e-06,        +1.481944277040e-01,        -7.116495561304e-06,        +2.028316608557e+02,        -8.927823859276e-05,        +1.630160111401e-01,        -2.197958185179e-05,        -2.021711742248e-01,        -1.570878873523e-05,        +2.057317834162e+02,        -1.397342774221e-04,        +4.803274401159e-01,        +1.470910698751e-05,        +1.114120120966e-01,        +2.909535410278e-06,        +2.029881137263e+02,        -9.717491187719e-05,        +1.359625999062e-01,        +6.216377741208e-06,        +2.089734972005e-02,        -1.698525157752e-06,        +2.664647941692e+02,        +2.471242975861e-03,        +1.385077659507e-01,        -9.379927284408e-06,        -8.059003011609e-02,        +2.098499393173e-06,        +2.662394883124e+02,        +2.467067912062e-03,        +4.561784690941e-01,        -2.286405775213e-07,        -8.355394951186e-02,        -1.881654062925e-06,        +2.665391443383e+02,        +2.467600061956e-03
 2.00e+00,        +5.209586816454e+01,        +1.112970343373e-01,        -2.200978227191e+02,        -1.990547713307e-03,        +3.558826044932e-01,        +5.955272217315e-04,        +1.845182515506e+01,        +1.012354803657e-01,        -2.388631716660e+02,        +9.266574685812e-03,        +3.430187311494e+00,        +9.045449223613e-04,        +3.104906229268e+01,        +8.878695290303e-02,        -2.739422214959e+02,        +1.767671393670e-03,        +6.116715346810e-01,        +2.259622020606e-04,        +5.537272895516e+01,        +1.190438101815e-01,        -2.804562373732e+02,        -5.585280434990e-03,        +7.955973169383e-02,        +1.300973004068e-04,        +4.616270351218e+01,        +1.164287809118e-01,        -2.851582047553e+02,        -2.484025944635e-03,        +1.193955041128e-01,        +9.343594148132e-05,        +5.000549538214e+01,        +1.129013992008e-01,        -2.959016218566e+02,        -4.988420732961e-03,        -1.753373345908e-01,        +1.339831279053e-05
 3.00e+00,        -2.783368260545e+02,        +1.089094948047e+00,        -4.139862086778e+01,        +7.432462380949e-02,        -1.481053090220e+00,        +5.795514597216e-03,        -2.593143850411e+02,        +1.003124088467e+00,        -7.425705734197e+01,        +1.932947715067e-01,        -1.171799662140e+00,        +5.778683917439e-03,        -2.242917222804e+02,        +8.734464457654e-01,        -6.196706062489e+01,        +1.326376636832e-01,        -5.696359988236e-01,        +2.446686379785e-03,        -2.962844394818e+02,        +1.156181313367e+00,        -5.247963948180e+01,        +9.309557165874e-02,        -3.406367720645e-01,        +1.314088020486e-03,        -2.915063361847e+02,        +1.134291498526e+00,        -6.140121701447e+01,        +1.255361663373e-01,        -2.219538354775e-01,        +8.987738748831e-04,        -2.814396039987e+02,        +1.097108238775e+00,        -5.729636149047e+01,        +1.056562940512e-01,        -8.284517676029e-02,        +2.348914899915e-04
 4.00e+00,        -1.375817986271e+02,        -1.041740507306e-02,        -1.294793051198e-01,        -4.717791111193e-05,        +7.539314128790e-01,        +7.974296602778e-05,        -1.053512652322e+02,        -7.966052586591e-03,        -8.978948596697e+01,        -6.891735498195e-03,        -1.290831085661e+00,        -9.865834068466e-05,        -2.293940296472e+01,        -1.701077135227e-03,        -1.345362016970e+02,        -1.012737754668e-02,        -1.564131427892e+00,        -2.221145592225e-04,        -8.069409820031e+01,        -6.934265275537e-03,        +2.106805464603e-02,        -2.541976739061e-05,        -2.102420908830e-01,        -4.345622523159e-05,        -6.177316702015e+01,        -5.308441699432e-03,        -5.198311256527e+01,        -4.484289648282e-03,        +3.155209775676e-02,        +7.181833685890e-07,        -1.383557887159e+01,        -1.192282412030e-03,        -7.976732859910e+01,        -6.878325467206e-03,        -2.043407462950e-02,        -6.365228200060e-06
 5.00e+00,        +4.217138627915e-01,        +1.726398539493e-03,        -1.169273364917e-01,        -8.333687080155e-05,        +3.709135101204e+01,        +2.286893276617e-01,        -3.801436351132e-01,        -1.033587434359e-03,        -5.908922522883e-01,        -1.454480393292e-03,        -1.728393781932e+02,        -3.830384978296e-01,        -8.017516470551e-02,        -1.569966634217e-04,        +1.330523812771e-01,        +1.036674023559e-04,        -2.894128219517e+02,        -7.806960213545e-01,        +3.693206250606e-01,        +1.223628632887e-03,        -3.752493325238e-02,        -1.390094944738e-04,        +2.620393425321e+01,        +1.645358501905e-01,        +2.056622180938e-01,        +6.020998794411e-04,        +2.774102989184e-02,        +6.598790099573e-05,        -1.208526837739e+02,        -2.667047475431e-01,        -1.955158756535e-01,        -4.490722291687e-04,        -2.430709307441e-01,        -7.155062786365e-04,        -2.124156863921e+02,        -5.759255022427e-01
 6.00e+00,        -1.452604512695e+00,        +3.857245546594e-04,        -6.462686012006e-01,        +8.172132212920e-05,        -3.023966123971e+02,        +6.120846893299e-02,        -1.351490665920e-01,        -5.678102900381e-05,        -4.790291192902e-01,        -1.351144588845e-04,        -2.566550495682e+02,        -3.735187912023e-02,        -3.310638045520e-01,        +7.389061434191e-05,        +6.432152172351e-01,        -2.606486018591e-05,        -9.019673419844e+01,        -1.132492530328e-01,        -5.701106272762e-01,        +2.300013265395e-04,        -2.522573060460e-02,        -1.950929335277e-05,        -2.202810123388e+02,        +4.212878933950e-02,        -1.233308711006e-01,        +1.438529507835e-04,        -6.225770757107e-02,        +1.226952615218e-05,        -1.852345135595e+02,        -2.713162811182e-02,        -3.229189426590e-01,        +3.707941710756e-08,        +1.057388710558e-02,        -1.322833633839e-04,        -6.400262254401e+01,        -8.409738504920e-02
 7.00e+00,        -2.349515555131e+02,        -1.241509932708e-03,        +7.016696190294e+01,        -3.954351404301e-02,        -1.188860648220e+00,        +1.778606466437e-04,        -9.159151943362e+01,        -3.330517937300e-02,        +1.846839227900e+02,        -3.604224628784e-02,        +4.740911996864e+00,        -6.338469330272e-04,        +4.450708372337e+01,        -4.029084971666e-02,        +2.446775012244e+02,        -8.932064451379e-03,        -1.005240085564e+00,        +4.977443849466e-04,        -1.395666362751e+02,        -2.458570809148e-03,        +4.968060694661e+01,        -2.713425217442e-02,        -8.933282815964e-02,        +4.720467838092e-05,        -6.828280922946e+01,        -2.026700423186e-02,        +1.237165469964e+02,        -2.019038172086e-02,        -7.268574132484e-02,        +7.349543340663e-05,        +2.792557774495e+01,        -2.722645257687e-02,        +1.454780618736e+02,        -2.671742536321e-03,        +4.214385978852e-02,        +3.435553527966e-05
 8.00e+00,        -8.706217162144e+01,        +2.426345785847e-02,        -1.879763950063e+02,        -5.445490883474e-02,        +1.652096953908e-01,        +2.302079114458e-04,        -2.132840739693e+02,        -3.049279284292e-02,        -1.292043751360e+02,        -6.328157968960e-02,        -3.936879460823e+00,        -1.960557694148e-03,        -2.009110577591e+02,        -5.251288875226e-02,        +3.621049619025e+01,        -3.753340308677e-02,        +1.796580707704e+00,        +7.966045909233e-04,        -5.234170897252e+01,        +1.364077040462e-02,        -1.322679400605e+02,        -4.023546284977e-02,        -8.711925381425e-02,        -5.713807721243e-05,        -1.286719527612e+02,        -1.749373053277e-02,        -7.384289442334e+01,        -4.033486408522e-02,        -7.891946366215e-02,        -2.382735316119e-05,        -1.389969013102e+02,        -3.775710740984e-02,        +2.637805964423e+01,        -2.087507014279e-02,        -2.168834368260e-01,        -7.653643774671e-05
 9.00e+00,        +9.654394151892e+00,        -5.754945451966e-02,        +1.162934476611e+02,        -6.885677048691e-01,        +7.758348679714e-01,        -4.212559695143e-03,        -1.147846176668e+01,        +8.278189288474e-02,        +3.973852911622e+01,        -2.661016819551e-01,        -4.227967417639e+00,        +2.498937717001e-02,        +5.392944366717e+01,        -2.720080403125e-01,        +7.830144390972e+00,        -6.661964962639e-02,        -1.050775053663e+00,        +4.719084426189e-03,        +8.061385864649e+01,        -4.216097620235e-01,        +1.567634486900e+02,        -9.273034526038e-01,        +5.441786258488e-01,        -3.104479658551e-03,        +7.386878736099e+01,        -3.769368090027e-01,        +1.324797673362e+02,        -7.935499105704e-01,        -2.491012114030e-02,        -1.633789380801e-04,        +9.516981351600e+01,        -4.916316819578e-01,        +1.225438028275e+02,        -7.312316972509e-01,        +5.298113365054e-01,        -2.884451999498e-03
 1.00e+01,        -7.909224975354e-01,        -6.029259743466e-06,        +3.198907152317e+02,        +7.014709805755e-03,        +9.171722894342e-02,        +2.636909942416e-06,        -2.013584136934e+02,        -4.330326239120e-03,        +2.401792543955e+02,        +5.134272006104e-03,        -1.222951526636e+01,        -5.925775086636e-04,        -3.100896077557e+02,        -6.693954452652e-03,        +5.335541295028e+01,        +1.163859533821e-03,        -4.664238487836e-01,        -6.677463452250e-05,        -1.395171468338e-01,        -1.740561557049e-05,        +2.310678827549e+02,        +6.697745035564e-03,        +8.162472719913e-02,        -2.815366391556e-06,        -1.479542930570e+02,        -4.314238254694e-03,        +1.762183279605e+02,        +5.093270444997e-03,        -9.026197948749e-02,        -1.118738756841e-05,        -2.272354108609e+02,        -6.628724828493e-03,        +4.093332499795e+01,        +1.195550038366e-03,        -2.277911410074e-01,        -1.072266623473e-05
