        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A)
 2.40000000e+00,        +1.414213562373e-01,        +2.714506660907e-01,        +5.501952092778e-02
 2.40002500e+00,        +1.414213562373e-01,        +2.714663264479e-01,        +5.498341544611e-02
 2.40005000e+00,        +1.414213562373e-01,        +2.714819433891e-01,        +5.494738106970e-02
 2.40007500e+00,        +1.414213562373e-01,        +2.714975171145e-01,        +5.491141751930e-02
 2.40010000e+00,        +1.414213562373e-01,        +2.715130478233e-01,        +5.487552451705e-02
 2.40012500e+00,        +1.414213562373e-01,        +2.715285357134e-01,        +5.483970178649e-02
 2.40015000e+00,        +1.414213562373e-01,        +2.715439809814e-01,        +5.480394905253e-02
 2.40017500e+00,        +1.414213562373e-01,        +2.715593838231e-01,        +5.476826604144e-02
 2.40020000e+00,        +1.414213562373e-01,        +2.715747444326e-01,        +5.473265248085e-02
 2.40022500e+00,        +1.414213562373e-01,        +2.715900630034e-01,        +5.469710809975e-02
 2.40025000e+00,        +1.414213562373e-01,        +2.716053397275e-01,        +5.466163262846e-02
 2.40027500e+00,        +1.414213562373e-01,        +2.716205747957e-01,        +5.462622579864e-02
 2.40030000e+00,        +1.414213562373e-01,        +2.716357683980e-01,        +5.459088734329e-02
 2.40032500e+00,        +1.414213562373e-01,        +2.716509207229e-01,        +5.455561699669e-02
 2.40035000e+00,        +1.414213562373e-01,        +2.716660319581e-01,        +5.452041449447e-02
 2.40037500e+00,        +1.414213562373e-01,        +2.716811022900e-01,        +5.448527957353e-02
 2.40040000e+00,        +1.414213562373e-01,        +2.716961319040e-01,        +5.445021197208e-02
 2.40042500e+00,        +1.414213562373e-01,        +2.717111209843e-01,        +5.441521142962e-02
 2.40045000e+00,        +1.414213562373e-01,        +2.717260697142e-01,        +5.438027768690e-02
 2.40047500e+00,        +1.414213562373e-01,        +2.717409782756e-01,        +5.434541048597e-02
 2.40050000e+00,        +1.414213562373e-01,        +2.717558468496e-01,        +5.431060957013e-02
 2.40052500e+00,        +1.414213562373e-01,        +2.717706756163e-01,        +5.427587468393e-02
 2.40055000e+00,        +1.414213562373e-01,        +2.717854647545e-01,        +5.424120557317e-02
 2.40057500e+00,        +1.414213562373e-01,        +2.718002144420e-01,        +5.420660198488e-02
 2.40060000e+00,        +1.414213562373e-01,        +2.718149248558e-01,        +5.417206366734e-02
 2.40062500e+00,        +1.414213562373e-01,        +2.718295961716e-01,        +5.413759037003e-02
 2.40065000e+00,        +1.414213562373e-01,        +2.718442285642e-01,        +5.410318184367e-02
 2.40067500e+00,        +1.414213562373e-01,        +2.718588222074e-01,        +5.406883784016e-02
 2.40070000e+00,        +1.414213562373e-01,        +2.718733772739e-01,        +5.403455811263e-02
 2.40072500e+00,        +1.414213562373e-01,        +2.718878939354e-01,        +5.400034241539e-02
 2.40075000e+00,        +1.414213562373e-01,        +2.719023723627e-01,        +5.396619050393e-02
 2.40077500e+00,        +1.414213562373e-01,        +2.719168127256e-01,        +5.393210213494e-02
 2.40080000e+00,        +1.414213562373e-01,        +2.719312151929e-01,        +5.389807706626e-02
 2.40082500e+00,        +1.414213562373e-01,        +2.719455799323e-01,        +5.386411505690e-02
 2.40085000e+00,        +1.414213562373e-01,        +2.719599071108e-01,        +5.383021586704e-02
 2.40087500e+00,        +1.414213562373e-01,        +2.719741968941e-01,        +5.379637925801e-02
 2.40090000e+00,        +1.414213562373e-01,        +2.719884494473e-01,        +5.376260499227e-02
 2.40092500e+00,        +1.414213562373e-01,        +2.720026649343e-01,        +5.372889283342e-02
 2.40095000e+00,        +1.414213562373e-01,        +2.720168435182e-01,        +5.369524254620e-02
 2.40097500e+00,        +1.414213562373e-01,        +2.720309853611e-01,        +5.366165389648e-02
 2.40100000e+00,        +1.414213562373e-01,        +2.720450906241e-01,        +5.362812665122e-02
 2.40102500e+00,        +1.414213562373e-01,        +2.720591594676e-01,        +5.359466057852e-02
 2.40105000e+00,        +1.414213562373e-01,        +2.720731920509e-01,        +5.356125544756e-02
 2.40107500e+00,        +1.414213562373e-01,        +2.720871885324e-01,        +5.352791102863e-02
 2.40110000e+00,        +1.414213562373e-01,        +2.721011490697e-01,        +5.349462709310e-02
 2.40112500e+00,        +1.414213562373e-01,        +2.721150738195e-01,        +5.346140341345e-02
 2.40115000e+00,        +1.414213562373e-01,        +2.721289629375e-01,        +5.342823976320e-02
 2.40117500e+00,        +1.414213562373e-01,        +2.721428165785e-01,        +5.339513591696e-02
 2.40120000e+00,        +1.414213562373e-01,        +2.721566348967e-01,        +5.336209165042e-02
 2.40122500e+00,        +1.414213562373e-01,        +2.721704180451e-01,        +5.332910674029e-02
 2.40125000e+00,        +1.414213562373e-01,        +2.721841661760e-01,        +5.329618096437e-02
