        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.)
 2.40000000e+00,        -1.418785884308e-02,        +2.293476164131e+01
 2.40002500e+00,        -1.416582320785e-02,        +2.291879169216e+01
 2.40005000e+00,        -1.414387082783e-02,        +2.290285526177e+01
 2.40007500e+00,        -1.412200126549e-02,        +2.288695221218e+01
 2.40010000e+00,        -1.410021408609e-02,        +2.287108240616e+01
 2.40012500e+00,        -1.407850885784e-02,        +2.285524570719e+01
 2.40015000e+00,        -1.405688515175e-02,        +2.283944197949e+01
 2.40017500e+00,        -1.403534254163e-02,        +2.282367108799e+01
 2.40020000e+00,        -1.401388060417e-02,        +2.280793289835e+01
 2.40022500e+00,        -1.399249891873e-02,        +2.279222727691e+01
 2.40025000e+00,        -1.397119706749e-02,        +2.277655409073e+01
 2.40027500e+00,        -1.394997463536e-02,        +2.276091320757e+01
 2.40030000e+00,        -1.392883120996e-02,        +2.274530449589e+01
 2.40032500e+00,        -1.390776638156e-02,        +2.272972782483e+01
 2.40035000e+00,        -1.388677974313e-02,        +2.271418306421e+01
 2.40037500e+00,        -1.386587089032e-02,        +2.269867008454e+01
 2.40040000e+00,        -1.384503942134e-02,        +2.268318875701e+01
 2.40042500e+00,        -1.382428493703e-02,        +2.266773895348e+01
 2.40045000e+00,        -1.380360704086e-02,        +2.265232054646e+01
 2.40047500e+00,        -1.378300533881e-02,        +2.263693340915e+01
 2.40050000e+00,        -1.376247943944e-02,        +2.262157741539e+01
 2.40052500e+00,        -1.374202895381e-02,        +2.260625243968e+01
 2.40055000e+00,        -1.372165349550e-02,        +2.259095835718e+01
 2.40057500e+00,        -1.370135268059e-02,        +2.257569504367e+01
 2.40060000e+00,        -1.368112612762e-02,        +2.256046237560e+01
 2.40062500e+00,        -1.366097345757e-02,        +2.254526023003e+01
 2.40065000e+00,        -1.364089429387e-02,        +2.253008848469e+01
 2.40067500e+00,        -1.362088826230e-02,        +2.251494701790e+01
 2.40070000e+00,        -1.360095499115e-02,        +2.249983570864e+01
 2.40072500e+00,        -1.358109411094e-02,        +2.248475443647e+01
 2.40075000e+00,        -1.356130525470e-02,        +2.246970308161e+01
 2.40077500e+00,        -1.354158805768e-02,        +2.245468152486e+01
 2.40080000e+00,        -1.352194215748e-02,        +2.243968964766e+01
 2.40082500e+00,        -1.350236719404e-02,        +2.242472733202e+01
 2.40085000e+00,        -1.348286280954e-02,        +2.240979446057e+01
 2.40087500e+00,        -1.346342864848e-02,        +2.239489091655e+01
 2.40090000e+00,        -1.344406435753e-02,        +2.238001658377e+01
 2.40092500e+00,        -1.342476958567e-02,        +2.236517134664e+01
 2.40095000e+00,        -1.340554398404e-02,        +2.235035509015e+01
 2.40097500e+00,        -1.338638720608e-02,        +2.233556769989e+01
 2.40100000e+00,        -1.336729890723e-02,        +2.232080906200e+01
 2.40102500e+00,        -1.334827874530e-02,        +2.230607906323e+01
 2.40105000e+00,        -1.332932638012e-02,        +2.229137759086e+01
 2.40107500e+00,        -1.331044147368e-02,        +2.227670453276e+01
 2.40110000e+00,        -1.329162369012e-02,        +2.226205977738e+01
 2.40112500e+00,        -1.327287269564e-02,        +2.224744321370e+01
 2.40115000e+00,        -1.325418815858e-02,        +2.223285473127e+01
 2.40117500e+00,        -1.323556974928e-02,        +2.221829422019e+01
 2.40120000e+00,        -1.321701714018e-02,        +2.220376157111e+01
 2.40122500e+00,        -1.319853000578e-02,        +2.218925667524e+01
 2.40125000e+00,        -1.318010802255e-02,        +2.217477942431e+01
 2.40127500e+00,        -1.316175086900e-02,        +2.216032971060e+01
 2.40130000e+00,        -1.314345822560e-02,        +2.214590742692e+01
 2.40132500e+00,        -1.312522977488e-02,        +2.213151246663e+01
 2.40135000e+00,        -1.310706520125e-02,        +2.211714472360e+01
 2.40137500e+00,        -1.308896419112e-02,        +2.210280409223e+01
 2.40140000e+00,        -1.307092643281e-02,        +2.208849046744e+01
 2.40142500e+00,        -1.305295161657e-02,        +2.207420374469e+01
 2.40145000e+00,        -1.303503943454e-02,        +2.205994381992e+01
 2.40147500e+00,        -1.301718958081e-02,        +2.204571058962e+01
 2.40150000e+00,        -1.299940175126e-02,        +2.203150395076e+01
 2.40152500e+00,        -1.298167564371e-02,        +2.201732380083e+01
 2.40155000e+00,        -1.296401095783e-02,        +2.200317003783e+01
 2.40157500e+00,        -1.294640739503e-02,        +2.198904256024e+01
 2.40160000e+00,        -1.292886465871e-02,        +2.197494126704e+01
 2.40162500e+00,        -1.291138245390e-02,        +2.196086605774e+01
 2.40165000e+00,        -1.289396048756e-02,        +2.194681683228e+01
 2.40167500e+00,        -1.287659846839e-02,        +2.193279349115e+01
 2.40170000e+00,        -1.285929610683e-02,        +2.191879593527e+01
 2.40172500e+00,        -1.284205311516e-02,        +2.190482406608e+01
 2.40175000e+00,        -1.282486920731e-02,        +2.189087778548e+01
 2.40177500e+00,        -1.280774409898e-02,        +2.187695699585e+01
 2.40180000e+00,        -1.279067750765e-02,        +2.186306160004e+01
 2.40182500e+00,        -1.277366915240e-02,        +2.184919150138e+01
 2.40185000e+00,        -1.275671875409e-02,        +2.183534660366e+01
 2.40187500e+00,        -1.273982603522e-02,        +2.182152681114e+01
 2.40190000e+00,        -1.272299071998e-02,        +2.180773202852e+01
 2.40192500e+00,        -1.270621253420e-02,        +2.179396216098e+01
 2.40195000e+00,        -1.268949120540e-02,        +2.178021711416e+01
 2.40197500e+00,        -1.267282646267e-02,        +2.176649679413e+01
 2.40200000e+00,        -1.265621803677e-02,        +2.175280110743e+01
 2.40202500e+00,        -1.263966566006e-02,        +2.173912996103e+01
 2.40205000e+00,        -1.262316906649e-02,        +2.172548326236e+01
 2.40207500e+00,        -1.260672799161e-02,        +2.171186091929e+01
 2.40210000e+00,        -1.259034217257e-02,        +2.169826284013e+01
 2.40212500e+00,        -1.257401134803e-02,        +2.168468893361e+01
 2.40215000e+00,        -1.255773525823e-02,        +2.167113910891e+01
 2.40217500e+00,        -1.254151364498e-02,        +2.165761327564e+01
 2.40220000e+00,        -1.252534625157e-02,        +2.164411134383e+01
 2.40222500e+00,        -1.250923282287e-02,        +2.163063322395e+01
 2.40225000e+00,        -1.249317310521e-02,        +2.161717882688e+01
 2.40227500e+00,        -1.247716684644e-02,        +2.160374806393e+01
 2.40230000e+00,        -1.246121379593e-02,        +2.159034084682e+01
 2.40232500e+00,        -1.244531370447e-02,        +2.157695708770e+01
 2.40235000e+00,        -1.242946632436e-02,        +2.156359669911e+01
 2.40237500e+00,        -1.241367140933e-02,        +2.155025959403e+01
 2.40240000e+00,        -1.239792871458e-02,        +2.153694568582e+01
 2.40242500e+00,        -1.238223799675e-02,        +2.152365488827e+01
 2.40245000e+00,        -1.236659901387e-02,        +2.151038711555e+01
 2.40247500e+00,        -1.235101152543e-02,        +2.149714228226e+01
 2.40250000e+00,        -1.233547529234e-02,        +2.148392030337e+01
 2.40252500e+00,        -1.231999007683e-02,        +2.147072109427e+01
 2.40255000e+00,        -1.230455564257e-02,        +2.145754457072e+01
 2.40257500e+00,        -1.228917175464e-02,        +2.144439064890e+01
 2.40260000e+00,        -1.227383817940e-02,        +2.143125924535e+01
 2.40262500e+00,        -1.225855468466e-02,        +2.141815027702e+01
 2.40265000e+00,        -1.224332103951e-02,        +2.140506366124e+01
 2.40267500e+00,        -1.222813701443e-02,        +2.139199931570e+01
 2.40270000e+00,        -1.221300238120e-02,        +2.137895715851e+01
 2.40272500e+00,        -1.219791691291e-02,        +2.136593710812e+01
 2.40275000e+00,        -1.218288038400e-02,        +2.135293908339e+01
 2.40277500e+00,        -1.216789257019e-02,        +2.133996300352e+01
 2.40280000e+00,        -1.215295324851e-02,        +2.132700878810e+01
 2.40282500e+00,        -1.213806219721e-02,        +2.131407635709e+01
 2.40285000e+00,        -1.212321919593e-02,        +2.130116563081e+01
 2.40287500e+00,        -1.210842402548e-02,        +2.128827652994e+01
 2.40290000e+00,        -1.209367646796e-02,        +2.127540897555e+01
 2.40292500e+00,        -1.207897630674e-02,        +2.126256288904e+01
 2.40295000e+00,        -1.206432332638e-02,        +2.124973819218e+01
 2.40297500e+00,        -1.204971731273e-02,        +2.123693480710e+01
 2.40300000e+00,        -1.203515805285e-02,        +2.122415265626e+01
 2.40302500e+00,        -1.202064533497e-02,        +2.121139166252e+01
 2.40305000e+00,        -1.200617894857e-02,        +2.119865174905e+01
 2.40307500e+00,        -1.199175868435e-02,        +2.118593283938e+01
 2.40310000e+00,        -1.197738433413e-02,        +2.117323485738e+01
 2.40312500e+00,        -1.196305569099e-02,        +2.116055772728e+01
 2.40315000e+00,        -1.194877254910e-02,        +2.114790137363e+01
 2.40317500e+00,        -1.193453470388e-02,        +2.113526572135e+01
 2.40320000e+00,        -1.192034195186e-02,        +2.112265069567e+01
 2.40322500e+00,        -1.190619409075e-02,        +2.111005622217e+01
 2.40325000e+00,        -1.189209091937e-02,        +2.109748222676e+01
 2.40327500e+00,        -1.187803223768e-02,        +2.108492863568e+01
 2.40330000e+00,        -1.186401784681e-02,        +2.107239537550e+01
 2.40332500e+00,        -1.185004754895e-02,        +2.105988237313e+01
 2.40335000e+00,        -1.183612114743e-02,        +2.104738955580e+01
 2.40337500e+00,        -1.182223844670e-02,        +2.103491685105e+01
 2.40340000e+00,        -1.180839925229e-02,        +2.102246418677e+01
 2.40342500e+00,        -1.179460337082e-02,        +2.101003149115e+01
 2.40345000e+00,        -1.178085060998e-02,        +2.099761869271e+01
 2.40347500e+00,        -1.176714077857e-02,        +2.098522572027e+01
 2.40350000e+00,        -1.175347368641e-02,        +2.097285250300e+01
 2.40352500e+00,        -1.173984914446e-02,        +2.096049897034e+01
 2.40355000e+00,        -1.172626696462e-02,        +2.094816505208e+01
 2.40357500e+00,        -1.171272695994e-02,        +2.093585067830e+01
 2.40360000e+00,        -1.169922894444e-02,        +2.092355577939e+01
 2.40362500e+00,        -1.168577273322e-02,        +2.091128028605e+01
 2.40365000e+00,        -1.167235814240e-02,        +2.089902412929e+01
 2.40367500e+00,        -1.165898498907e-02,        +2.088678724040e+01
 2.40370000e+00,        -1.164565309137e-02,        +2.087456955101e+01
 2.40372500e+00,        -1.163236226848e-02,        +2.086237099302e+01
 2.40375000e+00,        -1.161911234052e-02,        +2.085019149862e+01
 2.40377500e+00,        -1.160590312860e-02,        +2.083803100034e+01
 2.40380000e+00,        -1.159273445490e-02,        +2.082588943096e+01
 2.40382500e+00,        -1.157960614246e-02,        +2.081376672357e+01
 2.40385000e+00,        -1.156651801537e-02,        +2.080166281156e+01
 2.40387500e+00,        -1.155346989868e-02,        +2.078957762860e+01
 2.40390000e+00,        -1.154046161837e-02,        +2.077751110864e+01
 2.40392500e+00,        -1.152749300140e-02,        +2.076546318593e+01
 2.40395000e+00,        -1.151456387566e-02,        +2.075343379500e+01
 2.40397500e+00,        -1.150167407003e-02,        +2.074142287066e+01
 2.40400000e+00,        -1.148882341420e-02,        +2.072943034801e+01
 2.40402500e+00,        -1.147601173894e-02,        +2.071745616243e+01
 2.40405000e+00,        -1.146323887585e-02,        +2.070550024956e+01
 2.40407500e+00,        -1.145050465749e-02,        +2.069356254534e+01
 2.40410000e+00,        -1.143780891730e-02,        +2.068164298598e+01
 2.40412500e+00,        -1.142515148962e-02,        +2.066974150795e+01
 2.40415000e+00,        -1.141253220972e-02,        +2.065785804800e+01
 2.40417500e+00,        -1.139995091377e-02,        +2.064599254316e+01
 2.40420000e+00,        -1.138740743876e-02,        +2.063414493073e+01
 2.40422500e+00,        -1.137490162262e-02,        +2.062231514825e+01
 2.40425000e+00,        -1.136243330417e-02,        +2.061050313356e+01
 2.40427500e+00,        -1.135000232304e-02,        +2.059870882474e+01
 2.40430000e+00,        -1.133760851977e-02,        +2.058693216016e+01
 2.40432500e+00,        -1.132525173575e-02,        +2.057517307843e+01
 2.40435000e+00,        -1.131293181320e-02,        +2.056343151842e+01
 2.40437500e+00,        -1.130064859521e-02,        +2.055170741927e+01
 2.40440000e+00,        -1.128840192571e-02,        +2.054000072037e+01
 2.40442500e+00,        -1.127619164946e-02,        +2.052831136138e+01
 2.40445000e+00,        -1.126401761206e-02,        +2.051663928220e+01
 2.40447500e+00,        -1.125187965995e-02,        +2.050498442298e+01
 2.40450000e+00,        -1.123977764034e-02,        +2.049334672414e+01
 2.40452500e+00,        -1.122771140129e-02,        +2.048172612633e+01
 2.40455000e+00,        -1.121568079168e-02,        +2.047012257047e+01
 2.40457500e+00,        -1.120368566116e-02,        +2.045853599771e+01
 2.40460000e+00,        -1.119172586022e-02,        +2.044696634945e+01
 2.40462500e+00,        -1.117980124013e-02,        +2.043541356735e+01
 2.40465000e+00,        -1.116791165295e-02,        +2.042387759330e+01
 2.40467500e+00,        -1.115605695151e-02,        +2.041235836943e+01
 2.40470000e+00,        -1.114423698941e-02,        +2.040085583812e+01
 2.40472500e+00,        -1.113245162108e-02,        +2.038936994199e+01
 2.40475000e+00,        -1.112070070166e-02,        +2.037790062389e+01
 2.40477500e+00,        -1.110898408709e-02,        +2.036644782691e+01
 2.40480000e+00,        -1.109730163404e-02,        +2.035501149438e+01
 2.40482500e+00,        -1.108565319999e-02,        +2.034359156986e+01
 2.40485000e+00,        -1.107403864310e-02,        +2.033218799715e+01
 2.40487500e+00,        -1.106245782232e-02,        +2.032080072028e+01
 2.40490000e+00,        -1.105091059736e-02,        +2.030942968351e+01
 2.40492500e+00,        -1.103939682859e-02,        +2.029807483132e+01
 2.40495000e+00,        -1.102791637719e-02,        +2.028673610843e+01
 2.40497500e+00,        -1.101646910503e-02,        +2.027541345978e+01
 2.40500000e+00,        -1.100505487467e-02,        +2.026410683056e+01
 2.40502500e+00,        -1.099367354951e-02,        +2.025281616614e+01
 2.40505000e+00,        -1.098232499350e-02,        +2.024154141215e+01
 2.40507500e+00,        -1.097100907142e-02,        +2.023028251443e+01
 2.40510000e+00,        -1.095972564868e-02,        +2.021903941904e+01
 2.40512500e+00,        -1.094847459146e-02,        +2.020781207227e+01
 2.40515000e+00,        -1.093725576659e-02,        +2.019660042060e+01
 2.40517500e+00,        -1.092606904157e-02,        +2.018540441077e+01
 2.40520000e+00,        -1.091491428465e-02,        +2.017422398970e+01
 2.40522500e+00,        -1.090379136472e-02,        +2.016305910455e+01
 2.40525000e+00,        -1.089270015138e-02,        +2.015190970267e+01
 2.40527500e+00,        -1.088164051482e-02,        +2.014077573165e+01
 2.40530000e+00,        -1.087061232600e-02,        +2.012965713927e+01
 2.40532500e+00,        -1.085961545651e-02,        +2.011855387353e+01
 2.40535000e+00,        -1.084864977861e-02,        +2.010746588264e+01
 2.40537500e+00,        -1.083771516521e-02,        +2.009639311502e+01
 2.40540000e+00,        -1.082681148985e-02,        +2.008533551929e+01
 2.40542500e+00,        -1.081593862674e-02,        +2.007429304428e+01
 2.40545000e+00,        -1.080509645076e-02,        +2.006326563903e+01
 2.40547500e+00,        -1.079428483740e-02,        +2.005225325278e+01
 2.40550000e+00,        -1.078350366277e-02,        +2.004125583497e+01
 2.40552500e+00,        -1.077275280369e-02,        +2.003027333524e+01
 2.40555000e+00,        -1.076203213751e-02,        +2.001930570344e+01
 2.40557500e+00,        -1.075134154229e-02,        +2.000835288961e+01
 2.40560000e+00,        -1.074068089666e-02,        +1.999741484401e+01
 2.40562500e+00,        -1.073005007990e-02,        +1.998649151706e+01
 2.40565000e+00,        -1.071944897188e-02,        +1.997558285941e+01
 2.40567500e+00,        -1.070887745310e-02,        +1.996468882190e+01
 2.40570000e+00,        -1.069833540464e-02,        +1.995380935554e+01
 2.40572500e+00,        -1.068782270823e-02,        +1.994294441157e+01
 2.40575000e+00,        -1.067733924616e-02,        +1.993209394139e+01
 2.40577500e+00,        -1.066688490134e-02,        +1.992125789662e+01
 2.40580000e+00,        -1.065645955722e-02,        +1.991043622904e+01
 2.40582500e+00,        -1.064606309792e-02,        +1.989962889065e+01
 2.40585000e+00,        -1.063569540809e-02,        +1.988883583362e+01
 2.40587500e+00,        -1.062535637300e-02,        +1.987805701030e+01
 2.40590000e+00,        -1.061504587844e-02,        +1.986729237326e+01
 2.40592500e+00,        -1.060476381081e-02,        +1.985654187522e+01
 2.40595000e+00,        -1.059451005711e-02,        +1.984580546910e+01
 2.40597500e+00,        -1.058428450487e-02,        +1.983508310800e+01
 2.40600000e+00,        -1.057408704217e-02,        +1.982437474522e+01
 2.40602500e+00,        -1.056391755768e-02,        +1.981368033420e+01
 2.40605000e+00,        -1.055377594066e-02,        +1.980299982861e+01
 2.40607500e+00,        -1.054366208084e-02,        +1.979233318227e+01
 2.40610000e+00,        -1.053357586857e-02,        +1.978168034919e+01
 2.40612500e+00,        -1.052351719472e-02,        +1.977104128354e+01
 2.40615000e+00,        -1.051348595071e-02,        +1.976041593970e+01
 2.40617500e+00,        -1.050348202847e-02,        +1.974980427219e+01
 2.40620000e+00,        -1.049350532054e-02,        +1.973920623573e+01
 2.40622500e+00,        -1.048355571995e-02,        +1.972862178521e+01
 2.40625000e+00,        -1.047363312025e-02,        +1.971805087569e+01
 2.40627500e+00,        -1.046373741551e-02,        +1.970749346240e+01
 2.40630000e+00,        -1.045386850040e-02,        +1.969694950075e+01
 2.40632500e+00,        -1.044402627000e-02,        +1.968641894630e+01
 2.40635000e+00,        -1.043421062000e-02,        +1.967590175481e+01
 2.40637500e+00,        -1.042442144657e-02,        +1.966539788219e+01
 2.40640000e+00,        -1.041465864640e-02,        +1.965490728452e+01
 2.40642500e+00,        -1.040492211671e-02,        +1.964442991806e+01
 2.40645000e+00,        -1.039521175514e-02,        +1.963396573921e+01
 2.40647500e+00,        -1.038552745995e-02,        +1.962351470455e+01
 2.40650000e+00,        -1.037586912983e-02,        +1.961307677085e+01
 2.40652500e+00,        -1.036623666398e-02,        +1.960265189499e+01
 2.40655000e+00,        -1.035662996210e-02,        +1.959224003407e+01
 2.40657500e+00,        -1.034704892441e-02,        +1.958184114530e+01
 2.40660000e+00,        -1.033749345154e-02,        +1.957145518610e+01
 2.40662500e+00,        -1.032796344470e-02,        +1.956108211401e+01
 2.40665000e+00,        -1.031845880552e-02,        +1.955072188675e+01
 2.40667500e+00,        -1.030897943616e-02,        +1.954037446221e+01
 2.40670000e+00,        -1.029952523919e-02,        +1.953003979840e+01
 2.40672500e+00,        -1.029009611771e-02,        +1.951971785353e+01
 2.40675000e+00,        -1.028069197528e-02,        +1.950940858594e+01
 2.40677500e+00,        -1.027131271592e-02,        +1.949911195414e+01
 2.40680000e+00,        -1.026195824413e-02,        +1.948882791677e+01
 2.40682500e+00,        -1.025262846485e-02,        +1.947855643267e+01
 2.40685000e+00,        -1.024332328352e-02,        +1.946829746078e+01
 2.40687500e+00,        -1.023404260601e-02,        +1.945805096023e+01
 2.40690000e+00,        -1.022478633860e-02,        +1.944781689029e+01
 2.40692500e+00,        -1.021555438815e-02,        +1.943759521037e+01
 2.40695000e+00,        -1.020634666184e-02,        +1.942738588006e+01
 2.40697500e+00,        -1.019716306739e-02,        +1.941718885907e+01
 2.40700000e+00,        -1.018800351291e-02,        +1.940700410727e+01
 2.40702500e+00,        -1.017886790698e-02,        +1.939683158467e+01
 2.40705000e+00,        -1.016975615859e-02,        +1.938667125145e+01
 2.40707500e+00,        -1.016066817720e-02,        +1.937652306791e+01
 2.40710000e+00,        -1.015160387271e-02,        +1.936638699451e+01
 2.40712500e+00,        -1.014256315543e-02,        +1.935626299186e+01
 2.40715000e+00,        -1.013354593609e-02,        +1.934615102069e+01
 2.40717500e+00,        -1.012455212588e-02,        +1.933605104190e+01
 2.40720000e+00,        -1.011558163640e-02,        +1.932596301652e+01
