        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V)
 2.40000000e+00,        +7.071067811865e+00,        +1.357253330453e+01,        +2.750976046389e+00
 2.40002500e+00,        +7.071067811865e+00,        +1.357331632240e+01,        +2.749170772306e+00
 2.40005000e+00,        +7.071067811865e+00,        +1.357409716945e+01,        +2.747369053485e+00
 2.40007500e+00,        +7.071067811865e+00,        +1.357487585573e+01,        +2.745570875965e+00
 2.40010000e+00,        +7.071067811865e+00,        +1.357565239117e+01,        +2.743776225853e+00
 2.40012500e+00,        +7.071067811865e+00,        +1.357642678567e+01,        +2.741985089325e+00
 2.40015000e+00,        +7.071067811865e+00,        +1.357719904907e+01,        +2.740197452627e+00
 2.40017500e+00,        +7.071067811865e+00,        +1.357796919115e+01,        +2.738413302072e+00
 2.40020000e+00,        +7.071067811865e+00,        +1.357873722163e+01,        +2.736632624042e+00
 2.40022500e+00,        +7.071067811865e+00,        +1.357950315017e+01,        +2.734855404987e+00
 2.40025000e+00,        +7.071067811865e+00,        +1.358026698637e+01,        +2.733081631423e+00
 2.40027500e+00,        +7.071067811865e+00,        +1.358102873978e+01,        +2.731311289932e+00
 2.40030000e+00,        +7.071067811865e+00,        +1.358178841990e+01,        +2.729544367164e+00
 2.40032500e+00,        +7.071067811865e+00,        +1.358254603615e+01,        +2.727780849834e+00
 2.40035000e+00,        +7.071067811865e+00,        +1.358330159791e+01,        +2.726020724723e+00
 2.40037500e+00,        +7.071067811865e+00,        +1.358405511450e+01,        +2.724263978676e+00
 2.40040000e+00,        +7.071067811865e+00,        +1.358480659520e+01,        +2.722510598604e+00
 2.40042500e+00,        +7.071067811865e+00,        +1.358555604922e+01,        +2.720760571481e+00
 2.40045000e+00,        +7.071067811865e+00,        +1.358630348571e+01,        +2.719013884345e+00
 2.40047500e+00,        +7.071067811865e+00,        +1.358704891378e+01,        +2.717270524299e+00
 2.40050000e+00,        +7.071067811865e+00,        +1.358779234248e+01,        +2.715530478507e+00
 2.40052500e+00,        +7.071067811865e+00,        +1.358853378082e+01,        +2.713793734197e+00
 2.40055000e+00,        +7.071067811865e+00,        +1.358927323772e+01,        +2.712060278658e+00
 2.40057500e+00,        +7.071067811865e+00,        +1.359001072210e+01,        +2.710330099244e+00
 2.40060000e+00,        +7.071067811865e+00,        +1.359074624279e+01,        +2.708603183367e+00
 2.40062500e+00,        +7.071067811865e+00,        +1.359147980858e+01,        +2.706879518502e+00
 2.40065000e+00,        +7.071067811865e+00,        +1.359221142821e+01,        +2.705159092183e+00
 2.40067500e+00,        +7.071067811865e+00,        +1.359294111037e+01,        +2.703441892008e+00
 2.40070000e+00,        +7.071067811865e+00,        +1.359366886369e+01,        +2.701727905632e+00
 2.40072500e+00,        +7.071067811865e+00,        +1.359439469677e+01,        +2.700017120770e+00
 2.40075000e+00,        +7.071067811865e+00,        +1.359511861814e+01,        +2.698309525197e+00
 2.40077500e+00,        +7.071067811865e+00,        +1.359584063628e+01,        +2.696605106747e+00
 2.40080000e+00,        +7.071067811865e+00,        +1.359656075964e+01,        +2.694903853313e+00
 2.40082500e+00,        +7.071067811865e+00,        +1.359727899662e+01,        +2.693205752845e+00
 2.40085000e+00,        +7.071067811865e+00,        +1.359799535554e+01,        +2.691510793352e+00
 2.40087500e+00,        +7.071067811865e+00,        +1.359870984471e+01,        +2.689818962901e+00
 2.40090000e+00,        +7.071067811865e+00,        +1.359942247237e+01,        +2.688130249613e+00
 2.40092500e+00,        +7.071067811865e+00,        +1.360013324672e+01,        +2.686444641671e+00
 2.40095000e+00,        +7.071067811865e+00,        +1.360084217591e+01,        +2.684762127310e+00
 2.40097500e+00,        +7.071067811865e+00,        +1.360154926805e+01,        +2.683082694824e+00
 2.40100000e+00,        +7.071067811865e+00,        +1.360225453121e+01,        +2.681406332561e+00
 2.40102500e+00,        +7.071067811865e+00,        +1.360295797338e+01,        +2.679733028926e+00
 2.40105000e+00,        +7.071067811865e+00,        +1.360365960255e+01,        +2.678062772378e+00
 2.40107500e+00,        +7.071067811865e+00,        +1.360435942662e+01,        +2.676395551431e+00
 2.40110000e+00,        +7.071067811865e+00,        +1.360505745349e+01,        +2.674731354655e+00
 2.40112500e+00,        +7.071067811865e+00,        +1.360575369097e+01,        +2.673070170672e+00
 2.40115000e+00,        +7.071067811865e+00,        +1.360644814687e+01,        +2.671411988160e+00
 2.40117500e+00,        +7.071067811865e+00,        +1.360714082893e+01,        +2.669756795848e+00
 2.40120000e+00,        +7.071067811865e+00,        +1.360783174483e+01,        +2.668104582521e+00
 2.40122500e+00,        +7.071067811865e+00,        +1.360852090225e+01,        +2.666455337014e+00
 2.40125000e+00,        +7.071067811865e+00,        +1.360920830880e+01,        +2.664809048218e+00
 2.40127500e+00,        +7.071067811865e+00,        +1.360989397204e+01,        +2.663165705074e+00
 2.40130000e+00,        +7.071067811865e+00,        +1.361057789951e+01,        +2.661525296575e+00
 2.40132500e+00,        +7.071067811865e+00,        +1.361126009868e+01,        +2.659887811766e+00
 2.40135000e+00,        +7.071067811865e+00,        +1.361194057701e+01,        +2.658253239743e+00
 2.40137500e+00,        +7.071067811865e+00,        +1.361261934190e+01,        +2.656621569655e+00
 2.40140000e+00,        +7.071067811865e+00,        +1.361329640071e+01,        +2.654992790699e+00
 2.40142500e+00,        +7.071067811865e+00,        +1.361397176075e+01,        +2.653366892125e+00
 2.40145000e+00,        +7.071067811865e+00,        +1.361464542932e+01,        +2.651743863230e+00
 2.40147500e+00,        +7.071067811865e+00,        +1.361531741363e+01,        +2.650123693365e+00
 2.40150000e+00,        +7.071067811865e+00,        +1.361598772090e+01,        +2.648506371926e+00
 2.40152500e+00,        +7.071067811865e+00,        +1.361665635828e+01,        +2.646891888362e+00
 2.40155000e+00,        +7.071067811865e+00,        +1.361732333289e+01,        +2.645280232170e+00
 2.40157500e+00,        +7.071067811865e+00,        +1.361798865181e+01,        +2.643671392894e+00
 2.40160000e+00,        +7.071067811865e+00,        +1.361865232208e+01,        +2.642065360128e+00
 2.40162500e+00,        +7.071067811865e+00,        +1.361931435069e+01,        +2.640462123514e+00
 2.40165000e+00,        +7.071067811865e+00,        +1.361997474462e+01,        +2.638861672742e+00
