        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],              E_elec[2] (J),                  p_elec[2],               E_mag[2] (J),                   p_mag[2],              E_elec[3] (J),                  p_elec[3],               E_mag[3] (J),                   p_mag[3],              E_elec[4] (J),                  p_elec[4],               E_mag[4] (J),                   p_mag[4],              E_elec[5] (J),                  p_elec[5],               E_mag[5] (J),                   p_mag[5],              E_elec[6] (J),                  p_elec[6],               E_mag[6] (J),                   p_mag[6]
 2.30000000e+00,        +3.246924765110e-11,        +3.616470670510e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.762177964009e-15,        +5.427221421773e-05,        +3.023970011018e-14,        +8.361660542907e-04,        +2.758776715569e-11,        +8.496583429384e-01,        +3.135421472280e-11,        +8.669837966191e-01,        +1.751413693382e-12,        +5.394069219594e-02,        +1.610585940421e-12,        +4.453474359836e-02,        +6.844091441126e-13,        +2.107868810103e-02,        +7.196068952448e-13,        +1.989804316990e-02,        +6.744721808905e-13,        +2.077264580128e-02,        +7.164493655198e-13,        +1.981073346902e-02,        +1.757877094415e-12,        +5.413975443177e-02,        +1.615409054198e-12,        +4.466810881037e-02
 2.30020000e+00,        +3.247637614384e-11,        +3.616555865954e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.765392850253e-15,        +5.435929311921e-05,        +3.028776467320e-14,        +8.374753714807e-04,        +2.759028491739e-11,        +8.495493707546e-01,        +3.135081663826e-11,        +8.668694138916e-01,        +1.753395181503e-12,        +5.398986554832e-02,        +1.612146630828e-12,        +4.457684854268e-02,        +6.847151714984e-13,        +2.108348445238e-02,        +7.200437204557e-13,        +1.990965291686e-02,        +6.747588146426e-13,        +2.077691216699e-02,        +7.168764843546e-13,        +1.982207688545e-02,        +1.759862509925e-12,        +5.418900502107e-02,        +1.616975752658e-12,        +4.471037673938e-02
 2.30040000e+00,        +3.248354919669e-11,        +3.616645553727e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.768625878849e-15,        +5.444681762268e-05,        +3.033611176773e-14,        +8.387913970854e-04,        +2.759280872998e-11,        +8.494394674332e-01,        +3.134742813054e-11,        +8.667542247327e-01,        +1.755390536369e-12,        +5.403937007439e-02,        +1.613718356383e-12,        +4.461920120207e-02,        +6.850265075563e-13,        +2.108841319674e-02,        +7.204864794820e-13,        +1.992140144172e-02,        +6.750506299411e-13,        +2.078130766603e-02,        +7.173094838867e-13,        +1.983355773273e-02,        +1.761861854238e-12,        +5.423858838731e-02,        +1.618553519759e-12,        +4.475289313578e-02
 2.30060000e+00,        +3.249076696027e-11,        +3.616739748114e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.771877137655e-15,        +5.453478952410e-05,        +3.038474267044e-14,        +8.401141576828e-04,        +2.759533861994e-11,        +8.493286309210e-01,        +3.134404922811e-11,        +8.666382269958e-01,        +1.757399805352e-12,        +5.408920655830e-02,        +1.615301154204e-12,        +4.466180225011e-02,        +6.853431665459e-13,        +2.109347456722e-02,        +7.209351894949e-13,        +1.993328908642e-02,        +6.753476403806e-13,        +2.078583251686e-02,        +7.177483809880e-13,        +1.984517634597e-02,        +1.763875174998e-12,        +5.428850532075e-02,        +1.620142392770e-12,        +4.479565867616e-02
 2.30080000e+00,        +3.249802958662e-11,        +3.616838463537e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.775146715212e-15,        +5.462321063130e-05,        +3.043365866819e-14,        +8.414436800263e-04,        +2.759787461395e-11,        +8.492168591449e-01,        +3.134067995967e-11,        +8.665214185160e-01,        +1.759423036257e-12,        +5.413937579100e-02,        +1.616895061751e-12,        +4.470465236565e-02,        +6.856651629033e-13,        +2.109866880008e-02,        +7.213898678639e-13,        +1.994531619636e-02,        +6.756498597264e-13,        +2.079048694092e-02,        +7.181931927266e-13,        +1.985693306370e-02,        +1.765902520287e-12,        +5.433875661847e-02,        +1.621742409306e-12,        +4.483867404242e-02
 2.30100000e+00,        +3.250533722920e-11,        +3.616941714559e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.778434700756e-15,        +5.471208276400e-05,        +3.048286105811e-14,        +8.427799910463e-04,        +2.760041673885e-11,        +8.491041500118e-01,        +3.133732035419e-11,        +8.664037971099e-01,        +1.761460277337e-12,        +5.418987857032e-02,        +1.618500116836e-12,        +4.474775223282e-02,        +6.859925112422e-13,        +2.110399613470e-02,        +7.218505321578e-13,        +1.995748312040e-02,        +6.759573019157e-13,        +2.079527116269e-02,        +7.186439363671e-13,        +1.986882822785e-02,        +1.767943938635e-12,        +5.438934308446e-02,        +1.623353607333e-12,        +4.488193992174e-02
 2.30120000e+00,        +3.251269004288e-11,        +3.617049515884e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.781741184217e-15,        +5.480140775393e-05,        +3.053235114770e-14,        +8.441231178512e-04,        +2.760296502163e-11,        +8.489905014083e-01,        +3.133397044088e-11,        +8.662853605759e-01,        +1.763511577287e-12,        +5.424071570090e-02,        +1.620116357620e-12,        +4.479110254106e-02,        +6.863252263549e-13,        +2.110945681363e-02,        +7.223172001461e-13,        +1.996979021089e-02,        +6.762699810583e-13,        +2.080018540965e-02,        +7.191006293726e-13,        +1.988086218380e-02,        +1.769999479017e-12,        +5.444026552964e-02,        +1.624976025169e-12,        +4.492545700668e-02
 2.30140000e+00,        +3.252008818397e-11,        +3.617161882354e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.785066256229e-15,        +5.489118744486e-05,        +3.058213025485e-14,        +8.454730877280e-04,        +2.760551948950e-11,        +8.488759112010e-01,        +3.133063024920e-11,        +8.661661066938e-01,        +1.765576985249e-12,        +5.429188799431e-02,        +1.621743822617e-12,        +4.483470398516e-02,        +6.866633232134e-13,        +2.111505108255e-02,        +7.227898898001e-13,        +1.998223782370e-02,        +6.765879114378e-13,        +2.080522991237e-02,        +7.195632894050e-13,        +1.989303528038e-02,        +1.772069190859e-12,        +5.449152477185e-02,        +1.626609701485e-12,        +4.496922599511e-02
 2.30160000e+00,        +3.252753181023e-11,        +3.617278828955e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.788410008136e-15,        +5.498142369270e-05,        +3.063219970800e-14,        +8.468299281437e-04,        +2.760808016981e-11,        +8.487603772361e-01,        +3.132729980886e-11,        +8.660460332251e-01,        +1.767656550816e-12,        +5.434339626902e-02,        +1.623382550697e-12,        +4.487855726526e-02,        +6.870068169702e-13,        +2.112077919033e-02,        +7.232686192942e-13,        +1.999482631819e-02,        +6.769111075125e-13,        +2.081040490443e-02,        +7.200319343271e-13,        +1.990534786988e-02,        +1.774153124042e-12,        +5.454312163593e-02,        +1.628254675310e-12,        +4.501324759031e-02
 2.30180000e+00,        +3.253502108087e-11,        +3.617400370817e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.791772531991e-15,        +5.507211836556e-05,        +3.068256084614e-14,        +8.481936667465e-04,        +2.761064709009e-11,        +8.486438973395e-01,        +3.132397914985e-11,        +8.659251379125e-01,        +1.769750324036e-12,        +5.439524135046e-02,        +1.625032581086e-12,        +4.492266308689e-02,        +6.873557229597e-13,        +2.112664138902e-02,        +7.237534070070e-13,        +2.000755605727e-02,        +6.772395839163e-13,        +2.081571062250e-02,        +7.205065822030e-13,        +1.991780030808e-02,        +1.776251328900e-12,        +5.459505695370e-02,        +1.629910986030e-12,        +4.505752250094e-02
 2.30200000e+00,        +3.254255615656e-11,        +3.617526523212e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.795153920571e-15,        +5.516327334383e-05,        +3.073321501893e-14,        +8.495643313664e-04,        +2.761322027806e-11,        +8.485264693166e-01,        +3.132066830239e-11,        +8.658034184798e-01,        +1.771858355411e-12,        +5.444742407102e-02,        +1.626693953372e-12,        +4.496702216098e-02,        +6.877100566992e-13,        +2.113263793387e-02,        +7.242442715227e-13,        +2.002042740739e-02,        +6.775733554600e-13,        +2.082114730632e-02,        +7.209872512999e-13,        +1.993039295423e-02,        +1.778363856228e-12,        +5.464733156400e-02,        +1.631578673395e-12,        +4.510205144111e-02
 2.30220000e+00,        +3.255013719945e-11,        +3.617657301557e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.798554267375e-15,        +5.525489052026e-05,        +3.078416358679e-14,        +8.509419500166e-04,        +2.761579976162e-11,        +8.484080909523e-01,        +3.131736729697e-11,        +8.656808726323e-01,        +1.773980695904e-12,        +5.449994527010e-02,        +1.628366707503e-12,        +4.501163520387e-02,        +6.880698338896e-13,        +2.113876908332e-02,        +7.247412316321e-13,        +2.003344073857e-02,        +6.779124371322e-13,        +2.082671519872e-02,        +7.214739600890e-13,        +1.994312617114e-02,        +1.780490757283e-12,        +5.469994631276e-02,        +1.633257777515e-12,        +4.514683513035e-02
 2.30240000e+00,        +3.255776437316e-11,        +3.617792721416e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.801973666632e-15,        +5.534697180001e-05,        +3.083540792097e-14,        +8.523265508948e-04,        +2.761838556883e-11,        +8.482887600110e-01,        +3.131407616435e-11,        +8.655574980564e-01,        +1.776117396940e-12,        +5.455280579412e-02,        +1.630050883794e-12,        +4.505650293739e-02,        +6.884350704172e-13,        +2.114503509906e-02,        +7.252443063344e-13,        +2.004659642442e-02,        +6.782568441003e-13,        +2.083241454562e-02,        +7.219667272470e-13,        +1.995600032509e-02,        +1.782632083786e-12,        +5.475290205295e-02,        +1.634948338868e-12,        +4.519187429369e-02
 2.30260000e+00,        +3.256543784280e-11,        +3.617932798497e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.805412213310e-15,        +5.543951910073e-05,        +3.088694940360e-14,        +8.537181623836e-04,        +2.762097772797e-11,        +8.481684742363e-01,        +3.131079493555e-11,        +8.654332924192e-01,        +1.778268510407e-12,        +5.460600649656e-02,        +1.631746522923e-12,        +4.510162608883e-02,        +6.888057823543e-13,        +2.115143624598e-02,        +7.257535148378e-13,        +2.005989484214e-02,        +6.786065917117e-13,        +2.083824559607e-02,        +7.224655716572e-13,        +1.996901578596e-02,        +1.784787887929e-12,        +5.480619964469e-02,        +1.636650398300e-12,        +4.523716966164e-02
