        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A)
 2.30000000e+00,        +1.414213562373e-01,        +2.825527836060e-01,        +7.582042202089e-03
 2.30020000e+00,        +1.414213562373e-01,        +2.825533930071e-01,        +7.569865912513e-03
 2.30040000e+00,        +1.414213562373e-01,        +2.825540010346e-01,        +7.557688137203e-03
 2.30060000e+00,        +1.414213562373e-01,        +2.825546076876e-01,        +7.545508860457e-03
 2.30080000e+00,        +1.414213562373e-01,        +2.825552129654e-01,        +7.533328066524e-03
 2.30100000e+00,        +1.414213562373e-01,        +2.825558168670e-01,        +7.521145739598e-03
 2.30120000e+00,        +1.414213562373e-01,        +2.825564193916e-01,        +7.508961863820e-03
 2.30140000e+00,        +1.414213562373e-01,        +2.825570205382e-01,        +7.496776423279e-03
 2.30160000e+00,        +1.414213562373e-01,        +2.825576203061e-01,        +7.484589402007e-03
 2.30180000e+00,        +1.414213562373e-01,        +2.825582186941e-01,        +7.472400783985e-03
 2.30200000e+00,        +1.414213562373e-01,        +2.825588157014e-01,        +7.460210553136e-03
 2.30220000e+00,        +1.414213562373e-01,        +2.825594113271e-01,        +7.448018693328e-03
 2.30240000e+00,        +1.414213562373e-01,        +2.825600055702e-01,        +7.435825188373e-03
 2.30260000e+00,        +1.414213562373e-01,        +2.825605984296e-01,        +7.423630022027e-03
 2.30280000e+00,        +1.414213562373e-01,        +2.825611899044e-01,        +7.411433177989e-03
 2.30300000e+00,        +1.414213562373e-01,        +2.825617799935e-01,        +7.399234639898e-03
 2.30320000e+00,        +1.414213562373e-01,        +2.825623686960e-01,        +7.387034391337e-03
 2.30340000e+00,        +1.414213562373e-01,        +2.825629560107e-01,        +7.374832415829e-03
 2.30360000e+00,        +1.414213562373e-01,        +2.825635419366e-01,        +7.362628696840e-03
 2.30380000e+00,        +1.414213562373e-01,        +2.825641264727e-01,        +7.350423217773e-03
 2.30400000e+00,        +1.414213562373e-01,        +2.825647096177e-01,        +7.338215961972e-03
 2.30420000e+00,        +1.414213562373e-01,        +2.825652913707e-01,        +7.326006912721e-03
 2.30440000e+00,        +1.414213562373e-01,        +2.825658717304e-01,        +7.313796053241e-03
 2.30460000e+00,        +1.414213562373e-01,        +2.825664506957e-01,        +7.301583366692e-03
 2.30480000e+00,        +1.414213562373e-01,        +2.825670282654e-01,        +7.289368836171e-03
 2.30500000e+00,        +1.414213562373e-01,        +2.825676044384e-01,        +7.277152444713e-03
 2.30520000e+00,        +1.414213562373e-01,        +2.825681792134e-01,        +7.264934175287e-03
 2.30540000e+00,        +1.414213562373e-01,        +2.825687525893e-01,        +7.252714010800e-03
 2.30560000e+00,        +1.414213562373e-01,        +2.825693245647e-01,        +7.240491934093e-03
 2.30580000e+00,        +1.414213562373e-01,        +2.825698951385e-01,        +7.228267927942e-03
 2.30600000e+00,        +1.414213562373e-01,        +2.825704643094e-01,        +7.216041975057e-03
 2.30620000e+00,        +1.414213562373e-01,        +2.825710320760e-01,        +7.203814058081e-03
 2.30640000e+00,        +1.414213562373e-01,        +2.825715984371e-01,        +7.191584159591e-03
 2.30660000e+00,        +1.414213562373e-01,        +2.825721633914e-01,        +7.179352262096e-03
 2.30680000e+00,        +1.414213562373e-01,        +2.825727269375e-01,        +7.167118348035e-03
 2.30700000e+00,        +1.414213562373e-01,        +2.825732890740e-01,        +7.154882399781e-03
 2.30720000e+00,        +1.414213562373e-01,        +2.825738497995e-01,        +7.142644399635e-03
 2.30740000e+00,        +1.414213562373e-01,        +2.825744091128e-01,        +7.130404329829e-03
 2.30760000e+00,        +1.414213562373e-01,        +2.825749670123e-01,        +7.118162172524e-03
 2.30780000e+00,        +1.414213562373e-01,        +2.825755234966e-01,        +7.105917909810e-03
 2.30800000e+00,        +1.414213562373e-01,        +2.825760785642e-01,        +7.093671523705e-03
 2.30820000e+00,        +1.414213562373e-01,        +2.825766322138e-01,        +7.081422996153e-03
 2.30840000e+00,        +1.414213562373e-01,        +2.825771844438e-01,        +7.069172309028e-03
 2.30860000e+00,        +1.414213562373e-01,        +2.825777352527e-01,        +7.056919444128e-03
 2.30880000e+00,        +1.414213562373e-01,        +2.825782846389e-01,        +7.044664383175e-03
 2.30900000e+00,        +1.414213562373e-01,        +2.825788326010e-01,        +7.032407107820e-03
 2.30920000e+00,        +1.414213562373e-01,        +2.825793791373e-01,        +7.020147599634e-03
 2.30940000e+00,        +1.414213562373e-01,        +2.825799242463e-01,        +7.007885840115e-03
 2.30960000e+00,        +1.414213562373e-01,        +2.825804679264e-01,        +6.995621810682e-03
 2.30980000e+00,        +1.414213562373e-01,        +2.825810101759e-01,        +6.983355492677e-03
 2.31000000e+00,        +1.414213562373e-01,        +2.825815509932e-01,        +6.971086867362e-03
 2.31020000e+00,        +1.414213562373e-01,        +2.825820903767e-01,        +6.958815915924e-03
 2.31040000e+00,        +1.414213562373e-01,        +2.825826283246e-01,        +6.946542619465e-03
 2.31060000e+00,        +1.414213562373e-01,        +2.825831648352e-01,        +6.934266959010e-03
 2.31080000e+00,        +1.414213562373e-01,        +2.825836999069e-01,        +6.921988915503e-03
 2.31100000e+00,        +1.414213562373e-01,        +2.825842335378e-01,        +6.909708469805e-03
 2.31120000e+00,        +1.414213562373e-01,        +2.825847657263e-01,        +6.897425602694e-03
 2.31140000e+00,        +1.414213562373e-01,        +2.825852964705e-01,        +6.885140294867e-03
 2.31160000e+00,        +1.414213562373e-01,        +2.825858257686e-01,        +6.872852526934e-03
 2.31180000e+00,        +1.414213562373e-01,        +2.825863536187e-01,        +6.860562279424e-03
 2.31200000e+00,        +1.414213562373e-01,        +2.825868800192e-01,        +6.848269532777e-03
 2.31220000e+00,        +1.414213562373e-01,        +2.825874049679e-01,        +6.835974267351e-03
 2.31240000e+00,        +1.414213562373e-01,        +2.825879284632e-01,        +6.823676463414e-03
 2.31260000e+00,        +1.414213562373e-01,        +2.825884505030e-01,        +6.811376101147e-03
 2.31280000e+00,        +1.414213562373e-01,        +2.825889710855e-01,        +6.799073160643e-03
 2.31300000e+00,        +1.414213562373e-01,        +2.825894902086e-01,        +6.786767621908e-03
 2.31320000e+00,        +1.414213562373e-01,        +2.825900078704e-01,        +6.774459464856e-03
 2.31340000e+00,        +1.414213562373e-01,        +2.825905240688e-01,        +6.762148669310e-03
 2.31360000e+00,        +1.414213562373e-01,        +2.825910388020e-01,        +6.749835215004e-03
 2.31380000e+00,        +1.414213562373e-01,        +2.825915520677e-01,        +6.737519081578e-03
 2.31400000e+00,        +1.414213562373e-01,        +2.825920638640e-01,        +6.725200248581e-03
 2.31420000e+00,        +1.414213562373e-01,        +2.825925741887e-01,        +6.712878695466e-03
 2.31440000e+00,        +1.414213562373e-01,        +2.825930830398e-01,        +6.700554401593e-03
 2.31460000e+00,        +1.414213562373e-01,        +2.825935904150e-01,        +6.688227346228e-03
 2.31480000e+00,        +1.414213562373e-01,        +2.825940963123e-01,        +6.675897508539e-03
 2.31500000e+00,        +1.414213562373e-01,        +2.825946007294e-01,        +6.663564867599e-03
 2.31520000e+00,        +1.414213562373e-01,        +2.825951036642e-01,        +6.651229402381e-03
 2.31540000e+00,        +1.414213562373e-01,        +2.825956051144e-01,        +6.638891091763e-03
 2.31560000e+00,        +1.414213562373e-01,        +2.825961050776e-01,        +6.626549914519e-03
 2.31580000e+00,        +1.414213562373e-01,        +2.825966035518e-01,        +6.614205849329e-03
 2.31600000e+00,        +1.414213562373e-01,        +2.825971005345e-01,        +6.601858874766e-03
 2.31620000e+00,        +1.414213562373e-01,        +2.825975960234e-01,        +6.589508969305e-03
 2.31640000e+00,        +1.414213562373e-01,        +2.825980900162e-01,        +6.577156111318e-03
 2.31660000e+00,        +1.414213562373e-01,        +2.825985825104e-01,        +6.564800279072e-03
 2.31680000e+00,        +1.414213562373e-01,        +2.825990735037e-01,        +6.552441450731e-03
 2.31700000e+00,        +1.414213562373e-01,        +2.825995629937e-01,        +6.540079604354e-03
 2.31720000e+00,        +1.414213562373e-01,        +2.826000509778e-01,        +6.527714717892e-03
 2.31740000e+00,        +1.414213562373e-01,        +2.826005374536e-01,        +6.515346769191e-03
 2.31760000e+00,        +1.414213562373e-01,        +2.826010224186e-01,        +6.502975735987e-03
 2.31780000e+00,        +1.414213562373e-01,        +2.826015058703e-01,        +6.490601595911e-03
 2.31800000e+00,        +1.414213562373e-01,        +2.826019878060e-01,        +6.478224326479e-03
 2.31820000e+00,        +1.414213562373e-01,        +2.826024682233e-01,        +6.465843905101e-03
 2.31840000e+00,        +1.414213562373e-01,        +2.826029471194e-01,        +6.453460309074e-03
 2.31860000e+00,        +1.414213562373e-01,        +2.826034244918e-01,        +6.441073515580e-03
 2.31880000e+00,        +1.414213562373e-01,        +2.826039003377e-01,        +6.428683501691e-03
 2.31900000e+00,        +1.414213562373e-01,        +2.826043746545e-01,        +6.416290244362e-03
 2.31920000e+00,        +1.414213562373e-01,        +2.826048474394e-01,        +6.403893720436e-03
 2.31940000e+00,        +1.414213562373e-01,        +2.826053186897e-01,        +6.391493906636e-03
 2.31960000e+00,        +1.414213562373e-01,        +2.826057884026e-01,        +6.379090779569e-03
 2.31980000e+00,        +1.414213562373e-01,        +2.826062565753e-01,        +6.366684315724e-03
 2.32000000e+00,        +1.414213562373e-01,        +2.826067232049e-01,        +6.354274491471e-03
