        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.)
 2.30000000e+00,        -2.717572004283e-01,        -6.344431689063e+01
 2.30020000e+00,        -2.730410365650e-01,        -6.353962551659e+01
 2.30040000e+00,        -2.743346474402e-01,        -6.363531575416e+01
 2.30060000e+00,        -2.756381228348e-01,        -6.373139021147e+01
 2.30080000e+00,        -2.769515535282e-01,        -6.382785151918e+01
 2.30100000e+00,        -2.782750313111e-01,        -6.392470233074e+01
 2.30120000e+00,        -2.796086489979e-01,        -6.402194532260e+01
 2.30140000e+00,        -2.809525004400e-01,        -6.411958319448e+01
 2.30160000e+00,        -2.823066805387e-01,        -6.421761866960e+01
 2.30180000e+00,        -2.836712852587e-01,        -6.431605449497e+01
 2.30200000e+00,        -2.850464116414e-01,        -6.441489344157e+01
 2.30220000e+00,        -2.864321578189e-01,        -6.451413830465e+01
 2.30240000e+00,        -2.878286230273e-01,        -6.461379190402e+01
 2.30260000e+00,        -2.892359076214e-01,        -6.471385708423e+01
 2.30280000e+00,        -2.906541130888e-01,        -6.481433671492e+01
 2.30300000e+00,        -2.920833420640e-01,        -6.491523369103e+01
 2.30320000e+00,        -2.935236983435e-01,        -6.501655093309e+01
 2.30340000e+00,        -2.949752869004e-01,        -6.511829138750e+01
 2.30360000e+00,        -2.964382138999e-01,        -6.522045802680e+01
 2.30380000e+00,        -2.979125867139e-01,        -6.532305384997e+01
 2.30400000e+00,        -2.993985139373e-01,        -6.542608188268e+01
 2.30420000e+00,        -3.008961054030e-01,        -6.552954517761e+01
 2.30440000e+00,        -3.024054721984e-01,        -6.563344681474e+01
 2.30460000e+00,        -3.039267266814e-01,        -6.573778990162e+01
 2.30480000e+00,        -3.054599824968e-01,        -6.584257757370e+01
 2.30500000e+00,        -3.070053545927e-01,        -6.594781299459e+01
 2.30520000e+00,        -3.085629592377e-01,        -6.605349935644e+01
 2.30540000e+00,        -3.101329140381e-01,        -6.615963988018e+01
 2.30560000e+00,        -3.117153379548e-01,        -6.626623781585e+01
 2.30580000e+00,        -3.133103513212e-01,        -6.637329644296e+01
 2.30600000e+00,        -3.149180758609e-01,        -6.648081907075e+01
 2.30620000e+00,        -3.165386347060e-01,        -6.658880903855e+01
 2.30640000e+00,        -3.181721524153e-01,        -6.669726971613e+01
 2.30660000e+00,        -3.198187549930e-01,        -6.680620450399e+01
 2.30680000e+00,        -3.214785699073e-01,        -6.691561683373e+01
 2.30700000e+00,        -3.231517261099e-01,        -6.702551016837e+01
 2.30720000e+00,        -3.248383540553e-01,        -6.713588800271e+01
 2.30740000e+00,        -3.265385857202e-01,        -6.724675386368e+01
 2.30760000e+00,        -3.282525546240e-01,        -6.735811131072e+01
 2.30780000e+00,        -3.299803958487e-01,        -6.746996393608e+01
 2.30800000e+00,        -3.317222460592e-01,        -6.758231536523e+01
 2.30820000e+00,        -3.334782435247e-01,        -6.769516925722e+01
 2.30840000e+00,        -3.352485281395e-01,        -6.780852930506e+01
 2.30860000e+00,        -3.370332414443e-01,        -6.792239923608e+01
 2.30880000e+00,        -3.388325266481e-01,        -6.803678281232e+01
 2.30900000e+00,        -3.406465286504e-01,        -6.815168383093e+01
 2.30920000e+00,        -3.424753940630e-01,        -6.826710612456e+01
 2.30940000e+00,        -3.443192712333e-01,        -6.838305356173e+01
 2.30960000e+00,        -3.461783102667e-01,        -6.849953004726e+01
 2.30980000e+00,        -3.480526630504e-01,        -6.861653952269e+01
 2.31000000e+00,        -3.499424832766e-01,        -6.873408596666e+01
 2.31020000e+00,        -3.518479264669e-01,        -6.885217339533e+01
 2.31040000e+00,        -3.537691499961e-01,        -6.897080586284e+01
 2.31060000e+00,        -3.557063131174e-01,        -6.908998746169e+01
 2.31080000e+00,        -3.576595769871e-01,        -6.920972232322e+01
 2.31100000e+00,        -3.596291046896e-01,        -6.933001461802e+01
 2.31120000e+00,        -3.616150612641e-01,        -6.945086855638e+01
 2.31140000e+00,        -3.636176137297e-01,        -6.957228838874e+01
 2.31160000e+00,        -3.656369311122e-01,        -6.969427840615e+01
 2.31180000e+00,        -3.676731844711e-01,        -6.981684294075e+01
 2.31200000e+00,        -3.697265469266e-01,        -6.993998636619e+01
 2.31220000e+00,        -3.717971936871e-01,        -7.006371309817e+01
 2.31240000e+00,        -3.738853020774e-01,        -7.018802759486e+01
 2.31260000e+00,        -3.759910515669e-01,        -7.031293435740e+01
 2.31280000e+00,        -3.781146237984e-01,        -7.043843793044e+01
 2.31300000e+00,        -3.802562026173e-01,        -7.056454290257e+01
 2.31320000e+00,        -3.824159741011e-01,        -7.069125390688e+01
 2.31340000e+00,        -3.845941265897e-01,        -7.081857562141e+01
 2.31360000e+00,        -3.867908507151e-01,        -7.094651276976e+01
 2.31380000e+00,        -3.890063394330e-01,        -7.107507012151e+01
 2.31400000e+00,        -3.912407880539e-01,        -7.120425249284e+01
 2.31420000e+00,        -3.934943942745e-01,        -7.133406474700e+01
 2.31440000e+00,        -3.957673582099e-01,        -7.146451179491e+01
 2.31460000e+00,        -3.980598824268e-01,        -7.159559859566e+01
 2.31480000e+00,        -4.003721719756e-01,        -7.172733015712e+01
 2.31500000e+00,        -4.027044344248e-01,        -7.185971153648e+01
 2.31520000e+00,        -4.050568798946e-01,        -7.199274784080e+01
 2.31540000e+00,        -4.074297210910e-01,        -7.212644422764e+01
 2.31560000e+00,        -4.098231733417e-01,        -7.226080590562e+01
 2.31580000e+00,        -4.122374546303e-01,        -7.239583813502e+01
 2.31600000e+00,        -4.146727856334e-01,        -7.253154622836e+01
 2.31620000e+00,        -4.171293897562e-01,        -7.266793555107e+01
 2.31640000e+00,        -4.196074931697e-01,        -7.280501152204e+01
 2.31660000e+00,        -4.221073248480e-01,        -7.294277961431e+01
 2.31680000e+00,        -4.246291166065e-01,        -7.308124535566e+01
 2.31700000e+00,        -4.271731031400e-01,        -7.322041432925e+01
 2.31720000e+00,        -4.297395220620e-01,        -7.336029217431e+01
 2.31740000e+00,        -4.323286139438e-01,        -7.350088458679e+01
 2.31760000e+00,        -4.349406223552e-01,        -7.364219731998e+01
 2.31780000e+00,        -4.375757939044e-01,        -7.378423618525e+01
 2.31800000e+00,        -4.402343782795e-01,        -7.392700705271e+01
 2.31820000e+00,        -4.429166282902e-01,        -7.407051585188e+01
 2.31840000e+00,        -4.456227999100e-01,        -7.421476857243e+01
 2.31860000e+00,        -4.483531523190e-01,        -7.435977126489e+01
 2.31880000e+00,        -4.511079479474e-01,        -7.450553004133e+01
 2.31900000e+00,        -4.538874525192e-01,        -7.465205107616e+01
 2.31920000e+00,        -4.566919350975e-01,        -7.479934060677e+01
 2.31940000e+00,        -4.595216681285e-01,        -7.494740493441e+01
 2.31960000e+00,        -4.623769274886e-01,        -7.509625042482e+01
 2.31980000e+00,        -4.652579925295e-01,        -7.524588350908e+01
 2.32000000e+00,        -4.681651461261e-01,        -7.539631068436e+01
 2.32020000e+00,        -4.710986747237e-01,        -7.554753851473e+01
 2.32040000e+00,        -4.740588683862e-01,        -7.569957363193e+01
 2.32060000e+00,        -4.770460208451e-01,        -7.585242273617e+01
 2.32080000e+00,        -4.800604295487e-01,        -7.600609259701e+01
 2.32100000e+00,        -4.831023957125e-01,        -7.616059005412e+01
 2.32120000e+00,        -4.861722243699e-01,        -7.631592201816e+01
 2.32140000e+00,        -4.892702244233e-01,        -7.647209547163e+01
 2.32160000e+00,        -4.923967086964e-01,        -7.662911746972e+01
 2.32180000e+00,        -4.955519939872e-01,        -7.678699514117e+01
 2.32200000e+00,        -4.987364011204e-01,        -7.694573568918e+01
 2.32220000e+00,        -5.019502550027e-01,        -7.710534639232e+01
 2.32240000e+00,        -5.051938846765e-01,        -7.726583460537e+01
 2.32260000e+00,        -5.084676233756e-01,        -7.742720776032e+01
 2.32280000e+00,        -5.117718085816e-01,        -7.758947336722e+01
 2.32300000e+00,        -5.151067820799e-01,        -7.775263901521e+01
 2.32320000e+00,        -5.184728900180e-01,        -7.791671237339e+01
 2.32340000e+00,        -5.218704829629e-01,        -7.808170119183e+01
 2.32360000e+00,        -5.252999159601e-01,        -7.824761330255e+01
 2.32380000e+00,        -5.287615485933e-01,        -7.841445662049e+01
 2.32400000e+00,        -5.322557450444e-01,        -7.858223914453e+01
 2.32420000e+00,        -5.357828741545e-01,        -7.875096895850e+01
 2.32440000e+00,        -5.393433094855e-01,        -7.892065423219e+01
 2.32460000e+00,        -5.429374293820e-01,        -7.909130322244e+01
 2.32480000e+00,        -5.465656170351e-01,        -7.926292427413e+01
 2.32500000e+00,        -5.502282605453e-01,        -7.943552582129e+01
 2.32520000e+00,        -5.539257529874e-01,        -7.960911638818e+01
 2.32540000e+00,        -5.576584924754e-01,        -7.978370459038e+01
 2.32560000e+00,        -5.614268822284e-01,        -7.995929913586e+01
 2.32580000e+00,        -5.652313306371e-01,        -8.013590882617e+01
 2.32600000e+00,        -5.690722513309e-01,        -8.031354255752e+01
 2.32620000e+00,        -5.729500632462e-01,        -8.049220932196e+01
 2.32640000e+00,        -5.768651906943e-01,        -8.067191820854e+01
 2.32660000e+00,        -5.808180634316e-01,        -8.085267840445e+01
 2.32680000e+00,        -5.848091167287e-01,        -8.103449919628e+01
 2.32700000e+00,        -5.888387914416e-01,        -8.121738997118e+01
 2.32720000e+00,        -5.929075340832e-01,        -8.140136021809e+01
 2.32740000e+00,        -5.970157968947e-01,        -8.158641952898e+01
 2.32760000e+00,        -6.011640379188e-01,        -8.177257760011e+01
 2.32780000e+00,        -6.053527210729e-01,        -8.195984423328e+01
 2.32800000e+00,        -6.095823162229e-01,        -8.214822933713e+01
 2.32820000e+00,        -6.138532992580e-01,        -8.233774292844e+01
 2.32840000e+00,        -6.181661521661e-01,        -8.252839513341e+01
 2.32860000e+00,        -6.225213631093e-01,        -8.272019618904e+01
 2.32880000e+00,        -6.269194265006e-01,        -8.291315644442e+01
 2.32900000e+00,        -6.313608430809e-01,        -8.310728636215e+01
 2.32920000e+00,        -6.358461199967e-01,        -8.330259651966e+01
 2.32940000e+00,        -6.403757708779e-01,        -8.349909761064e+01
 2.32960000e+00,        -6.449503159171e-01,        -8.369680044645e+01
 2.32980000e+00,        -6.495702819487e-01,        -8.389571595753e+01
 2.33000000e+00,        -6.542362025280e-01,        -8.409585519482e+01
 2.33020000e+00,        -6.589486180125e-01,        -8.429722933130e+01
 2.33040000e+00,        -6.637080756415e-01,        -8.449984966337e+01
 2.33060000e+00,        -6.685151296180e-01,        -8.470372761241e+01
 2.33080000e+00,        -6.733703411899e-01,        -8.490887472626e+01
 2.33100000e+00,        -6.782742787317e-01,        -8.511530268076e+01
 2.33120000e+00,        -6.832275178271e-01,        -8.532302328127e+01
 2.33140000e+00,        -6.882306413514e-01,        -8.553204846428e+01
 2.33160000e+00,        -6.932842395541e-01,        -8.574239029893e+01
 2.33180000e+00,        -6.983889101422e-01,        -8.595406098865e+01
 2.33200000e+00,        -7.035452583635e-01,        -8.616707287277e+01
 2.33220000e+00,        -7.087538970899e-01,        -8.638143842812e+01
 2.33240000e+00,        -7.140154469009e-01,        -8.659717027072e+01
 2.33260000e+00,        -7.193305361674e-01,        -8.681428115740e+01
 2.33280000e+00,        -7.246998011352e-01,        -8.703278398754e+01
 2.33300000e+00,        -7.301238860088e-01,        -8.725269180472e+01
 2.33320000e+00,        -7.356034430347e-01,        -8.747401779849e+01
 2.33340000e+00,        -7.411391325850e-01,        -8.769677530606e+01
 2.33360000e+00,        -7.467316232405e-01,        -8.792097781408e+01
 2.33380000e+00,        -7.523815918739e-01,        -8.814663896041e+01
 2.33400000e+00,        -7.580897237319e-01,        -8.837377253592e+01
 2.33420000e+00,        -7.638567125182e-01,        -8.860239248629e+01
 2.33440000e+00,        -7.696832604746e-01,        -8.883251291383e+01
 2.33460000e+00,        -7.755700784625e-01,        -8.906414807933e+01
 2.33480000e+00,        -7.815178860436e-01,        -8.929731240393e+01
 2.33500000e+00,        -7.875274115596e-01,        -8.953202047100e+01
 2.33520000e+00,        -7.935993922112e-01,        -8.976828702801e+01
 2.33540000e+00,        -7.997345741368e-01,        -9.000612698849e+01
 2.33560000e+00,        -8.059337124890e-01,        -9.024555543392e+01
 2.33580000e+00,        -8.121975715113e-01,        -9.048658761571e+01
 2.33600000e+00,        -8.185269246125e-01,        -9.072923895713e+01
 2.33620000e+00,        -8.249225544406e-01,        -9.097352505533e+01
 2.33640000e+00,        -8.313852529547e-01,        -9.121946168333e+01
 2.33660000e+00,        -8.379158214959e-01,        -9.146706479202e+01
 2.33680000e+00,        -8.445150708558e-01,        -9.171635051221e+01
 2.33700000e+00,        -8.511838213436e-01,        -9.196733515665e+01
 2.33720000e+00,        -8.579229028515e-01,        -9.222003522216e+01
 2.33740000e+00,        -8.647331549169e-01,        -9.247446739160e+01
 2.33760000e+00,        -8.716154267840e-01,        -9.273064853609e+01
 2.33780000e+00,        -8.785705774611e-01,        -9.298859571702e+01
 2.33800000e+00,        -8.855994757769e-01,        -9.324832618823e+01
 2.33820000e+00,        -8.927030004326e-01,        -9.350985739811e+01
 2.33840000e+00,        -8.998820400525e-01,        -9.377320699179e+01
 2.33860000e+00,        -9.071374932296e-01,        -9.403839281326e+01
 2.33880000e+00,        -9.144702685700e-01,        -9.430543290760e+01
