        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V)
 2.30000000e+00,        +7.071067811865e+00,        +1.013493611352e+01,        -6.130242190562e+00
 2.30020000e+00,        +7.071067811865e+00,        +1.012428321175e+01,        -6.134423518149e+00
 2.30040000e+00,        +7.071067811865e+00,        +1.011358063548e+01,        -6.138599860353e+00
 2.30060000e+00,        +7.071067811865e+00,        +1.010282805812e+01,        -6.142771057503e+00
 2.30080000e+00,        +7.071067811865e+00,        +1.009202515070e+01,        -6.146936947310e+00
 2.30100000e+00,        +7.071067811865e+00,        +1.008117158178e+01,        -6.151097364816e+00
 2.30120000e+00,        +7.071067811865e+00,        +1.007026701752e+01,        -6.155252142363e+00
 2.30140000e+00,        +7.071067811865e+00,        +1.005931112158e+01,        -6.159401109542e+00
 2.30160000e+00,        +7.071067811865e+00,        +1.004830355518e+01,        -6.163544093159e+00
 2.30180000e+00,        +7.071067811865e+00,        +1.003724397703e+01,        -6.167680917184e+00
 2.30200000e+00,        +7.071067811865e+00,        +1.002613204334e+01,        -6.171811402714e+00
 2.30220000e+00,        +7.071067811865e+00,        +1.001496740778e+01,        -6.175935367923e+00
 2.30240000e+00,        +7.071067811865e+00,        +1.000374972150e+01,        -6.180052628022e+00
 2.30260000e+00,        +7.071067811865e+00,        +9.992478633077e+00,        -6.184162995207e+00
 2.30280000e+00,        +7.071067811865e+00,        +9.981153788531e+00,        -6.188266278618e+00
 2.30300000e+00,        +7.071067811865e+00,        +9.969774831281e+00,        -6.192362284287e+00
 2.30320000e+00,        +7.071067811865e+00,        +9.958341402142e+00,        -6.196450815094e+00
 2.30340000e+00,        +7.071067811865e+00,        +9.946853139311e+00,        -6.200531670714e+00
 2.30360000e+00,        +7.071067811865e+00,        +9.935309678345e+00,        -6.204604647571e+00
 2.30380000e+00,        +7.071067811865e+00,        +9.923710652149e+00,        -6.208669538784e+00
 2.30400000e+00,        +7.071067811865e+00,        +9.912055690957e+00,        -6.212726134119e+00
 2.30420000e+00,        +7.071067811865e+00,        +9.900344422319e+00,        -6.216774219932e+00
 2.30440000e+00,        +7.071067811865e+00,        +9.888576471083e+00,        -6.220813579121e+00
 2.30460000e+00,        +7.071067811865e+00,        +9.876751459380e+00,        -6.224843991072e+00
 2.30480000e+00,        +7.071067811865e+00,        +9.864869006608e+00,        -6.228865231600e+00
 2.30500000e+00,        +7.071067811865e+00,        +9.852928729418e+00,        -6.232877072896e+00
 2.30520000e+00,        +7.071067811865e+00,        +9.840930241695e+00,        -6.236879283471e+00
 2.30540000e+00,        +7.071067811865e+00,        +9.828873154547e+00,        -6.240871628099e+00
 2.30560000e+00,        +7.071067811865e+00,        +9.816757076286e+00,        -6.244853867756e+00
