        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],              E_elec[2] (J),                  p_elec[2],               E_mag[2] (J),                   p_mag[2],              E_elec[3] (J),                  p_elec[3],               E_mag[3] (J),                   p_mag[3],              E_elec[4] (J),                  p_elec[4],               E_mag[4] (J),                   p_mag[4],              E_elec[5] (J),                  p_elec[5],               E_mag[5] (J),                   p_mag[5],              E_elec[6] (J),                  p_elec[6],               E_mag[6] (J),                   p_mag[6]
 2.42000000e+00,        +7.712615763913e-11,        +7.922322245581e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.922760958200e-14,        +3.789584555574e-04,        +4.014460640268e-13,        +5.067277643884e-03,        +2.764678943315e-11,        +3.584619055251e-01,        +3.267771310419e-11,        +4.124764442953e-01,        +1.319833594923e-11,        +1.711265847184e-01,        +1.053355770197e-11,        +1.329604802158e-01,        +1.134395455766e-11,        +1.470831026063e-01,        +1.179842189845e-11,        +1.489263063621e-01,        +1.107973791226e-11,        +1.436573304235e-01,        +1.170425402352e-11,        +1.477376665667e-01,        +1.340843081075e-11,        +1.738506263140e-01,        +1.061494250907e-11,        +1.339877649510e-01
 2.42020000e+00,        +7.669708232252e-11,        +7.878147791687e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.893928889653e-14,        +3.773192932534e-04,        +3.973621879673e-13,        +5.043852926783e-03,        +2.763975845613e-11,        +3.603756182002e-01,        +3.262466620183e-11,        +4.141159453273e-01,        +1.306814694386e-11,        +1.703864938292e-01,        +1.043398221723e-11,        +1.324420725928e-01,        +1.126496199277e-11,        +1.468760173353e-01,        +1.171188186611e-11,        +1.486628859447e-01,        +1.100298280665e-11,        +1.434602526388e-01,        +1.161864569066e-11,        +1.474794075699e-01,        +1.327682050358e-11,        +1.731072434770e-01,        +1.051487179309e-11,        +1.334688313945e-01
 2.42040000e+00,        +7.627566652516e-11,        +7.834745927494e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.865544411249e-14,        +3.756826445173e-04,        +3.933423512878e-13,        +5.020486368390e-03,        +2.763309356336e-11,        +3.622792801718e-01,        +3.257258757159e-11,        +4.157452950361e-01,        +1.294019046097e-11,        +1.696503098626e-01,        +1.033614130633e-11,        +1.319269495397e-01,        +1.118735395434e-11,        +1.466700255009e-01,        +1.162684381614e-11,        +1.484010320659e-01,        +1.092758376714e-11,        +1.432643497587e-01,        +1.153452790253e-11,        +1.472227435232e-01,        +1.314746145078e-11,        +1.723677032235e-01,        +1.041654293525e-11,        +1.329531682540e-01
 2.42060000e+00,        +7.586176092230e-11,        +7.792101612016e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.837598279730e-14,        +3.740485648147e-04,        +3.893852255960e-13,        +4.997178488991e-03,        +2.762678823107e-11,        +3.641727781585e-01,        +3.252145846162e-11,        +4.173644041226e-01,        +1.281442150177e-11,        +1.689180602451e-01,        +1.024000032912e-11,        +1.314151282798e-01,        +1.111110465345e-11,        +1.464651560730e-01,        +1.154327936186e-11,        +1.481407704445e-01,        +1.085351553232e-11,        +1.430696493248e-01,        +1.145187249074e-11,        +1.469676996137e-01,        +1.302030832919e-11,        +1.716320339905e-01,        +1.031992117586e-11,        +1.324407931224e-01
 2.42080000e+00,        +7.545522019623e-11,        +7.750200206893e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.810081488193e-14,        +3.724171079065e-04,        +3.854895165952e-13,        +4.973929786386e-03,        +2.762083614939e-11,        +3.660560008646e-01,        +3.247126064055e-11,        +4.189731848691e-01,        +1.269079626124e-11,        +1.681897717379e-01,        +1.014552557028e-11,        +1.309066256283e-01,        +1.103618898815e-11,        +1.462614377037e-01,        +1.146116087037e-11,        +1.478821264537e-01,        +1.078075351554e-11,        +1.428761785799e-01,        +1.137065203570e-11,        +1.467143006911e-01,        +1.289531701687e-11,        +1.709002635382e-01,        +1.022497268280e-11,        +1.319317231793e-01
 2.42100000e+00,        +7.505590291693e-11,        +7.709027464421e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.782985258906e-14,        +3.707883258678e-04,        +3.816539630468e-13,        +4.950740736211e-03,        +2.761523121611e-11,        +3.679288389439e-01,        +3.242197638207e-11,        +4.205715511030e-01,        +1.256927209211e-11,        +1.674654704511e-01,        +1.005268421149e-11,        +1.304014580035e-01,        +1.096258252338e-11,        +1.460588987320e-01,        +1.138046144046e-11,        +1.476251251275e-01,        +1.070927378523e-11,        +1.426839644723e-01,        +1.129083984459e-11,        +1.464625712737e-01,        +1.277244455692e-11,        +1.701724189643e-01,        +1.013166452373e-11,        +1.314259752023e-01
 2.42120000e+00,        +7.466367142705e-11,        +7.668569515997e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.756301036381e-14,        +3.691622691062e-04,        +3.778773357679e-13,        +4.927611792260e-03,        +2.760996753067e-11,        +3.697911849627e-01,        +3.237358844997e-11,        +4.221594181605e-01,        +1.244980747021e-11,        +1.667451818570e-01,        +9.961444304700e-12,        +1.298996414379e-01,        +1.089026147165e-11,        +1.458575671876e-01,        +1.130115488121e-11,        +1.473697911669e-01,        +1.063905304583e-11,        +1.424930336599e-01,        +1.121240993014e-11,        +1.462125355551e-01,        +1.265164912261e-11,        +1.694485267172e-01,        +1.003996463916e-11,        +1.309235655779e-01
 2.42140000e+00,        +7.427839173100e-11,        +7.628812860987e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.730020480682e-14,        +3.675389863810e-04,        +3.741584366648e-13,        +4.904543386800e-03,        +2.760503938841e-11,        +3.716429333632e-01,        +3.232608008375e-11,        +4.237367028501e-01,        +1.233236196098e-11,        +1.660289308046e-01,        +9.871774746256e-12,        +1.294011915896e-01,        +1.081920267432e-11,        +1.456574707959e-01,        +1.122321569138e-11,        +1.471161489460e-01,        +1.057006861947e-11,        +1.423034125153e-01,        +1.113533699019e-11,        +1.459642174097e-01,        +1.253288998369e-11,        +1.687286126103e-01,        +9.949841816640e-12,        +1.304245103130e-01
 2.42160000e+00,        +7.389993338785e-11,        +7.589744355972e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.704135460970e-14,        +3.659185248217e-04,        +3.704960977999e-13,        +4.881535930895e-03,        +2.760044127496e-11,        +3.734839804266e-01,        +3.227943498478e-11,        +4.253033234167e-01,        +1.221689618717e-11,        +1.653167415328e-01,        +9.783645252035e-12,        +1.289061237529e-01,        +1.074938358366e-11,        +1.454586369820e-01,        +1.114661903953e-11,        +1.468642225184e-01,        +1.050229842826e-11,        +1.421151271293e-01,        +1.105959638788e-11,        +1.457176403996e-01,        +1.241612747395e-11,        +1.680127018354e-01,        +9.861265665710e-12,        +1.299288250460e-01
 2.42180000e+00,        +7.352816940820e-11,        +7.551351204396e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.678638049271e-14,        +3.643009299470e-04,        +3.668891804905e-13,        +4.858589814720e-03,        +2.759616786095e-11,        +3.753142242362e-01,        +3.223363730291e-11,        +4.268591995052e-01,        +1.210337179773e-11,        +1.646086376846e-01,        +9.697026333391e-12,        +1.284144528697e-01,        +1.068078224539e-11,        +1.452610928758e-01,        +1.107134074485e-11,        +1.466140356233e-01,        +1.043572097725e-11,        +1.419282033164e-01,        +1.098516413264e-11,        +1.454728277801e-01,        +1.230132295986e-11,        +1.673008189768e-01,        +9.774206593849e-12,        +1.294365250574e-01
 2.42200000e+00,        +7.316297615452e-11,        +7.513620946554e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.653520514455e-14,        +3.626862456840e-04,        +3.633365744396e-13,        +4.835705407874e-03,        +2.759221399687e-11,        +3.771335646406e-01,        +3.218867162358e-11,        +4.284042521249e-01,        +1.199175143771e-11,        +1.639046423206e-01,        +9.611889273978e-12,        +1.279261935404e-01,        +1.061337728199e-11,        +1.450648653162e-01,        +1.099735725863e-11,        +1.463656116918e-01,        +1.037031533790e-11,        +1.417426666186e-01,        +1.091201686176e-11,        +1.452298025063e-01,        +1.218843881035e-11,        +1.665929880246e-01,        +9.688635783213e-12,        +1.289476252812e-01
 2.42220000e+00,        +7.280423324506e-11,        +7.476541449950e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.628775316425e-14,        +3.610745143866e-04,        +3.598371968955e-13,        +4.812883059692e-03,        +2.758857470810e-11,        +3.789419032165e-01,        +3.214452295541e-11,        +4.299384036134e-01,        +1.188199871930e-11,        +1.632047779324e-01,        +9.528206107373e-12,        +1.274413600347e-01,        +1.054714787645e-11,        +1.448699808560e-01,        +1.092464564638e-11,        +1.461189738532e-01,        +1.030606113221e-11,        +1.415585423105e-01,        +1.084013182265e-11,        +1.449885872394e-01,        +1.207743836767e-11,        +1.658892323887e-01,        +9.604525168199e-12,        +1.284621403157e-01
