        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.)
 2.42000000e+00,        -3.092930771725e-02,        +1.848245194396e+00
 2.42020000e+00,        -3.070824318860e-02,        +1.837230953003e+00
 2.42040000e+00,        -3.049135853648e-02,        +1.826274977077e+00
 2.42060000e+00,        -3.027857528582e-02,        +1.815376283150e+00
 2.42080000e+00,        -3.006981712343e-02,        +1.804533905717e+00
 2.42100000e+00,        -2.986500983421e-02,        +1.793746896788e+00
 2.42120000e+00,        -2.966408123968e-02,        +1.783014325458e+00
 2.42140000e+00,        -2.946696113886e-02,        +1.772335277483e+00
 2.42160000e+00,        -2.927358125118e-02,        +1.761708854873e+00
 2.42180000e+00,        -2.908387516136e-02,        +1.751134175491e+00
 2.42200000e+00,        -2.889777826635e-02,        +1.740610372665e+00
 2.42220000e+00,        -2.871522772437e-02,        +1.730136594810e+00
 2.42240000e+00,        -2.853616240530e-02,        +1.719712005058e+00
 2.42260000e+00,        -2.836052284323e-02,        +1.709335780900e+00
 2.42280000e+00,        -2.818825119055e-02,        +1.699007113838e+00
 2.42300000e+00,        -2.801929117363e-02,        +1.688725209039e+00
 2.42320000e+00,        -2.785358805017e-02,        +1.678489285009e+00
 2.42340000e+00,        -2.769108856788e-02,        +1.668298573265e+00
 2.42360000e+00,        -2.753174092484e-02,        +1.658152318020e+00
 2.42380000e+00,        -2.737549473105e-02,        +1.648049775879e+00
 2.42400000e+00,        -2.722230097144e-02,        +1.637990215532e+00
 2.42420000e+00,        -2.707211197018e-02,        +1.627972917469e+00
 2.42440000e+00,        -2.692488135609e-02,        +1.617997173691e+00
 2.42460000e+00,        -2.678056402951e-02,        +1.608062287431e+00
 2.42480000e+00,        -2.663911613015e-02,        +1.598167572883e+00
 2.42500000e+00,        -2.650049500604e-02,        +1.588312354938e+00
 2.42520000e+00,        -2.636465918377e-02,        +1.578495968926e+00
 2.42540000e+00,        -2.623156833951e-02,        +1.568717760361e+00
 2.42560000e+00,        -2.610118327124e-02,        +1.558977084697e+00
 2.42580000e+00,        -2.597346587187e-02,        +1.549273307085e+00
 2.42600000e+00,        -2.584837910330e-02,        +1.539605802142e+00
 2.42620000e+00,        -2.572588697144e-02,        +1.529973953716e+00
 2.42640000e+00,        -2.560595450211e-02,        +1.520377154666e+00
 2.42660000e+00,        -2.548854771765e-02,        +1.510814806642e+00
 2.42680000e+00,        -2.537363361463e-02,        +1.501286319870e+00
 2.42700000e+00,        -2.526118014205e-02,        +1.491791112942e+00
 2.42720000e+00,        -2.515115618065e-02,        +1.482328612616e+00
 2.42740000e+00,        -2.504353152254e-02,        +1.472898253609e+00
 2.42760000e+00,        -2.493827685202e-02,        +1.463499478407e+00
 2.42780000e+00,        -2.483536372675e-02,        +1.454131737071e+00
 2.42800000e+00,        -2.473476455980e-02,        +1.444794487049e+00
 2.42820000e+00,        -2.463645260231e-02,        +1.435487192996e+00
 2.42840000e+00,        -2.454040192676e-02,        +1.426209326592e+00
 2.42860000e+00,        -2.444658741084e-02,        +1.416960366367e+00
 2.42880000e+00,        -2.435498472203e-02,        +1.407739797530e+00
 2.42900000e+00,        -2.426557030275e-02,        +1.398547111798e+00
 2.42920000e+00,        -2.417832135599e-02,        +1.389381807235e+00
 2.42940000e+00,        -2.409321583155e-02,        +1.380243388087e+00
 2.42960000e+00,        -2.401023241283e-02,        +1.371131364626e+00
 2.42980000e+00,        -2.392935050422e-02,        +1.362045252993e+00
 2.43000000e+00,        -2.385055021884e-02,        +1.352984575046e+00
 2.43020000e+00,        -2.377381236691e-02,        +1.343948858212e+00
 2.43040000e+00,        -2.369911844463e-02,        +1.334937635339e+00
 2.43060000e+00,        -2.362645062337e-02,        +1.325950444554e+00
 2.43080000e+00,        -2.355579173956e-02,        +1.316986829120e+00
 2.43100000e+00,        -2.348712528481e-02,        +1.308046337298e+00
 2.43120000e+00,        -2.342043539671e-02,        +1.299128522212e+00
 2.43140000e+00,        -2.335570684983e-02,        +1.290232941715e+00
 2.43160000e+00,        -2.329292504730e-02,        +1.281359158257e+00
 2.43180000e+00,        -2.323207601280e-02,        +1.272506738757e+00
 2.43200000e+00,        -2.317314638293e-02,        +1.263675254475e+00
 2.43220000e+00,        -2.311612339991e-02,        +1.254864280890e+00
 2.43240000e+00,        -2.306099490489e-02,        +1.246073397573e+00
 2.43260000e+00,        -2.300774933139e-02,        +1.237302188069e+00
 2.43280000e+00,        -2.295637569933e-02,        +1.228550239780e+00
 2.43300000e+00,        -2.290686360928e-02,        +1.219817143844e+00
 2.43320000e+00,        -2.285920323727e-02,        +1.211102495021e+00
 2.43340000e+00,        -2.281338532977e-02,        +1.202405891583e+00
 2.43360000e+00,        -2.276940119920e-02,        +1.193726935195e+00
 2.43380000e+00,        -2.272724271956e-02,        +1.185065230814e+00
 2.43400000e+00,        -2.268690232284e-02,        +1.176420386572e+00
 2.43420000e+00,        -2.264837299524e-02,        +1.167792013673e+00
 2.43440000e+00,        -2.261164827426e-02,        +1.159179726285e+00
 2.43460000e+00,        -2.257672224572e-02,        +1.150583141439e+00
 2.43480000e+00,        -2.254358954138e-02,        +1.142001878920e+00
 2.43500000e+00,        -2.251224533682e-02,        +1.133435561172e+00
 2.43520000e+00,        -2.248268534960e-02,        +1.124883813191e+00
 2.43540000e+00,        -2.245490583790e-02,        +1.116346262429e+00
 2.43560000e+00,        -2.242890359940e-02,        +1.107822538695e+00
 2.43580000e+00,        -2.240467597041e-02,        +1.099312274054e+00
 2.43600000e+00,        -2.238222082560e-02,        +1.090815102737e+00
 2.43620000e+00,        -2.236153657779e-02,        +1.082330661039e+00
 2.43640000e+00,        -2.234262217830e-02,        +1.073858587230e+00
 2.43660000e+00,        -2.232547711737e-02,        +1.065398521455e+00
 2.43680000e+00,        -2.231010142527e-02,        +1.056950105647e+00
 2.43700000e+00,        -2.229649567346e-02,        +1.048512983432e+00
 2.43720000e+00,        -2.228466097622e-02,        +1.040086800036e+00
 2.43740000e+00,        -2.227459899258e-02,        +1.031671202196e+00
 2.43760000e+00,        -2.226631192868e-02,        +1.023265838072e+00
 2.43780000e+00,        -2.225980254038e-02,        +1.014870357153e+00
 2.43800000e+00,        -2.225507413628e-02,        +1.006484410172e+00
 2.43820000e+00,        -2.225213058108e-02,        +9.981076490124e-01
 2.43840000e+00,        -2.225097629933e-02,        +9.897397266269e-01
 2.43860000e+00,        -2.225161627948e-02,        +9.813802969447e-01
 2.43880000e+00,        -2.225405607840e-02,        +9.730290147861e-01
 2.43900000e+00,        -2.225830182621e-02,        +9.646855357759e-01
 2.43920000e+00,        -2.226436023149e-02,        +9.563495162567e-01
 2.43940000e+00,        -2.227223858689e-02,        +9.480206132029e-01
 2.43960000e+00,        -2.228194477519e-02,        +9.396984841346e-01
 2.43980000e+00,        -2.229348727568e-02,        +9.313827870324e-01
 2.44000000e+00,        -2.230687517098e-02,        +9.230731802516e-01
 2.44020000e+00,        -2.232211815434e-02,        +9.147693224371e-01
 2.44040000e+00,        -2.233922653726e-02,        +9.064708724381e-01
 2.44060000e+00,        -2.235821125759e-02,        +8.981774892234e-01
 2.44080000e+00,        -2.237908388816e-02,        +8.898888317962e-01
 2.44100000e+00,        -2.240185664571e-02,        +8.816045591090e-01
 2.44120000e+00,        -2.242654240040e-02,        +8.733243299793e-01
 2.44140000e+00,        -2.245315468583e-02,        +8.650478030039e-01
 2.44160000e+00,        -2.248170770936e-02,        +8.567746364744e-01
 2.44180000e+00,        -2.251221636317e-02,        +8.485044882919e-01
 2.44200000e+00,        -2.254469623567e-02,        +8.402370158820e-01
 2.44220000e+00,        -2.257916362347e-02,        +8.319718761093e-01
 2.44240000e+00,        -2.261563554399e-02,        +8.237087251922e-01
 2.44260000e+00,        -2.265412974854e-02,        +8.154472186170e-01
 2.44280000e+00,        -2.269466473590e-02,        +8.071870110519e-01
 2.44300000e+00,        -2.273725976664e-02,        +7.989277562615e-01
 2.44320000e+00,        -2.278193487808e-02,        +7.906691070196e-01
 2.44340000e+00,        -2.282871089958e-02,        +7.824107150236e-01
 2.44360000e+00,        -2.287760946885e-02,        +7.741522308067e-01
 2.44380000e+00,        -2.292865304868e-02,        +7.658933036511e-01
 2.44400000e+00,        -2.298186494443e-02,        +7.576335815003e-01
 2.44420000e+00,        -2.303726932225e-02,        +7.493727108713e-01
 2.44440000e+00,        -2.309489122797e-02,        +7.411103367663e-01
 2.44460000e+00,        -2.315475660683e-02,        +7.328461025841e-01
 2.44480000e+00,        -2.321689232386e-02,        +7.245796500310e-01
 2.44500000e+00,        -2.328132618524e-02,        +7.163106190313e-01
 2.44520000e+00,        -2.334808696026e-02,        +7.080386476375e-01
 2.44540000e+00,        -2.341720440440e-02,        +6.997633719403e-01
 2.44560000e+00,        -2.348870928313e-02,        +6.914844259777e-01
 2.44580000e+00,        -2.356263339663e-02,        +6.832014416439e-01
 2.44600000e+00,        -2.363900960551e-02,        +6.749140485979e-01
 2.44620000e+00,        -2.371787185756e-02,        +6.666218741716e-01
 2.44640000e+00,        -2.379925521540e-02,        +6.583245432773e-01
 2.44660000e+00,        -2.388319588525e-02,        +6.500216783153e-01
 2.44680000e+00,        -2.396973124691e-02,        +6.417128990806e-01
 2.44700000e+00,        -2.405889988461e-02,        +6.333978226695e-01
 2.44720000e+00,        -2.415074161930e-02,        +6.250760633854e-01
 2.44740000e+00,        -2.424529754193e-02,        +6.167472326454e-01
 2.44760000e+00,        -2.434261004830e-02,        +6.084109388851e-01
 2.44780000e+00,        -2.444272287479e-02,        +6.000667874646e-01
 2.44800000e+00,        -2.454568113595e-02,        +5.917143805728e-01
 2.44820000e+00,        -2.465153136303e-02,        +5.833533171329e-01
 2.44840000e+00,        -2.476032154442e-02,        +5.749831927068e-01
 2.44860000e+00,        -2.487210116713e-02,        +5.666035994000e-01
 2.44880000e+00,        -2.498692126037e-02,        +5.582141257660e-01
 2.44900000e+00,        -2.510483444036e-02,        +5.498143567114e-01
 2.44920000e+00,        -2.522589495709e-02,        +5.414038734003e-01
 2.44940000e+00,        -2.535015874269e-02,        +5.329822531598e-01
 2.44960000e+00,        -2.547768346184e-02,        +5.245490693851e-01
 2.44980000e+00,        -2.560852856392e-02,        +5.161038914455e-01
 2.45000000e+00,        -2.574275533722e-02,        +5.076462845909e-01
 2.45020000e+00,        -2.588042696530e-02,        +4.991758098582e-01
 2.45040000e+00,        -2.602160858537e-02,        +4.906920239802e-01
 2.45060000e+00,        -2.616636734895e-02,        +4.821944792936e-01
 2.45080000e+00,        -2.631477248511e-02,        +4.736827236494e-01
 2.45100000e+00,        -2.646689536568e-02,        +4.651563003238e-01
 2.45120000e+00,        -2.662280957340e-02,        +4.566147479317e-01
 2.45140000e+00,        -2.678259097251e-02,        +4.480576003404e-01
 2.45160000e+00,        -2.694631778222e-02,        +4.394843865872e-01
 2.45180000e+00,        -2.711407065281e-02,        +4.308946307972e-01
 2.45200000e+00,        -2.728593274494e-02,        +4.222878521054e-01
 2.45220000e+00,        -2.746198981203e-02,        +4.136635645803e-01
 2.45240000e+00,        -2.764233028567e-02,        +4.050212771519e-01
 2.45260000e+00,        -2.782704536469e-02,        +3.963604935417e-01
 2.45280000e+00,        -2.801622910752e-02,        +3.876807121984e-01
 2.45300000e+00,        -2.820997852829e-02,        +3.789814262367e-01
 2.45320000e+00,        -2.840839369687e-02,        +3.702621233807e-01
 2.45340000e+00,        -2.861157784256e-02,        +3.615222859144e-01
 2.45360000e+00,        -2.881963746227e-02,        +3.527613906354e-01
 2.45380000e+00,        -2.903268243289e-02,        +3.439789088177e-01
 2.45400000e+00,        -2.925082612811e-02,        +3.351743061791e-01
 2.45420000e+00,        -2.947418554008e-02,        +3.263470428586e-01
 2.45440000e+00,        -2.970288140577e-02,        +3.174965734003e-01
 2.45460000e+00,        -2.993703833879e-02,        +3.086223467481e-01
 2.45480000e+00,        -3.017678496615e-02,        +2.997238062496e-01
 2.45500000e+00,        -3.042225407098e-02,        +2.908003896711e-01
 2.45520000e+00,        -3.067358274070e-02,        +2.818515292253e-01
 2.45540000e+00,        -3.093091252161e-02,        +2.728766516115e-01
 2.45560000e+00,        -3.119438957958e-02,        +2.638751780701e-01
