        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V)
 2.42000000e+00,        +7.071067811865e+00,        +1.052744569305e+01,        +6.151618072072e+00
 2.42020000e+00,        +7.071067811865e+00,        +1.052839776973e+01,        +6.151135654593e+00
 2.42040000e+00,        +7.071067811865e+00,        +1.052934765119e+01,        +6.150653197693e+00
 2.42060000e+00,        +7.071067811865e+00,        +1.053029537390e+01,        +6.150170699185e+00
 2.42080000e+00,        +7.071067811865e+00,        +1.053124097365e+01,        +6.149688156754e+00
 2.42100000e+00,        +7.071067811865e+00,        +1.053218448557e+01,        +6.149205567958e+00
 2.42120000e+00,        +7.071067811865e+00,        +1.053312594413e+01,        +6.148722930236e+00
 2.42140000e+00,        +7.071067811865e+00,        +1.053406538319e+01,        +6.148240240910e+00
 2.42160000e+00,        +7.071067811865e+00,        +1.053500283598e+01,        +6.147757497183e+00
 2.42180000e+00,        +7.071067811865e+00,        +1.053593833513e+01,        +6.147274696152e+00
 2.42200000e+00,        +7.071067811865e+00,        +1.053687191271e+01,        +6.146791834802e+00
 2.42220000e+00,        +7.071067811865e+00,        +1.053780360019e+01,        +6.146308910012e+00
 2.42240000e+00,        +7.071067811865e+00,        +1.053873342849e+01,        +6.145825918560e+00
 2.42260000e+00,        +7.071067811865e+00,        +1.053966142801e+01,        +6.145342857120e+00
 2.42280000e+00,        +7.071067811865e+00,        +1.054058762858e+01,        +6.144859722270e+00
 2.42300000e+00,        +7.071067811865e+00,        +1.054151205956e+01,        +6.144376510489e+00
 2.42320000e+00,        +7.071067811865e+00,        +1.054243474977e+01,        +6.143893218164e+00
 2.42340000e+00,        +7.071067811865e+00,        +1.054335572756e+01,        +6.143409841586e+00
 2.42360000e+00,        +7.071067811865e+00,        +1.054427502078e+01,        +6.142926376958e+00
 2.42380000e+00,        +7.071067811865e+00,        +1.054519265685e+01,        +6.142442820391e+00
 2.42400000e+00,        +7.071067811865e+00,        +1.054610866269e+01,        +6.141959167909e+00
 2.42420000e+00,        +7.071067811865e+00,        +1.054702306479e+01,        +6.141475415449e+00
 2.42440000e+00,        +7.071067811865e+00,        +1.054793588923e+01,        +6.140991558863e+00
 2.42460000e+00,        +7.071067811865e+00,        +1.054884716163e+01,        +6.140507593918e+00
 2.42480000e+00,        +7.071067811865e+00,        +1.054975690721e+01,        +6.140023516298e+00
 2.42500000e+00,        +7.071067811865e+00,        +1.055066515078e+01,        +6.139539321605e+00
 2.42520000e+00,        +7.071067811865e+00,        +1.055157191678e+01,        +6.139055005359e+00
 2.42540000e+00,        +7.071067811865e+00,        +1.055247722923e+01,        +6.138570562998e+00
 2.42560000e+00,        +7.071067811865e+00,        +1.055338111180e+01,        +6.138085989882e+00
 2.42580000e+00,        +7.071067811865e+00,        +1.055428358778e+01,        +6.137601281289e+00
 2.42600000e+00,        +7.071067811865e+00,        +1.055518468010e+01,        +6.137116432420e+00
 2.42620000e+00,        +7.071067811865e+00,        +1.055608441135e+01,        +6.136631438395e+00
 2.42640000e+00,        +7.071067811865e+00,        +1.055698280376e+01,        +6.136146294258e+00
 2.42660000e+00,        +7.071067811865e+00,        +1.055787987926e+01,        +6.135660994972e+00
 2.42680000e+00,        +7.071067811865e+00,        +1.055877565942e+01,        +6.135175535424e+00
 2.42700000e+00,        +7.071067811865e+00,        +1.055967016551e+01,        +6.134689910420e+00
 2.42720000e+00,        +7.071067811865e+00,        +1.056056341848e+01,        +6.134204114692e+00
 2.42740000e+00,        +7.071067811865e+00,        +1.056145543898e+01,        +6.133718142890e+00
 2.42760000e+00,        +7.071067811865e+00,        +1.056234624738e+01,        +6.133231989586e+00
 2.42780000e+00,        +7.071067811865e+00,        +1.056323586373e+01,        +6.132745649276e+00
 2.42800000e+00,        +7.071067811865e+00,        +1.056412430782e+01,        +6.132259116375e+00
 2.42820000e+00,        +7.071067811865e+00,        +1.056501159916e+01,        +6.131772385218e+00
