        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A)
 2.42000000e+00,        +1.414213562373e-01,        +2.725775424619e-01,        +5.189488034366e-02
 2.42020000e+00,        +1.414213562373e-01,        +2.725880058061e-01,        +5.187379021675e-02
 2.42040000e+00,        +1.414213562373e-01,        +2.725983998286e-01,        +5.185275875929e-02
 2.42060000e+00,        +1.414213562373e-01,        +2.726087256786e-01,        +5.183178496274e-02
 2.42080000e+00,        +1.414213562373e-01,        +2.726189844789e-01,        +5.181086783270e-02
 2.42100000e+00,        +1.414213562373e-01,        +2.726291773267e-01,        +5.179000638857e-02
 2.42120000e+00,        +1.414213562373e-01,        +2.726393052944e-01,        +5.176919966328e-02
 2.42140000e+00,        +1.414213562373e-01,        +2.726493694304e-01,        +5.174844670291e-02
 2.42160000e+00,        +1.414213562373e-01,        +2.726593707593e-01,        +5.172774656645e-02
 2.42180000e+00,        +1.414213562373e-01,        +2.726693102828e-01,        +5.170709832546e-02
 2.42200000e+00,        +1.414213562373e-01,        +2.726791889802e-01,        +5.168650106380e-02
 2.42220000e+00,        +1.414213562373e-01,        +2.726890078090e-01,        +5.166595387732e-02
 2.42240000e+00,        +1.414213562373e-01,        +2.726987677054e-01,        +5.164545587363e-02
 2.42260000e+00,        +1.414213562373e-01,        +2.727084695850e-01,        +5.162500617173e-02
 2.42280000e+00,        +1.414213562373e-01,        +2.727181143431e-01,        +5.160460390184e-02
 2.42300000e+00,        +1.414213562373e-01,        +2.727277028551e-01,        +5.158424820506e-02
 2.42320000e+00,        +1.414213562373e-01,        +2.727372359774e-01,        +5.156393823313e-02
 2.42340000e+00,        +1.414213562373e-01,        +2.727467145477e-01,        +5.154367314820e-02
 2.42360000e+00,        +1.414213562373e-01,        +2.727561393851e-01,        +5.152345212252e-02
 2.42380000e+00,        +1.414213562373e-01,        +2.727655112910e-01,        +5.150327433825e-02
 2.42400000e+00,        +1.414213562373e-01,        +2.727748310494e-01,        +5.148313898717e-02
 2.42420000e+00,        +1.414213562373e-01,        +2.727840994271e-01,        +5.146304527048e-02
 2.42440000e+00,        +1.414213562373e-01,        +2.727933171744e-01,        +5.144299239852e-02
 2.42460000e+00,        +1.414213562373e-01,        +2.728024850253e-01,        +5.142297959056e-02
 2.42480000e+00,        +1.414213562373e-01,        +2.728116036980e-01,        +5.140300607460e-02
 2.42500000e+00,        +1.414213562373e-01,        +2.728206738951e-01,        +5.138307108708e-02
 2.42520000e+00,        +1.414213562373e-01,        +2.728296963041e-01,        +5.136317387273e-02
 2.42540000e+00,        +1.414213562373e-01,        +2.728386715976e-01,        +5.134331368430e-02
 2.42560000e+00,        +1.414213562373e-01,        +2.728476004337e-01,        +5.132348978236e-02
 2.42580000e+00,        +1.414213562373e-01,        +2.728564834567e-01,        +5.130370143510e-02
 2.42600000e+00,        +1.414213562373e-01,        +2.728653212965e-01,        +5.128394791814e-02
 2.42620000e+00,        +1.414213562373e-01,        +2.728741145697e-01,        +5.126422851426e-02
 2.42640000e+00,        +1.414213562373e-01,        +2.728828638798e-01,        +5.124454251327e-02
 2.42660000e+00,        +1.414213562373e-01,        +2.728915698172e-01,        +5.122488921179e-02
 2.42680000e+00,        +1.414213562373e-01,        +2.729002329594e-01,        +5.120526791302e-02
 2.42700000e+00,        +1.414213562373e-01,        +2.729088538717e-01,        +5.118567792661e-02
 2.42720000e+00,        +1.414213562373e-01,        +2.729174331071e-01,        +5.116611856839e-02
 2.42740000e+00,        +1.414213562373e-01,        +2.729259712068e-01,        +5.114658916028e-02
 2.42760000e+00,        +1.414213562373e-01,        +2.729344687002e-01,        +5.112708903001e-02
 2.42780000e+00,        +1.414213562373e-01,        +2.729429261052e-01,        +5.110761751102e-02
 2.42800000e+00,        +1.414213562373e-01,        +2.729513439286e-01,        +5.108817394220e-02
 2.42820000e+00,        +1.414213562373e-01,        +2.729597226661e-01,        +5.106875766778e-02
 2.42840000e+00,        +1.414213562373e-01,        +2.729680628026e-01,        +5.104936803712e-02
 2.42860000e+00,        +1.414213562373e-01,        +2.729763648123e-01,        +5.103000440455e-02
 2.42880000e+00,        +1.414213562373e-01,        +2.729846291592e-01,        +5.101066612918e-02
 2.42900000e+00,        +1.414213562373e-01,        +2.729928562971e-01,        +5.099135257474e-02
 2.42920000e+00,        +1.414213562373e-01,        +2.730010466695e-01,        +5.097206310944e-02
 2.42940000e+00,        +1.414213562373e-01,        +2.730092007103e-01,        +5.095279710574e-02
 2.42960000e+00,        +1.414213562373e-01,        +2.730173188436e-01,        +5.093355394025e-02
 2.42980000e+00,        +1.414213562373e-01,        +2.730254014841e-01,        +5.091433299353e-02
 2.43000000e+00,        +1.414213562373e-01,        +2.730334490371e-01,        +5.089513364994e-02
 2.43020000e+00,        +1.414213562373e-01,        +2.730414618986e-01,        +5.087595529749e-02
 2.43040000e+00,        +1.414213562373e-01,        +2.730494404558e-01,        +5.085679732764e-02
 2.43060000e+00,        +1.414213562373e-01,        +2.730573850868e-01,        +5.083765913522e-02
 2.43080000e+00,        +1.414213562373e-01,        +2.730652961610e-01,        +5.081854011817e-02
 2.43100000e+00,        +1.414213562373e-01,        +2.730731740391e-01,        +5.079943967748e-02
 2.43120000e+00,        +1.414213562373e-01,        +2.730810190736e-01,        +5.078035721699e-02
 2.43140000e+00,        +1.414213562373e-01,        +2.730888316083e-01,        +5.076129214324e-02
 2.43160000e+00,        +1.414213562373e-01,        +2.730966119788e-01,        +5.074224386532e-02
 2.43180000e+00,        +1.414213562373e-01,        +2.731043605126e-01,        +5.072321179473e-02
 2.43200000e+00,        +1.414213562373e-01,        +2.731120775294e-01,        +5.070419534521e-02
 2.43220000e+00,        +1.414213562373e-01,        +2.731197633406e-01,        +5.068519393261e-02
 2.43240000e+00,        +1.414213562373e-01,        +2.731274182499e-01,        +5.066620697471e-02
 2.43260000e+00,        +1.414213562373e-01,        +2.731350425534e-01,        +5.064723389113e-02
 2.43280000e+00,        +1.414213562373e-01,        +2.731426365395e-01,        +5.062827410312e-02
 2.43300000e+00,        +1.414213562373e-01,        +2.731502004889e-01,        +5.060932703344e-02
 2.43320000e+00,        +1.414213562373e-01,        +2.731577346751e-01,        +5.059039210622e-02
 2.43340000e+00,        +1.414213562373e-01,        +2.731652393639e-01,        +5.057146874678e-02
 2.43360000e+00,        +1.414213562373e-01,        +2.731727148140e-01,        +5.055255638154e-02
 2.43380000e+00,        +1.414213562373e-01,        +2.731801612767e-01,        +5.053365443781e-02
 2.43400000e+00,        +1.414213562373e-01,        +2.731875789963e-01,        +5.051476234369e-02
 2.43420000e+00,        +1.414213562373e-01,        +2.731949682098e-01,        +5.049587952791e-02
 2.43440000e+00,        +1.414213562373e-01,        +2.732023291473e-01,        +5.047700541966e-02
 2.43460000e+00,        +1.414213562373e-01,        +2.732096620317e-01,        +5.045813944849e-02
 2.43480000e+00,        +1.414213562373e-01,        +2.732169670790e-01,        +5.043928104411e-02
 2.43500000e+00,        +1.414213562373e-01,        +2.732242444983e-01,        +5.042042963629e-02
 2.43520000e+00,        +1.414213562373e-01,        +2.732314944918e-01,        +5.040158465469e-02
 2.43540000e+00,        +1.414213562373e-01,        +2.732387172550e-01,        +5.038274552871e-02
 2.43560000e+00,        +1.414213562373e-01,        +2.732459129763e-01,        +5.036391168733e-02
 2.43580000e+00,        +1.414213562373e-01,        +2.732530818376e-01,        +5.034508255901e-02
 2.43600000e+00,        +1.414213562373e-01,        +2.732602240137e-01,        +5.032625757149e-02
 2.43620000e+00,        +1.414213562373e-01,        +2.732673396731e-01,        +5.030743615164e-02
 2.43640000e+00,        +1.414213562373e-01,        +2.732744289772e-01,        +5.028861772537e-02
 2.43660000e+00,        +1.414213562373e-01,        +2.732814920809e-01,        +5.026980171738e-02
 2.43680000e+00,        +1.414213562373e-01,        +2.732885291322e-01,        +5.025098755111e-02
 2.43700000e+00,        +1.414213562373e-01,        +2.732955402726e-01,        +5.023217464852e-02
 2.43720000e+00,        +1.414213562373e-01,        +2.733025256368e-01,        +5.021336242994e-02
 2.43740000e+00,        +1.414213562373e-01,        +2.733094853529e-01,        +5.019455031394e-02
 2.43760000e+00,        +1.414213562373e-01,        +2.733164195420e-01,        +5.017573771716e-02
 2.43780000e+00,        +1.414213562373e-01,        +2.733233283188e-01,        +5.015692405415e-02
 2.43800000e+00,        +1.414213562373e-01,        +2.733302117911e-01,        +5.013810873722e-02
 2.43820000e+00,        +1.414213562373e-01,        +2.733370700599e-01,        +5.011929117626e-02
 2.43840000e+00,        +1.414213562373e-01,        +2.733439032194e-01,        +5.010047077859e-02
 2.43860000e+00,        +1.414213562373e-01,        +2.733507113571e-01,        +5.008164694879e-02
 2.43880000e+00,        +1.414213562373e-01,        +2.733574945535e-01,        +5.006281908854e-02
 2.43900000e+00,        +1.414213562373e-01,        +2.733642528822e-01,        +5.004398659646e-02
 2.43920000e+00,        +1.414213562373e-01,        +2.733709864100e-01,        +5.002514886792e-02
 2.43940000e+00,        +1.414213562373e-01,        +2.733776951965e-01,        +5.000630529487e-02
 2.43960000e+00,        +1.414213562373e-01,        +2.733843792943e-01,        +4.998745526568e-02
 2.43980000e+00,        +1.414213562373e-01,        +2.733910387491e-01,        +4.996859816498e-02
 2.44000000e+00,        +1.414213562373e-01,        +2.733976735990e-01,        +4.994973337342e-02
 2.44020000e+00,        +1.414213562373e-01,        +2.734042838753e-01,        +4.993086026756e-02
 2.44040000e+00,        +1.414213562373e-01,        +2.734108696016e-01,        +4.991197821965e-02
 2.44060000e+00,        +1.414213562373e-01,        +2.734174307943e-01,        +4.989308659743e-02
 2.44080000e+00,        +1.414213562373e-01,        +2.734239674622e-01,        +4.987418476401e-02
 2.44100000e+00,        +1.414213562373e-01,        +2.734304796066e-01,        +4.985527207758e-02
 2.44120000e+00,        +1.414213562373e-01,        +2.734369672210e-01,        +4.983634789131e-02
 2.44140000e+00,        +1.414213562373e-01,        +2.734434302912e-01,        +4.981741155309e-02
 2.44160000e+00,        +1.414213562373e-01,        +2.734498687951e-01,        +4.979846240537e-02
 2.44180000e+00,        +1.414213562373e-01,        +2.734562827025e-01,        +4.977949978491e-02
 2.44200000e+00,        +1.414213562373e-01,        +2.734626719751e-01,        +4.976052302266e-02
 2.44220000e+00,        +1.414213562373e-01,        +2.734690365662e-01,        +4.974153144344e-02
 2.44240000e+00,        +1.414213562373e-01,        +2.734753764209e-01,        +4.972252436582e-02
 2.44260000e+00,        +1.414213562373e-01,        +2.734816914756e-01,        +4.970350110186e-02
 2.44280000e+00,        +1.414213562373e-01,        +2.734879816579e-01,        +4.968446095689e-02
 2.44300000e+00,        +1.414213562373e-01,        +2.734942468867e-01,        +4.966540322931e-02
 2.44320000e+00,        +1.414213562373e-01,        +2.735004870717e-01,        +4.964632721034e-02
 2.44340000e+00,        +1.414213562373e-01,        +2.735067021135e-01,        +4.962723218379e-02
 2.44360000e+00,        +1.414213562373e-01,        +2.735128919032e-01,        +4.960811742587e-02
 2.44380000e+00,        +1.414213562373e-01,        +2.735190563222e-01,        +4.958898220485e-02
 2.44400000e+00,        +1.414213562373e-01,        +2.735251952424e-01,        +4.956982578095e-02
 2.44420000e+00,        +1.414213562373e-01,        +2.735313085254e-01,        +4.955064740595e-02
 2.44440000e+00,        +1.414213562373e-01,        +2.735373960226e-01,        +4.953144632307e-02
 2.44460000e+00,        +1.414213562373e-01,        +2.735434575750e-01,        +4.951222176661e-02
 2.44480000e+00,        +1.414213562373e-01,        +2.735494930128e-01,        +4.949297296175e-02
 2.44500000e+00,        +1.414213562373e-01,        +2.735555021553e-01,        +4.947369912424e-02
 2.44520000e+00,        +1.414213562373e-01,        +2.735614848104e-01,        +4.945439946017e-02
 2.44540000e+00,        +1.414213562373e-01,        +2.735674407748e-01,        +4.943507316566e-02
 2.44560000e+00,        +1.414213562373e-01,        +2.735733698330e-01,        +4.941571942658e-02
 2.44580000e+00,        +1.414213562373e-01,        +2.735792717576e-01,        +4.939633741828e-02
 2.44600000e+00,        +1.414213562373e-01,        +2.735851463089e-01,        +4.937692630528e-02
 2.44620000e+00,        +1.414213562373e-01,        +2.735909932342e-01,        +4.935748524097e-02
 2.44640000e+00,        +1.414213562373e-01,        +2.735968122679e-01,        +4.933801336731e-02
 2.44660000e+00,        +1.414213562373e-01,        +2.736026031307e-01,        +4.931850981452e-02
 2.44680000e+00,        +1.414213562373e-01,        +2.736083655298e-01,        +4.929897370075e-02
