        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A)
 2.42000000e+00,        +1.414213562373e-01,        +2.826285350076e-01,        +2.554030326734e-03
 2.42020000e+00,        +1.414213562373e-01,        +2.826287588038e-01,        +2.538541202588e-03
 2.42040000e+00,        +1.414213562373e-01,        +2.826289740985e-01,        +2.523057457037e-03
 2.42060000e+00,        +1.414213562373e-01,        +2.826291808737e-01,        +2.507578881936e-03
 2.42080000e+00,        +1.414213562373e-01,        +2.826293791100e-01,        +2.492105269125e-03
 2.42100000e+00,        +1.414213562373e-01,        +2.826295687867e-01,        +2.476636410405e-03
 2.42120000e+00,        +1.414213562373e-01,        +2.826297498821e-01,        +2.461172097501e-03
 2.42140000e+00,        +1.414213562373e-01,        +2.826299223730e-01,        +2.445712122043e-03
 2.42160000e+00,        +1.414213562373e-01,        +2.826300862353e-01,        +2.430256275525e-03
 2.42180000e+00,        +1.414213562373e-01,        +2.826302414435e-01,        +2.414804349286e-03
 2.42200000e+00,        +1.414213562373e-01,        +2.826303879706e-01,        +2.399356134474e-03
 2.42220000e+00,        +1.414213562373e-01,        +2.826305257889e-01,        +2.383911422020e-03
 2.42240000e+00,        +1.414213562373e-01,        +2.826306548688e-01,        +2.368470002608e-03
 2.42260000e+00,        +1.414213562373e-01,        +2.826307751798e-01,        +2.353031666640e-03
 2.42280000e+00,        +1.414213562373e-01,        +2.826308866900e-01,        +2.337596204215e-03
 2.42300000e+00,        +1.414213562373e-01,        +2.826309893662e-01,        +2.322163405091e-03
 2.42320000e+00,        +1.414213562373e-01,        +2.826310831737e-01,        +2.306733058657e-03
 2.42340000e+00,        +1.414213562373e-01,        +2.826311680767e-01,        +2.291304953906e-03
 2.42360000e+00,        +1.414213562373e-01,        +2.826312440379e-01,        +2.275878879398e-03
 2.42380000e+00,        +1.414213562373e-01,        +2.826313110186e-01,        +2.260454623236e-03
 2.42400000e+00,        +1.414213562373e-01,        +2.826313689788e-01,        +2.245031973027e-03
 2.42420000e+00,        +1.414213562373e-01,        +2.826314178769e-01,        +2.229610715859e-03
 2.42440000e+00,        +1.414213562373e-01,        +2.826314576700e-01,        +2.214190638262e-03
 2.42460000e+00,        +1.414213562373e-01,        +2.826314883138e-01,        +2.198771526183e-03
 2.42480000e+00,        +1.414213562373e-01,        +2.826315097625e-01,        +2.183353164948e-03
 2.42500000e+00,        +1.414213562373e-01,        +2.826315219687e-01,        +2.167935339233e-03
 2.42520000e+00,        +1.414213562373e-01,        +2.826315248836e-01,        +2.152517833031e-03
 2.42540000e+00,        +1.414213562373e-01,        +2.826315184569e-01,        +2.137100429620e-03
 2.42560000e+00,        +1.414213562373e-01,        +2.826315026366e-01,        +2.121682911526e-03
 2.42580000e+00,        +1.414213562373e-01,        +2.826314773692e-01,        +2.106265060496e-03
 2.42600000e+00,        +1.414213562373e-01,        +2.826314425997e-01,        +2.090846657458e-03
 2.42620000e+00,        +1.414213562373e-01,        +2.826313982713e-01,        +2.075427482491e-03
 2.42640000e+00,        +1.414213562373e-01,        +2.826313443259e-01,        +2.060007314790e-03
 2.42660000e+00,        +1.414213562373e-01,        +2.826312807032e-01,        +2.044585932631e-03
 2.42680000e+00,        +1.414213562373e-01,        +2.826312073417e-01,        +2.029163113333e-03
 2.42700000e+00,        +1.414213562373e-01,        +2.826311241779e-01,        +2.013738633229e-03
 2.42720000e+00,        +1.414213562373e-01,        +2.826310311467e-01,        +1.998312267624e-03
 2.42740000e+00,        +1.414213562373e-01,        +2.826309281811e-01,        +1.982883790765e-03
 2.42760000e+00,        +1.414213562373e-01,        +2.826308152125e-01,        +1.967452975797e-03
 2.42780000e+00,        +1.414213562373e-01,        +2.826306921702e-01,        +1.952019594734e-03
 2.42800000e+00,        +1.414213562373e-01,        +2.826305589818e-01,        +1.936583418416e-03
 2.42820000e+00,        +1.414213562373e-01,        +2.826304155731e-01,        +1.921144216473e-03
 2.42840000e+00,        +1.414213562373e-01,        +2.826302618678e-01,        +1.905701757288e-03
 2.42860000e+00,        +1.414213562373e-01,        +2.826300977877e-01,        +1.890255807957e-03
 2.42880000e+00,        +1.414213562373e-01,        +2.826299232526e-01,        +1.874806134252e-03
 2.42900000e+00,        +1.414213562373e-01,        +2.826297381804e-01,        +1.859352500577e-03
 2.42920000e+00,        +1.414213562373e-01,        +2.826295424868e-01,        +1.843894669933e-03
 2.42940000e+00,        +1.414213562373e-01,        +2.826293360855e-01,        +1.828432403875e-03
 2.42960000e+00,        +1.414213562373e-01,        +2.826291188879e-01,        +1.812965462471e-03
 2.42980000e+00,        +1.414213562373e-01,        +2.826288908035e-01,        +1.797493604261e-03
 2.43000000e+00,        +1.414213562373e-01,        +2.826286517393e-01,        +1.782016586214e-03
 2.43020000e+00,        +1.414213562373e-01,        +2.826284016003e-01,        +1.766534163686e-03
 2.43040000e+00,        +1.414213562373e-01,        +2.826281402891e-01,        +1.751046090377e-03
 2.43060000e+00,        +1.414213562373e-01,        +2.826278677059e-01,        +1.735552118289e-03
 2.43080000e+00,        +1.414213562373e-01,        +2.826275837485e-01,        +1.720051997675e-03
 2.43100000e+00,        +1.414213562373e-01,        +2.826272883126e-01,        +1.704545477002e-03
 2.43120000e+00,        +1.414213562373e-01,        +2.826269812910e-01,        +1.689032302902e-03
 2.43140000e+00,        +1.414213562373e-01,        +2.826266625742e-01,        +1.673512220123e-03
 2.43160000e+00,        +1.414213562373e-01,        +2.826263320501e-01,        +1.657984971487e-03
 2.43180000e+00,        +1.414213562373e-01,        +2.826259896041e-01,        +1.642450297838e-03
 2.43200000e+00,        +1.414213562373e-01,        +2.826256351186e-01,        +1.626907937998e-03
 2.43220000e+00,        +1.414213562373e-01,        +2.826252684736e-01,        +1.611357628715e-03
 2.43240000e+00,        +1.414213562373e-01,        +2.826248895462e-01,        +1.595799104611e-03
 2.43260000e+00,        +1.414213562373e-01,        +2.826244982107e-01,        +1.580232098140e-03
 2.43280000e+00,        +1.414213562373e-01,        +2.826240943384e-01,        +1.564656339526e-03
 2.43300000e+00,        +1.414213562373e-01,        +2.826236777978e-01,        +1.549071556719e-03
 2.43320000e+00,        +1.414213562373e-01,        +2.826232484542e-01,        +1.533477475340e-03
 2.43340000e+00,        +1.414213562373e-01,        +2.826228061700e-01,        +1.517873818625e-03
 2.43360000e+00,        +1.414213562373e-01,        +2.826223508044e-01,        +1.502260307373e-03
