        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],              E_elec[2] (J),                  p_elec[2],               E_mag[2] (J),                   p_mag[2],              E_elec[3] (J),                  p_elec[3],               E_mag[3] (J),                   p_mag[3],              E_elec[4] (J),                  p_elec[4],               E_mag[4] (J),                   p_mag[4],              E_elec[5] (J),                  p_elec[5],               E_mag[5] (J),                   p_mag[5],              E_elec[6] (J),                  p_elec[6],               E_mag[6] (J),                   p_mag[6]
 2.42000000e+00,        +3.204562675522e-12,        +4.930854938329e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.472869284933e-16,        +7.716713746378e-05,        +3.241513369726e-15,        +6.573937806461e-05,        +2.605693242198e-12,        +8.131197626750e-01,        +4.872898437296e-11,        +9.882461557360e-01,        +1.312477513478e-13,        +4.095652500427e-02,        +1.149455350760e-13,        +2.331148178433e-03,        +1.654833882352e-13,        +5.163992874885e-02,        +1.632877432637e-13,        +3.311550335711e-03,        +1.657023159496e-13,        +5.170824625004e-02,        +1.639699798735e-13,        +3.325386407109e-03,        +1.325697264909e-13,        +4.136905403770e-02,        +1.160855759336e-13,        +2.354268729977e-03
 2.42020000e+00,        +3.205614494827e-12,        +4.930886529856e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.465103263474e-16,        +7.689955443650e-05,        +3.230450104424e-15,        +6.551459022357e-05,        +2.606542381888e-12,        +8.131178549679e-01,        +4.872902103329e-11,        +9.882405676595e-01,        +1.312091555096e-13,        +4.093104636297e-02,        +1.149746408229e-13,        +2.331723517195e-03,        +1.656314543090e-13,        +5.166917437398e-02,        +1.633976281762e-13,        +3.313757621209e-03,        +1.658537638810e-13,        +5.173852443848e-02,        +1.640812439712e-13,        +3.327621574288e-03,        +1.325259577398e-13,        +4.134182633428e-02,        +1.161108568240e-13,        +2.354766351264e-03
 2.42040000e+00,        +3.206694061515e-12,        +4.930920884477e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.457393254975e-16,        +7.663323060556e-05,        +3.219468524195e-15,        +6.529142526562e-05,        +2.607395536254e-12,        +8.131101646230e-01,        +4.872906241002e-11,        +9.882345215357e-01,        +1.311766100615e-13,        +4.090711728189e-02,        +1.150090101529e-13,        +2.332404288111e-03,        +1.657852793979e-13,        +5.169974940472e-02,        +1.635132633112e-13,        +3.316079635874e-03,        +1.660109640102e-13,        +5.177012862020e-02,        +1.641982716307e-13,        +3.329971733021e-03,        +1.324882734984e-13,        +4.131615643927e-02,        +1.161414224771e-13,        +2.355369822353e-03
 2.42060000e+00,        +3.207801516636e-12,        +4.930958016521e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.449738757356e-16,        +7.636815260082e-05,        +3.208567917318e-15,        +6.506986890920e-05,        +2.608252750604e-12,        +8.130966760497e-01,        +4.872910854461e-11,        +9.882280153541e-01,        +1.311501318427e-13,        +4.088474026916e-02,        +1.150486640913e-13,        +2.333190907443e-03,        +1.659448950785e-13,        +5.173165927439e-02,        +1.636346771040e-13,        +3.318516940434e-03,        +1.661739482265e-13,        +5.180306429954e-02,        +1.643210914561e-13,        +3.332437447358e-03,        +1.324566902070e-13,        +4.129204675540e-02,        +1.161772936189e-13,        +2.356079553499e-03
 2.42080000e+00,        +3.208937005996e-12,        +4.930997940790e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.442139274458e-16,        +7.610430712395e-05,        +3.197747581018e-15,        +6.484990704550e-05,        +2.609114071049e-12,        +8.130773730284e-01,        +4.872915947943e-11,        +9.882210470286e-01,        +1.311297387066e-13,        +4.086391800823e-02,        +1.150936245790e-13,        +2.334083809424e-03,        +1.661103338828e-13,        +5.176490955491e-02,        +1.637618989366e-13,        +3.321070114062e-03,        +1.663427493741e-13,        +5.183733711921e-02,        +1.644497330001e-13,        +3.335019299840e-03,        +1.324312253238e-13,        +4.126949986126e-02,        +1.162184918932e-13,        +2.356895972959e-03
 2.42100000e+00,        +3.210100680205e-12,        +4.931040672564e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.434594315960e-16,        +7.584168094704e-05,        +3.187006821350e-15,        +6.463152573620e-05,        +2.609979544511e-12,        +8.130522387056e-01,        +4.872921525772e-11,        +9.882136143968e-01,        +1.311154495304e-13,        +4.084465335899e-02,        +1.151439144819e-13,        +2.335083446433e-03,        +1.662816293101e-13,        +5.179950595802e-02,        +1.638949591487e-13,        +3.323739754583e-03,        +1.665174012652e-13,        +5.187295286157e-02,        +1.645842267757e-13,        +3.337717891711e-03,        +1.324118973339e-13,        +4.124851851234e-02,        +1.162650398705e-13,        +2.357819527172e-03
 2.42120000e+00,        +3.211292694736e-12,        +4.931086227611e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.427103397302e-16,        +7.558026091115e-05,        +3.176344953095e-15,        +6.441471121128e-05,        +2.610849218741e-12,        +8.130212555898e-01,        +4.872927592362e-11,        +9.882057152189e-01,        +1.311072842241e-13,        +4.082694935876e-02,        +1.151995576011e-13,        +2.336190289192e-03,        +1.664588158391e-13,        +5.183545433649e-02,        +1.640338890487e-13,        +3.326526478695e-03,        +1.666979386909e-13,        +5.190991744979e-02,        +1.647246042673e-13,        +3.340533843131e-03,        +1.323987257587e-13,        +4.122910564203e-02,        +1.163169610583e-13,        +2.358850680951e-03
 2.42140000e+00,        +3.212513209984e-12,        +4.931134622189e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.419666039604e-16,        +7.532003392495e-05,        +3.165761299639e-15,        +6.419944986686e-05,        +2.611723142329e-12,        +8.129844055466e-01,        +4.872934152219e-11,        +9.881973471768e-01,        +1.311052637405e-13,        +4.081080922347e-02,        +1.152605786832e-13,        +2.337404826964e-03,        +1.666419289400e-13,        +5.187276068535e-02,        +1.641787209260e-13,        +3.329430922190e-03,        +1.668843974345e-13,        +5.194823694914e-02,        +1.648708979425e-13,        +3.343467793409e-03,        +1.323917311655e-13,        +4.121126436276e-02,        +1.163742799109e-13,        +2.359989917681e-03
 2.42160000e+00,        +3.213762391326e-12,        +4.931185873054e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.412281769587e-16,        +7.506098696337e-05,        +3.155255192879e-15,        +6.398572826307e-05,        +2.612601364725e-12,        +8.129416697939e-01,        +4.872941209941e-11,        +9.881885078737e-01,        +1.311094100852e-13,        +4.079623634873e-02,        +1.153270034304e-13,        +2.338727567755e-03,        +1.668310050878e-13,        +5.191143114317e-02,        +1.643294880623e-13,        +3.332453740189e-03,        +1.670768142841e-13,        +5.198791756821e-02,        +1.650231412643e-13,        +3.346520401230e-03,        +1.323909351775e-13,        +4.119499796713e-02,        +1.164370218406e-13,        +2.361237739523e-03
 2.42180000e+00,        +3.215040409185e-12,        +4.931239997467e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.404950119501e-16,        +7.480310706611e-05,        +3.144825973105e-15,        +6.377353312191e-05,        +2.613483936249e-12,        +8.128930288972e-01,        +4.872948770223e-11,        +9.881791948326e-01,        +1.311197463273e-13,        +4.078323431105e-02,        +1.153988585123e-13,        +2.340159038529e-03,        +1.670260817752e-13,        +5.195147199334e-02,        +1.644862247447e-13,        +3.335595607377e-03,        +1.672752270459e-13,        +5.202896566030e-02,        +1.651813687036e-13,        +3.349692344897e-03,        +1.323963604846e-13,        +4.118030992905e-02,        +1.165052132278e-13,        +2.362594667622e-03
