        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],              E_elec[2] (J),                  p_elec[2],               E_mag[2] (J),                   p_mag[2],              E_elec[3] (J),                  p_elec[3],               E_mag[3] (J),                   p_mag[3],              E_elec[4] (J),                  p_elec[4],               E_mag[4] (J),                   p_mag[4],              E_elec[5] (J),                  p_elec[5],               E_mag[5] (J),                   p_mag[5],              E_elec[6] (J),                  p_elec[6],               E_mag[6] (J),                   p_mag[6]
 2.42000000e+00,        +2.160654555590e-11,        +7.879493598424e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.388110975197e-15,        +1.105271996867e-04,        +3.133347441106e-14,        +3.976584791861e-04,        +1.588832083434e-11,        +7.353475729488e-01,        +7.325604569269e-11,        +9.297049966172e-01,        +1.254059728189e-12,        +5.804073237641e-02,        +1.098852612732e-12,        +1.394572632119e-02,        +1.578841702895e-12,        +7.307237979388e-02,        +1.560863835602e-12,        +1.980918971638e-02,        +1.585086850426e-12,        +7.336141940530e-02,        +1.568243297845e-12,        +1.990284373298e-02,        +1.262827351448e-12,        +5.844651789343e-02,        +1.108706596243e-12,        +1.407078491014e-02
 2.42020000e+00,        +2.161187165444e-11,        +7.879144228602e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.380145686086e-15,        +1.101314001926e-04,        +3.122016780999e-14,        +3.962380545930e-04,        +1.589334217238e-11,        +7.353986932044e-01,        +7.325147497774e-11,        +9.296882104509e-01,        +1.253274685242e-12,        +5.799010401695e-02,        +1.098764671849e-12,        +1.394522856760e-02,        +1.579868888483e-12,        +7.310190036955e-02,        +1.561522338881e-12,        +1.981842562562e-02,        +1.586124259757e-12,        +7.339134181054e-02,        +1.568897908936e-12,        +1.991203439633e-02,        +1.261998318448e-12,        +5.839375407306e-02,        +1.108582264774e-12,        +1.406983084216e-02
 2.42040000e+00,        +2.161745581863e-11,        +7.878820597281e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.372238031953e-15,        +1.097371518580e-04,        +3.110770344500e-14,        +3.948269041147e-04,        +1.589839893604e-11,        +7.354426473414e-01,        +7.324694688082e-11,        +9.296689266678e-01,        +1.252546803821e-12,        +5.794145316310e-02,        +1.098726202570e-12,        +1.394531312147e-02,        +1.580949692976e-12,        +7.313301372002e-02,        +1.562234610859e-12,        +1.982828002706e-02,        +1.587215122322e-12,        +7.342284566871e-02,        +1.569606333019e-12,        +1.992184380440e-02,        +1.261226804024e-12,        +5.834298053413e-02,        +1.108507625713e-12,        +1.406946143811e-02
 2.42060000e+00,        +2.162329916111e-11,        +7.878522813028e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.364387483252e-15,        +1.093444374808e-04,        +3.099607373850e-14,        +3.934249411228e-04,        +1.590349151791e-11,        +7.354794196487e-01,        +7.324246170737e-11,        +9.296471362151e-01,        +1.251876194280e-12,        +5.789478214922e-02,        +1.098737359429e-12,        +1.394598182305e-02,        +1.582084371580e-12,        +7.316572553486e-02,        +1.563000877020e-12,        +1.983875548898e-02,        +1.588359696965e-12,        +7.345593681753e-02,        +1.570368796875e-12,        +1.993227454109e-02,        +1.260512913938e-12,        +5.829419944412e-02,        +1.108482830600e-12,        +1.406967850327e-02
 2.42080000e+00,        +2.162940283789e-11,        +7.878250988720e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.356593516724e-15,        +1.089532399200e-04,        +3.088527120812e-14,        +3.920320798657e-04,        +1.590862031759e-11,        +7.355089937908e-01,        +7.323801977040e-11,        +9.296228296770e-01,        +1.251262976367e-12,        +5.785009349286e-02,        +1.098798305397e-12,        +1.394723660075e-02,        +1.583273188219e-12,        +7.320004163248e-02,        +1.563821371516e-12,        +1.984985466641e-02,        +1.589558251212e-12,        +7.349062122173e-02,        +1.571185535953e-12,        +1.994332927705e-02,        +1.259856763395e-12,        +5.824741315503e-02,        +1.108508039437e-12,        +1.407048393133e-02
 2.42100000e+00,        +2.163576804879e-11,        +7.878005241583e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.348855615305e-15,        +1.085635420942e-04,        +3.077528846539e-14,        +3.906482354562e-04,        +1.591378574188e-11,        +7.355313528040e-01,        +7.323362139058e-11,        +9.295959972713e-01,        +1.250707279290e-12,        +5.780738989574e-02,        +1.098909211951e-12,        +1.394907947193e-02,        +1.584516415635e-12,        +7.323596796110e-02,        +1.564696337255e-12,        +1.986158030202e-02,        +1.590811061365e-12,        +7.352690497409e-02,        +1.572056794456e-12,        +1.995501077047e-02,        +1.259258477116e-12,        +5.820262420434e-02,        +1.108583420763e-12,        +1.407187970517e-02
 2.42120000e+00,        +2.164239603793e-11,        +7.877785693244e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.341173268041e-15,        +1.081753269803e-04,        +3.066611821458e-14,        +3.892733238590e-04,        +1.591898820483e-11,        +7.355464790929e-01,        +7.322926689637e-11,        +9.295666288456e-01,        +1.250209241797e-12,        +5.776667424467e-02,        +1.099070259159e-12,        +1.395151254371e-02,        +1.585814335487e-12,        +7.327351059963e-02,        +1.565626025997e-12,        +1.987393522700e-02,        +1.592118412610e-12,        +7.356479429633e-02,        +1.572982825444e-12,        +1.996732186803e-02,        +1.258718189408e-12,        +5.815983531594e-02,        +1.108709151729e-12,        +1.407386789768e-02
 2.42140000e+00,        +2.164928809420e-11,        +7.877592469775e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.333545970001e-15,        +1.077885776127e-04,        +3.055775325145e-14,        +3.879072618784e-04,        +1.592422812792e-11,        +7.355543544261e-01,        +7.322495662408e-11,        +9.295347138740e-01,        +1.249769012250e-12,        +5.772794961258e-02,        +1.099281635763e-12,        +1.395453801375e-02,        +1.587167238456e-12,        +7.331267575867e-02,        +1.566610698453e-12,        +1.988692236193e-02,        +1.593480599119e-12,        +7.360429554015e-02,        +1.573963890925e-12,        +1.998026550579e-02,        +1.258236044246e-12,        +5.811904940110e-02,        +1.108885418189e-12,        +1.407645067250e-02
 2.42160000e+00,        +2.165644555178e-11,        +7.877425701747e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.325973222196e-15,        +1.074032770814e-04,        +3.045018646206e-14,        +3.865499671461e-04,        +1.592950594013e-11,        +7.355549599330e-01,        +7.322069091806e-11,        +9.295002414536e-01,        +1.249386748709e-12,        +5.769121925950e-02,        +1.099543539264e-12,        +1.395815817114e-02,        +1.588575424356e-12,        +7.335346978144e-02,        +1.567650624385e-12,        +1.990054471776e-02,        +1.594897924160e-12,        +7.364541518813e-02,        +1.575000261961e-12,        +1.999384471010e-02,        +1.257812195347e-12,        +5.808026955946e-02,        +1.109112414779e-12,        +1.407963028497e-02
 2.42180000e+00,        +2.166386979063e-11,        +7.877285524278e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.318454531494e-15,        +1.070194085314e-04,        +3.034341082164e-14,        +3.852013581089e-04,        +1.593482207813e-11,        +7.355482760990e-01,        +7.321647013073e-11,        +9.294632003001e-01,        +1.249062619015e-12,        +5.765648663359e-02,        +1.099856176017e-12,        +1.396237539730e-02,        +1.590039202238e-12,        +7.339589914474e-02,        +1.568746082708e-12,        +1.991480539677e-02,        +1.596370700206e-12,        +7.368815985481e-02,        +1.576092218770e-12,        +2.000806259862e-02,        +1.257446806262e-12,        +5.804349908003e-02,        +1.109390345013e-12,        +1.408340908291e-02
 2.42200000e+00,        +2.167156223709e-11,        +7.877172077088e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.310989410541e-15,        +1.066369551608e-04,        +3.023741939342e-14,        +3.838613540178e-04,        +1.594017698639e-11,        +7.355342827621e-01,        +7.321229462274e-11,        +9.294235787445e-01,        +1.248796800884e-12,        +5.762375537224e-02,        +1.100219761320e-12,        +1.396719216685e-02,        +1.591558890513e-12,        +7.343997045994e-02,        +1.569897361602e-12,        +1.992970759352e-02,        +1.597899249056e-12,        +7.373253628762e-02,        +1.577240050836e-12,        +2.002292238129e-02,        +1.257140050461e-12,        +5.800874144225e-02,        +1.109719421373e-12,        +1.408778950762e-02
 2.42220000e+00,        +2.167952436438e-11,        +7.877085504555e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.303577377680e-15,        +1.062559002201e-04,        +3.013220532755e-14,        +3.825298749153e-04,        +1.594557111730e-11,        +7.355129591082e-01,        +7.320816476307e-11,        +9.293813647286e-01,        +1.248589481994e-12,        +5.759302930308e-02,        +1.100634519516e-12,        +1.397261104858e-02,        +1.593134817063e-12,        +7.348569047397e-02,        +1.571104758621e-12,        +1.994525459591e-02,        +1.599483901950e-12,        +7.377855136794e-02,        +1.578444057019e-12,        +2.003842736132e-02,        +1.256892111422e-12,        +5.797600031703e-02,        +1.110099865405e-12,        +1.409277409472e-02
 2.42240000e+00,        +2.168775769317e-11,        +7.877025955770e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.296217956872e-15,        +1.058762270105e-04,        +3.002776185993e-14,        +3.812068416244e-04,        +1.595100493132e-11,        +7.354842836676e-01,        +7.320408092920e-11,        +9.293365458010e-01,        +1.248440860085e-12,        +5.756431244515e-02,        +1.101100684087e-12,        +1.397863470642e-02,        +1.594767319369e-12,        +7.353306607029e-02,        +1.572368580806e-12,        +1.996144978619e-02,        +1.601124999692e-12,        +7.382621211208e-02,        +1.579704545674e-12,        +2.005458093631e-02,        +1.256703182731e-12,        +5.794527956785e-02,        +1.110531907823e-12,        +1.409836547523e-02
 2.42260000e+00,        +2.169626379225e-11,        +7.876993584594e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.288910677623e-15,        +1.054979188832e-04,        +2.992408231120e-14,        +3.798921757372e-04,        +1.595647889714e-11,        +7.354482343103e-01,        +7.320004350715e-11,        +9.292891091129e-01,        +1.248351143056e-12,        +5.753760900997e-02,        +1.101618497766e-12,        +1.398526590044e-02,        +1.596456744629e-12,        +7.358210426992e-02,        +1.573689144809e-12,        +1.997829664209e-02,        +1.602822892778e-12,        +7.387552567235e-02,        +1.581021834765e-12,        +2.007138659929e-02,        +1.256573468178e-12,        +5.791658325185e-02,        +1.111015788607e-12,        +1.410456637645e-02
 2.42280000e+00,        +2.170504427903e-11,        +7.876988549725e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.281655074904e-15,        +1.051209592375e-04,        +2.982116008565e-14,        +3.785857996034e-04,        +1.596199349180e-11,        +7.354047882416e-01,        +7.319605289171e-11,        +9.292390414135e-01,        +1.248320549073e-12,        +5.751292340274e-02,        +1.102188212640e-12,        +1.399250748789e-02,        +1.598203449895e-12,        +7.363281223246e-02,        +1.575066777008e-12,        +1.999579873787e-02,        +1.604577941527e-12,        +7.392649933806e-02,        +1.582396251990e-12,        +2.008884793981e-02,        +1.256503181863e-12,        +5.788991562099e-02,        +1.111551757118e-12,        +1.411137962307e-02
 2.42300000e+00,        +2.171410082029e-11,        +7.877011014752e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.274450689077e-15,        +1.047453315199e-04,        +2.971898867018e-14,        +3.772876363195e-04,        +1.596754920086e-11,        +7.353539219983e-01,        +7.319210948649e-11,        +9.291863290455e-01,        +1.248349306677e-12,        +5.749026022346e-02,        +1.102810090264e-12,        +1.400036242425e-02,        +1.600007802203e-12,        +7.368519725708e-02,        +1.576501813638e-12,        +2.001395974546e-02,        +1.606390516210e-12,        +7.397914053662e-02,        +1.583828134910e-12,        +2.010696864513e-02,        +1.256492548302e-12,        +5.786528112314e-02,        +1.112140072199e-12,        +1.411880813822e-02
 2.42320000e+00,        +2.172343513271e-11,        +7.877061148227e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.267297065824e-15,        +1.043710192229e-04,        +2.961756163331e-14,        +3.759976097174e-04,        +1.597314651856e-11,        +7.352956114436e-01,        +7.318821370409e-11,        +9.291309579406e-01,        +1.248437654891e-12,        +5.746962426816e-02,        +1.103484401773e-12,        +1.400883376437e-02,        +1.601870178707e-12,        +7.373926678359e-02,        +1.577994600920e-12,        +2.003278343568e-02,        +1.608260997196e-12,        +7.403345683454e-02,        +1.585317831073e-12,        +2.012575250137e-02,        +1.256541802538e-12,        +5.784268440334e-02,        +1.112781002302e-12,        +1.412685494453e-02
 2.42340000e+00,        +2.173304898366e-11,        +7.877139123726e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.260193756074e-15,        +1.039980058837e-04,        +2.951687262414e-14,        +3.747156443540e-04,        +1.597878594795e-11,        +7.352298317629e-01,        +7.318436596627e-11,        +9.290729136145e-01,        +1.248585843342e-12,        +5.745102053010e-02,        +1.104211428008e-12,        +1.401792466356e-02,        +1.603790966826e-12,        +7.379502839347e-02,        +1.579545495194e-12,        +2.005227367937e-02,        +1.610189775085e-12,        +7.408945593853e-02,        +1.586865698156e-12,        +2.014520339468e-02,        +1.256651190257e-12,        +5.782213030494e-02,        +1.113474825596e-12,        +1.413552316528e-02
 2.42360000e+00,        +2.174294419180e-11,        +7.877245119922e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.253140315930e-15,        +1.036262750828e-04,        +2.941691537138e-14,        +3.734416655003e-04,        +1.598446800107e-11,        +7.351565574594e-01,        +7.318056670404e-11,        +9.290121811617e-01,        +1.248794132380e-12,        +5.743445420105e-02,        +1.104991459631e-12,        +1.402763837876e-02,        +1.605770564385e-12,        +7.385248981094e-02,        +1.581154863056e-12,        +2.007243444866e-02,        +1.612177250862e-12,        +7.414714569660e-02,        +1.588472104097e-12,        +2.016532531253e-02,        +1.256820967908e-12,        +5.780362387085e-02,        +1.114221830095e-12,        +1.414481602556e-02
