        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V)
 2.42000000e+00,        +7.071067811865e+00,        +1.368017292084e+01,        +2.487824144432e+00
 2.42020000e+00,        +7.071067811865e+00,        +1.368046239114e+01,        +2.487038229720e+00
 2.42040000e+00,        +7.071067811865e+00,        +1.368075149182e+01,        +2.486252273088e+00
 2.42060000e+00,        +7.071067811865e+00,        +1.368104022436e+01,        +2.485466266818e+00
 2.42080000e+00,        +7.071067811865e+00,        +1.368132859020e+01,        +2.484680203161e+00
 2.42100000e+00,        +7.071067811865e+00,        +1.368161659072e+01,        +2.483894074336e+00
 2.42120000e+00,        +7.071067811865e+00,        +1.368190422728e+01,        +2.483107872531e+00
 2.42140000e+00,        +7.071067811865e+00,        +1.368219150119e+01,        +2.482321589899e+00
 2.42160000e+00,        +7.071067811865e+00,        +1.368247841374e+01,        +2.481535218559e+00
 2.42180000e+00,        +7.071067811865e+00,        +1.368276496613e+01,        +2.480748750593e+00
 2.42200000e+00,        +7.071067811865e+00,        +1.368305115958e+01,        +2.479962178047e+00
 2.42220000e+00,        +7.071067811865e+00,        +1.368333699522e+01,        +2.479175492927e+00
 2.42240000e+00,        +7.071067811865e+00,        +1.368362247416e+01,        +2.478388687198e+00
 2.42260000e+00,        +7.071067811865e+00,        +1.368390759746e+01,        +2.477601752785e+00
 2.42280000e+00,        +7.071067811865e+00,        +1.368419236615e+01,        +2.476814681569e+00
 2.42300000e+00,        +7.071067811865e+00,        +1.368447678120e+01,        +2.476027465390e+00
 2.42320000e+00,        +7.071067811865e+00,        +1.368476084355e+01,        +2.475240096037e+00
 2.42340000e+00,        +7.071067811865e+00,        +1.368504455410e+01,        +2.474452565257e+00
 2.42360000e+00,        +7.071067811865e+00,        +1.368532791368e+01,        +2.473664864746e+00
 2.42380000e+00,        +7.071067811865e+00,        +1.368561092312e+01,        +2.472876986151e+00
 2.42400000e+00,        +7.071067811865e+00,        +1.368589358316e+01,        +2.472088921068e+00
 2.42420000e+00,        +7.071067811865e+00,        +1.368617589453e+01,        +2.471300661040e+00
 2.42440000e+00,        +7.071067811865e+00,        +1.368645785790e+01,        +2.470512197555e+00
 2.42460000e+00,        +7.071067811865e+00,        +1.368673947390e+01,        +2.469723522047e+00
 2.42480000e+00,        +7.071067811865e+00,        +1.368702074310e+01,        +2.468934625891e+00
 2.42500000e+00,        +7.071067811865e+00,        +1.368730166605e+01,        +2.468145500404e+00
 2.42520000e+00,        +7.071067811865e+00,        +1.368758224323e+01,        +2.467356136844e+00
 2.42540000e+00,        +7.071067811865e+00,        +1.368786247508e+01,        +2.466566526404e+00
 2.42560000e+00,        +7.071067811865e+00,        +1.368814236200e+01,        +2.465776660216e+00
 2.42580000e+00,        +7.071067811865e+00,        +1.368842190434e+01,        +2.464986529345e+00
 2.42600000e+00,        +7.071067811865e+00,        +1.368870110239e+01,        +2.464196124792e+00
 2.42620000e+00,        +7.071067811865e+00,        +1.368897995640e+01,        +2.463405437485e+00
 2.42640000e+00,        +7.071067811865e+00,        +1.368925846657e+01,        +2.462614458285e+00
 2.42660000e+00,        +7.071067811865e+00,        +1.368953663305e+01,        +2.461823177981e+00
 2.42680000e+00,        +7.071067811865e+00,        +1.368981445594e+01,        +2.461031587286e+00
 2.42700000e+00,        +7.071067811865e+00,        +1.369009193527e+01,        +2.460239676840e+00
 2.42720000e+00,        +7.071067811865e+00,        +1.369036907105e+01,        +2.459447437202e+00
 2.42740000e+00,        +7.071067811865e+00,        +1.369064586322e+01,        +2.458654858855e+00
 2.42760000e+00,        +7.071067811865e+00,        +1.369092231166e+01,        +2.457861932201e+00
 2.42780000e+00,        +7.071067811865e+00,        +1.369119841619e+01,        +2.457068647555e+00
 2.42800000e+00,        +7.071067811865e+00,        +1.369147417661e+01,        +2.456274995152e+00
 2.42820000e+00,        +7.071067811865e+00,        +1.369174959263e+01,        +2.455480965135e+00
 2.42840000e+00,        +7.071067811865e+00,        +1.369202466391e+01,        +2.454686547562e+00
 2.42860000e+00,        +7.071067811865e+00,        +1.369229939005e+01,        +2.453891732399e+00
 2.42880000e+00,        +7.071067811865e+00,        +1.369257377061e+01,        +2.453096509516e+00
 2.42900000e+00,        +7.071067811865e+00,        +1.369284780506e+01,        +2.452300868691e+00
 2.42920000e+00,        +7.071067811865e+00,        +1.369312149284e+01,        +2.451504799603e+00
 2.42940000e+00,        +7.071067811865e+00,        +1.369339483331e+01,        +2.450708291832e+00
 2.42960000e+00,        +7.071067811865e+00,        +1.369366782576e+01,        +2.449911334856e+00
 2.42980000e+00,        +7.071067811865e+00,        +1.369394046943e+01,        +2.449113918048e+00
 2.43000000e+00,        +7.071067811865e+00,        +1.369421276350e+01,        +2.448316030676e+00
 2.43020000e+00,        +7.071067811865e+00,        +1.369448470706e+01,        +2.447517661897e+00
 2.43040000e+00,        +7.071067811865e+00,        +1.369475629916e+01,        +2.446718800759e+00
 2.43060000e+00,        +7.071067811865e+00,        +1.369502753876e+01,        +2.445919436195e+00
 2.43080000e+00,        +7.071067811865e+00,        +1.369529842476e+01,        +2.445119557022e+00
 2.43100000e+00,        +7.071067811865e+00,        +1.369556895598e+01,        +2.444319151939e+00
 2.43120000e+00,        +7.071067811865e+00,        +1.369583913119e+01,        +2.443518209523e+00
 2.43140000e+00,        +7.071067811865e+00,        +1.369610894905e+01,        +2.442716718227e+00
 2.43160000e+00,        +7.071067811865e+00,        +1.369637840817e+01,        +2.441914666378e+00
 2.43180000e+00,        +7.071067811865e+00,        +1.369664750708e+01,        +2.441112042174e+00
 2.43200000e+00,        +7.071067811865e+00,        +1.369691624422e+01,        +2.440308833680e+00
 2.43220000e+00,        +7.071067811865e+00,        +1.369718461796e+01,        +2.439505028826e+00
 2.43240000e+00,        +7.071067811865e+00,        +1.369745262658e+01,        +2.438700615405e+00
 2.43260000e+00,        +7.071067811865e+00,        +1.369772026828e+01,        +2.437895581068e+00
 2.43280000e+00,        +7.071067811865e+00,        +1.369798754119e+01,        +2.437089913324e+00
 2.43300000e+00,        +7.071067811865e+00,        +1.369825444332e+01,        +2.436283599534e+00
 2.43320000e+00,        +7.071067811865e+00,        +1.369852097260e+01,        +2.435476626909e+00
 2.43340000e+00,        +7.071067811865e+00,        +1.369878712690e+01,        +2.434668982507e+00
 2.43360000e+00,        +7.071067811865e+00,        +1.369905290395e+01,        +2.433860653230e+00
 2.43380000e+00,        +7.071067811865e+00,        +1.369931830142e+01,        +2.433051625820e+00
 2.43400000e+00,        +7.071067811865e+00,        +1.369958331686e+01,        +2.432241886857e+00
 2.43420000e+00,        +7.071067811865e+00,        +1.369984794774e+01,        +2.431431422751e+00
 2.43440000e+00,        +7.071067811865e+00,        +1.370011219140e+01,        +2.430620219746e+00
 2.43460000e+00,        +7.071067811865e+00,        +1.370037604510e+01,        +2.429808263911e+00
 2.43480000e+00,        +7.071067811865e+00,        +1.370063950599e+01,        +2.428995541137e+00
 2.43500000e+00,        +7.071067811865e+00,        +1.370090257109e+01,        +2.428182037134e+00
 2.43520000e+00,        +7.071067811865e+00,        +1.370116523734e+01,        +2.427367737428e+00
 2.43540000e+00,        +7.071067811865e+00,        +1.370142750153e+01,        +2.426552627355e+00
 2.43560000e+00,        +7.071067811865e+00,        +1.370168936036e+01,        +2.425736692061e+00
 2.43580000e+00,        +7.071067811865e+00,        +1.370195081039e+01,        +2.424919916491e+00
 2.43600000e+00,        +7.071067811865e+00,        +1.370221184807e+01,        +2.424102285393e+00
 2.43620000e+00,        +7.071067811865e+00,        +1.370247246971e+01,        +2.423283783307e+00
 2.43640000e+00,        +7.071067811865e+00,        +1.370273267151e+01,        +2.422464394565e+00
 2.43660000e+00,        +7.071067811865e+00,        +1.370299244952e+01,        +2.421644103285e+00
 2.43680000e+00,        +7.071067811865e+00,        +1.370325179965e+01,        +2.420822893366e+00
 2.43700000e+00,        +7.071067811865e+00,        +1.370351071769e+01,        +2.420000748484e+00
 2.43720000e+00,        +7.071067811865e+00,        +1.370376919926e+01,        +2.419177652089e+00
 2.43740000e+00,        +7.071067811865e+00,        +1.370402723985e+01,        +2.418353587396e+00
 2.43760000e+00,        +7.071067811865e+00,        +1.370428483479e+01,        +2.417528537383e+00
 2.43780000e+00,        +7.071067811865e+00,        +1.370454197927e+01,        +2.416702484787e+00
 2.43800000e+00,        +7.071067811865e+00,        +1.370479866830e+01,        +2.415875412096e+00
 2.43820000e+00,        +7.071067811865e+00,        +1.370505489674e+01,        +2.415047301545e+00
 2.43840000e+00,        +7.071067811865e+00,        +1.370531065927e+01,        +2.414218135113e+00
 2.43860000e+00,        +7.071067811865e+00,        +1.370556595041e+01,        +2.413387894513e+00
 2.43880000e+00,        +7.071067811865e+00,        +1.370582076450e+01,        +2.412556561190e+00
 2.43900000e+00,        +7.071067811865e+00,        +1.370607509569e+01,        +2.411724116312e+00
 2.43920000e+00,        +7.071067811865e+00,        +1.370632893794e+01,        +2.410890540769e+00
 2.43940000e+00,        +7.071067811865e+00,        +1.370658228504e+01,        +2.410055815163e+00
 2.43960000e+00,        +7.071067811865e+00,        +1.370683513055e+01,        +2.409219919803e+00
 2.43980000e+00,        +7.071067811865e+00,        +1.370708746786e+01,        +2.408382834698e+00
 2.44000000e+00,        +7.071067811865e+00,        +1.370733929012e+01,        +2.407544539554e+00
 2.44020000e+00,        +7.071067811865e+00,        +1.370759059028e+01,        +2.406705013761e+00
 2.44040000e+00,        +7.071067811865e+00,        +1.370784136108e+01,        +2.405864236395e+00
 2.44060000e+00,        +7.071067811865e+00,        +1.370809159501e+01,        +2.405022186202e+00
 2.44080000e+00,        +7.071067811865e+00,        +1.370834128434e+01,        +2.404178841599e+00
 2.44100000e+00,        +7.071067811865e+00,        +1.370859042109e+01,        +2.403334180661e+00
 2.44120000e+00,        +7.071067811865e+00,        +1.370883899704e+01,        +2.402488181118e+00
 2.44140000e+00,        +7.071067811865e+00,        +1.370908700372e+01,        +2.401640820342e+00
 2.44160000e+00,        +7.071067811865e+00,        +1.370933443238e+01,        +2.400792075348e+00
 2.44180000e+00,        +7.071067811865e+00,        +1.370958127401e+01,        +2.399941922778e+00
 2.44200000e+00,        +7.071067811865e+00,        +1.370982751933e+01,        +2.399090338895e+00
 2.44220000e+00,        +7.071067811865e+00,        +1.371007315875e+01,        +2.398237299580e+00
 2.44240000e+00,        +7.071067811865e+00,        +1.371031818242e+01,        +2.397382780315e+00
 2.44260000e+00,        +7.071067811865e+00,        +1.371056258014e+01,        +2.396526756184e+00
 2.44280000e+00,        +7.071067811865e+00,        +1.371080634144e+01,        +2.395669201854e+00
 2.44300000e+00,        +7.071067811865e+00,        +1.371104945551e+01,        +2.394810091576e+00
 2.44320000e+00,        +7.071067811865e+00,        +1.371129191120e+01,        +2.393949399168e+00
 2.44340000e+00,        +7.071067811865e+00,        +1.371153369702e+01,        +2.393087098012e+00
 2.44360000e+00,        +7.071067811865e+00,        +1.371177480113e+01,        +2.392223161038e+00
 2.44380000e+00,        +7.071067811865e+00,        +1.371201521133e+01,        +2.391357560719e+00
 2.44400000e+00,        +7.071067811865e+00,        +1.371225491505e+01,        +2.390490269060e+00
 2.44420000e+00,        +7.071067811865e+00,        +1.371249389930e+01,        +2.389621257588e+00
 2.44440000e+00,        +7.071067811865e+00,        +1.371273215072e+01,        +2.388750497337e+00
 2.44460000e+00,        +7.071067811865e+00,        +1.371296965553e+01,        +2.387877958846e+00
 2.44480000e+00,        +7.071067811865e+00,        +1.371320639953e+01,        +2.387003612139e+00
 2.44500000e+00,        +7.071067811865e+00,        +1.371344236807e+01,        +2.386127426721e+00
 2.44520000e+00,        +7.071067811865e+00,        +1.371367754604e+01,        +2.385249371560e+00
 2.44540000e+00,        +7.071067811865e+00,        +1.371391191790e+01,        +2.384369415082e+00
 2.44560000e+00,        +7.071067811865e+00,        +1.371414546758e+01,        +2.383487525152e+00
 2.44580000e+00,        +7.071067811865e+00,        +1.371437817853e+01,        +2.382603669070e+00
 2.44600000e+00,        +7.071067811865e+00,        +1.371461003370e+01,        +2.381717813549e+00
 2.44620000e+00,        +7.071067811865e+00,        +1.371484101549e+01,        +2.380829924709e+00
 2.44640000e+00,        +7.071067811865e+00,        +1.371507110576e+01,        +2.379939968062e+00
 2.44660000e+00,        +7.071067811865e+00,        +1.371530028579e+01,        +2.379047908497e+00
 2.44680000e+00,        +7.071067811865e+00,        +1.371552853629e+01,        +2.378153710269e+00
 2.44700000e+00,        +7.071067811865e+00,        +1.371575583735e+01,        +2.377257336983e+00
 2.44720000e+00,        +7.071067811865e+00,        +1.371598216844e+01,        +2.376358751580e+00
 2.44740000e+00,        +7.071067811865e+00,        +1.371620750839e+01,        +2.375457916321e+00
 2.44760000e+00,        +7.071067811865e+00,        +1.371643183534e+01,        +2.374554792774e+00
 2.44780000e+00,        +7.071067811865e+00,        +1.371665512676e+01,        +2.373649341800e+00
 2.44800000e+00,        +7.071067811865e+00,        +1.371687735940e+01,        +2.372741523534e+00
 2.44820000e+00,        +7.071067811865e+00,        +1.371709850926e+01,        +2.371831297368e+00
 2.44840000e+00,        +7.071067811865e+00,        +1.371731855157e+01,        +2.370918621940e+00
 2.44860000e+00,        +7.071067811865e+00,        +1.371753746079e+01,        +2.370003455112e+00
 2.44880000e+00,        +7.071067811865e+00,        +1.371775521054e+01,        +2.369085753957e+00
 2.44900000e+00,        +7.071067811865e+00,        +1.371797177360e+01,        +2.368165474737e+00
 2.44920000e+00,        +7.071067811865e+00,        +1.371818712187e+01,        +2.367242572891e+00
 2.44940000e+00,        +7.071067811865e+00,        +1.371840122634e+01,        +2.366317003009e+00
 2.44960000e+00,        +7.071067811865e+00,        +1.371861405705e+01,        +2.365388718823e+00
 2.44980000e+00,        +7.071067811865e+00,        +1.371882558310e+01,        +2.364457673178e+00
 2.45000000e+00,        +7.071067811865e+00,        +1.371903577253e+01,        +2.363523818021e+00
 2.45020000e+00,        +7.071067811865e+00,        +1.371924459236e+01,        +2.362587104376e+00
 2.45040000e+00,        +7.071067811865e+00,        +1.371945200854e+01,        +2.361647482328e+00
 2.45060000e+00,        +7.071067811865e+00,        +1.371965798587e+01,        +2.360704900996e+00
 2.45080000e+00,        +7.071067811865e+00,        +1.371986248800e+01,        +2.359759308521e+00
 2.45100000e+00,        +7.071067811865e+00,        +1.372006547737e+01,        +2.358810652037e+00
 2.45120000e+00,        +7.071067811865e+00,        +1.372026691518e+01,        +2.357858877654e+00
 2.45140000e+00,        +7.071067811865e+00,        +1.372046676131e+01,        +2.356903930433e+00
 2.45160000e+00,        +7.071067811865e+00,        +1.372066497431e+01,        +2.355945754365e+00
 2.45180000e+00,        +7.071067811865e+00,        +1.372086151135e+01,        +2.354984292350e+00
 2.45200000e+00,        +7.071067811865e+00,        +1.372105632812e+01,        +2.354019486168e+00
 2.45220000e+00,        +7.071067811865e+00,        +1.372124937883e+01,        +2.353051276464e+00
 2.45240000e+00,        +7.071067811865e+00,        +1.372144061614e+01,        +2.352079602715e+00
 2.45260000e+00,        +7.071067811865e+00,        +1.372162999107e+01,        +2.351104403214e+00
 2.45280000e+00,        +7.071067811865e+00,        +1.372181745298e+01,        +2.350125615039e+00
 2.45300000e+00,        +7.071067811865e+00,        +1.372200294947e+01,        +2.349143174032e+00
 2.45320000e+00,        +7.071067811865e+00,        +1.372218642636e+01,        +2.348157014771e+00
 2.45340000e+00,        +7.071067811865e+00,        +1.372236782756e+01,        +2.347167070548e+00
 2.45360000e+00,        +7.071067811865e+00,        +1.372254709504e+01,        +2.346173273341e+00
 2.45380000e+00,        +7.071067811865e+00,        +1.372272416875e+01,        +2.345175553786e+00
 2.45400000e+00,        +7.071067811865e+00,        +1.372289898653e+01,        +2.344173841157e+00
 2.45420000e+00,        +7.071067811865e+00,        +1.372307148402e+01,        +2.343168063333e+00
 2.45440000e+00,        +7.071067811865e+00,        +1.372324159460e+01,        +2.342158146776e+00
 2.45460000e+00,        +7.071067811865e+00,        +1.372340924927e+01,        +2.341144016503e+00
 2.45480000e+00,        +7.071067811865e+00,        +1.372357437658e+01,        +2.340125596057e+00
 2.45500000e+00,        +7.071067811865e+00,        +1.372373690251e+01,        +2.339102807486e+00
 2.45520000e+00,        +7.071067811865e+00,        +1.372389675040e+01,        +2.338075571312e+00
 2.45540000e+00,        +7.071067811865e+00,        +1.372405384081e+01,        +2.337043806506e+00
 2.45560000e+00,        +7.071067811865e+00,        +1.372420809143e+01,        +2.336007430462e+00
 2.45580000e+00,        +7.071067811865e+00,        +1.372435941692e+01,        +2.334966358970e+00
 2.45600000e+00,        +7.071067811865e+00,        +1.372450772887e+01,        +2.333920506192e+00
 2.45620000e+00,        +7.071067811865e+00,        +1.372465293559e+01,        +2.332869784639e+00
 2.45640000e+00,        +7.071067811865e+00,        +1.372479494203e+01,        +2.331814105139e+00
 2.45660000e+00,        +7.071067811865e+00,        +1.372493364960e+01,        +2.330753376823e+00
 2.45680000e+00,        +7.071067811865e+00,        +1.372506895606e+01,        +2.329687507094e+00
 2.45700000e+00,        +7.071067811865e+00,        +1.372520075535e+01,        +2.328616401611e+00
 2.45720000e+00,        +7.071067811865e+00,        +1.372532893743e+01,        +2.327539964263e+00
 2.45740000e+00,        +7.071067811865e+00,        +1.372545338811e+01,        +2.326458097154e+00
 2.45760000e+00,        +7.071067811865e+00,        +1.372557398890e+01,        +2.325370700581e+00
 2.45780000e+00,        +7.071067811865e+00,        +1.372569061678e+01,        +2.324277673021e+00
 2.45800000e+00,        +7.071067811865e+00,        +1.372580314406e+01,        +2.323178911115e+00
 2.45820000e+00,        +7.071067811865e+00,        +1.372591143814e+01,        +2.322074309654e+00
 2.45840000e+00,        +7.071067811865e+00,        +1.372601536132e+01,        +2.320963761572e+00
 2.45860000e+00,        +7.071067811865e+00,        +1.372611477058e+01,        +2.319847157938e+00
 2.45880000e+00,        +7.071067811865e+00,        +1.372620951735e+01,        +2.318724387950e+00
 2.45900000e+00,        +7.071067811865e+00,        +1.372629944727e+01,        +2.317595338936e+00
 2.45920000e+00,        +7.071067811865e+00,        +1.372638439991e+01,        +2.316459896358e+00
 2.45940000e+00,        +7.071067811865e+00,        +1.372646420856e+01,        +2.315317943816e+00
 2.45960000e+00,        +7.071067811865e+00,        +1.372653869991e+01,        +2.314169363063e+00
 2.45980000e+00,        +7.071067811865e+00,        +1.372660769378e+01,        +2.313014034022e+00
 2.46000000e+00,        +7.071067811865e+00,        +1.372667100281e+01,        +2.311851834806e+00
 2.46020000e+00,        +7.071067811865e+00,        +1.372672843216e+01,        +2.310682641748e+00
 2.46040000e+00,        +7.071067811865e+00,        +1.372677977912e+01,        +2.309506329442e+00
 2.46060000e+00,        +7.071067811865e+00,        +1.372682483286e+01,        +2.308322770779e+00
 2.46080000e+00,        +7.071067811865e+00,        +1.372686337397e+01,        +2.307131837006e+00
 2.46100000e+00,        +7.071067811865e+00,        +1.372689517413e+01,        +2.305933397782e+00
 2.46120000e+00,        +7.071067811865e+00,        +1.372691999569e+01,        +2.304727321256e+00
 2.46140000e+00,        +7.071067811865e+00,        +1.372693759128e+01,        +2.303513474143e+00
 2.46160000e+00,        +7.071067811865e+00,        +1.372694770332e+01,        +2.302291721828e+00
 2.46180000e+00,        +7.071067811865e+00,        +1.372695006360e+01,        +2.301061928467e+00
 2.46200000e+00,        +7.071067811865e+00,        +1.372694439278e+01,        +2.299823957115e+00
 2.46220000e+00,        +7.071067811865e+00,        +1.372693039991e+01,        +2.298577669868e+00
 2.46240000e+00,        +7.071067811865e+00,        +1.372690778186e+01,        +2.297322928015e+00
 2.46260000e+00,        +7.071067811865e+00,        +1.372687622281e+01,        +2.296059592224e+00
 2.46280000e+00,        +7.071067811865e+00,        +1.372683539363e+01,        +2.294787522733e+00
 2.46300000e+00,        +7.071067811865e+00,        +1.372678495131e+01,        +2.293506579579e+00
 2.46320000e+00,        +7.071067811865e+00,        +1.372672453832e+01,        +2.292216622841e+00
 2.46340000e+00,        +7.071067811865e+00,        +1.372665378191e+01,        +2.290917512920e+00
 2.46360000e+00,        +7.071067811865e+00,        +1.372657229346e+01,        +2.289609110844e+00
 2.46380000e+00,        +7.071067811865e+00,        +1.372647966776e+01,        +2.288291278607e+00
 2.46400000e+00,        +7.071067811865e+00,        +1.372637548219e+01,        +2.286963879547e+00
 2.46420000e+00,        +7.071067811865e+00,        +1.372625929601e+01,        +2.285626778762e+00
 2.46440000e+00,        +7.071067811865e+00,        +1.372613064948e+01,        +2.284279843568e+00
 2.46460000e+00,        +7.071067811865e+00,        +1.372598906301e+01,        +2.282922944009e+00
 2.46480000e+00,        +7.071067811865e+00,        +1.372583403628e+01,        +2.281555953413e+00
 2.46500000e+00,        +7.071067811865e+00,        +1.372566504728e+01,        +2.280178749005e+00
