        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V)
 2.42000000e+00,        +7.071067811865e+00,        +1.399758651506e+01,        +4.128423560047e-01
 2.42020000e+00,        +7.071067811865e+00,        +1.400100431337e+01,        +4.085761535240e-01
 2.42040000e+00,        +7.071067811865e+00,        +1.400430120754e+01,        +4.043687462784e-01
 2.42060000e+00,        +7.071067811865e+00,        +1.400748250858e+01,        +4.002195840241e-01
 2.42080000e+00,        +7.071067811865e+00,        +1.401055325654e+01,        +3.961280478685e-01
 2.42100000e+00,        +7.071067811865e+00,        +1.401351823542e+01,        +3.920934603715e-01
 2.42120000e+00,        +7.071067811865e+00,        +1.401638198735e+01,        +3.881150945341e-01
 2.42140000e+00,        +7.071067811865e+00,        +1.401914882594e+01,        +3.841921817903e-01
 2.42160000e+00,        +7.071067811865e+00,        +1.402182284890e+01,        +3.803239191078e-01
 2.42180000e+00,        +7.071067811865e+00,        +1.402440794992e+01,        +3.765094752898e-01
 2.42200000e+00,        +7.071067811865e+00,        +1.402690782993e+01,        +3.727479965634e-01
 2.42220000e+00,        +7.071067811865e+00,        +1.402932600762e+01,        +3.690386115278e-01
 2.42240000e+00,        +7.071067811865e+00,        +1.403166582948e+01,        +3.653804355320e-01
 2.42260000e+00,        +7.071067811865e+00,        +1.403393047915e+01,        +3.617725745397e-01
 2.42280000e+00,        +7.071067811865e+00,        +1.403612298630e+01,        +3.582141285376e-01
 2.42300000e+00,        +7.071067811865e+00,        +1.403824623496e+01,        +3.547041945337e-01
 2.42320000e+00,        +7.071067811865e+00,        +1.404030297139e+01,        +3.512418691902e-01
 2.42340000e+00,        +7.071067811865e+00,        +1.404229581147e+01,        +3.478262511294e-01
 2.42360000e+00,        +7.071067811865e+00,        +1.404422724771e+01,        +3.444564429465e-01
 2.42380000e+00,        +7.071067811865e+00,        +1.404609965577e+01,        +3.411315529626e-01
 2.42400000e+00,        +7.071067811865e+00,        +1.404791530072e+01,        +3.378506967432e-01
 2.42420000e+00,        +7.071067811865e+00,        +1.404967634280e+01,        +3.346129984091e-01
 2.42440000e+00,        +7.071067811865e+00,        +1.405138484301e+01,        +3.314175917617e-01
 2.42460000e+00,        +7.071067811865e+00,        +1.405304276820e+01,        +3.282636212424e-01
 2.42480000e+00,        +7.071067811865e+00,        +1.405465199604e+01,        +3.251502427446e-01
 2.42500000e+00,        +7.071067811865e+00,        +1.405621431959e+01,        +3.220766242942e-01
 2.42520000e+00,        +7.071067811865e+00,        +1.405773145162e+01,        +3.190419466128e-01
 2.42540000e+00,        +7.071067811865e+00,        +1.405920502880e+01,        +3.160454035778e-01
 2.42560000e+00,        +7.071067811865e+00,        +1.406063661545e+01,        +3.130862025896e-01
 2.42580000e+00,        +7.071067811865e+00,        +1.406202770729e+01,        +3.101635648567e-01
 2.42600000e+00,        +7.071067811865e+00,        +1.406337973483e+01,        +3.072767256093e-01
 2.42620000e+00,        +7.071067811865e+00,        +1.406469406667e+01,        +3.044249342476e-01
 2.42640000e+00,        +7.071067811865e+00,        +1.406597201252e+01,        +3.016074544347e-01
 2.42660000e+00,        +7.071067811865e+00,        +1.406721482613e+01,        +2.988235641384e-01
 2.42680000e+00,        +7.071067811865e+00,        +1.406842370805e+01,        +2.960725556305e-01
 2.42700000e+00,        +7.071067811865e+00,        +1.406959980818e+01,        +2.933537354467e-01
 2.42720000e+00,        +7.071067811865e+00,        +1.407074422828e+01,        +2.906664243133e-01
 2.42740000e+00,        +7.071067811865e+00,        +1.407185802422e+01,        +2.880099570451e-01
 2.42760000e+00,        +7.071067811865e+00,        +1.407294220823e+01,        +2.853836824169e-01
 2.42780000e+00,        +7.071067811865e+00,        +1.407399775094e+01,        +2.827869630144e-01
 2.42800000e+00,        +7.071067811865e+00,        +1.407502558337e+01,        +2.802191750651e-01
 2.42820000e+00,        +7.071067811865e+00,        +1.407602659876e+01,        +2.776797082542e-01
 2.42840000e+00,        +7.071067811865e+00,        +1.407700165435e+01,        +2.751679655263e-01
 2.42860000e+00,        +7.071067811865e+00,        +1.407795157304e+01,        +2.726833628760e-01
 2.42880000e+00,        +7.071067811865e+00,        +1.407887714499e+01,        +2.702253291290e-01
 2.42900000e+00,        +7.071067811865e+00,        +1.407977912908e+01,        +2.677933057156e-01
 2.42920000e+00,        +7.071067811865e+00,        +1.408065825438e+01,        +2.653867464385e-01
 2.42940000e+00,        +7.071067811865e+00,        +1.408151522144e+01,        +2.630051172350e-01
 2.42960000e+00,        +7.071067811865e+00,        +1.408235070360e+01,        +2.606478959369e-01
 2.42980000e+00,        +7.071067811865e+00,        +1.408316534823e+01,        +2.583145720266e-01
 2.43000000e+00,        +7.071067811865e+00,        +1.408395977782e+01,        +2.560046463931e-01
 2.43020000e+00,        +7.071067811865e+00,        +1.408473459112e+01,        +2.537176310866e-01
 2.43040000e+00,        +7.071067811865e+00,        +1.408549036414e+01,        +2.514530490735e-01
 2.43060000e+00,        +7.071067811865e+00,        +1.408622765117e+01,        +2.492104339921e-01
 2.43080000e+00,        +7.071067811865e+00,        +1.408694698572e+01,        +2.469893299094e-01
 2.43100000e+00,        +7.071067811865e+00,        +1.408764888137e+01,        +2.447892910805e-01
 2.43120000e+00,        +7.071067811865e+00,        +1.408833383264e+01,        +2.426098817095e-01
 2.43140000e+00,        +7.071067811865e+00,        +1.408900231582e+01,        +2.404506757134e-01
 2.43160000e+00,        +7.071067811865e+00,        +1.408965478968e+01,        +2.383112564888e-01
 2.43180000e+00,        +7.071067811865e+00,        +1.409029169626e+01,        +2.361912166821e-01
 2.43200000e+00,        +7.071067811865e+00,        +1.409091346153e+01,        +2.340901579628e-01
 2.43220000e+00,        +7.071067811865e+00,        +1.409152049603e+01,        +2.320076908008e-01
 2.43240000e+00,        +7.071067811865e+00,        +1.409211319555e+01,        +2.299434342472e-01
 2.43260000e+00,        +7.071067811865e+00,        +1.409269194169e+01,        +2.278970157191e-01
 2.43280000e+00,        +7.071067811865e+00,        +1.409325710245e+01,        +2.258680707886e-01
 2.43300000e+00,        +7.071067811865e+00,        +1.409380903276e+01,        +2.238562429757e-01
 2.43320000e+00,        +7.071067811865e+00,        +1.409434807502e+01,        +2.218611835455e-01
 2.43340000e+00,        +7.071067811865e+00,        +1.409487455958e+01,        +2.198825513093e-01
 2.43360000e+00,        +7.071067811865e+00,        +1.409538880518e+01,        +2.179200124305e-01
 2.43380000e+00,        +7.071067811865e+00,        +1.409589111947e+01,        +2.159732402339e-01
 2.43400000e+00,        +7.071067811865e+00,        +1.409638179939e+01,        +2.140419150201e-01
 2.43420000e+00,        +7.071067811865e+00,        +1.409686113157e+01,        +2.121257238833e-01
 2.43440000e+00,        +7.071067811865e+00,        +1.409732939277e+01,        +2.102243605336e-01
 2.43460000e+00,        +7.071067811865e+00,        +1.409778685020e+01,        +2.083375251237e-01
 2.43480000e+00,        +7.071067811865e+00,        +1.409823376192e+01,        +2.064649240791e-01
 2.43500000e+00,        +7.071067811865e+00,        +1.409867037715e+01,        +2.046062699327e-01
 2.43520000e+00,        +7.071067811865e+00,        +1.409909693659e+01,        +2.027612811634e-01
 2.43540000e+00,        +7.071067811865e+00,        +1.409951367278e+01,        +2.009296820384e-01
 2.43560000e+00,        +7.071067811865e+00,        +1.409992081034e+01,        +1.991112024592e-01
 2.43580000e+00,        +7.071067811865e+00,        +1.410031856627e+01,        +1.973055778121e-01
 2.43600000e+00,        +7.071067811865e+00,        +1.410070715024e+01,        +1.955125488215e-01
 2.43620000e+00,        +7.071067811865e+00,        +1.410108676485e+01,        +1.937318614074e-01
