        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.)
 2.42000000e+00,        -1.835456406243e-02,        +1.355069166495e+02
 2.42020000e+00,        -1.826092263314e-02,        +1.355022818308e+02
 2.42040000e+00,        -1.817046316903e-02,        +1.354976629416e+02
 2.42060000e+00,        -1.808305190690e-02,        +1.354930596399e+02
 2.42080000e+00,        -1.799856184011e-02,        +1.354884715875e+02
 2.42100000e+00,        -1.791687233214e-02,        +1.354838984497e+02
 2.42120000e+00,        -1.783786875412e-02,        +1.354793398966e+02
 2.42140000e+00,        -1.776144214498e-02,        +1.354747956028e+02
 2.42160000e+00,        -1.768748889271e-02,        +1.354702652483e+02
 2.42180000e+00,        -1.761591043528e-02,        +1.354657485181e+02
 2.42200000e+00,        -1.754661297999e-02,        +1.354612451031e+02
 2.42220000e+00,        -1.747950724004e-02,        +1.354567546997e+02
 2.42240000e+00,        -1.741450818721e-02,        +1.354522770102e+02
 2.42260000e+00,        -1.735153481962e-02,        +1.354478117429e+02
 2.42280000e+00,        -1.729050994343e-02,        +1.354433586120e+02
 2.42300000e+00,        -1.723135996786e-02,        +1.354389173377e+02
 2.42320000e+00,        -1.717401471244e-02,        +1.354344876463e+02
 2.42340000e+00,        -1.711840722571e-02,        +1.354300692700e+02
 2.42360000e+00,        -1.706447361480e-02,        +1.354256619472e+02
 2.42380000e+00,        -1.701215288500e-02,        +1.354212654218e+02
 2.42400000e+00,        -1.696138678880e-02,        +1.354168794439e+02
 2.42420000e+00,        -1.691211968374e-02,        +1.354125037694e+02
 2.42440000e+00,        -1.686429839854e-02,        +1.354081381598e+02
 2.42460000e+00,        -1.681787210695e-02,        +1.354037823821e+02
 2.42480000e+00,        -1.677279220889e-02,        +1.353994362091e+02
 2.42500000e+00,        -1.672901221838e-02,        +1.353950994189e+02
 2.42520000e+00,        -1.668648765778e-02,        +1.353907717950e+02
 2.42540000e+00,        -1.664517595814e-02,        +1.353864531261e+02
 2.42560000e+00,        -1.660503636501e-02,        +1.353821432059e+02
 2.42580000e+00,        -1.656602984964e-02,        +1.353778418333e+02
 2.42600000e+00,        -1.652811902503e-02,        +1.353735488121e+02
 2.42620000e+00,        -1.649126806664e-02,        +1.353692639506e+02
 2.42640000e+00,        -1.645544263751e-02,        +1.353649870622e+02
 2.42660000e+00,        -1.642060981735e-02,        +1.353607179645e+02
 2.42680000e+00,        -1.638673803565e-02,        +1.353564564798e+02
 2.42700000e+00,        -1.635379700824e-02,        +1.353522024346e+02
 2.42720000e+00,        -1.632175767733e-02,        +1.353479556597e+02
 2.42740000e+00,        -1.629059215479e-02,        +1.353437159900e+02
 2.42760000e+00,        -1.626027366833e-02,        +1.353394832644e+02
 2.42780000e+00,        -1.623077651064e-02,        +1.353352573257e+02
 2.42800000e+00,        -1.620207599111e-02,        +1.353310380206e+02
 2.42820000e+00,        -1.617414839007e-02,        +1.353268251993e+02
 2.42840000e+00,        -1.614697091549e-02,        +1.353226187159e+02
 2.42860000e+00,        -1.612052166182e-02,        +1.353184184278e+02
 2.42880000e+00,        -1.609477957097e-02,        +1.353142241958e+02
 2.42900000e+00,        -1.606972439529e-02,        +1.353100358841e+02
 2.42920000e+00,        -1.604533666243e-02,        +1.353058533602e+02
 2.42940000e+00,        -1.602159764192e-02,        +1.353016764944e+02
 2.42960000e+00,        -1.599848931353e-02,        +1.352975051605e+02
 2.42980000e+00,        -1.597599433709e-02,        +1.352933392349e+02
 2.43000000e+00,        -1.595409602389e-02,        +1.352891785971e+02
 2.43020000e+00,        -1.593277830945e-02,        +1.352850231293e+02
 2.43040000e+00,        -1.591202572764e-02,        +1.352808727164e+02
 2.43060000e+00,        -1.589182338610e-02,        +1.352767272459e+02
 2.43080000e+00,        -1.587215694275e-02,        +1.352725866081e+02
