        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A)
 2.42000000e+00,        +1.414213562373e-01,        +2.090900422336e-01,        +1.232007569724e-01
 2.42020000e+00,        +1.414213562373e-01,        +2.091311241127e-01,        +1.231957347159e-01
 2.42040000e+00,        +1.414213562373e-01,        +2.091716158366e-01,        +1.231904292304e-01
 2.42060000e+00,        +1.414213562373e-01,        +2.092115348713e-01,        +1.231848564569e-01
 2.42080000e+00,        +1.414213562373e-01,        +2.092508981146e-01,        +1.231790313607e-01
 2.42100000e+00,        +1.414213562373e-01,        +2.092897219112e-01,        +1.231729679965e-01
 2.42120000e+00,        +1.414213562373e-01,        +2.093280220688e-01,        +1.231666795685e-01
 2.42140000e+00,        +1.414213562373e-01,        +2.093658138732e-01,        +1.231601784858e-01
 2.42160000e+00,        +1.414213562373e-01,        +2.094031121043e-01,        +1.231534764146e-01
 2.42180000e+00,        +1.414213562373e-01,        +2.094399310516e-01,        +1.231465843265e-01
 2.42200000e+00,        +1.414213562373e-01,        +2.094762845301e-01,        +1.231395125427e-01
 2.42220000e+00,        +1.414213562373e-01,        +2.095121858953e-01,        +1.231322707763e-01
 2.42240000e+00,        +1.414213562373e-01,        +2.095476480586e-01,        +1.231248681704e-01
 2.42260000e+00,        +1.414213562373e-01,        +2.095826835021e-01,        +1.231173133350e-01
 2.42280000e+00,        +1.414213562373e-01,        +2.096173042933e-01,        +1.231096143795e-01
 2.42300000e+00,        +1.414213562373e-01,        +2.096515220993e-01,        +1.231017789450e-01
 2.42320000e+00,        +1.414213562373e-01,        +2.096853482004e-01,        +1.230938142327e-01
 2.42340000e+00,        +1.414213562373e-01,        +2.097187935042e-01,        +1.230857270314e-01
 2.42360000e+00,        +1.414213562373e-01,        +2.097518685583e-01,        +1.230775237427e-01
 2.42380000e+00,        +1.414213562373e-01,        +2.097845835633e-01,        +1.230692104048e-01
 2.42400000e+00,        +1.414213562373e-01,        +2.098169483851e-01,        +1.230607927144e-01
 2.42420000e+00,        +1.414213562373e-01,        +2.098489725667e-01,        +1.230522760471e-01
 2.42440000e+00,        +1.414213562373e-01,        +2.098806653403e-01,        +1.230436654771e-01
 2.42460000e+00,        +1.414213562373e-01,        +2.099120356380e-01,        +1.230349657946e-01
 2.42480000e+00,        +1.414213562373e-01,        +2.099430921028e-01,        +1.230261815233e-01
