        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.)
 2.42000000e+00,        -5.298497805686e-02,        +6.122196905903e+01
 2.42020000e+00,        -5.203458221958e-02,        +6.120630763264e+01
 2.42040000e+00,        -5.111654403438e-02,        +6.119080475096e+01
 2.42060000e+00,        -5.022948961738e-02,        +6.117545708630e+01
 2.42080000e+00,        -4.937211497982e-02,        +6.116026133645e+01
 2.42100000e+00,        -4.854318200812e-02,        +6.114521423101e+01
 2.42120000e+00,        -4.774151469528e-02,        +6.113031253678e+01
 2.42140000e+00,        -4.696599560718e-02,        +6.111555306232e+01
 2.42160000e+00,        -4.621556256870e-02,        +6.110093266168e+01
 2.42180000e+00,        -4.548920555530e-02,        +6.108644823762e+01
 2.42200000e+00,        -4.478596377676e-02,        +6.107209674412e+01
 2.42220000e+00,        -4.410492294029e-02,        +6.105787518847e+01
 2.42240000e+00,        -4.344521268182e-02,        +6.104378063285e+01
 2.42260000e+00,        -4.280600415401e-02,        +6.102981019562e+01
 2.42280000e+00,        -4.218650776101e-02,        +6.101596105213e+01
 2.42300000e+00,        -4.158597103050e-02,        +6.100223043534e+01
 2.42320000e+00,        -4.100367661391e-02,        +6.098861563616e+01
 2.42340000e+00,        -4.043894040665e-02,        +6.097511400349e+01
 2.42360000e+00,        -3.989110978059e-02,        +6.096172294417e+01
 2.42380000e+00,        -3.935956192148e-02,        +6.094843992270e+01
 2.42400000e+00,        -3.884370226469e-02,        +6.093526246079e+01
 2.42420000e+00,        -3.834296302282e-02,        +6.092218813684e+01
 2.42440000e+00,        -3.785680179949e-02,        +6.090921458530e+01
 2.42460000e+00,        -3.738470028372e-02,        +6.089633949591e+01
 2.42480000e+00,        -3.692616301980e-02,        +6.088356061286e+01
 2.42500000e+00,        -3.648071624796e-02,        +6.087087573397e+01
 2.42520000e+00,        -3.604790681133e-02,        +6.085828270968e+01
 2.42540000e+00,        -3.562730112508e-02,        +6.084577944214e+01
 2.42560000e+00,        -3.521848420387e-02,        +6.083336388415e+01
 2.42580000e+00,        -3.482105874395e-02,        +6.082103403814e+01
 2.42600000e+00,        -3.443464425664e-02,        +6.080878795513e+01
 2.42620000e+00,        -3.405887624990e-02,        +6.079662373365e+01
 2.42640000e+00,        -3.369340545520e-02,        +6.078453951864e+01
 2.42660000e+00,        -3.333789709687e-02,        +6.077253350040e+01
 2.42680000e+00,        -3.299203020127e-02,        +6.076060391353e+01
 2.42700000e+00,        -3.265549694363e-02,        +6.074874903579e+01
 2.42720000e+00,        -3.232800202997e-02,        +6.073696718708e+01
 2.42740000e+00,        -3.200926211241e-02,        +6.072525672836e+01
 2.42760000e+00,        -3.169900523549e-02,        +6.071361606064e+01
 2.42780000e+00,        -3.139697031197e-02,        +6.070204362388e+01
 2.42800000e+00,        -3.110290662630e-02,        +6.069053789603e+01
 2.42820000e+00,        -3.081657336405e-02,        +6.067909739200e+01
 2.42840000e+00,        -3.053773916591e-02,        +6.066772066266e+01
 2.42860000e+00,        -3.026618170488e-02,        +6.065640629392e+01
 2.42880000e+00,        -3.000168728514e-02,        +6.064515290572e+01
 2.42900000e+00,        -2.974405046159e-02,        +6.063395915116e+01
 2.42920000e+00,        -2.949307367870e-02,        +6.062282371555e+01
 2.42940000e+00,        -2.924856692772e-02,        +6.061174531553e+01
 2.42960000e+00,        -2.901034742113e-02,        +6.060072269821e+01
 2.42980000e+00,        -2.877823928345e-02,        +6.058975464031e+01
 2.43000000e+00,        -2.855207325737e-02,        +6.057883994735e+01
 2.43020000e+00,        -2.833168642465e-02,        +6.056797745280e+01
