        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A)
 2.40000000e+00,        +1.414213562373e-01,        +2.825484612059e-01,        +4.196979416840e-03
 2.40002500e+00,        +1.414213562373e-01,        +2.825483215198e-01,        +4.195208574306e-03
 2.40005000e+00,        +1.414213562373e-01,        +2.825481815527e-01,        +4.193437487494e-03
 2.40007500e+00,        +1.414213562373e-01,        +2.825480413042e-01,        +4.191666156155e-03
 2.40010000e+00,        +1.414213562373e-01,        +2.825479007739e-01,        +4.189894580040e-03
 2.40012500e+00,        +1.414213562373e-01,        +2.825477599612e-01,        +4.188122758898e-03
 2.40015000e+00,        +1.414213562373e-01,        +2.825476188658e-01,        +4.186350692482e-03
 2.40017500e+00,        +1.414213562373e-01,        +2.825474774872e-01,        +4.184578380541e-03
 2.40020000e+00,        +1.414213562373e-01,        +2.825473358248e-01,        +4.182805822825e-03
 2.40022500e+00,        +1.414213562373e-01,        +2.825471938784e-01,        +4.181033019085e-03
 2.40025000e+00,        +1.414213562373e-01,        +2.825470516474e-01,        +4.179259969070e-03
 2.40027500e+00,        +1.414213562373e-01,        +2.825469091313e-01,        +4.177486672531e-03
 2.40030000e+00,        +1.414213562373e-01,        +2.825467663297e-01,        +4.175713129217e-03
 2.40032500e+00,        +1.414213562373e-01,        +2.825466232422e-01,        +4.173939338877e-03
 2.40035000e+00,        +1.414213562373e-01,        +2.825464798682e-01,        +4.172165301261e-03
 2.40037500e+00,        +1.414213562373e-01,        +2.825463362074e-01,        +4.170391016117e-03
 2.40040000e+00,        +1.414213562373e-01,        +2.825461922592e-01,        +4.168616483196e-03
 2.40042500e+00,        +1.414213562373e-01,        +2.825460480232e-01,        +4.166841702246e-03
 2.40045000e+00,        +1.414213562373e-01,        +2.825459034990e-01,        +4.165066673015e-03
 2.40047500e+00,        +1.414213562373e-01,        +2.825457586860e-01,        +4.163291395253e-03
 2.40050000e+00,        +1.414213562373e-01,        +2.825456135838e-01,        +4.161515868707e-03
 2.40052500e+00,        +1.414213562373e-01,        +2.825454681919e-01,        +4.159740093126e-03
 2.40055000e+00,        +1.414213562373e-01,        +2.825453225099e-01,        +4.157964068258e-03
 2.40057500e+00,        +1.414213562373e-01,        +2.825451765372e-01,        +4.156187793851e-03
 2.40060000e+00,        +1.414213562373e-01,        +2.825450302735e-01,        +4.154411269653e-03
 2.40062500e+00,        +1.414213562373e-01,        +2.825448837183e-01,        +4.152634495412e-03
 2.40065000e+00,        +1.414213562373e-01,        +2.825447368710e-01,        +4.150857470875e-03
 2.40067500e+00,        +1.414213562373e-01,        +2.825445897312e-01,        +4.149080195789e-03
 2.40070000e+00,        +1.414213562373e-01,        +2.825444422984e-01,        +4.147302669903e-03
 2.40072500e+00,        +1.414213562373e-01,        +2.825442945722e-01,        +4.145524892962e-03
 2.40075000e+00,        +1.414213562373e-01,        +2.825441465521e-01,        +4.143746864715e-03
 2.40077500e+00,        +1.414213562373e-01,        +2.825439982375e-01,        +4.141968584907e-03
 2.40080000e+00,        +1.414213562373e-01,        +2.825438496281e-01,        +4.140190053285e-03
 2.40082500e+00,        +1.414213562373e-01,        +2.825437007233e-01,        +4.138411269596e-03
 2.40085000e+00,        +1.414213562373e-01,        +2.825435515227e-01,        +4.136632233587e-03
 2.40087500e+00,        +1.414213562373e-01,        +2.825434020257e-01,        +4.134852945004e-03
 2.40090000e+00,        +1.414213562373e-01,        +2.825432522319e-01,        +4.133073403592e-03
 2.40092500e+00,        +1.414213562373e-01,        +2.825431021409e-01,        +4.131293609097e-03
 2.40095000e+00,        +1.414213562373e-01,        +2.825429517520e-01,        +4.129513561267e-03
 2.40097500e+00,        +1.414213562373e-01,        +2.825428010649e-01,        +4.127733259845e-03
 2.40100000e+00,        +1.414213562373e-01,        +2.825426500790e-01,        +4.125952704578e-03
 2.40102500e+00,        +1.414213562373e-01,        +2.825424987939e-01,        +4.124171895211e-03
 2.40105000e+00,        +1.414213562373e-01,        +2.825423472091e-01,        +4.122390831490e-03
 2.40107500e+00,        +1.414213562373e-01,        +2.825421953240e-01,        +4.120609513159e-03
 2.40110000e+00,        +1.414213562373e-01,        +2.825420431382e-01,        +4.118827939963e-03
 2.40112500e+00,        +1.414213562373e-01,        +2.825418906512e-01,        +4.117046111648e-03
 2.40115000e+00,        +1.414213562373e-01,        +2.825417378625e-01,        +4.115264027957e-03
 2.40117500e+00,        +1.414213562373e-01,        +2.825415847717e-01,        +4.113481688636e-03
 2.40120000e+00,        +1.414213562373e-01,        +2.825414313781e-01,        +4.111699093429e-03
 2.40122500e+00,        +1.414213562373e-01,        +2.825412776813e-01,        +4.109916242080e-03
 2.40125000e+00,        +1.414213562373e-01,        +2.825411236808e-01,        +4.108133134333e-03
 2.40127500e+00,        +1.414213562373e-01,        +2.825409693762e-01,        +4.106349769932e-03
 2.40130000e+00,        +1.414213562373e-01,        +2.825408147669e-01,        +4.104566148622e-03
 2.40132500e+00,        +1.414213562373e-01,        +2.825406598523e-01,        +4.102782270145e-03
 2.40135000e+00,        +1.414213562373e-01,        +2.825405046321e-01,        +4.100998134246e-03
 2.40137500e+00,        +1.414213562373e-01,        +2.825403491057e-01,        +4.099213740668e-03
 2.40140000e+00,        +1.414213562373e-01,        +2.825401932726e-01,        +4.097429089154e-03
 2.40142500e+00,        +1.414213562373e-01,        +2.825400371322e-01,        +4.095644179447e-03
 2.40145000e+00,        +1.414213562373e-01,        +2.825398806842e-01,        +4.093859011290e-03
 2.40147500e+00,        +1.414213562373e-01,        +2.825397239279e-01,        +4.092073584427e-03
 2.40150000e+00,        +1.414213562373e-01,        +2.825395668629e-01,        +4.090287898600e-03
 2.40152500e+00,        +1.414213562373e-01,        +2.825394094887e-01,        +4.088501953552e-03
 2.40155000e+00,        +1.414213562373e-01,        +2.825392518047e-01,        +4.086715749025e-03
 2.40157500e+00,        +1.414213562373e-01,        +2.825390938104e-01,        +4.084929284761e-03
 2.40160000e+00,        +1.414213562373e-01,        +2.825389355054e-01,        +4.083142560504e-03
 2.40162500e+00,        +1.414213562373e-01,        +2.825387768890e-01,        +4.081355575994e-03
 2.40165000e+00,        +1.414213562373e-01,        +2.825386179609e-01,        +4.079568330974e-03
 2.40167500e+00,        +1.414213562373e-01,        +2.825384587204e-01,        +4.077780825186e-03
 2.40170000e+00,        +1.414213562373e-01,        +2.825382991670e-01,        +4.075993058371e-03
 2.40172500e+00,        +1.414213562373e-01,        +2.825381393003e-01,        +4.074205030271e-03
 2.40175000e+00,        +1.414213562373e-01,        +2.825379791197e-01,        +4.072416740628e-03
 2.40177500e+00,        +1.414213562373e-01,        +2.825378186247e-01,        +4.070628189183e-03
 2.40180000e+00,        +1.414213562373e-01,        +2.825376578147e-01,        +4.068839375677e-03
 2.40182500e+00,        +1.414213562373e-01,        +2.825374966893e-01,        +4.067050299850e-03
 2.40185000e+00,        +1.414213562373e-01,        +2.825373352479e-01,        +4.065260961445e-03
 2.40187500e+00,        +1.414213562373e-01,        +2.825371734900e-01,        +4.063471360202e-03
 2.40190000e+00,        +1.414213562373e-01,        +2.825370114150e-01,        +4.061681495861e-03
 2.40192500e+00,        +1.414213562373e-01,        +2.825368490225e-01,        +4.059891368164e-03
 2.40195000e+00,        +1.414213562373e-01,        +2.825366863118e-01,        +4.058100976850e-03
 2.40197500e+00,        +1.414213562373e-01,        +2.825365232826e-01,        +4.056310321659e-03
 2.40200000e+00,        +1.414213562373e-01,        +2.825363599341e-01,        +4.054519402333e-03
 2.40202500e+00,        +1.414213562373e-01,        +2.825361962660e-01,        +4.052728218611e-03
 2.40205000e+00,        +1.414213562373e-01,        +2.825360322776e-01,        +4.050936770233e-03
 2.40207500e+00,        +1.414213562373e-01,        +2.825358679685e-01,        +4.049145056939e-03
 2.40210000e+00,        +1.414213562373e-01,        +2.825357033381e-01,        +4.047353078468e-03
 2.40212500e+00,        +1.414213562373e-01,        +2.825355383858e-01,        +4.045560834561e-03
 2.40215000e+00,        +1.414213562373e-01,        +2.825353731111e-01,        +4.043768324956e-03
 2.40217500e+00,        +1.414213562373e-01,        +2.825352075135e-01,        +4.041975549393e-03
 2.40220000e+00,        +1.414213562373e-01,        +2.825350415925e-01,        +4.040182507611e-03
 2.40222500e+00,        +1.414213562373e-01,        +2.825348753474e-01,        +4.038389199349e-03
 2.40225000e+00,        +1.414213562373e-01,        +2.825347087778e-01,        +4.036595624347e-03
 2.40227500e+00,        +1.414213562373e-01,        +2.825345418830e-01,        +4.034801782342e-03
 2.40230000e+00,        +1.414213562373e-01,        +2.825343746627e-01,        +4.033007673074e-03
 2.40232500e+00,        +1.414213562373e-01,        +2.825342071161e-01,        +4.031213296282e-03
 2.40235000e+00,        +1.414213562373e-01,        +2.825340392428e-01,        +4.029418651704e-03
 2.40237500e+00,        +1.414213562373e-01,        +2.825338710421e-01,        +4.027623739077e-03
 2.40240000e+00,        +1.414213562373e-01,        +2.825337025137e-01,        +4.025828558142e-03
 2.40242500e+00,        +1.414213562373e-01,        +2.825335336568e-01,        +4.024033108635e-03
 2.40245000e+00,        +1.414213562373e-01,        +2.825333644710e-01,        +4.022237390295e-03
 2.40247500e+00,        +1.414213562373e-01,        +2.825331949556e-01,        +4.020441402859e-03
 2.40250000e+00,        +1.414213562373e-01,        +2.825330251102e-01,        +4.018645146066e-03
 2.40252500e+00,        +1.414213562373e-01,        +2.825328549342e-01,        +4.016848619653e-03
 2.40255000e+00,        +1.414213562373e-01,        +2.825326844270e-01,        +4.015051823357e-03
 2.40257500e+00,        +1.414213562373e-01,        +2.825325135880e-01,        +4.013254756917e-03
 2.40260000e+00,        +1.414213562373e-01,        +2.825323424167e-01,        +4.011457420070e-03
 2.40262500e+00,        +1.414213562373e-01,        +2.825321709126e-01,        +4.009659812552e-03
 2.40265000e+00,        +1.414213562373e-01,        +2.825319990750e-01,        +4.007861934101e-03
 2.40267500e+00,        +1.414213562373e-01,        +2.825318269034e-01,        +4.006063784455e-03
 2.40270000e+00,        +1.414213562373e-01,        +2.825316543972e-01,        +4.004265363349e-03
 2.40272500e+00,        +1.414213562373e-01,        +2.825314815559e-01,        +4.002466670521e-03
 2.40275000e+00,        +1.414213562373e-01,        +2.825313083789e-01,        +4.000667705707e-03
 2.40277500e+00,        +1.414213562373e-01,        +2.825311348657e-01,        +3.998868468644e-03
 2.40280000e+00,        +1.414213562373e-01,        +2.825309610155e-01,        +3.997068959069e-03
 2.40282500e+00,        +1.414213562373e-01,        +2.825307868280e-01,        +3.995269176718e-03
 2.40285000e+00,        +1.414213562373e-01,        +2.825306123025e-01,        +3.993469121327e-03
 2.40287500e+00,        +1.414213562373e-01,        +2.825304374383e-01,        +3.991668792633e-03
 2.40290000e+00,        +1.414213562373e-01,        +2.825302622351e-01,        +3.989868190371e-03
 2.40292500e+00,        +1.414213562373e-01,        +2.825300866921e-01,        +3.988067314277e-03
 2.40295000e+00,        +1.414213562373e-01,        +2.825299108088e-01,        +3.986266164088e-03
 2.40297500e+00,        +1.414213562373e-01,        +2.825297345846e-01,        +3.984464739539e-03
 2.40300000e+00,        +1.414213562373e-01,        +2.825295580189e-01,        +3.982663040365e-03
 2.40302500e+00,        +1.414213562373e-01,        +2.825293811112e-01,        +3.980861066303e-03
 2.40305000e+00,        +1.414213562373e-01,        +2.825292038609e-01,        +3.979058817088e-03
 2.40307500e+00,        +1.414213562373e-01,        +2.825290262673e-01,        +3.977256292455e-03
 2.40310000e+00,        +1.414213562373e-01,        +2.825288483299e-01,        +3.975453492139e-03
 2.40312500e+00,        +1.414213562373e-01,        +2.825286700481e-01,        +3.973650415877e-03
 2.40315000e+00,        +1.414213562373e-01,        +2.825284914213e-01,        +3.971847063401e-03
 2.40317500e+00,        +1.414213562373e-01,        +2.825283124490e-01,        +3.970043434449e-03
 2.40320000e+00,        +1.414213562373e-01,        +2.825281331304e-01,        +3.968239528754e-03
 2.40322500e+00,        +1.414213562373e-01,        +2.825279534651e-01,        +3.966435346052e-03
 2.40325000e+00,        +1.414213562373e-01,        +2.825277734525e-01,        +3.964630886077e-03
 2.40327500e+00,        +1.414213562373e-01,        +2.825275930918e-01,        +3.962826148563e-03
 2.40330000e+00,        +1.414213562373e-01,        +2.825274123826e-01,        +3.961021133246e-03
 2.40332500e+00,        +1.414213562373e-01,        +2.825272313243e-01,        +3.959215839859e-03
 2.40335000e+00,        +1.414213562373e-01,        +2.825270499162e-01,        +3.957410268138e-03
 2.40337500e+00,        +1.414213562373e-01,        +2.825268681577e-01,        +3.955604417816e-03
 2.40340000e+00,        +1.414213562373e-01,        +2.825266860483e-01,        +3.953798288627e-03
 2.40342500e+00,        +1.414213562373e-01,        +2.825265035872e-01,        +3.951991880306e-03
 2.40345000e+00,        +1.414213562373e-01,        +2.825263207741e-01,        +3.950185192586e-03
 2.40347500e+00,        +1.414213562373e-01,        +2.825261376081e-01,        +3.948378225202e-03
 2.40350000e+00,        +1.414213562373e-01,        +2.825259540887e-01,        +3.946570977887e-03
 2.40352500e+00,        +1.414213562373e-01,        +2.825257702153e-01,        +3.944763450375e-03
 2.40355000e+00,        +1.414213562373e-01,        +2.825255859874e-01,        +3.942955642399e-03
 2.40357500e+00,        +1.414213562373e-01,        +2.825254014042e-01,        +3.941147553694e-03
 2.40360000e+00,        +1.414213562373e-01,        +2.825252164651e-01,        +3.939339183992e-03
 2.40362500e+00,        +1.414213562373e-01,        +2.825250311696e-01,        +3.937530533027e-03
 2.40365000e+00,        +1.414213562373e-01,        +2.825248455170e-01,        +3.935721600533e-03
 2.40367500e+00,        +1.414213562373e-01,        +2.825246595067e-01,        +3.933912386243e-03
 2.40370000e+00,        +1.414213562373e-01,        +2.825244731381e-01,        +3.932102889889e-03
 2.40372500e+00,        +1.414213562373e-01,        +2.825242864106e-01,        +3.930293111204e-03
 2.40375000e+00,        +1.414213562373e-01,        +2.825240993235e-01,        +3.928483049923e-03
 2.40377500e+00,        +1.414213562373e-01,        +2.825239118762e-01,        +3.926672705778e-03
