        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.)
 2.40000000e+00,        -1.425206441342e-02,        +1.703417312697e+00
 2.40002500e+00,        -1.426389171523e-02,        +1.702700692858e+00
 2.40005000e+00,        -1.427573539774e-02,        +1.701983975368e+00
 2.40007500e+00,        -1.428759548859e-02,        +1.701267160126e+00
 2.40010000e+00,        -1.429947201541e-02,        +1.700550247033e+00
 2.40012500e+00,        -1.431136500596e-02,        +1.699833235987e+00
 2.40015000e+00,        -1.432327448802e-02,        +1.699116126888e+00
 2.40017500e+00,        -1.433520048942e-02,        +1.698398919637e+00
 2.40020000e+00,        -1.434714303810e-02,        +1.697681614132e+00
 2.40022500e+00,        -1.435910216203e-02,        +1.696964210273e+00
 2.40025000e+00,        -1.437107788923e-02,        +1.696246707960e+00
 2.40027500e+00,        -1.438307024779e-02,        +1.695529107091e+00
 2.40030000e+00,        -1.439507926591e-02,        +1.694811407567e+00
 2.40032500e+00,        -1.440710497175e-02,        +1.694093609286e+00
 2.40035000e+00,        -1.441914739363e-02,        +1.693375712148e+00
 2.40037500e+00,        -1.443120655987e-02,        +1.692657716051e+00
 2.40040000e+00,        -1.444328249889e-02,        +1.691939620895e+00
 2.40042500e+00,        -1.445537523914e-02,        +1.691221426579e+00
 2.40045000e+00,        -1.446748480917e-02,        +1.690503133002e+00
 2.40047500e+00,        -1.447961123754e-02,        +1.689784740063e+00
 2.40050000e+00,        -1.449175455293e-02,        +1.689066247660e+00
 2.40052500e+00,        -1.450391478406e-02,        +1.688347655692e+00
 2.40055000e+00,        -1.451609195968e-02,        +1.687628964058e+00
 2.40057500e+00,        -1.452828610867e-02,        +1.686910172657e+00
 2.40060000e+00,        -1.454049725990e-02,        +1.686191281387e+00
 2.40062500e+00,        -1.455272544239e-02,        +1.685472290146e+00
 2.40065000e+00,        -1.456497068511e-02,        +1.684753198834e+00
 2.40067500e+00,        -1.457723301720e-02,        +1.684034007349e+00
 2.40070000e+00,        -1.458951246781e-02,        +1.683314715589e+00
 2.40072500e+00,        -1.460180906615e-02,        +1.682595323451e+00
 2.40075000e+00,        -1.461412284154e-02,        +1.681875830836e+00
 2.40077500e+00,        -1.462645382331e-02,        +1.681156237640e+00
 2.40080000e+00,        -1.463880204088e-02,        +1.680436543762e+00
 2.40082500e+00,        -1.465116752374e-02,        +1.679716749100e+00
 2.40085000e+00,        -1.466355030142e-02,        +1.678996853551e+00
 2.40087500e+00,        -1.467595040355e-02,        +1.678276857015e+00
 2.40090000e+00,        -1.468836785982e-02,        +1.677556759388e+00
 2.40092500e+00,        -1.470080269993e-02,        +1.676836560569e+00
 2.40095000e+00,        -1.471325495373e-02,        +1.676116260456e+00
 2.40097500e+00,        -1.472572465106e-02,        +1.675395858945e+00
 2.40100000e+00,        -1.473821182188e-02,        +1.674675355936e+00
 2.40102500e+00,        -1.475071649619e-02,        +1.673954751325e+00
 2.40105000e+00,        -1.476323870406e-02,        +1.673234045009e+00
 2.40107500e+00,        -1.477577847563e-02,        +1.672513236887e+00
 2.40110000e+00,        -1.478833584109e-02,        +1.671792326856e+00
 2.40112500e+00,        -1.480091083072e-02,        +1.671071314814e+00
 2.40115000e+00,        -1.481350347486e-02,        +1.670350200657e+00
 2.40117500e+00,        -1.482611380393e-02,        +1.669628984283e+00
 2.40120000e+00,        -1.483874184834e-02,        +1.668907665589e+00
 2.40122500e+00,        -1.485138763869e-02,        +1.668186244472e+00
 2.40125000e+00,        -1.486405120557e-02,        +1.667464720829e+00
 2.40127500e+00,        -1.487673257963e-02,        +1.666743094558e+00
 2.40130000e+00,        -1.488943179162e-02,        +1.666021365556e+00
 2.40132500e+00,        -1.490214887236e-02,        +1.665299533719e+00
 2.40135000e+00,        -1.491488385272e-02,        +1.664577598944e+00
 2.40137500e+00,        -1.492763676363e-02,        +1.663855561128e+00
 2.40140000e+00,        -1.494040763611e-02,        +1.663133420169e+00
 2.40142500e+00,        -1.495319650125e-02,        +1.662411175961e+00
 2.40145000e+00,        -1.496600339019e-02,        +1.661688828403e+00
 2.40147500e+00,        -1.497882833415e-02,        +1.660966377392e+00
 2.40150000e+00,        -1.499167136441e-02,        +1.660243822822e+00
 2.40152500e+00,        -1.500453251232e-02,        +1.659521164592e+00
 2.40155000e+00,        -1.501741180932e-02,        +1.658798402597e+00
 2.40157500e+00,        -1.503030928689e-02,        +1.658075536734e+00
 2.40160000e+00,        -1.504322497663e-02,        +1.657352566899e+00
 2.40162500e+00,        -1.505615891012e-02,        +1.656629492988e+00
 2.40165000e+00,        -1.506911111910e-02,        +1.655906314899e+00
 2.40167500e+00,        -1.508208163533e-02,        +1.655183032526e+00
 2.40170000e+00,        -1.509507049064e-02,        +1.654459645767e+00
 2.40172500e+00,        -1.510807771698e-02,        +1.653736154516e+00
 2.40175000e+00,        -1.512110334630e-02,        +1.653012558671e+00
 2.40177500e+00,        -1.513414741068e-02,        +1.652288858128e+00
 2.40180000e+00,        -1.514720994221e-02,        +1.651565052781e+00
 2.40182500e+00,        -1.516029097312e-02,        +1.650841142527e+00
 2.40185000e+00,        -1.517339053569e-02,        +1.650117127263e+00
 2.40187500e+00,        -1.518650866223e-02,        +1.649393006883e+00
 2.40190000e+00,        -1.519964538515e-02,        +1.648668781283e+00
 2.40192500e+00,        -1.521280073695e-02,        +1.647944450360e+00
 2.40195000e+00,        -1.522597475019e-02,        +1.647220014009e+00
 2.40197500e+00,        -1.523916745746e-02,        +1.646495472124e+00
 2.40200000e+00,        -1.525237889152e-02,        +1.645770824603e+00
 2.40202500e+00,        -1.526560908508e-02,        +1.645046071340e+00
 2.40205000e+00,        -1.527885807102e-02,        +1.644321212231e+00
 2.40207500e+00,        -1.529212588228e-02,        +1.643596247171e+00
 2.40210000e+00,        -1.530541255179e-02,        +1.642871176055e+00
 2.40212500e+00,        -1.531871811264e-02,        +1.642145998780e+00
 2.40215000e+00,        -1.533204259797e-02,        +1.641420715239e+00
 2.40217500e+00,        -1.534538604101e-02,        +1.640695325329e+00
 2.40220000e+00,        -1.535874847502e-02,        +1.639969828943e+00
 2.40222500e+00,        -1.537212993335e-02,        +1.639244225979e+00
 2.40225000e+00,        -1.538553044945e-02,        +1.638518516330e+00
 2.40227500e+00,        -1.539895005682e-02,        +1.637792699892e+00
 2.40230000e+00,        -1.541238878906e-02,        +1.637066776559e+00
 2.40232500e+00,        -1.542584667979e-02,        +1.636340746226e+00
 2.40235000e+00,        -1.543932376277e-02,        +1.635614608789e+00
 2.40237500e+00,        -1.545282007177e-02,        +1.634888364142e+00
 2.40240000e+00,        -1.546633564070e-02,        +1.634162012180e+00
 2.40242500e+00,        -1.547987050351e-02,        +1.633435552797e+00
 2.40245000e+00,        -1.549342469424e-02,        +1.632708985889e+00
 2.40247500e+00,        -1.550699824696e-02,        +1.631982311349e+00
 2.40250000e+00,        -1.552059119590e-02,        +1.631255529073e+00
 2.40252500e+00,        -1.553420357529e-02,        +1.630528638955e+00
 2.40255000e+00,        -1.554783541944e-02,        +1.629801640889e+00
 2.40257500e+00,        -1.556148676284e-02,        +1.629074534771e+00
 2.40260000e+00,        -1.557515763990e-02,        +1.628347320494e+00
 2.40262500e+00,        -1.558884808520e-02,        +1.627619997952e+00
 2.40265000e+00,        -1.560255813341e-02,        +1.626892567041e+00
 2.40267500e+00,        -1.561628781923e-02,        +1.626165027654e+00
 2.40270000e+00,        -1.563003717746e-02,        +1.625437379685e+00
 2.40272500e+00,        -1.564380624298e-02,        +1.624709623029e+00
 2.40275000e+00,        -1.565759505072e-02,        +1.623981757581e+00
 2.40277500e+00,        -1.567140363571e-02,        +1.623253783233e+00
 2.40280000e+00,        -1.568523203308e-02,        +1.622525699880e+00
 2.40282500e+00,        -1.569908027799e-02,        +1.621797507416e+00
 2.40285000e+00,        -1.571294840573e-02,        +1.621069205736e+00
 2.40287500e+00,        -1.572683645162e-02,        +1.620340794732e+00
 2.40290000e+00,        -1.574074445111e-02,        +1.619612274299e+00
 2.40292500e+00,        -1.575467243966e-02,        +1.618883644331e+00
 2.40295000e+00,        -1.576862045288e-02,        +1.618154904722e+00
 2.40297500e+00,        -1.578258852642e-02,        +1.617426055365e+00
 2.40300000e+00,        -1.579657669602e-02,        +1.616697096154e+00
 2.40302500e+00,        -1.581058499749e-02,        +1.615968026983e+00
 2.40305000e+00,        -1.582461346674e-02,        +1.615238847745e+00
 2.40307500e+00,        -1.583866213975e-02,        +1.614509558334e+00
 2.40310000e+00,        -1.585273105256e-02,        +1.613780158644e+00
 2.40312500e+00,        -1.586682024133e-02,        +1.613050648568e+00
 2.40315000e+00,        -1.588092974226e-02,        +1.612321028000e+00
 2.40317500e+00,        -1.589505959168e-02,        +1.611591296832e+00
 2.40320000e+00,        -1.590920982596e-02,        +1.610861454960e+00
 2.40322500e+00,        -1.592338048155e-02,        +1.610131502275e+00
 2.40325000e+00,        -1.593757159501e-02,        +1.609401438671e+00
 2.40327500e+00,        -1.595178320297e-02,        +1.608671264043e+00
 2.40330000e+00,        -1.596601534213e-02,        +1.607940978281e+00
 2.40332500e+00,        -1.598026804929e-02,        +1.607210581281e+00
 2.40335000e+00,        -1.599454136130e-02,        +1.606480072936e+00
 2.40337500e+00,        -1.600883531517e-02,        +1.605749453137e+00
 2.40340000e+00,        -1.602314994787e-02,        +1.605018721780e+00
 2.40342500e+00,        -1.603748529659e-02,        +1.604287878756e+00
 2.40345000e+00,        -1.605184139849e-02,        +1.603556923958e+00
 2.40347500e+00,        -1.606621829086e-02,        +1.602825857281e+00
 2.40350000e+00,        -1.608061601111e-02,        +1.602094678616e+00
 2.40352500e+00,        -1.609503459666e-02,        +1.601363387857e+00
 2.40355000e+00,        -1.610947408507e-02,        +1.600631984897e+00
 2.40357500e+00,        -1.612393451396e-02,        +1.599900469628e+00
 2.40360000e+00,        -1.613841592104e-02,        +1.599168841943e+00
 2.40362500e+00,        -1.615291834409e-02,        +1.598437101736e+00
 2.40365000e+00,        -1.616744182099e-02,        +1.597705248899e+00
 2.40367500e+00,        -1.618198638974e-02,        +1.596973283324e+00
 2.40370000e+00,        -1.619655208834e-02,        +1.596241204905e+00
 2.40372500e+00,        -1.621113895497e-02,        +1.595509013534e+00
 2.40375000e+00,        -1.622574702782e-02,        +1.594776709104e+00
 2.40377500e+00,        -1.624037634519e-02,        +1.594044291508e+00
 2.40380000e+00,        -1.625502694550e-02,        +1.593311760637e+00
 2.40382500e+00,        -1.626969886721e-02,        +1.592579116385e+00
 2.40385000e+00,        -1.628439214890e-02,        +1.591846358645e+00
 2.40387500e+00,        -1.629910682921e-02,        +1.591113487308e+00
 2.40390000e+00,        -1.631384294687e-02,        +1.590380502268e+00
 2.40392500e+00,        -1.632860054073e-02,        +1.589647403416e+00
 2.40395000e+00,        -1.634337964968e-02,        +1.588914190645e+00
 2.40397500e+00,        -1.635818031274e-02,        +1.588180863848e+00
 2.40400000e+00,        -1.637300256899e-02,        +1.587447422917e+00
 2.40402500e+00,        -1.638784645760e-02,        +1.586713867744e+00
