        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V)
 2.40000000e+00,        +7.071067811865e+00,        +1.412742306029e+01,        +2.098489708420e-01
 2.40002500e+00,        +7.071067811865e+00,        +1.412741607599e+01,        +2.097604287153e-01
 2.40005000e+00,        +7.071067811865e+00,        +1.412740907763e+01,        +2.096718743747e-01
 2.40007500e+00,        +7.071067811865e+00,        +1.412740206521e+01,        +2.095833078078e-01
 2.40010000e+00,        +7.071067811865e+00,        +1.412739503869e+01,        +2.094947290020e-01
 2.40012500e+00,        +7.071067811865e+00,        +1.412738799806e+01,        +2.094061379449e-01
 2.40015000e+00,        +7.071067811865e+00,        +1.412738094329e+01,        +2.093175346241e-01
 2.40017500e+00,        +7.071067811865e+00,        +1.412737387436e+01,        +2.092289190270e-01
 2.40020000e+00,        +7.071067811865e+00,        +1.412736679124e+01,        +2.091402911413e-01
 2.40022500e+00,        +7.071067811865e+00,        +1.412735969392e+01,        +2.090516509542e-01
 2.40025000e+00,        +7.071067811865e+00,        +1.412735258237e+01,        +2.089629984535e-01
 2.40027500e+00,        +7.071067811865e+00,        +1.412734545656e+01,        +2.088743336266e-01
 2.40030000e+00,        +7.071067811865e+00,        +1.412733831649e+01,        +2.087856564608e-01
 2.40032500e+00,        +7.071067811865e+00,        +1.412733116211e+01,        +2.086969669438e-01
 2.40035000e+00,        +7.071067811865e+00,        +1.412732399341e+01,        +2.086082650630e-01
 2.40037500e+00,        +7.071067811865e+00,        +1.412731681037e+01,        +2.085195508059e-01
 2.40040000e+00,        +7.071067811865e+00,        +1.412730961296e+01,        +2.084308241598e-01
 2.40042500e+00,        +7.071067811865e+00,        +1.412730240116e+01,        +2.083420851123e-01
 2.40045000e+00,        +7.071067811865e+00,        +1.412729517495e+01,        +2.082533336508e-01
 2.40047500e+00,        +7.071067811865e+00,        +1.412728793430e+01,        +2.081645697626e-01
 2.40050000e+00,        +7.071067811865e+00,        +1.412728067919e+01,        +2.080757934353e-01
 2.40052500e+00,        +7.071067811865e+00,        +1.412727340959e+01,        +2.079870046563e-01
 2.40055000e+00,        +7.071067811865e+00,        +1.412726612549e+01,        +2.078982034129e-01
 2.40057500e+00,        +7.071067811865e+00,        +1.412725882686e+01,        +2.078093896925e-01
 2.40060000e+00,        +7.071067811865e+00,        +1.412725151368e+01,        +2.077205634827e-01
 2.40062500e+00,        +7.071067811865e+00,        +1.412724418591e+01,        +2.076317247706e-01
 2.40065000e+00,        +7.071067811865e+00,        +1.412723684355e+01,        +2.075428735437e-01
 2.40067500e+00,        +7.071067811865e+00,        +1.412722948656e+01,        +2.074540097895e-01
 2.40070000e+00,        +7.071067811865e+00,        +1.412722211492e+01,        +2.073651334951e-01
 2.40072500e+00,        +7.071067811865e+00,        +1.412721472861e+01,        +2.072762446481e-01
 2.40075000e+00,        +7.071067811865e+00,        +1.412720732760e+01,        +2.071873432357e-01
 2.40077500e+00,        +7.071067811865e+00,        +1.412719991188e+01,        +2.070984292453e-01
 2.40080000e+00,        +7.071067811865e+00,        +1.412719248140e+01,        +2.070095026642e-01
 2.40082500e+00,        +7.071067811865e+00,        +1.412718503616e+01,        +2.069205634798e-01
 2.40085000e+00,        +7.071067811865e+00,        +1.412717757613e+01,        +2.068316116794e-01
 2.40087500e+00,        +7.071067811865e+00,        +1.412717010128e+01,        +2.067426472502e-01
 2.40090000e+00,        +7.071067811865e+00,        +1.412716261160e+01,        +2.066536701796e-01
 2.40092500e+00,        +7.071067811865e+00,        +1.412715510704e+01,        +2.065646804549e-01
 2.40095000e+00,        +7.071067811865e+00,        +1.412714758760e+01,        +2.064756780633e-01
 2.40097500e+00,        +7.071067811865e+00,        +1.412714005324e+01,        +2.063866629923e-01
 2.40100000e+00,        +7.071067811865e+00,        +1.412713250395e+01,        +2.062976352289e-01
 2.40102500e+00,        +7.071067811865e+00,        +1.412712493970e+01,        +2.062085947606e-01
 2.40105000e+00,        +7.071067811865e+00,        +1.412711736045e+01,        +2.061195415745e-01
 2.40107500e+00,        +7.071067811865e+00,        +1.412710976620e+01,        +2.060304756579e-01
 2.40110000e+00,        +7.071067811865e+00,        +1.412710215691e+01,        +2.059413969982e-01
 2.40112500e+00,        +7.071067811865e+00,        +1.412709453256e+01,        +2.058523055824e-01
 2.40115000e+00,        +7.071067811865e+00,        +1.412708689313e+01,        +2.057632013979e-01
 2.40117500e+00,        +7.071067811865e+00,        +1.412707923858e+01,        +2.056740844318e-01
 2.40120000e+00,        +7.071067811865e+00,        +1.412707156890e+01,        +2.055849546714e-01
 2.40122500e+00,        +7.071067811865e+00,        +1.412706388406e+01,        +2.054958121040e-01
 2.40125000e+00,        +7.071067811865e+00,        +1.412705618404e+01,        +2.054066567166e-01
 2.40127500e+00,        +7.071067811865e+00,        +1.412704846881e+01,        +2.053174884966e-01
 2.40130000e+00,        +7.071067811865e+00,        +1.412704073834e+01,        +2.052283074311e-01
 2.40132500e+00,        +7.071067811865e+00,        +1.412703299262e+01,        +2.051391135073e-01
 2.40135000e+00,        +7.071067811865e+00,        +1.412702523161e+01,        +2.050499067123e-01
 2.40137500e+00,        +7.071067811865e+00,        +1.412701745528e+01,        +2.049606870334e-01
 2.40140000e+00,        +7.071067811865e+00,        +1.412700966363e+01,        +2.048714544577e-01
 2.40142500e+00,        +7.071067811865e+00,        +1.412700185661e+01,        +2.047822089723e-01
 2.40145000e+00,        +7.071067811865e+00,        +1.412699403421e+01,        +2.046929505645e-01
 2.40147500e+00,        +7.071067811865e+00,        +1.412698619640e+01,        +2.046036792214e-01
 2.40150000e+00,        +7.071067811865e+00,        +1.412697834315e+01,        +2.045143949300e-01
 2.40152500e+00,        +7.071067811865e+00,        +1.412697047443e+01,        +2.044250976776e-01
 2.40155000e+00,        +7.071067811865e+00,        +1.412696259023e+01,        +2.043357874512e-01
 2.40157500e+00,        +7.071067811865e+00,        +1.412695469052e+01,        +2.042464642381e-01
 2.40160000e+00,        +7.071067811865e+00,        +1.412694677527e+01,        +2.041571280252e-01
 2.40162500e+00,        +7.071067811865e+00,        +1.412693884445e+01,        +2.040677787997e-01
 2.40165000e+00,        +7.071067811865e+00,        +1.412693089804e+01,        +2.039784165487e-01
 2.40167500e+00,        +7.071067811865e+00,        +1.412692293602e+01,        +2.038890412593e-01
 2.40170000e+00,        +7.071067811865e+00,        +1.412691495835e+01,        +2.037996529185e-01
 2.40172500e+00,        +7.071067811865e+00,        +1.412690696501e+01,        +2.037102515136e-01
 2.40175000e+00,        +7.071067811865e+00,        +1.412689895598e+01,        +2.036208370314e-01
 2.40177500e+00,        +7.071067811865e+00,        +1.412689093123e+01,        +2.035314094591e-01
 2.40180000e+00,        +7.071067811865e+00,        +1.412688289073e+01,        +2.034419687838e-01
 2.40182500e+00,        +7.071067811865e+00,        +1.412687483446e+01,        +2.033525149925e-01
 2.40185000e+00,        +7.071067811865e+00,        +1.412686676239e+01,        +2.032630480723e-01
 2.40187500e+00,        +7.071067811865e+00,        +1.412685867450e+01,        +2.031735680101e-01
 2.40190000e+00,        +7.071067811865e+00,        +1.412685057075e+01,        +2.030840747931e-01
 2.40192500e+00,        +7.071067811865e+00,        +1.412684245112e+01,        +2.029945684082e-01
 2.40195000e+00,        +7.071067811865e+00,        +1.412683431559e+01,        +2.029050488425e-01
 2.40197500e+00,        +7.071067811865e+00,        +1.412682616413e+01,        +2.028155160830e-01
 2.40200000e+00,        +7.071067811865e+00,        +1.412681799671e+01,        +2.027259701167e-01
 2.40202500e+00,        +7.071067811865e+00,        +1.412680981330e+01,        +2.026364109306e-01
 2.40205000e+00,        +7.071067811865e+00,        +1.412680161388e+01,        +2.025468385116e-01
 2.40207500e+00,        +7.071067811865e+00,        +1.412679339843e+01,        +2.024572528469e-01
 2.40210000e+00,        +7.071067811865e+00,        +1.412678516690e+01,        +2.023676539234e-01
 2.40212500e+00,        +7.071067811865e+00,        +1.412677691929e+01,        +2.022780417280e-01
 2.40215000e+00,        +7.071067811865e+00,        +1.412676865556e+01,        +2.021884162478e-01
 2.40217500e+00,        +7.071067811865e+00,        +1.412676037568e+01,        +2.020987774696e-01
 2.40220000e+00,        +7.071067811865e+00,        +1.412675207962e+01,        +2.020091253805e-01
 2.40222500e+00,        +7.071067811865e+00,        +1.412674376737e+01,        +2.019194599675e-01
 2.40225000e+00,        +7.071067811865e+00,        +1.412673543889e+01,        +2.018297812173e-01
 2.40227500e+00,        +7.071067811865e+00,        +1.412672709415e+01,        +2.017400891171e-01
 2.40230000e+00,        +7.071067811865e+00,        +1.412671873313e+01,        +2.016503836537e-01
 2.40232500e+00,        +7.071067811865e+00,        +1.412671035580e+01,        +2.015606648141e-01
 2.40235000e+00,        +7.071067811865e+00,        +1.412670196214e+01,        +2.014709325852e-01
 2.40237500e+00,        +7.071067811865e+00,        +1.412669355211e+01,        +2.013811869539e-01
 2.40240000e+00,        +7.071067811865e+00,        +1.412668512568e+01,        +2.012914279071e-01
 2.40242500e+00,        +7.071067811865e+00,        +1.412667668284e+01,        +2.012016554317e-01
 2.40245000e+00,        +7.071067811865e+00,        +1.412666822355e+01,        +2.011118695147e-01
 2.40247500e+00,        +7.071067811865e+00,        +1.412665974778e+01,        +2.010220701429e-01
 2.40250000e+00,        +7.071067811865e+00,        +1.412665125551e+01,        +2.009322573033e-01
 2.40252500e+00,        +7.071067811865e+00,        +1.412664274671e+01,        +2.008424309826e-01
 2.40255000e+00,        +7.071067811865e+00,        +1.412663422135e+01,        +2.007525911679e-01
 2.40257500e+00,        +7.071067811865e+00,        +1.412662567940e+01,        +2.006627378459e-01
 2.40260000e+00,        +7.071067811865e+00,        +1.412661712084e+01,        +2.005728710035e-01
 2.40262500e+00,        +7.071067811865e+00,        +1.412660854563e+01,        +2.004829906276e-01
 2.40265000e+00,        +7.071067811865e+00,        +1.412659995375e+01,        +2.003930967051e-01
 2.40267500e+00,        +7.071067811865e+00,        +1.412659134517e+01,        +2.003031892227e-01
 2.40270000e+00,        +7.071067811865e+00,        +1.412658271986e+01,        +2.002132681674e-01
 2.40272500e+00,        +7.071067811865e+00,        +1.412657407780e+01,        +2.001233335260e-01
 2.40275000e+00,        +7.071067811865e+00,        +1.412656541895e+01,        +2.000333852854e-01
 2.40277500e+00,        +7.071067811865e+00,        +1.412655674328e+01,        +1.999434234322e-01
 2.40280000e+00,        +7.071067811865e+00,        +1.412654805078e+01,        +1.998534479535e-01
