        f (GHz),         Re{B_x[1]} (Wb/m²),         Im{B_x[1]} (Wb/m²),         Re{B_y[1]} (Wb/m²),         Im{B_y[1]} (Wb/m²),         Re{B_z[1]} (Wb/m²),         Im{B_z[1]} (Wb/m²),         Re{B_x[2]} (Wb/m²),         Im{B_x[2]} (Wb/m²),         Re{B_y[2]} (Wb/m²),         Im{B_y[2]} (Wb/m²),         Re{B_z[2]} (Wb/m²),         Im{B_z[2]} (Wb/m²),         Re{B_x[3]} (Wb/m²),         Im{B_x[3]} (Wb/m²),         Re{B_y[3]} (Wb/m²),         Im{B_y[3]} (Wb/m²),         Re{B_z[3]} (Wb/m²),         Im{B_z[3]} (Wb/m²),         Re{B_x[4]} (Wb/m²),         Im{B_x[4]} (Wb/m²),         Re{B_y[4]} (Wb/m²),         Im{B_y[4]} (Wb/m²),         Re{B_z[4]} (Wb/m²),         Im{B_z[4]} (Wb/m²)
 2.40000000e+00,        +5.220929577727e-10,        +1.142021313110e-09,        +4.094416076783e-10,        +5.599360274970e-10,        +1.931756332616e-07,        +1.422345118189e-07,        +5.285612100670e-10,        +1.581057804986e-09,        +2.020769157770e-10,        +7.750526669375e-10,        +1.770858666510e-07,        +1.774372934694e-07,        +2.371065213321e-10,        +2.156494357894e-09,        -5.644724793971e-10,        +1.292943792677e-09,        +8.703850509177e-08,        +2.921277909609e-07,        -7.980586727844e-10,        +2.429506072896e-09,        -1.384378362446e-10,        +2.517407443734e-10,        +1.743974609759e-08,        +1.563458802278e-07
 2.40002500e+00,        +5.227606961555e-10,        +1.142333648531e-09,        +4.098570429808e-10,        +5.600245424747e-10,        +1.932839713706e-07,        +1.422698691613e-07,        +5.292946564481e-10,        +1.581561642944e-09,        +2.024471394844e-10,        +7.751642376165e-10,        +1.771917060472e-07,        +1.774917254772e-07,        +2.378378709654e-10,        +2.157428639050e-09,        -5.642195292650e-10,        +1.293276923886e-09,        +8.711824253902e-08,        +2.922476988940e-07,        -7.982223393803e-10,        +2.430042342472e-09,        -1.384408213725e-10,        +2.518716157850e-10,        +1.745985040295e-08,        +1.563822780764e-07
 2.40005000e+00,        +5.234283088613e-10,        +1.142645987250e-09,        +4.102722989283e-10,        +5.601129555296e-10,        +1.933924197574e-07,        +1.423052307337e-07,        +5.300281187404e-10,        +1.582065635618e-09,        +2.028172122468e-10,        +7.752757293217e-10,        +1.772976558659e-07,        +1.775461755825e-07,        +2.385693944660e-10,        +2.158363237497e-09,        -5.639666499910e-10,        +1.293609990422e-09,        +8.719808270645e-08,        +2.923676854474e-07,        -7.983862927174e-10,        +2.430578562947e-09,        -1.384438549902e-10,        +2.520022174869e-10,        +1.747998249159e-08,        +1.564187019774e-07
 2.40007500e+00,        +5.240957964015e-10,        +1.142958329621e-09,        +4.106873757113e-10,        +5.602012668032e-10,        +1.935009785755e-07,        +1.423405964955e-07,        +5.307615976768e-10,        +1.582569783499e-09,        +2.031871342245e-10,        +7.753871421520e-10,        +1.774037162675e-07,        +1.776006437699e-07,        +2.393010927315e-10,        +2.159298154094e-09,        -5.637138414967e-10,        +1.293942992431e-09,        +8.727802576768e-08,        +2.924877507005e-07,        -7.985505331879e-10,        +2.431114734952e-09,        -1.384469373630e-10,        +2.521325495878e-10,        +1.750014241162e-08,        +1.564551519568e-07
 2.40010000e+00,        +5.247631592873e-10,        +1.143270675995e-09,        +4.111022735200e-10,        +5.602894764365e-10,        +1.936096479785e-07,        +1.423759664061e-07,        +5.314950939901e-10,        +1.583074087078e-09,        +2.035569055757e-10,        +7.754984762057e-10,        +1.775098874131e-07,        +1.776551300235e-07,        +2.400329666592e-10,        +2.160233389697e-09,        -5.634611037054e-10,        +1.294275930063e-09,        +8.735807189671e-08,        +2.926078947324e-07,        -7.987150611844e-10,        +2.431650859118e-09,        -1.384500687568e-10,        +2.522626121958e-10,        +1.752033021122e-08,        +1.564916280404e-07
 2.40012500e+00,        +5.254303980303e-10,        +1.143583026725e-09,        +4.115169925440e-10,        +5.603775845703e-10,        +1.937184281204e-07,        +1.424113404246e-07,        +5.322286084168e-10,        +1.583578546845e-09,        +2.039265264605e-10,        +7.756097315801e-10,        +1.776161694640e-07,        +1.777096343276e-07,        +2.407650171503e-10,        +2.161168945162e-09,        -5.632084365388e-10,        +1.294608803466e-09,        +8.743822126791e-08,        +2.927281176224e-07,        -7.988798770998e-10,        +2.432186936079e-09,        -1.384532494370e-10,        +2.523924054186e-10,        +1.754054593871e-08,        +1.565281302540e-07
 2.40015000e+00,        +5.260975131420e-10,        +1.143895382164e-09,        +4.119315329734e-10,        +5.604655913451e-10,        +1.938273191556e-07,        +1.424467185101e-07,        +5.329621416906e-10,        +1.584083163289e-09,        +2.042959970374e-10,        +7.757209083738e-10,        +1.777225625815e-07,        +1.777641566661e-07,        +2.414972451095e-10,        +2.162104821346e-09,        -5.629558399212e-10,        +1.294941612788e-09,        +8.751847405602e-08,        +2.928484194496e-07,        -7.990449813272e-10,        +2.432722966468e-09,        -1.384564796698e-10,        +2.525219293641e-10,        +1.756078964250e-08,        +1.565646586236e-07
 2.40017500e+00,        +5.267645051347e-10,        +1.144207742665e-09,        +4.123458949972e-10,        +5.605534969012e-10,        +1.939363212385e-07,        +1.424821006216e-07,        +5.336956945474e-10,        +1.584587936903e-09,        +2.046653174648e-10,        +7.758320066842e-10,        +1.778290669275e-07,        +1.778186970230e-07,        +2.422296514376e-10,        +2.163041019107e-09,        -5.627033137741e-10,        +1.295274358176e-09,        +8.759883043614e-08,        +2.929688002934e-07,        -7.992103742595e-10,        +2.433258950917e-09,        -1.384597597208e-10,        +2.526511841393e-10,        +1.758106137109e-08,        +1.566012131751e-07
 2.40020000e+00,        +5.274313745189e-10,        +1.144520108578e-09,        +4.127600788048e-10,        +5.606413013787e-10,        +1.940454345238e-07,        +1.425174867176e-07,        +5.344292677242e-10,        +1.585092868175e-09,        +2.050344879014e-10,        +7.759430266087e-10,        +1.779356826641e-07,        +1.778732553822e-07,        +2.429622370385e-10,        +2.163977539300e-09,        -5.624508580201e-10,        +1.295607039779e-09,        +8.767929058376e-08,        +2.930892602330e-07,        -7.993760562903e-10,        +2.433794890062e-09,        -1.384630898563e-10,        +2.527801698512e-10,        +1.760136117313e-08,        +1.566377939344e-07
 2.40022500e+00,        +5.280981218075e-10,        +1.144832480255e-09,        +4.131740845848e-10,        +5.607290049175e-10,        +1.941546591667e-07,        +1.425528767568e-07,        +5.351628619560e-10,        +1.585597957597e-09,        +2.054035085052e-10,        +7.760539682442e-10,        +1.780424099537e-07,        +1.779278317271e-07,        +2.436950028212e-10,        +2.164914382787e-09,        -5.621984725836e-10,        +1.295939657743e-09,        +8.775985467473e-08,        +2.932097993480e-07,        -7.995420278135e-10,        +2.434330784537e-09,        -1.384664703426e-10,        +2.529088866066e-10,        +1.762168909732e-08,        +1.566744009275e-07
 2.40025000e+00,        +5.287647475130e-10,        +1.145144858050e-09,        +4.135879125260e-10,        +5.608166076570e-10,        +1.942639953224e-07,        +1.425882706976e-07,        +5.358964779842e-10,        +1.586103205658e-09,        +2.057723794339e-10,        +7.761648316885e-10,        +1.781492489589e-07,        +1.779824260415e-07,        +2.444279496919e-10,        +2.165851550423e-09,        -5.619461573868e-10,        +1.296272212216e-09,        +8.784052288527e-08,        +2.933304177176e-07,        -7.997082892225e-10,        +2.434866634976e-09,        -1.384699014459e-10,        +2.530373345117e-10,        +1.764204519251e-08,        +1.567110341805e-07
 2.40027500e+00,        +5.294312521475e-10,        +1.145457242311e-09,        +4.140015628164e-10,        +5.609041097367e-10,        +1.943734431465e-07,        +1.426236684982e-07,        +5.366301165446e-10,        +1.586608612848e-09,        +2.061411008449e-10,        +7.762756170380e-10,        +1.782561998428e-07,        +1.780370383086e-07,        +2.451610785622e-10,        +2.166789043066e-09,        -5.616939123535e-10,        +1.296604703346e-09,        +8.792129539201e-08,        +2.934511154212e-07,        -7.998748409118e-10,        +2.435402442014e-09,        -1.384733834326e-10,        +2.531655136727e-10,        +1.766242950763e-08,        +1.567476937192e-07
 2.40030000e+00,        +5.300976362234e-10,        +1.145769633392e-09,        +4.144150356438e-10,        +5.609915112955e-10,        +1.944830027948e-07,        +1.426590701168e-07,        +5.373637783766e-10,        +1.587114179660e-09,        +2.065096728958e-10,        +7.763863243895e-10,        +1.783632627685e-07,        +1.780916685119e-07,        +2.458943903395e-10,        +2.167726861575e-09,        -5.614417374057e-10,        +1.296937131279e-09,        +8.800217237190e-08,        +2.935718925383e-07,        -8.000416832751e-10,        +2.435938206288e-09,        -1.384769165695e-10,        +2.532934241951e-10,        +1.768284209174e-08,        +1.567843795697e-07
 2.40032500e+00,        +5.307639002528e-10,        +1.146082031642e-09,        +4.148283311968e-10,        +5.610788124723e-10,        +1.945926744235e-07,        +1.426944755111e-07,        +5.380974642218e-10,        +1.587619906580e-09,        +2.068780957440e-10,        +7.764969538393e-10,        +1.784704378997e-07,        +1.781463166344e-07,        +2.466278859388e-10,        +2.168665006811e-09,        -5.611896324679e-10,        +1.297269496161e-09,        +8.808315400232e-08,        +2.936927491485e-07,        -8.002088167076e-10,        +2.436473928433e-09,        -1.384805011232e-10,        +2.534210661846e-10,        +1.770328299398e-08,        +1.568210917580e-07
