        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.)
 2.40000000e+00,        -5.247088906381e-03,        +1.609850682695e+00
 2.40002500e+00,        -5.251850823219e-03,        +1.609021004997e+00
 2.40005000e+00,        -5.256621477663e-03,        +1.608191031235e+00
 2.40007500e+00,        -5.261400890896e-03,        +1.607360760857e+00
 2.40010000e+00,        -5.266189084115e-03,        +1.606530193309e+00
 2.40012500e+00,        -5.270986078611e-03,        +1.605699328038e+00
 2.40015000e+00,        -5.275791895772e-03,        +1.604868164485e+00
 2.40017500e+00,        -5.280606556998e-03,        +1.604036702095e+00
 2.40020000e+00,        -5.285430083792e-03,        +1.603204940307e+00
 2.40022500e+00,        -5.290262497720e-03,        +1.602372878562e+00
 2.40025000e+00,        -5.295103820411e-03,        +1.601540516299e+00
 2.40027500e+00,        -5.299954073597e-03,        +1.600707852954e+00
 2.40030000e+00,        -5.304813279016e-03,        +1.599874887964e+00
 2.40032500e+00,        -5.309681458524e-03,        +1.599041620764e+00
 2.40035000e+00,        -5.314558634034e-03,        +1.598208050786e+00
 2.40037500e+00,        -5.319444827531e-03,        +1.597374177462e+00
 2.40040000e+00,        -5.324340061068e-03,        +1.596540000223e+00
 2.40042500e+00,        -5.329244356759e-03,        +1.595705518499e+00
 2.40045000e+00,        -5.334157736809e-03,        +1.594870731717e+00
 2.40047500e+00,        -5.339080223482e-03,        +1.594035639304e+00
 2.40050000e+00,        -5.344011839115e-03,        +1.593200240684e+00
 2.40052500e+00,        -5.348952606117e-03,        +1.592364535283e+00
 2.40055000e+00,        -5.353902546970e-03,        +1.591528522522e+00
 2.40057500e+00,        -5.358861684237e-03,        +1.590692201822e+00
 2.40060000e+00,        -5.363830040524e-03,        +1.589855572604e+00
 2.40062500e+00,        -5.368807638560e-03,        +1.589018634285e+00
 2.40065000e+00,        -5.373794501095e-03,        +1.588181386283e+00
 2.40067500e+00,        -5.378790650967e-03,        +1.587343828013e+00
 2.40070000e+00,        -5.383796111124e-03,        +1.586505958889e+00
 2.40072500e+00,        -5.388810904528e-03,        +1.585667778325e+00
 2.40075000e+00,        -5.393835054253e-03,        +1.584829285731e+00
 2.40077500e+00,        -5.398868583478e-03,        +1.583990480518e+00
 2.40080000e+00,        -5.403911515380e-03,        +1.583151362095e+00
 2.40082500e+00,        -5.408963873266e-03,        +1.582311929868e+00
 2.40085000e+00,        -5.414025680474e-03,        +1.581472183243e+00
 2.40087500e+00,        -5.419096960486e-03,        +1.580632121625e+00
 2.40090000e+00,        -5.424177736812e-03,        +1.579791744417e+00
 2.40092500e+00,        -5.429268033031e-03,        +1.578951051020e+00
 2.40095000e+00,        -5.434367872811e-03,        +1.578110040835e+00
 2.40097500e+00,        -5.439477279922e-03,        +1.577268713259e+00
 2.40100000e+00,        -5.444596278157e-03,        +1.576427067691e+00
 2.40102500e+00,        -5.449724891441e-03,        +1.575585103525e+00
 2.40105000e+00,        -5.454863143740e-03,        +1.574742820157e+00
 2.40107500e+00,        -5.460011059135e-03,        +1.573900216980e+00
 2.40110000e+00,        -5.465168661699e-03,        +1.573057293383e+00
 2.40112500e+00,        -5.470335975723e-03,        +1.572214048759e+00
 2.40115000e+00,        -5.475513025432e-03,        +1.571370482494e+00
 2.40117500e+00,        -5.480699835242e-03,        +1.570526593976e+00
 2.40120000e+00,        -5.485896429570e-03,        +1.569682382591e+00
 2.40122500e+00,        -5.491102832970e-03,        +1.568837847723e+00
 2.40125000e+00,        -5.496319070015e-03,        +1.567992988753e+00
 2.40127500e+00,        -5.501545165433e-03,        +1.567147805064e+00
 2.40130000e+00,        -5.506781143976e-03,        +1.566302296035e+00
 2.40132500e+00,        -5.512027030480e-03,        +1.565456461043e+00
 2.40135000e+00,        -5.517282849889e-03,        +1.564610299466e+00
 2.40137500e+00,        -5.522548627241e-03,        +1.563763810678e+00
 2.40140000e+00,        -5.527824387576e-03,        +1.562916994053e+00
 2.40142500e+00,        -5.533110156109e-03,        +1.562069848964e+00
 2.40145000e+00,        -5.538405958066e-03,        +1.561222374779e+00
 2.40147500e+00,        -5.543711818792e-03,        +1.560374570869e+00
 2.40150000e+00,        -5.549027763741e-03,        +1.559526436601e+00
 2.40152500e+00,        -5.554353818407e-03,        +1.558677971341e+00
 2.40155000e+00,        -5.559690008337e-03,        +1.557829174452e+00
 2.40157500e+00,        -5.565036359262e-03,        +1.556980045298e+00
 2.40160000e+00,        -5.570392896890e-03,        +1.556130583241e+00
 2.40162500e+00,        -5.575759647102e-03,        +1.555280787639e+00
 2.40165000e+00,        -5.581136635791e-03,        +1.554430657851e+00
