        f (GHz),         Re{B_x[1]} (Wb/m²),         Im{B_x[1]} (Wb/m²),         Re{B_y[1]} (Wb/m²),         Im{B_y[1]} (Wb/m²),         Re{B_z[1]} (Wb/m²),         Im{B_z[1]} (Wb/m²),         Re{B_x[2]} (Wb/m²),         Im{B_x[2]} (Wb/m²),         Re{B_y[2]} (Wb/m²),         Im{B_y[2]} (Wb/m²),         Re{B_z[2]} (Wb/m²),         Im{B_z[2]} (Wb/m²),         Re{B_x[3]} (Wb/m²),         Im{B_x[3]} (Wb/m²),         Re{B_y[3]} (Wb/m²),         Im{B_y[3]} (Wb/m²),         Re{B_z[3]} (Wb/m²),         Im{B_z[3]} (Wb/m²),         Re{B_x[4]} (Wb/m²),         Im{B_x[4]} (Wb/m²),         Re{B_y[4]} (Wb/m²),         Im{B_y[4]} (Wb/m²),         Re{B_z[4]} (Wb/m²),         Im{B_z[4]} (Wb/m²)
 2.40000000e+00,        +4.644228571717e-11,        -1.066092900565e-10,        +4.499585441921e-11,        -1.652290600988e-10,        -6.568105925803e-10,        +3.933805532714e-07,        +3.891118492487e-11,        +2.644250327217e-11,        +4.390309914559e-11,        -1.735210605849e-10,        -1.067795967642e-09,        +3.929309075728e-07,        +2.719071537651e-11,        +2.356166244184e-10,        +4.058635810067e-11,        -1.610192674402e-10,        -2.877779751570e-09,        +3.875586540194e-07,        -2.408707918383e-11,        +1.266855043695e-09,        +8.314784378305e-12,        -8.199154380759e-11,        -2.040672510443e-09,        +1.798105182149e-07
 2.40002500e+00,        +4.649362456598e-11,        -1.069486611404e-10,        +4.503212424375e-11,        -1.655073803764e-10,        -6.528884809434e-10,        +3.936261940100e-07,        +3.895910150545e-11,        +2.618327377339e-11,        +4.393872852688e-11,        -1.737984704093e-10,        -1.064096692711e-09,        +3.931745959963e-07,        +2.723392234699e-11,        +2.354958875173e-10,        +4.062073472057e-11,        -1.612716504336e-10,        -2.875232341939e-09,        +3.877956150238e-07,        -2.407085475174e-11,        +1.266354373879e-09,        +8.323071462692e-12,        -8.217819382744e-11,        -2.039606510130e-09,        +1.798772620989e-07
 2.40005000e+00,        +4.654488271428e-11,        -1.072875078069e-10,        +4.506834266296e-11,        -1.657854100365e-10,        -6.489587034179e-10,        +3.938721436772e-07,        +3.900693515373e-11,        +2.592467740421e-11,        +4.397430723214e-11,        -1.740756097755e-10,        -1.060390380784e-09,        +3.934185917233e-07,        +2.727704718242e-11,        +2.353759130427e-10,        +4.065506180378e-11,        -1.615237901326e-10,        -2.872679935874e-09,        +3.880328764508e-07,        -2.405465865471e-11,        +1.265852886851e-09,        +8.331351939782e-12,        -8.236529217427e-11,        -2.038538857710e-09,        +1.799440871082e-07
 2.40007500e+00,        +4.659606029621e-11,        -1.076258306170e-10,        +4.510450976885e-11,        -1.660631495568e-10,        -6.450212399943e-10,        +3.941184028532e-07,        +3.905468599986e-11,        +2.566671379584e-11,        +4.400983535126e-11,        -1.743524791411e-10,        -1.056677012480e-09,        +3.936628953294e-07,        +2.732009000485e-11,        +2.352567009546e-10,        +4.068933943549e-11,        -1.617756869063e-10,        -2.870122517025e-09,        +3.882704388603e-07,        -2.403849092157e-11,        +1.265350581297e-09,        +8.339625792878e-12,        -8.255283904737e-11,        -2.037469548779e-09,        +1.800109933978e-07
 2.40010000e+00,        +4.664715744547e-11,        -1.079636301271e-10,        +4.514062565322e-11,        -1.663405994148e-10,        -6.410760706023e-10,        +3.943649721195e-07,        +3.910235417359e-11,        +2.540938258157e-11,        +4.404531297387e-11,        -1.746290789621e-10,        -1.052956568357e-09,        +3.939075073918e-07,        +2.736305093599e-11,        +2.351382512163e-10,        +4.072356770046e-11,        -1.620273411237e-10,        -2.867560068994e-09,        +3.885083028136e-07,        -2.402235158129e-11,        +1.264847455894e-09,        +8.347893005266e-12,        -8.274083464819e-11,        -2.036398578923e-09,        +1.800779811233e-07
 2.40012500e+00,        +4.669817429530e-11,        -1.083009068924e-10,        +4.517669040746e-11,        -1.666177600860e-10,        -6.371231751072e-10,        +3.946118520593e-07,        +3.914993980415e-11,        +2.515268339784e-11,        +4.408074018931e-11,        -1.749054096925e-10,        -1.049229028916e-09,        +3.941524284889e-07,        +2.740593009709e-11,        +2.350205637878e-10,        +4.075774668332e-11,        -1.622787531494e-10,        -2.864992575332e-09,        +3.887464688735e-07,        -2.400624066310e-11,        +1.264343509322e-09,        +8.356153560244e-12,        -8.292927918013e-11,        -2.035325943708e-09,        +1.801450504407e-07
 2.40015000e+00,        +4.674911097866e-11,        -1.086376614664e-10,        +4.521270412286e-11,        -1.668946320452e-10,        -6.331625333108e-10,        +3.948590432571e-07,        +3.919744302050e-11,        +2.489661588415e-11,        +4.411611708673e-11,        -1.751814717864e-10,        -1.045494374595e-09,        +3.943976592008e-07,        +2.744872760906e-11,        +2.349036386382e-10,        +4.079187646844e-11,        -1.625299233496e-10,        -2.862420019539e-09,        +3.889849376041e-07,        -2.399015819631e-11,        +1.263838740254e-09,        +8.364407441040e-12,        -8.311817284869e-11,        -2.034251638688e-09,        +1.802122015061e-07
 2.40017500e+00,        +4.679996762799e-11,        -1.089738943976e-10,        +4.524866689032e-11,        -1.671712157656e-10,        -6.291941249507e-10,        +3.951065462989e-07,        +3.924486395111e-11,        +2.464117968087e-11,        +4.415144375495e-11,        -1.754572656953e-10,        -1.041752585771e-09,        +3.946432001089e-07,        +2.749144359242e-11,        +2.347874757416e-10,        +4.082595713986e-11,        -1.627808520902e-10,        -2.859842385066e-09,        +3.892237095712e-07,        -2.397410421051e-11,        +1.263333147359e-09,        +8.372654630888e-12,        -8.330751586131e-11,        -2.033175659400e-09,        +1.802794344762e-07
 2.40020000e+00,        +4.685074437537e-11,        -1.093096062367e-10,        +4.528457880055e-11,        -1.674475117194e-10,        -6.252179297010e-10,        +3.953543617723e-07,        +3.929220272405e-11,        +2.438637443241e-11,        +4.418672028257e-11,        -1.757327918722e-10,        -1.038003642763e-09,        +3.948890517963e-07,        +2.753407816724e-11,        +2.346720750732e-10,        +4.085998878153e-11,        -1.630315397356e-10,        -2.857259655314e-09,        +3.894627853416e-07,        -2.395807873545e-11,        +1.262826729304e-09,        +8.380895112990e-12,        -8.349730842766e-11,        -2.032098001368e-09,        +1.803467495081e-07
 2.40022500e+00,        +4.690144135250e-11,        -1.096447975273e-10,        +4.532043994396e-11,        -1.677235203774e-10,        -6.212339271720e-10,        +3.956024902663e-07,        +3.933945946702e-11,        +2.413219978670e-11,        +4.422194675793e-11,        -1.760080507651e-10,        -1.034247525826e-09,        +3.951352148473e-07,        +2.757663145331e-11,        +2.345574366062e-10,        +4.089397147702e-11,        -1.632819866444e-10,        -2.854671813632e-09,        +3.897021654841e-07,        -2.394208180106e-11,        +1.262319484747e-09,        +8.389128870512e-12,        -8.368755075923e-11,        -2.031018660099e-09,        +1.804141467592e-07
 2.40025000e+00,        +4.695205869064e-11,        -1.099794688145e-10,        +4.535625041074e-11,        -1.679992422090e-10,        -6.172420969079e-10,        +3.958509323714e-07,        +3.938663430728e-11,        +2.387865539518e-11,        +4.425712326910e-11,        -1.762830428243e-10,        -1.030484215154e-09,        +3.953816898478e-07,        +2.761910356996e-11,        +2.344435603289e-10,        +4.092790530973e-11,        -1.635321931833e-10,        -2.852078843318e-09,        +3.899418505684e-07,        -2.392611343747e-11,        +1.261811412348e-09,        +8.397355886613e-12,        -8.387824306975e-11,        -2.029937631084e-09,        +1.804816263874e-07
 2.40027500e+00,        +4.700259652065e-11,        -1.103136206384e-10,        +4.539201029077e-11,        -1.682746776833e-10,        -6.132424183910e-10,        +3.960996886795e-07,        +3.943372737170e-11,        +2.362574090675e-11,        +4.429224990392e-11,        -1.765577684978e-10,        -1.026713690883e-09,        +3.956284773852e-07,        +2.766149463612e-11,        +2.343304462149e-10,        +4.096179036277e-11,        -1.637821597063e-10,        -2.849480727621e-09,        +3.901818411660e-07,        -2.391017367499e-11,        +1.261302510761e-09,        +8.405576144435e-12,        -8.406938557486e-11,        -2.028854909800e-09,        +1.805491885508e-07
 2.40030000e+00,        +4.705305497309e-11,        -1.106472535386e-10,        +4.542771967374e-11,        -1.685498272663e-10,        -6.092348710326e-10,        +3.963487597841e-07,        +3.948073878684e-11,        +2.337345598216e-11,        +4.432732674997e-11,        -1.768322282312e-10,        -1.022935933079e-09,        +3.958755780484e-07,        +2.770380477044e-11,        +2.342180942676e-10,        +4.099562671906e-11,        -1.640318865804e-10,        -2.846877449735e-09,        +3.904221378497e-07,        -2.389426254414e-11,        +1.260792778634e-09,        +8.413789627036e-12,        -8.426097849243e-11,        -2.027770491707e-09,        +1.806168334081e-07
 2.40032500e+00,        +4.710343417794e-11,        -1.109803680511e-10,        +4.546337864896e-11,        -1.688246914251e-10,        -6.052194341853e-10,        +3.965981462803e-07,        +3.952766867864e-11,        +2.312180027652e-11,        +4.436235389454e-11,        -1.771064224701e-10,        -1.019150921754e-09,        +3.961229924278e-07,        +2.774603409108e-11,        +2.341065044694e-10,        +4.102941446120e-11,        -1.642813741599e-10,        -2.844268992805e-09,        +3.906627411939e-07,        -2.387838007562e-11,        +1.260282214613e-09,        +8.421996317523e-12,        -8.445302204216e-11,        -2.026684372251e-09,        +1.806845611182e-07
