        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V)
 2.40000000e+00,        +7.071067811865e+00,        +1.413811296956e+01,        +1.977967625549e-01
 2.40002500e+00,        +7.071067811865e+00,        +1.413811574114e+01,        +1.976932615886e-01
 2.40005000e+00,        +7.071067811865e+00,        +1.413811851199e+01,        +1.975897215167e-01
 2.40007500e+00,        +7.071067811865e+00,        +1.413812128214e+01,        +1.974861422641e-01
 2.40010000e+00,        +7.071067811865e+00,        +1.413812405156e+01,        +1.973825237556e-01
 2.40012500e+00,        +7.071067811865e+00,        +1.413812682027e+01,        +1.972788659157e-01
 2.40015000e+00,        +7.071067811865e+00,        +1.413812958826e+01,        +1.971751686689e-01
 2.40017500e+00,        +7.071067811865e+00,        +1.413813235553e+01,        +1.970714319394e-01
 2.40020000e+00,        +7.071067811865e+00,        +1.413813512209e+01,        +1.969676556512e-01
 2.40022500e+00,        +7.071067811865e+00,        +1.413813788792e+01,        +1.968638397282e-01
 2.40025000e+00,        +7.071067811865e+00,        +1.413814065304e+01,        +1.967599840939e-01
 2.40027500e+00,        +7.071067811865e+00,        +1.413814341744e+01,        +1.966560886720e-01
 2.40030000e+00,        +7.071067811865e+00,        +1.413814618112e+01,        +1.965521533857e-01
 2.40032500e+00,        +7.071067811865e+00,        +1.413814894408e+01,        +1.964481781580e-01
 2.40035000e+00,        +7.071067811865e+00,        +1.413815170632e+01,        +1.963441629120e-01
 2.40037500e+00,        +7.071067811865e+00,        +1.413815446784e+01,        +1.962401075703e-01
 2.40040000e+00,        +7.071067811865e+00,        +1.413815722864e+01,        +1.961360120555e-01
 2.40042500e+00,        +7.071067811865e+00,        +1.413815998872e+01,        +1.960318762899e-01
 2.40045000e+00,        +7.071067811865e+00,        +1.413816274808e+01,        +1.959277001956e-01
 2.40047500e+00,        +7.071067811865e+00,        +1.413816550671e+01,        +1.958234836948e-01
 2.40050000e+00,        +7.071067811865e+00,        +1.413816826463e+01,        +1.957192267091e-01
 2.40052500e+00,        +7.071067811865e+00,        +1.413817102182e+01,        +1.956149291601e-01
 2.40055000e+00,        +7.071067811865e+00,        +1.413817377828e+01,        +1.955105909692e-01
 2.40057500e+00,        +7.071067811865e+00,        +1.413817653403e+01,        +1.954062120576e-01
 2.40060000e+00,        +7.071067811865e+00,        +1.413817928905e+01,        +1.953017923463e-01
 2.40062500e+00,        +7.071067811865e+00,        +1.413818204334e+01,        +1.951973317562e-01
 2.40065000e+00,        +7.071067811865e+00,        +1.413818479691e+01,        +1.950928302078e-01
 2.40067500e+00,        +7.071067811865e+00,        +1.413818754976e+01,        +1.949882876216e-01
