        f (GHz),           Re{E_x[1]} (V/m),           Im{E_x[1]} (V/m),           Re{E_y[1]} (V/m),           Im{E_y[1]} (V/m),           Re{E_z[1]} (V/m),           Im{E_z[1]} (V/m),           Re{E_x[2]} (V/m),           Im{E_x[2]} (V/m),           Re{E_y[2]} (V/m),           Im{E_y[2]} (V/m),           Re{E_z[2]} (V/m),           Im{E_z[2]} (V/m),           Re{E_x[3]} (V/m),           Im{E_x[3]} (V/m),           Re{E_y[3]} (V/m),           Im{E_y[3]} (V/m),           Re{E_z[3]} (V/m),           Im{E_z[3]} (V/m),           Re{E_x[4]} (V/m),           Im{E_x[4]} (V/m),           Re{E_y[4]} (V/m),           Im{E_y[4]} (V/m),           Re{E_z[4]} (V/m),           Im{E_z[4]} (V/m)
 2.40000000e+00,        +2.245743948503e+00,        -4.484708168464e-03,        +3.560057879741e+00,        +5.439250405658e-02,        -2.034977979199e-02,        -1.553397545666e-03,        +2.788704281810e+00,        +9.376690835817e-02,        +1.009909216989e+01,        +5.367586539064e-02,        -1.138924670818e-02,        +1.260169748527e-03,        +3.590224345957e+00,        +1.085926160716e-01,        +2.197650495453e+01,        +1.619857408837e-01,        +1.259498546494e-02,        +3.095669942420e-03,        -2.083785682626e+00,        -2.118087885202e-02,        +5.826277117413e+01,        +6.477131000150e-01,        +2.872583211788e-02,        +1.271778412132e-03
 2.40002500e+00,        +2.247116105921e+00,        -4.496799269124e-03,        +3.561649611166e+00,        +5.438027482724e-02,        -2.033829742379e-02,        -1.553639806316e-03,        +2.790001418419e+00,        +9.379980612440e-02,        +1.010497659839e+01,        +5.359262164276e-02,        -1.137201898359e-02,        +1.261649710951e-03,        +3.591300327309e+00,        +1.086098995078e-01,        +2.199017682423e+01,        +1.618659750694e-01,        +1.262492848734e-02,        +3.097897390476e-03,        -2.087182447691e+00,        -2.121300455908e-02,        +5.830459474897e+01,        +6.476355316112e-01,        +2.866837127758e-02,        +1.271837497815e-03
 2.40005000e+00,        +2.248486419116e+00,        -4.508939162797e-03,        +3.563248750606e+00,        +5.436806454615e-02,        -2.032684770365e-02,        -1.553882241417e-03,        +2.791296751082e+00,        +9.383258783501e-02,        +1.011087380220e+01,        +5.350940136421e-02,        -1.135483260254e-02,        +1.263126995717e-03,        +3.592374566336e+00,        +1.086270768145e-01,        +2.200387123642e+01,        +1.617461615432e-01,        +1.265482030681e-02,        +3.100120726545e-03,        -2.090579429714e+00,        -2.124508496608e-02,        +5.834647457242e+01,        +6.475575956501e-01,        +2.861082489339e-02,        +1.271896177501e-03
 2.40007500e+00,        +2.249854891097e+00,        -4.521127756262e-03,        +3.564855302316e+00,        +5.435587290568e-02,        -2.031543055630e-02,        -1.554124849056e-03,        +2.792590282731e+00,        +9.386525368699e-02,        +1.011678379570e+01,        +5.342620396173e-02,        -1.133768748027e-02,        +1.264601608866e-03,        +3.593447065755e+00,        +1.086441481679e-01,        +2.201758822391e+01,        +1.616262993912e-01,        +1.268466103078e-02,        +3.102339958877e-03,        -2.093976627992e+00,        -2.127712001094e-02,        +5.838841074412e+01,        +6.474792904477e-01,        +2.855319278212e-02,        +1.271954453754e-03
 2.40010000e+00,        +2.251221524862e+00,        -4.533364956425e-03,        +3.566469270587e+00,        +5.434369959789e-02,        -2.030404590664e-02,        -1.554367627299e-03,        +2.793882016289e+00,        +9.389780387692e-02,        +1.012270659337e+01,        +5.334302884147e-02,        -1.132058353226e-02,        +1.266073556449e-03,        +3.594517828272e+00,        +1.086611137436e-01,        +2.203132781957e+01,        +1.615063876978e-01,        +1.271445076641e-02,        +3.104555095721e-03,        -2.097374041819e+00,        -2.130910963136e-02,        +5.843040336396e+01,        +6.474006143156e-01,        +2.849547476020e-02,        +1.272012329137e-03
 2.40012500e+00,        +2.252586323404e+00,        -4.545650670802e-03,        +3.568090659742e+00,        +5.433154431522e-02,        -2.029269367977e-02,        -1.554610574237e-03,        +2.795171954672e+00,        +9.393023860047e-02,        +1.012864220974e+01,        +5.325987540965e-02,        -1.130352067419e-02,        +1.267542844480e-03,        +3.595586856590e+00,        +1.086779737165e-01,        +2.204509005641e+01,        +1.613864255468e-01,        +1.274418962060e-02,        +3.106766145286e-03,        -2.100771670487e+00,        -2.134105376520e-02,        +5.847245253211e+01,        +6.473215655605e-01,        +2.843767064364e-02,        +1.272069806224e-03
 2.40015000e+00,        +2.253949289706e+00,        -4.557984807029e-03,        +3.569719474141e+00,        +5.431940674974e-02,        -2.028137380092e-02,        -1.554853687951e-03,        +2.796460100788e+00,        +9.396255805291e-02,        +1.013459065938e+01,        +5.317674307176e-02,        -1.128649882194e-02,        +1.269009478973e-03,        +3.596654153400e+00,        +1.086947282609e-01,        +2.205887496753e+01,        +1.612664120200e-01,        +1.277387770002e-02,        +3.108973115772e-03,        -2.104169513290e+00,        -2.137295235006e-02,        +5.851455834902e+01,        +6.472421424842e-01,        +2.837978024805e-02,        +1.272126887589e-03
 2.40017500e+00,        +2.255310426745e+00,        -4.570367273283e-03,        +3.571355718175e+00,        +5.430728659372e-02,        -2.027008619551e-02,        -1.555096966545e-03,        +2.797746457538e+00,        +9.399476242874e-02,        +1.014055195695e+01,        +5.309363123307e-02,        -1.126951789161e-02,        +1.270473465907e-03,        +3.597719721389e+00,        +1.087113775507e-01,        +2.207268258614e+01,        +1.611463461983e-01,        +1.280351511110e-02,        +3.111176015339e-03,        -2.107567569520e+00,        -2.140480532375e-02,        +5.855672091539e+01,        +6.471623433827e-01,        +2.832180338862e-02,        +1.272183575818e-03
 2.40020000e+00,        +2.256669737489e+00,        -4.582797977784e-03,        +3.572999396269e+00,        +5.429518353904e-02,        -2.025883078913e-02,        -1.555340408106e-03,        +2.799031027815e+00,        +9.402685192204e-02,        +1.014652611714e+01,        +5.301053929822e-02,        -1.125257779950e-02,        +1.271934811269e-03,        +3.598783563235e+00,        +1.087279217591e-01,        +2.208651294556e+01,        +1.610262271609e-01,        +1.283310196000e-02,        +3.113374852145e-03,        -2.110965838469e+00,        -2.143661262382e-02,        +5.859894033219e+01,        +6.470821665481e-01,        +2.826373988015e-02,        +1.272239873495e-03
 2.40022500e+00,        +2.258027224898e+00,        -4.595276829867e-03,        +3.574650512885e+00,        +5.428309727867e-02,        -2.024760750754e-02,        -1.555584010762e-03,        +2.800313814504e+00,        +9.405882672560e-02,        +1.015251315473e+01,        +5.292746667258e-02,        -1.123567846210e-02,        +1.273393520991e-03,        +3.599845681608e+00,        +1.087443610583e-01,        +2.210036607920e+01,        +1.609060539869e-01,        +1.286263835266e-02,        +3.115569634287e-03,        -2.114364319426e+00,        -2.146837418821e-02,        +5.864121670068e+01,        +6.470016102678e-01,        +2.820558953701e-02,        +1.272295783220e-03
 2.40025000e+00,        +2.259382891925e+00,        -4.607803738267e-03,        +3.576309072516e+00,        +5.427102750411e-02,        -2.023641627668e-02,        -1.555827772605e-03,        +2.801594820482e+00,        +9.409068703241e-02,        +1.015851308453e+01,        +5.284441275964e-02,        -1.121881979616e-02,        +1.274849601033e-03,        +3.600906079171e+00,        +1.087606956206e-01,        +2.211424202061e+01,        +1.607858257524e-01,        +1.289212439472e-02,        +3.117760369883e-03,        -2.117763011682e+00,        -2.150008995420e-02,        +5.868355012236e+01,        +6.469206728226e-01,        +2.814735217318e-02,        +1.272351307587e-03
 2.40027500e+00,        +2.260736741515e+00,        -4.620378612684e-03,        +3.577975079689e+00,        +5.425897390782e-02,        -2.022525702261e-02,        -1.556071691756e-03,        +2.802874048619e+00,        +9.412243303437e-02,        +1.016452592142e+01,        +5.276137696356e-02,        -1.120200171855e-02,        +1.276303057315e-03,        +3.601964758582e+00,        +1.087769256174e-01,        +2.212814080341e+01,        +1.606655415334e-01,        +1.292156019167e-02,        +3.119947067006e-03,        -2.121161914526e+00,        -2.153175985952e-02,        +5.872594069903e+01,        +6.468393524903e-01,        +2.808902760218e-02,        +1.272406449202e-03
 2.40030000e+00,        +2.262088776605e+00,        -4.633001362996e-03,        +3.579648538968e+00,        +5.424693618188e-02,        -2.021412967162e-02,        -1.556315766351e-03,        +2.804151501779e+00,        +9.415406492279e-02,        +1.017055168037e+01,        +5.267835868774e-02,        -1.118522414644e-02,        +1.277753895729e-03,        +3.603021722487e+00,        +1.087930512193e-01,        +2.214206246136e+01,        +1.605452004041e-01,        +1.295094584865e-02,        +3.122129733693e-03,        -2.124561027246e+00,        -2.156338384181e-02,        +5.876838853276e+01,        +6.467576475421e-01,        +2.803061563716e-02,        +1.272461210678e-03
 2.40032500e+00,        +2.263439000123e+00,        -4.645671899427e-03,        +3.581329454949e+00,        +5.423491401833e-02,        -2.020303415012e-02,        -1.556559994501e-03,        +2.805427182814e+00,        +9.418558288844e-02,        +1.017659037636e+01,        +5.259535733505e-02,        -1.116848699711e-02,        +1.279202122183e-03,        +3.604076973530e+00,        +1.088090725967e-01,        +2.215600702830e+01,        +1.604248014370e-01,        +1.298028147064e-02,        +3.124308377989e-03,        -2.127960349130e+00,        -2.159496183829e-02,        +5.881089372588e+01,        +6.466755562441e-01,        +2.797211609085e-02,        +1.272515594631e-03
 2.40035000e+00,        +2.264787414992e+00,        -4.658390132475e-03,        +3.583017832264e+00,        +5.422290710924e-02,        -2.019197038472e-02,        -1.556804374342e-03,        +2.806701094574e+00,        +9.421698712147e-02,        +1.018264202446e+01,        +5.251237230836e-02,        -1.115179018812e-02,        +1.280647742550e-03,        +3.605130514343e+00,        +1.088249899192e-01,        +2.216997453820e+01,        +1.603043437041e-01,        +1.300956716232e-02,        +3.126483007896e-03,        -2.131359879465e+00,        -2.162649378674e-02,        +5.885345638100e+01,        +6.465930768592e-01,        +2.791352877553e-02,        +1.272569603681e-03
 2.40037500e+00,        +2.266134024126e+00,        -4.671155973223e-03,        +3.584713675575e+00,        +5.421091514670e-02,        -2.018093830216e-02,        -1.557048904019e-03,        +2.807973239897e+00,        +9.424827781126e-02,        +1.018870663980e+01,        +5.242940300976e-02,        -1.113513363719e-02,        +1.282090762681e-03,        +3.606182347553e+00,        +1.088408033558e-01,        +2.218396502513e+01,        +1.601838262752e-01,        +1.303880302817e-02,        +3.128653631393e-03,        -2.134759617537e+00,        -2.165797962448e-02,        +5.889607660101e+01,        +6.465102076423e-01,        +2.785485350307e-02,        +1.272623240460e-03
 2.40040000e+00,        +2.267478830431e+00,        -4.683969333031e-03,        +3.586416989584e+00,        +5.419893782296e-02,        -2.016993782936e-02,        -1.557293581679e-03,        +2.809243621617e+00,        +9.427945514659e-02,        +1.019478423757e+01,        +5.234644884151e-02,        -1.111851726223e-02,        +1.283531188417e-03,        +3.607232475780e+00,        +1.088565130749e-01,        +2.219797852327e+01,        +1.600632482196e-01,        +1.306798917243e-02,        +3.130820256434e-03,        -2.138159562631e+00,        -2.168941928900e-02,        +5.893875448907e+01,        +6.464269468464e-01,        +2.779609008495e-02,        +1.272676507600e-03
 2.40042500e+00,        +2.268821836806e+00,        -4.696830123383e-03,        +3.588127779024e+00,        +5.418697482964e-02,        -2.015896889344e-02,        -1.557538405458e-03,        +2.810512242556e+00,        +9.431051931579e-02,        +1.020087483302e+01,        +5.226350920461e-02,        -1.110194098141e-02,        +1.284969025595e-03,        +3.608280901635e+00,        +1.088721192444e-01,        +2.221201506691e+01,        +1.599426086041e-01,        +1.309712569904e-02,        +3.132982890968e-03,        -2.141559714032e+00,        -2.172081271738e-02,        +5.898149014862e+01,        +6.463432927162e-01,        +2.773723833219e-02,        +1.272729407740e-03
 2.40045000e+00,        +2.270163046140e+00,        -4.709738256544e-03,        +3.589846048663e+00,        +5.417502585917e-02,        -2.014803142163e-02,        -1.557783373542e-03,        +2.811779105534e+00,        +9.434147050624e-02,        +1.020697844144e+01,        +5.218058350071e-02,        -1.108540471305e-02,        +1.286404279996e-03,        +3.609327627723e+00,        +1.088876220316e-01,        +2.222607469044e+01,        +1.598219064955e-01,        +1.312621271179e-02,        +3.135141542879e-03,        -2.144960071022e+00,        -2.175215984757e-02,        +5.902428368338e+01,        +6.462592434946e-01,        +2.767829805539e-02,        +1.272781943531e-03
 2.40047500e+00,        +2.271502461318e+00,        -4.722693644439e-03,        +3.591571803305e+00,        +5.416309060274e-02,        -2.013712534137e-02,        -1.558028484054e-03,        +2.813044213358e+00,        +9.437230890526e-02,        +1.021309507822e+01,        +5.209767112968e-02,        -1.106890837570e-02,        +1.287836957452e-03,        +3.610372656643e+00,        +1.089030216033e-01,        +2.224015742837e+01,        +1.597011409576e-01,        +1.315525031413e-02,        +3.137296220096e-03,        -2.148360632887e+00,        -2.178346061638e-02,        +5.906713519735e+01,        +6.461747974158e-01,        +2.761926906474e-02,        +1.272834117617e-03
 2.40050000e+00,        +2.272840085216e+00,        -4.735696200004e-03,        +3.593305047784e+00,        +5.415116875239e-02,        -2.012625058018e-02,        -1.558273735172e-03,        +2.814307568833e+00,        +9.440303469906e-02,        +1.021922475878e+01,        +5.201477149165e-02,        -1.105245188804e-02,        +1.289267063729e-03,        +3.611415990984e+00,        +1.089183181257e-01,        +2.225426331532e+01,        +1.595803110530e-01,        +1.318423860940e-02,        +3.139446930475e-03,        -2.151761398906e+00,        -2.181471496106e-02,        +5.911004479481e+01,        +6.460899527089e-01,        +2.756015116999e-02,        +1.272885932663e-03
 2.40052500e+00,        +2.274175920701e+00,        -4.748745836482e-03,        +3.595045786974e+00,        +5.413926000037e-02,        -2.011540706589e-02,        -1.558519125077e-03,        +2.815569174752e+00,        +9.443364807309e-02,        +1.022536749861e+01,        +5.193188398710e-02,        -1.103603516908e-02,        +1.290694604577e-03,        +3.612457633329e+00,        +1.089335117640e-01,        +2.226839238601e+01,        +1.594594158447e-01,        +1.321317770054e-02,        +3.141593681847e-03,        -2.155162368362e+00,        -2.184592281915e-02,        +5.915301258030e+01,        +6.460047076015e-01,        +2.750094418046e-02,        +1.272937391330e-03
