        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],              E_elec[2] (J),                  p_elec[2],               E_mag[2] (J),                   p_mag[2],              E_elec[3] (J),                  p_elec[3],               E_mag[3] (J),                   p_mag[3],              E_elec[4] (J),                  p_elec[4],               E_mag[4] (J),                   p_mag[4],              E_elec[5] (J),                  p_elec[5],               E_mag[5] (J),                   p_mag[5],              E_elec[6] (J),                  p_elec[6],               E_mag[6] (J),                   p_mag[6]
 2.43500000e+00,        +9.728230805451e-10,        +9.703903170226e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.186728390030e-14,        +1.219880997648e-05,        +2.850276590424e-12,        +2.937247559487e-03,        +2.177121237432e-10,        +2.237941595929e-01,        +2.056070076195e-10,        +2.118807288291e-01,        +1.856488522118e-10,        +1.908351640956e-01,        +1.733876236607e-10,        +1.786782293878e-01,        +1.854745126598e-10,        +1.906559541699e-01,        +1.733487096931e-10,        +1.786381280318e-01,        +1.856515781273e-10,        +1.908379661626e-01,        +1.735297302186e-10,        +1.788246720670e-01,        +1.856594104556e-10,        +1.908460172959e-01,        +1.734018572846e-10,        +1.786928973247e-01
 2.43500500e+00,        +9.747601158255e-10,        +9.723233269251e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.189169420727e-14,        +1.219961097526e-05,        +2.856156133260e-12,        +2.937455118240e-03,        +2.180978556407e-10,        +2.237451575006e-01,        +2.059663782109e-10,        +2.118291030435e-01,        +1.860299742173e-10,        +1.908469285899e-01,        +1.737441772366e-10,        +1.786897140337e-01,        +1.858558328722e-10,        +1.906682781279e-01,        +1.737055179013e-10,        +1.786499542807e-01,        +1.860330822780e-10,        +1.908501171291e-01,        +1.738867323244e-10,        +1.788363268773e-01,        +1.860405739134e-10,        +1.908578027485e-01,        +1.737584586983e-10,        +1.787044020097e-01
 2.43501000e+00,        +9.767031447298e-10,        +9.742623224028e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.191618017093e-14,        +1.220041138930e-05,        +2.862053878053e-12,        +2.937662488060e-03,        +2.184847738089e-10,        +2.236961916093e-01,        +2.063268548473e-10,        +2.117775162837e-01,        +1.864122775004e-10,        +1.908586846538e-01,        +1.741018368724e-10,        +1.787011904997e-01,        +1.862383346489e-10,        +1.906805928227e-01,        +1.740634325028e-10,        +1.786617715786e-01,        +1.864157683641e-10,        +1.908622587835e-01,        +1.742448412242e-10,        +1.788479726841e-01,        +1.864229188023e-10,        +1.908695797778e-01,        +1.741161663438e-10,        +1.787158985215e-01
 2.43501500e+00,        +9.786521920078e-10,        +9.762073281806e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.194074210397e-14,        +1.220121121833e-05,        +2.867969899981e-12,        +2.937869668860e-03,        +2.188728831318e-10,        +2.236472619377e-01,        +2.066884420829e-10,        +2.117259685687e-01,        +1.867957669432e-10,        +1.908704322829e-01,        +1.744606071411e-10,        +1.787126587815e-01,        +1.866220228724e-10,        +1.906928982497e-01,        +1.744224580713e-10,        +1.786735799211e-01,        +1.867996412690e-10,        +1.908743911213e-01,        +1.746040614928e-10,        +1.788596094830e-01,        +1.868064500049e-10,        +1.908813483794e-01,        +1.744749847952e-10,        +1.787273868558e-01
 2.43502000e+00,        +9.806072825384e-10,        +9.781583691121e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.196538032068e-14,        +1.220201046204e-05,        +2.873904274612e-12,        +2.938076660552e-03,        +2.192621885186e-10,        +2.235983685038e-01,        +2.070511444957e-10,        +2.116744599176e-01,        +1.871804474531e-10,        +1.908821714729e-01,        +1.748204926398e-10,        +1.787241188750e-01,        +1.870069024506e-10,        +1.907051944042e-01,        +1.747825992041e-10,        +1.786853793039e-01,        +1.871847059020e-10,        +1.908865141379e-01,        +1.749643977289e-10,        +1.788712372698e-01,        +1.871911724296e-10,        +1.908931085490e-01,        +1.748349186500e-10,        +1.787388670085e-01
 2.43502500e+00,        +9.825684413282e-10,        +9.801154701789e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.199009513700e-14,        +1.220280912014e-05,        +2.879857077903e-12,        +2.938283463047e-03,        +2.196526949035e-10,        +2.235495113262e-01,        +2.074149666870e-10,        +2.116229903494e-01,        +1.875663239627e-10,        +1.908939022193e-01,        +1.751814979889e-10,        +1.787355707761e-01,        +1.873929783169e-10,        +1.907174812816e-01,        +1.751438605224e-10,        +1.786971697227e-01,        +1.875709671973e-10,        +1.908986278287e-01,        +1.753258545547e-10,        +1.788828560401e-01,        +1.875770910095e-10,        +1.909048602822e-01,        +1.751959725297e-10,        +1.787503389755e-01
 2.43503000e+00,        +9.845356935143e-10,        +9.820786564927e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.201488687050e-14,        +1.220360719235e-05,        +2.885828386208e-12,        +2.938490076257e-03,        +2.200444072467e-10,        +2.235006904232e-01,        +2.077799132823e-10,        +2.115715598833e-01,        +1.879534014305e-10,        +1.909056245179e-01,        +1.755436278333e-10,        +1.787470144808e-01,        +1.877802554300e-10,        +1.907297588772e-01,        +1.755062466714e-10,        +1.787089511732e-01,        +1.879584301151e-10,        +1.909107321890e-01,        +1.756884366167e-10,        +1.788944657897e-01,        +1.879642107038e-10,        +1.909166035747e-01,        +1.755581510797e-10,        +1.787618027528e-01
 2.43503500e+00,        +9.865090643628e-10,        +9.840479532941e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.203975584037e-14,        +1.220440467838e-05,        +2.891818276272e-12,        +2.938696500095e-03,        +2.204373305337e-10,        +2.234519058130e-01,        +2.081459889306e-10,        +2.115201685383e-01,        +1.883416848404e-10,        +1.909173383643e-01,        +1.759068868415e-10,        +1.787584499847e-01,        +1.881687387745e-10,        +1.907420271866e-01,        +1.758697623199e-10,        +1.787207236509e-01,        +1.883470996407e-10,        +1.909228272143e-01,        +1.760521485853e-10,        +1.789060665143e-01,        +1.883525364970e-10,        +1.909283384220e-01,        +1.759214589693e-10,        +1.787732583361e-01
 2.43504000e+00,        +9.884885792719e-10,        +9.860233859559e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.206470236749e-14,        +1.220520157793e-05,        +2.897826825240e-12,        +2.938902734473e-03,        +2.208314697759e-10,        +2.234031575140e-01,        +2.085131983051e-10,        +2.114688163334e-01,        +1.887311792022e-10,        +1.909290437541e-01,        +1.762712797065e-10,        +1.787698772840e-01,        +1.885584333607e-10,        +1.907542862049e-01,        +1.762344121617e-10,        +1.787324871517e-01,        +1.887369807860e-10,        +1.909349129001e-01,        +1.764169951550e-10,        +1.789176582095e-01,        +1.887420733999e-10,        +1.909400648199e-01,        +1.762859008924e-10,        +1.787847057213e-01
 2.43504500e+00,        +9.904742637711e-10,        +9.880049799819e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.208972677439e-14,        +1.220599789071e-05,        +2.903854110660e-12,        +2.939108779303e-03,        +2.212268300106e-10,        +2.233544455444e-01,        +2.088815461035e-10,        +2.114175032876e-01,        +1.891218895519e-10,        +1.909407406830e-01,        +1.766368111455e-10,        +1.787812963743e-01,        +1.889493442252e-10,        +1.907665359277e-01,        +1.766002009143e-10,        +1.787442416712e-01,        +1.891280785883e-10,        +1.909469892415e-01,        +1.767829810451e-10,        +1.789292408712e-01,        +1.891328264490e-10,        +1.909517827640e-01,        +1.766514815670e-10,        +1.787961449043e-01
